Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/cvpr,A1,3453.0,,1,conf/iccp,,0.569444444444
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,conf/iccv,A1,1568.0,,2,conf/iccv,A1,0.520238885202
3,journals/pr,6744.0,201239.0,A1,118.0,,3,conf/eccv,A1,1504.0,,3,conf/cvpr,A1,0.502327611289
4,journals/cce,2581.0,35527.0,,118.0,,4,journals/pami,A1,1419.0,,4,journals/ijcv,A1,0.493982808023
5,journals/cee,1272.0,4934.0,,118.0,,5,conf/icip,A1,1050.0,,5,conf/eccv,A1,0.451787323521
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/icpr,A1,930.0,,6,conf/amfg,,0.433333333333
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/ijcv,A1,862.0,,7,conf/emmcvpr,,0.313218390805
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/bmvc,A2,680.0,,8,journals/pami,A1,0.279716144293
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/miccai,A1,545.0,,9,conf/bmvc,A2,0.268562401264
10,journals/scl,1739.0,26654.0,,89.0,,10,journals/tip,A1,432.0,,10,conf/iccvw,,0.256097560976
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/icmcs,B3,411.0,,11,conf/wacv,B1,0.240495137047
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/nips,A1,391.0,,12,conf/scalespace,,0.230496453901
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,conf/accv,,385.0,,13,conf/fgr,,0.22628458498
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/cviu,A1,383.0,,14,conf/accv,,0.214484679666
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/mm,A1,377.0,,15,journals/cviu,A1,0.202217529039
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/icassp,A1,366.0,,16,conf/3dim,B1,0.185970636215
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/pr,A1,342.0,,17,conf/3dpvt,,0.175609756098
18,conf/infocom,6943.0,350398.0,A1,76.0,,18,journals/tog,A1,320.0,,18,conf/icb,,0.165722379603
19,journals/computer,4766.0,261329.0,,76.0,,19,journals/ivc,A1,289.0,,19,conf/avbpa,A2,0.141592920354
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/icra,A1,283.0,,20,conf/gbrpr,,0.135593220339
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/wacv,B1,272.0,,21,journals/tog,A1,0.134964150148
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/isbi,B1,269.0,,22,conf/vmv,,0.116279069767
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/fgr,,229.0,,23,conf/rt,,0.116279069767
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/dagm,,214.0,,24,conf/miccai,A1,0.114906177525
25,conf/visual,317.0,7593.0,B2,66.0,,25,conf/iros,A1,203.0,,25,journals/ivc,A1,0.112451361868
26,conf/nips,5684.0,404822.0,A1,66.0,,26,journals/prl,A1,169.0,,26,conf/ismar,A2,0.105209397344
27,journals/jocn,2068.0,89870.0,,64.0,,27,journals/tcsv,A1,157.0,,27,conf/icpr,A1,0.103655818101
28,journals/comsur,583.0,19860.0,A1,61.0,,28,journals/cgf,A2,151.0,,28,journals/mia,A1,0.102196752627
29,conf/icra,16038.0,236265.0,A1,61.0,,29,journals/tmm,A1,141.0,,29,conf/pg,A2,0.102040816327
30,conf/sigmod,3706.0,337960.0,A1,61.0,,30,conf/scalespace,,130.0,,30,journals/tomccap,,0.100591715976
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/siggraph,A2,127.0,,31,conf/sspr,B1,0.0988636363636
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,journals/tmi,A1,126.0,,32,conf/dagm,,0.0983455882353
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/icb,,117.0,,33,conf/civr,,0.0968801313629
34,journals/soco,1974.0,28145.0,B1,57.0,,34,conf/3dim,B1,114.0,,34,journals/jmiv,B1,0.0945558739255
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/aaai,A1,111.0,,35,conf/scia,,0.0907692307692
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,conf/emmcvpr,,109.0,,36,conf/mm,A1,0.0907122232916
37,conf/emnlp,1380.0,19971.0,A1,53.0,,37,journals/mia,A1,107.0,,37,conf/ipmi,,0.0906148867314
38,conf/isca,1821.0,135083.0,A1,53.0,,38,journals/cvgip,,105.0,,38,journals/siamis,,0.0847058823529
39,journals/networks,1952.0,113935.0,B1,52.0,,39,conf/pcm,,105.0,,39,journals/tip,A1,0.0845070422535
40,conf/icde,4327.0,135333.0,A1,52.0,,40,conf/ismar,A2,103.0,,40,journals/tmm,A1,0.083185840708
41,journals/behaviourIT,1033.0,21287.0,,52.0,,41,conf/icml,A1,102.0,,41,journals/mva,B1,0.0770593445527
42,journals/jcisd,6138.0,73816.0,B1,51.0,,42,journals/jmiv,B1,99.0,,42,conf/mir,,0.0757575757576
43,journals/dss,2302.0,56927.0,A1,50.0,,43,conf/caip,B2,92.0,,43,journals/cvgip,,0.0752148997135
44,conf/isit,4224.0,15815.0,B1,49.0,,44,conf/mva,B3,88.0,,44,conf/caip,B2,0.0722135007849
45,conf/sigir,3545.0,205477.0,A1,49.0,,45,journals/mva,B1,87.0,,45,conf/nips,A1,0.0687895847994
46,conf/ias,468.0,1722.0,B1,49.0,,46,conf/sspr,B1,87.0,,46,conf/icvgip,,0.0676100628931
47,journals/fgcs,2265.0,38059.0,A2,48.0,,47,conf/iccvw,,84.0,,47,conf/avss,,0.0672097759674
48,conf/icassp,28525.0,238265.0,A1,47.0,,48,journals/tsmc,,79.0,,48,conf/pcm,,0.0648148148148
49,journals/jcc,4376.0,140430.0,A1,47.0,,49,conf/vmv,,75.0,,49,conf/isbi,B1,0.0644465740297
50,journals/mia,1047.0,45369.0,A1,47.0,,50,conf/iciap,B1,75.0,,50,conf/icmi,A2,0.0622676579926
51,journals/bib,798.0,38929.0,,46.0,,51,conf/iscas,A1,73.0,,51,conf/icip,A1,0.0607533414338
52,journals/interactions,2020.0,25053.0,B2,46.0,,52,journals/tvcg,A1,72.0,,52,conf/icmcs,B3,0.0564095525666
53,journals/ai,2580.0,376792.0,A1,46.0,,53,conf/3dpvt,,72.0,,53,journals/tcsv,A1,0.0520729684909
54,conf/indin,449.0,117.0,,46.0,,54,journals/trob,A1,68.0,,54,conf/iciap,B1,0.0514756348662
55,conf/ijcai,6188.0,295635.0,A1,46.0,,55,conf/isvc,,67.0,,55,conf/mva,B3,0.0511033681765
56,conf/jcai,213.0,171.0,,46.0,,56,conf/ijcai,A1,67.0,,56,journals/pr,A1,0.0507117437722
57,conf/globecom,14010.0,105540.0,A1,45.0,,57,conf/icmi,A2,67.0,,57,conf/graphicsinterface,,0.0504731861199
58,journals/fss,3354.0,58453.0,A1,45.0,,58,conf/avss,,66.0,,58,journals/cgf,A2,0.0493948315342
59,conf/cns,163.0,39.0,,45.0,,59,conf/civr,,59.0,,59,journals/tifs,,0.0467889908257
60,conf/iros,13604.0,126537.0,A1,45.0,,60,conf/scia,,59.0,,60,conf/dicta,,0.0438292964245
61,journals/ijon,7349.0,79598.0,A1,45.0,,61,conf/ipmi,,56.0,,61,journals/tmi,A1,0.0409090909091
62,conf/icc,14807.0,125393.0,A2,44.0,,62,conf/mir,,55.0,,62,conf/isvc,,0.0396684428656
63,journals/prl,5475.0,100320.0,A1,44.0,,63,journals/ijrr,A1,54.0,,63,journals/ieeemm,A2,0.038570084666
64,journals/kbs,2347.0,29383.0,,44.0,,64,journals/tnn,,52.0,,64,journals/jvcir,B1,0.0383586083854
65,conf/soda,2924.0,204116.0,A1,43.0,,65,journals/ijon,A1,51.0,,65,conf/vcip,B1,0.0319792566984
66,journals/mcm,3045.0,22454.0,A2,43.0,,66,journals/tifs,,51.0,,66,journals/ijrr,A1,0.0318396226415
67,conf/cdc,8622.0,25900.0,B1,43.0,,67,conf/rt,,50.0,,67,conf/mmsp,B2,0.0311506675143
68,conf/vtc,10987.0,36827.0,A1,42.0,,68,journals/jmlr,A1,50.0,,68,conf/icml,A1,0.0309653916211
69,journals/adhoc,1160.0,24419.0,B1,42.0,,69,conf/mmsp,B2,49.0,,69,journals/prl,A1,0.0308675799087
70,conf/hpca,787.0,26675.0,A1,42.0,,70,conf/icdm,A1,49.0,,70,journals/tvcg,A1,0.0303413400759
71,journals/comcom,4829.0,48151.0,A2,42.0,,71,journals/ijprai,B1,49.0,,71,conf/mmm,B1,0.0291845493562
72,journals/siamsc,1790.0,41616.0,A1,42.0,,72,conf/avbpa,A2,48.0,,72,journals/ijprai,B1,0.0269230769231
73,conf/date,5135.0,52731.0,A1,41.0,,73,conf/dagstuhl,,46.0,,73,conf/siggraph,A2,0.0267875975533
74,conf/dac,6526.0,186313.0,A1,40.0,,74,conf/pg,A2,45.0,,74,journals/cga,A2,0.0241672109732
75,conf/micro,1409.0,59172.0,A1,40.0,,75,conf/icvgip,,43.0,,75,journals/jmlr,A1,0.0230946882217
76,journals/scientometrics,4199.0,122179.0,,40.0,,76,journals/jvcir,B1,43.0,,76,journals/trob,A1,0.0226817878586
77,journals/eaai,1516.0,14305.0,A2,39.0,,77,conf/iccp,,41.0,,77,conf/visapp,B3,0.0223924572775
78,conf/interspeech,17729.0,130378.0,A1,39.0,,78,journals/neco,A1,41.0,,78,journals/vc,B1,0.0213561131874
79,journals/siamcomp,3124.0,269865.0,A1,39.0,,79,journals/ieeemm,A2,41.0,,79,journals/spic,,0.0210387902696
80,conf/sigmetrics,1490.0,70702.0,A1,39.0,,80,journals/tsp,A1,40.0,,80,conf/dcc,A2,0.0207792207792
81,journals/integration,954.0,6860.0,B2,38.0,,81,journals/vc,B1,40.0,,81,conf/bildmed,,0.0202275600506
82,conf/hicss,11101.0,101629.0,A1,38.0,,82,conf/dcc,A2,40.0,,82,conf/uai,A1,0.018320610687
83,journals/tcs,10811.0,391021.0,A1,38.0,,83,conf/amfg,,39.0,,83,conf/icra,A1,0.0176455917197
84,journals/neco,2472.0,320711.0,A1,38.0,,84,conf/icdar,A2,38.0,,84,journals/neco,A1,0.0165857605178
85,journals/cad,2736.0,55554.0,,37.0,,85,conf/chi,A1,38.0,,85,conf/icdm,A1,0.0150030618494
86,conf/cscw,1792.0,98709.0,A1,37.0,,86,conf/dicta,,38.0,,86,conf/iros,A1,0.0149220817407
87,conf/fast,354.0,10728.0,A1,37.0,,87,conf/visapp,B3,38.0,,87,conf/aaai,A1,0.0146922567836
88,conf/bmvc,2532.0,51771.0,A2,37.0,,88,journals/cga,A2,37.0,,88,conf/icdar,A2,0.0137581462708
89,conf/aaai,7555.0,234650.0,A1,37.0,,89,journals/cacm,A1,37.0,,89,journals/tnn,,0.0134575569358
90,conf/cloudcom,757.0,3093.0,B2,37.0,,90,conf/vcip,B1,37.0,,90,conf/icassp,A1,0.0128308501315
91,journals/csi,921.0,8151.0,,36.0,,91,conf/uai,A1,36.0,,91,conf/ijcai,A1,0.0108274078862
92,journals/siamis,425.0,5889.0,,36.0,,92,journals/siamis,,36.0,,92,journals/tsmc,,0.0104983388704
93,conf/isip,148.0,186.0,,36.0,,93,journals/tomccap,,34.0,,93,conf/dagstuhl,,0.010485525416
94,journals/siamco,1861.0,64741.0,A2,36.0,,94,conf/mmm,B1,34.0,,94,journals/ejasp,B1,0.010364321608
95,conf/ipsn,841.0,28102.0,A1,36.0,,95,journals/ejasp,B1,33.0,,95,journals/ijon,A1,0.00693971968975
96,conf/ppopp,790.0,28302.0,A2,35.0,,96,conf/interspeech,A1,32.0,,96,conf/iscas,A1,0.00430246949962
97,conf/ai,834.0,4107.0,B1,35.0,,97,conf/graphicsinterface,,32.0,,97,journals/tsp,A1,0.00385393583197
98,conf/sdm,1058.0,20754.0,A2,35.0,,98,conf/gbrpr,,32.0,,98,conf/chi,A1,0.00355239786856
99,conf/icip,17283.0,156642.0,A1,35.0,,99,conf/bildmed,,32.0,,99,journals/cacm,A1,0.00351744462401
