Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/kdd,A1,1423.0,,1,journals/tkdd,,0.545945945946
2,journals/cma,4572.0,33510.0,,118.0,,2,conf/icdm,A1,935.0,,2,journals/sigkdd,,0.524945770065
3,journals/cee,1272.0,4934.0,,118.0,,3,conf/cikm,A1,602.0,,3,conf/kdd,A1,0.495991634716
4,journals/pr,6744.0,201239.0,A1,118.0,,4,conf/icde,A1,521.0,,4,conf/sdm,A2,0.468809073724
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/icml,A1,499.0,,5,conf/dmkd,,0.454545454545
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,conf/sdm,A2,496.0,,6,journals/datamine,A2,0.392857142857
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/tkde,A1,483.0,,7,conf/wsdm,B1,0.288930581614
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/www,A1,446.0,,8,conf/icdm,A1,0.286282914881
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/sigmod,A1,417.0,,9,conf/pkdd,A2,0.196386946387
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/aaai,A1,395.0,,10,journals/tist,,0.192429022082
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/pkdd,A2,337.0,,11,journals/sadm,B4,0.1875
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/nips,A1,332.0,,12,journals/kais,A2,0.186868686869
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,conf/pakdd,,327.0,,13,conf/pakdd,,0.169430051813
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/vldb,A1,265.0,,14,journals/tkde,A1,0.165241190558
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/sigir,A1,248.0,,15,conf/icml,A1,0.151487553127
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/ijcai,A1,244.0,,16,journals/vldb,A2,0.148425787106
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/sigkdd,,242.0,,17,conf/cikm,A1,0.138933764136
18,journals/computer,4766.0,261329.0,,76.0,,18,journals/datamine,A2,209.0,,18,conf/ssd,,0.135638297872
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/kais,A2,185.0,,19,conf/recsys,B1,0.124065769806
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,journals/jmlr,A1,181.0,,20,conf/icde,A1,0.120406748324
21,journals/ml,1309.0,184440.0,A1,73.0,,21,journals/pvldb,A1,178.0,,21,journals/pvldb,A1,0.120189061445
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/wsdm,B1,154.0,,22,conf/ilp,B1,0.116634799235
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/icmcs,B3,153.0,,23,conf/ecml,A2,0.116564417178
24,conf/icml,3294.0,290468.0,A1,69.0,,24,journals/ml,A1,152.0,,24,journals/ml,A1,0.116119174943
25,conf/visual,317.0,7593.0,B2,66.0,,25,conf/edbt,A2,141.0,,25,conf/sigmod,A1,0.112520237453
26,conf/nips,5684.0,404822.0,A1,66.0,,26,conf/mm,A1,136.0,,26,conf/dis,A2,0.104815864023
27,journals/jocn,2068.0,89870.0,,64.0,,27,journals/bioinformatics,A1,118.0,,27,conf/asunam,,0.101237345332
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/cvpr,A1,107.0,,28,conf/vldb,A1,0.100340780008
29,journals/comsur,583.0,19860.0,A1,61.0,,29,conf/ictai,A2,106.0,,29,conf/www,A1,0.099089091313
30,conf/icra,16038.0,236265.0,A1,61.0,,30,journals/ijon,A1,105.0,,30,conf/edbt,A2,0.0964432284542
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,journals/tkdd,,101.0,,31,conf/ssdbm,A2,0.0886075949367
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,conf/dasfaa,B1,100.0,,32,conf/aistats,,0.0883392226148
33,conf/smc,9388.0,28167.0,B2,58.0,,33,journals/vldb,A2,99.0,,33,conf/icwsm,B1,0.0878293601004
34,journals/soco,1974.0,28145.0,B1,57.0,,34,conf/ecml,A2,95.0,,34,journals/jmlr,A1,0.0836027713626
35,conf/networking,1306.0,9360.0,B1,56.0,,35,journals/isci,A1,91.0,,35,conf/dawak,B1,0.0724191063174
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,conf/ssdbm,A2,91.0,,36,conf/sigir,A1,0.0699576868829
37,conf/wsdm,533.0,8651.0,B1,54.0,,37,conf/asunam,,90.0,,37,journals/tois,A2,0.0688524590164
38,conf/isca,1821.0,135083.0,A1,53.0,,38,conf/sac,A1,90.0,,38,journals/ida,,0.068306010929
39,conf/emnlp,1380.0,19971.0,A1,53.0,,39,journals/bmcbi,A1,88.0,,39,journals/jiis,B1,0.0654761904762
40,conf/icde,4327.0,135333.0,A1,52.0,,40,conf/ipps,A1,87.0,,40,conf/pods,A1,0.0641373080397
41,journals/networks,1952.0,113935.0,B1,52.0,,41,conf/igarss,B1,86.0,,41,conf/dasfaa,B1,0.0614250614251
42,journals/behaviourIT,1033.0,21287.0,,52.0,,42,conf/uai,A1,85.0,,42,conf/nips,A1,0.0584095707248
43,journals/jcisd,6138.0,73816.0,B1,51.0,,43,conf/recsys,B1,83.0,,43,journals/debu,,0.0571205007825
44,journals/dss,2302.0,56927.0,A1,50.0,,44,conf/icip,A1,79.0,,44,journals/mms,A2,0.0564304461942
45,conf/sigir,3545.0,205477.0,A1,49.0,,45,conf/acl,A1,76.0,,45,journals/tods,A2,0.0548712206047
46,conf/ias,468.0,1722.0,B1,49.0,,46,journals/tnn,,75.0,,46,conf/aaai,A1,0.0522832561218
47,conf/isit,4224.0,15815.0,B1,49.0,,47,conf/webi,,74.0,,47,conf/mdm,A2,0.0468262226847
48,conf/icwsm,797.0,7564.0,B1,48.0,,48,conf/dis,A2,74.0,,48,conf/emnlp,A1,0.045652173913
49,journals/fgcs,2265.0,38059.0,A2,48.0,,49,journals/debu,,73.0,,49,conf/gis,B1,0.0452755905512
50,journals/jcc,4376.0,140430.0,A1,47.0,,50,conf/pods,A1,71.0,,50,conf/waim,B2,0.0445859872611
51,conf/icassp,28525.0,238265.0,A1,47.0,,51,journals/pr,A1,70.0,,51,conf/uai,A1,0.0432569974555
52,journals/bib,798.0,38929.0,,46.0,,52,conf/icwsm,B1,70.0,,52,conf/ictai,A2,0.0423153692615
53,journals/ai,2580.0,376792.0,A1,46.0,,53,journals/pami,A1,70.0,,53,journals/ijait,B3,0.0422832980973
54,journals/interactions,2020.0,25053.0,B2,46.0,,54,conf/gis,B1,69.0,,54,conf/webi,,0.0415496911847
55,conf/indin,449.0,117.0,,46.0,,55,journals/tip,A1,68.0,,55,conf/ijcai,A1,0.0394311570782
56,conf/jcai,213.0,171.0,,46.0,,56,journals/tsmc,,67.0,,56,journals/sigmod,A1,0.0389030612245
57,conf/ijcai,6188.0,295635.0,A1,46.0,,57,journals/tpds,A1,67.0,,57,conf/bibm,B4,0.0366232153942
58,conf/iros,13604.0,126537.0,A1,45.0,,58,conf/sc,A1,66.0,,58,conf/jcdl,A2,0.0356919223544
59,journals/fss,3354.0,58453.0,A1,45.0,,59,journals/expert,A1,63.0,,59,conf/apweb,B2,0.0337552742616
60,conf/cns,163.0,39.0,,45.0,,60,conf/emnlp,A1,63.0,,60,journals/expert,A1,0.0332453825858
61,journals/ijon,7349.0,79598.0,A1,45.0,,61,conf/icassp,A1,62.0,,61,conf/ismis,B2,0.0329847144006
62,conf/globecom,14010.0,105540.0,A1,45.0,,62,journals/tist,,61.0,,62,conf/mm,A1,0.0327237728585
63,journals/prl,5475.0,100320.0,A1,44.0,,63,journals/computer,,61.0,,63,journals/is,A2,0.031914893617
64,conf/icc,14807.0,125393.0,A2,44.0,,64,conf/ilp,B1,61.0,,64,conf/ausai,,0.0308988764045
65,journals/kbs,2347.0,29383.0,,44.0,,65,journals/sigmod,A1,61.0,,65,conf/bibe,B1,0.0307692307692
66,journals/mcm,3045.0,22454.0,A2,43.0,,66,conf/bibm,B4,59.0,,66,conf/icmla,B2,0.0284552845528
67,conf/cdc,8622.0,25900.0,B1,43.0,,67,conf/icpr,A1,58.0,,67,conf/flairs,B1,0.0248733302626
68,conf/soda,2924.0,204116.0,A1,43.0,,68,conf/jcdl,A2,57.0,,68,conf/icdcs,A1,0.0227827502034
69,conf/hpca,787.0,26675.0,A1,42.0,,69,conf/icdcs,A1,56.0,,69,journals/jcst,B2,0.0225840336134
70,journals/adhoc,1160.0,24419.0,B1,42.0,,70,conf/waim,B2,56.0,,70,conf/sc,A1,0.0213799805637
