Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/kdd,A1,1401.0,,1,journals/tkdd,,0.632432432432
2,journals/cee,1272.0,4934.0,,118.0,,2,conf/icdm,A1,895.0,,2,conf/kdd,A1,0.488323457651
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/cikm,A1,607.0,,3,conf/sdm,A2,0.45179584121
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/icde,A1,524.0,,4,journals/sigkdd,,0.444685466377
5,journals/cce,2581.0,35527.0,,118.0,,5,journals/tkde,A1,516.0,,5,conf/dmkd,,0.431818181818
6,journals/pr,6744.0,201239.0,A1,118.0,,6,conf/sdm,A2,478.0,,6,journals/datamine,A2,0.368421052632
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/icml,A1,468.0,,7,conf/wsdm,B1,0.288930581614
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/sigmod,A1,435.0,,8,conf/icdm,A1,0.274035517453
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/www,A1,418.0,,9,journals/tist,,0.198738170347
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/aaai,A1,389.0,,10,journals/sadm,B4,0.191176470588
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/nips,A1,318.0,,11,journals/kais,A2,0.184848484848
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/pkdd,A2,311.0,,12,conf/pkdd,A2,0.181235431235
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/pakdd,,305.0,,13,journals/tkde,A1,0.176530961341
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/vldb,A1,262.0,,14,conf/pakdd,,0.158031088083
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/ijcai,A1,237.0,,15,journals/vldb,A2,0.151424287856
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/sigir,A1,231.0,,16,journals/pvldb,A1,0.147197839298
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/pvldb,A1,218.0,,17,conf/icml,A1,0.142076502732
18,journals/computer,4766.0,261329.0,,76.0,,18,journals/sigkdd,,205.0,,18,conf/cikm,A1,0.140087699054
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/datamine,A2,196.0,,19,conf/ssd,,0.135638297872
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,journals/kais,A2,183.0,,20,conf/recsys,B1,0.122571001495
21,journals/ml,1309.0,184440.0,A1,73.0,,21,journals/jmlr,A1,176.0,,21,conf/icde,A1,0.121100069332
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/wsdm,B1,154.0,,22,conf/sigmod,A1,0.11737722612
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/edbt,A2,151.0,,23,journals/ml,A1,0.105423987777
24,conf/icml,3294.0,290468.0,A1,69.0,,24,journals/ml,A1,138.0,,24,conf/icwsm,B1,0.10539523212
25,conf/nips,5684.0,404822.0,A1,66.0,,25,journals/bioinformatics,A1,131.0,,25,conf/edbt,A2,0.103283173735
26,conf/visual,317.0,7593.0,B2,66.0,,26,conf/icmcs,B3,126.0,,26,conf/vldb,A1,0.099204846649
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/mm,A1,126.0,,27,conf/aistats,,0.0971731448763
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/dasfaa,B1,121.0,,28,conf/www,A1,0.0928682514997
29,conf/icra,16038.0,236265.0,A1,61.0,,29,journals/tkdd,,117.0,,29,conf/asunam,,0.0922384701912
30,journals/comsur,583.0,19860.0,A1,61.0,,30,conf/cvpr,A1,115.0,,30,conf/ssdbm,A2,0.0905550146056
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/ipps,A1,109.0,,31,conf/ecml,A2,0.0846625766871
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,conf/ictai,A2,103.0,,32,journals/jmlr,A1,0.0812933025404
33,conf/smc,9388.0,28167.0,B2,58.0,,33,journals/ijon,A1,102.0,,33,conf/dasfaa,B1,0.0743243243243
34,journals/soco,1974.0,28145.0,B1,57.0,,34,journals/vldb,A2,101.0,,34,conf/sigir,A1,0.0651622002821
35,conf/networking,1306.0,9360.0,B1,56.0,,35,journals/bmcbi,A1,97.0,,35,conf/pods,A1,0.0641373080397
36,conf/wsdm,533.0,8651.0,B1,54.0,,36,journals/isci,A1,95.0,,36,conf/dis,A2,0.0637393767705
37,conf/nsdi,481.0,17531.0,A1,54.0,,37,conf/ssdbm,A2,93.0,,37,conf/bcb,B4,0.0625
38,conf/emnlp,1380.0,19971.0,A1,53.0,,38,conf/uai,A1,85.0,,38,journals/jiis,B1,0.0610119047619
39,conf/isca,1821.0,135083.0,A1,53.0,,39,conf/icwsm,B1,84.0,,39,conf/dawak,B1,0.060092449923
40,journals/networks,1952.0,113935.0,B1,52.0,,40,conf/asunam,,82.0,,40,journals/tods,A2,0.0593505039194
41,conf/icde,4327.0,135333.0,A1,52.0,,41,conf/recsys,B1,82.0,,41,journals/debu,,0.0579029733959
42,journals/behaviourIT,1033.0,21287.0,,52.0,,42,conf/sac,A1,81.0,,42,journals/ida,,0.0573770491803
43,journals/jcisd,6138.0,73816.0,B1,51.0,,43,journals/tpds,A1,80.0,,43,conf/nips,A1,0.0559465165376
44,journals/dss,2302.0,56927.0,A1,50.0,,44,journals/pami,A1,76.0,,44,journals/mms,A2,0.0524934383202
45,conf/isit,4224.0,15815.0,B1,49.0,,45,journals/tnn,,75.0,,45,conf/aaai,A1,0.0514890800794
46,conf/ias,468.0,1722.0,B1,49.0,,46,journals/tsmc,,75.0,,46,conf/adma,B2,0.0471142520612
47,conf/sigir,3545.0,205477.0,A1,49.0,,47,journals/debu,,74.0,,47,conf/gis,B1,0.0459317585302
48,conf/icwsm,797.0,7564.0,B1,48.0,,48,conf/icip,A1,73.0,,48,conf/mdm,A2,0.044745057232
49,journals/fgcs,2265.0,38059.0,A2,48.0,,49,conf/sc,A1,71.0,,49,journals/ijait,B3,0.0443974630021
50,conf/icassp,28525.0,238265.0,A1,47.0,,50,conf/pods,A1,71.0,,50,conf/emnlp,A1,0.0434782608696
51,journals/jcc,4376.0,140430.0,A1,47.0,,51,conf/acl,A1,71.0,,51,conf/uai,A1,0.0432569974555
52,journals/interactions,2020.0,25053.0,B2,46.0,,52,conf/gis,B1,70.0,,52,conf/waim,B2,0.0429936305732
53,conf/indin,449.0,117.0,,46.0,,53,conf/igarss,B1,70.0,,53,conf/ictai,A2,0.0411177644711
54,conf/ijcai,6188.0,295635.0,A1,46.0,,54,journals/jpdc,A2,69.0,,54,conf/ijcai,A1,0.0382999353588
55,journals/bib,798.0,38929.0,,46.0,,55,journals/pr,A1,69.0,,55,conf/webi,,0.0381807973049
56,journals/ai,2580.0,376792.0,A1,46.0,,56,conf/ecml,A2,69.0,,56,conf/bibm,B4,0.0372439478585
57,conf/jcai,213.0,171.0,,46.0,,57,conf/webi,,68.0,,57,journals/sigmod,A1,0.0363520408163
58,journals/fss,3354.0,58453.0,A1,45.0,,58,journals/tip,A1,68.0,,58,journals/expert,A1,0.0353562005277
59,conf/iros,13604.0,126537.0,A1,45.0,,59,journals/expert,A1,67.0,,59,conf/jcdl,A2,0.035065748278
60,conf/cns,163.0,39.0,,45.0,,60,journals/tist,,63.0,,60,journals/is,A2,0.0339095744681
61,conf/globecom,14010.0,105540.0,A1,45.0,,61,conf/emnlp,A1,60.0,,61,conf/mmm,B1,0.0334763948498
62,journals/ijon,7349.0,79598.0,A1,45.0,,62,journals/computer,,60.0,,62,conf/bibe,B1,0.032967032967
63,conf/icc,14807.0,125393.0,A2,44.0,,63,conf/bibm,B4,60.0,,63,conf/apweb,B2,0.0320675105485
64,journals/kbs,2347.0,29383.0,,44.0,,64,journals/sigmod,A1,57.0,,64,conf/ausai,,0.0316011235955
65,journals/prl,5475.0,100320.0,A1,44.0,,65,conf/jcdl,A2,56.0,,65,conf/mm,A1,0.0303176130895
66,journals/mcm,3045.0,22454.0,A2,43.0,,66,conf/icdcs,A1,56.0,,66,conf/icmla,B2,0.0291327913279
67,conf/soda,2924.0,204116.0,A1,43.0,,67,journals/cacm,A1,55.0,,67,journals/tpds,A1,0.0242571255306
68,conf/cdc,8622.0,25900.0,B1,43.0,,68,conf/aistats,,55.0,,68,journals/jcst,B2,0.0241596638655
69,conf/vtc,10987.0,36827.0,A1,42.0,,69,conf/waim,B2,54.0,,69,conf/sc,A1,0.0229996760609
70,journals/adhoc,1160.0,24419.0,B1,42.0,,70,conf/icpr,A1,54.0,,70,conf/icdcs,A1,0.0227827502034
71,journals/siamsc,1790.0,41616.0,A1,42.0,,71,journals/tods,A2,53.0,,71,journals/jpdc,A2,0.0221437740693
72,journals/comcom,4829.0,48151.0,A2,42.0,,72,conf/icassp,A1,53.0,,72,conf/flairs,B1,0.0202671579917
73,conf/hpca,787.0,26675.0,A1,42.0,,73,journals/sadm,B4,52.0,,73,journals/tnn,,0.0194099378882
74,conf/date,5135.0,52731.0,A1,41.0,,74,conf/ssd,,51.0,,74,journals/ai,A1,0.0174418604651
75,conf/micro,1409.0,59172.0,A1,40.0,,75,journals/is,A2,51.0,,75,conf/icmcs,B3,0.017293439473
76,conf/dac,6526.0,186313.0,A1,40.0,,76,conf/icpp,A2,49.0,,76,conf/acl,A1,0.0167373880245
77,journals/scientometrics,4199.0,122179.0,,40.0,,77,journals/jcst,B2,46.0,,77,conf/cvpr,A1,0.0167297061391
78,conf/sigmetrics,1490.0,70702.0,A1,39.0,,78,journals/ai,A1,45.0,,78,journals/pami,A1,0.0149812734082
79,journals/eaai,1516.0,14305.0,A2,39.0,,79,conf/ausai,,45.0,,79,conf/ipps,A1,0.014773651396
80,conf/interspeech,17729.0,130378.0,A1,39.0,,80,conf/dis,A2,45.0,,80,conf/sac,A1,0.0147219193021
81,journals/siamcomp,3124.0,269865.0,A1,39.0,,81,conf/bibe,B1,45.0,,81,conf/icpp,A2,0.0142732304107
82,conf/hicss,11101.0,101629.0,A1,38.0,,82,conf/globecom,A1,44.0,,82,journals/ijon,A1,0.0138794393795
83,journals/tcs,10811.0,391021.0,A1,38.0,,83,conf/flairs,B1,44.0,,83,journals/bmcbi,A1,0.0137121854679
84,journals/neco,2472.0,320711.0,A1,38.0,,84,conf/isnn,,43.0,,84,journals/isci,A1,0.0135096700796
85,journals/integration,954.0,6860.0,B2,38.0,,85,conf/mdm,A2,43.0,,85,journals/tip,A1,0.0133020344288
86,conf/fast,354.0,10728.0,A1,37.0,,86,conf/icmla,B2,43.0,,86,journals/bioinformatics,A1,0.0130128141452
87,conf/bmvc,2532.0,51771.0,A2,37.0,,87,journals/ijait,B3,42.0,,87,conf/isnn,,0.0127748068925
88,conf/cloudcom,757.0,3093.0,B2,37.0,,88,journals/amc,A2,42.0,,88,journals/computer,,0.012589173311
89,conf/cscw,1792.0,98709.0,A1,37.0,,89,journals/ida,,42.0,,89,conf/icnc,B4,0.0105879074951
90,journals/cad,2736.0,55554.0,,37.0,,90,journals/jiis,B1,41.0,,90,journals/pr,A1,0.010231316726
91,conf/aaai,7555.0,234650.0,A1,37.0,,91,conf/bcb,B4,41.0,,91,journals/tsmc,,0.00996677740864
92,journals/siamco,1861.0,64741.0,A2,36.0,,92,journals/mms,A2,40.0,,92,conf/fskd,B2,0.00802469135802
93,conf/edbt,1462.0,28921.0,A2,36.0,,93,conf/adma,B2,40.0,,93,conf/icpr,A1,0.00601872492198
94,journals/csi,921.0,8151.0,,36.0,,94,conf/mmm,B1,39.0,,94,conf/infocom,A1,0.00547313841279
95,conf/ipsn,841.0,28102.0,A1,36.0,,95,conf/fskd,B2,39.0,,95,journals/cacm,A1,0.00522863390056
96,journals/siamis,425.0,5889.0,,36.0,,96,conf/dawak,B1,39.0,,96,conf/igarss,B1,0.0052033003791
97,conf/isip,148.0,186.0,,36.0,,97,conf/apweb,B2,38.0,,97,conf/icip,A1,0.00422380373778
98,conf/icip,17283.0,156642.0,A1,35.0,,98,conf/icnc,B4,38.0,,98,journals/amc,A2,0.00318858184027
99,conf/ai,834.0,4107.0,B1,35.0,,99,conf/infocom,A1,38.0,,99,conf/globecom,A1,0.00314061384725
100,conf/sdm,1058.0,20754.0,A2,35.0,,100,conf/dmkd,,38.0,,100,conf/icassp,A1,0.00185801928133
101,conf/ppopp,790.0,28302.0,A2,35.0,,101,journals/corr,,,,101,journals/nar,B1,
102,conf/vldb,2641.0,235473.0,A1,34.0,,102,conf/ssp,,,,102,journals/cee,,
103,journals/socnet,537.0,17912.0,,33.0,,103,conf/isit,B1,,,103,journals/cma,,
104,conf/allerton,778.0,633.0,,33.0,,104,journals/tcom,A1,,,104,journals/cce,,
105,conf/icalp,3119.0,122492.0,A1,33.0,,105,journals/twc,A1,,,105,journals/neuroimage,,
106,conf/iccvw,328.0,5566.0,,33.0,,106,journals/jstsp,A1,,,106,conf/biocomp,B4,
107,conf/cec,5323.0,30161.0,B1,32.0,,107,conf/acssc,,,,107,conf/icete,B4,
108,conf/sac,5502.0,37130.0,A1,32.0,,108,journals/tmc,,,,108,journals/scl,,
109,conf/uai,1965.0,147942.0,A1,32.0,,109,journals/tit,A1,,,109,journals/eswa,A1,
110,conf/miccai,4743.0,59627.0,A1,32.0,,110,journals/wc,,,,110,journals/automatica,A1,
111,conf/percom,1751.0,19503.0,A2,32.0,,111,conf/icc,A2,,,111,journals/cm,A1,
112,conf/icdar,2762.0,27617.0,A2,31.0,,112,conf/allerton,,,,112,journals/pieee,A1,
113,conf/tacas,874.0,35833.0,A1,31.0,,113,conf/wcnc,A2,,,113,journals/sigpro,A1,
114,conf/coling,3555.0,68639.0,A1,31.0,,114,journals/tsp,A1,,,114,journals/ploscb,,
115,conf/lrec,3847.0,17564.0,A2,31.0,,115,conf/ciss,,,,115,conf/visual,B2,
116,journals/dam,5729.0,70961.0,A2,31.0,,116,journals/tifs,,,,116,journals/jocn,,
117,journals/lre,903.0,17032.0,B3,31.0,,117,journals/ejwcn,B1,,,117,conf/icra,A1,
118,journals/siamma,1295.0,17645.0,,30.0,,118,conf/crowncom,,,,118,journals/comsur,A1,
119,journals/eis,228.0,3625.0,,30.0,,119,journals/siamco,A2,,,119,conf/eccv,A1,
120,conf/ics,1404.0,42901.0,A2,30.0,,120,conf/ita,,,,120,conf/isscc,B1,
121,journals/algorithmica,2186.0,53176.0,,29.0,,121,conf/dcc,A2,,,121,conf/smc,B2,
122,conf/gis,1524.0,12787.0,B1,29.0,,122,journals/icl,A1,,,122,journals/soco,B1,
123,conf/hri,1198.0,5977.0,A2,29.0,,123,journals/jsac,A1,,,123,conf/networking,B1,
124,journals/isj,527.0,16818.0,,29.0,,124,conf/iccoms,,,,124,conf/nsdi,A1,
125,conf/iccad,3313.0,104804.0,A1,29.0,,125,conf/globalsip,,,,125,conf/isca,A1,
126,journals/dm,11762.0,98470.0,A2,29.0,,126,journals/ejasp,B1,,,126,journals/networks,B1,
127,conf/icpr,8972.0,82067.0,A1,29.0,,127,journals/tvt,,,,127,journals/behaviourIT,,
128,conf/aspdac,2891.0,17518.0,,28.0,,128,conf/camsap,,,,128,journals/jcisd,B1,
129,conf/ifip,2909.0,47513.0,,28.0,,129,journals/spm,A1,,,129,journals/dss,A1,
130,conf/iccS,4457.0,19295.0,A2,28.0,,130,conf/smartgridcomm,,,,130,conf/isit,B1,
