Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/sigmod,A1,1965.0,,1,journals/dr,,0.723404255319
2,journals/cma,4572.0,33510.0,,118.0,,2,conf/icde,A1,1754.0,,2,conf/damon,,0.712643678161
3,journals/cce,2581.0,35527.0,,118.0,,3,conf/vldb,A1,1161.0,,3,journals/pvldb,A1,0.586090479406
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,journals/pvldb,A1,868.0,,4,journals/vldb,A2,0.568215892054
5,journals/cee,1272.0,4934.0,,118.0,,5,journals/tkde,A1,676.0,,5,conf/cidr,A2,0.56228956229
6,journals/pr,6744.0,201239.0,A1,118.0,,6,journals/debu,,617.0,,6,conf/sigmod,A1,0.530221262817
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/sigmod,A1,538.0,,7,journals/tods,A2,0.521836506159
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/edbt,A2,501.0,,8,journals/debu,,0.482785602504
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/cikm,A1,495.0,,9,conf/pods,A1,0.446251129178
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/pods,A1,494.0,,10,conf/webdb,B1,0.443262411348
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,journals/tods,A2,466.0,,11,conf/vldb,A1,0.439606209769
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/kdd,A1,389.0,,12,conf/icde,A1,0.405361682459
13,journals/cm,1467.0,7672.0,A1,86.0,,13,journals/vldb,A2,379.0,,13,conf/icdt,B1,0.35632183908
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/www,A1,285.0,,14,journals/sigmod,A1,0.343112244898
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/icdm,A1,266.0,,15,conf/edbt,A2,0.34268125855
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/dasfaa,B1,262.0,,16,conf/ssd,,0.31914893617
17,journals/www,423.0,7421.0,B1,83.0,,17,conf/ssdbm,A2,258.0,,17,conf/dbpl,B2,0.298507462687
18,journals/ploscb,3878.0,85175.0,,80.0,,18,journals/is,A2,194.0,,18,conf/pdis,,0.292207792208
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/icdt,B1,186.0,,19,conf/ssdbm,A2,0.251217137293
20,journals/computer,4766.0,261329.0,,76.0,,20,conf/cidr,A2,167.0,,20,conf/dood,,0.25
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/gis,B1,153.0,,21,journals/tkde,A1,0.231269243927
22,journals/ml,1309.0,184440.0,A1,73.0,,22,journals/jacm,A1,152.0,,22,journals/dpd,B1,0.224489795918
23,journals/is,1504.0,32461.0,A2,72.0,,23,journals/jcss,A2,147.0,,23,journals/tkdd,,0.210810810811
24,journals/isci,7032.0,124049.0,A1,70.0,,24,conf/sdm,A2,145.0,,24,conf/ride,B1,0.2071197411
25,conf/icml,3294.0,290468.0,A1,69.0,,25,journals/cacm,A1,139.0,,25,conf/comad,,0.1926910299
