Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tpds,A1,1391.0,,1,journals/tpds,A1,0.421770770164
2,journals/cce,2581.0,35527.0,,118.0,,2,conf/infocom,A1,1036.0,,2,conf/icdcs,A1,0.345809601302
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/ipps,A1,997.0,,3,conf/iwqos,A2,0.251546391753
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/icdcs,A1,850.0,,4,conf/sss,,0.250652741514
5,journals/cee,1272.0,4934.0,,118.0,,5,conf/icpp,A2,779.0,,5,journals/tosn,,0.230964467005
6,journals/pr,6744.0,201239.0,A1,118.0,,6,journals/tc,A1,769.0,,6,conf/icpp,A2,0.226915234489
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/globecom,A1,647.0,,7,conf/mass,B1,0.220779220779
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/jpdc,A2,635.0,,8,conf/wasa,B4,0.205357142857
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/icc,A2,585.0,,9,journals/jpdc,A2,0.20378690629
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,conf/wcnc,A2,294.0,,10,conf/mobihoc,A1,0.202643171806
11,journals/scl,1739.0,26654.0,,89.0,,11,journals/tmc,,293.0,,11,conf/icnp,A1,0.190697674419
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/icde,A1,279.0,,12,conf/srds,A2,0.190523198421
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/mass,B1,272.0,,13,journals/tmc,,0.189154293092
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/tkde,A1,268.0,,14,conf/spdp,,0.178316690442
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/icpads,B1,263.0,,15,conf/rtss,A1,0.173611111111
16,conf/www,4501.0,120253.0,A1,83.0,,16,journals/jsac,A1,239.0,,16,conf/rtas,A2,0.157817109145
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/comcom,A2,237.0,,17,conf/infocom,A1,0.149215036728
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/icccn,B1,232.0,,18,conf/ispan,,0.147727272727
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/tjs,B2,216.0,,19,conf/wdag,,0.140369967356
20,journals/ml,1309.0,184440.0,A1,73.0,,20,journals/cn,A1,203.0,,20,conf/icdcsw,,0.136935603257
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/rtss,A1,200.0,,21,conf/hipc,B1,0.136492890995
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/srds,A2,193.0,,22,conf/middleware,A2,0.135857461024
23,journals/isci,7032.0,124049.0,A1,70.0,,23,journals/ton,A1,188.0,,23,conf/ipps,A1,0.135131471944
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/icdcsw,,185.0,,24,conf/nca,B1,0.133655394525
25,conf/visual,317.0,7593.0,B2,66.0,,25,journals/tvt,,179.0,,25,conf/msn,,0.133428981349
26,conf/nips,5684.0,404822.0,A1,66.0,,26,journals/twc,A1,177.0,,26,conf/sensys,A1,0.1201171875
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/europar,,172.0,,27,conf/cluster,A2,0.119469026549
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/sc,A1,165.0,,28,conf/icpads,B1,0.116888888889
29,journals/comsur,583.0,19860.0,A1,61.0,,29,conf/icnp,A1,164.0,,29,journals/tc,A1,0.116568137032
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/cikm,A1,159.0,,30,conf/secon,B1,0.115555555556
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/podc,A1,154.0,,31,conf/hpdc,A1,0.114912280702
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,conf/icmcs,B3,154.0,,32,journals/cluster,B2,0.113445378151
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/sigmod,A1,150.0,,33,journals/paapp,B2,0.112612612613
34,journals/soco,1974.0,28145.0,B1,57.0,,34,journals/wicomm,B1,147.0,,34,journals/tjs,B2,0.112266112266
35,conf/networking,1306.0,9360.0,B1,56.0,,35,journals/winet,A1,146.0,,35,journals/monet,A2,0.107376283847
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,journals/ipl,A2,146.0,,36,conf/gcc,B2,0.103964098728
37,conf/isca,1821.0,135083.0,A1,53.0,,37,conf/hipc,B1,144.0,,37,journals/wicomm,B1,0.102510460251
38,conf/emnlp,1380.0,19971.0,A1,53.0,,38,conf/percom,A2,140.0,,38,conf/icppw,,0.0992647058824
39,journals/networks,1952.0,113935.0,B1,52.0,,39,conf/gcc,B2,139.0,,39,conf/dsn,A1,0.0987158908507
40,conf/icde,4327.0,135333.0,A1,52.0,,40,conf/mobihoc,A1,138.0,,40,conf/icccn,B1,0.0967069612338
41,journals/behaviourIT,1033.0,21287.0,,52.0,,41,conf/cluster,A2,135.0,,41,conf/hpca,A1,0.0952986022872
42,journals/jcisd,6138.0,73816.0,B1,51.0,,42,conf/sigmetrics,A1,135.0,,42,conf/ipsn,A1,0.0951248513674
43,journals/dss,2302.0,56927.0,A1,50.0,,43,journals/concurrency,,133.0,,43,journals/winet,A1,0.0951140065147
