Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/sensys,A1,623.0,,1,conf/sensys,A1,0.6083984375
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,conf/date,A1,616.0,,2,conf/ipsn,A1,0.412604042806
3,journals/pr,6744.0,201239.0,A1,118.0,,3,conf/dac,A1,460.0,,3,conf/ewsn,A2,0.34328358209
4,journals/cma,4572.0,33510.0,,118.0,,4,journals/tcad,A1,354.0,,4,journals/tecs,B1,0.336021505376
5,journals/cee,1272.0,4934.0,,118.0,,5,conf/ipsn,A1,347.0,,5,journals/tosn,,0.296954314721
6,journals/cce,2581.0,35527.0,,118.0,,6,conf/infocom,A1,276.0,,6,conf/iccps,,0.265402843602
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/iccad,A1,273.0,,7,conf/codes,,0.26284348865
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/tecs,B1,250.0,,8,conf/isss,,0.260563380282
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/codes,,220.0,,9,conf/dcoss,,0.244813278008
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,journals/tvlsi,A1,210.0,,10,conf/mobisys,A1,0.237593984962
11,journals/scl,1739.0,26654.0,,89.0,,11,journals/tpds,A1,208.0,,11,conf/estimedia,B3,0.224576271186
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/icra,A1,197.0,,12,conf/emsoft,A2,0.203389830508
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/rtss,A1,190.0,,13,conf/hotnets,B3,0.201030927835
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/vlsid,A2,186.0,,14,conf/rtas,A2,0.200589970501
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,journals/tc,A1,181.0,,15,conf/cases,A2,0.183794466403
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/ipps,A1,180.0,,16,journals/dafes,B2,0.18118466899
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/islped,A1,169.0,,17,conf/lctrts,,0.167865707434
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/aspdac,,165.0,,18,conf/rtss,A1,0.164930555556
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/mobisys,A1,158.0,,19,journals/sigbed,,0.158959537572
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/mobicom,A1,138.0,,20,conf/nsdi,A1,0.133056133056
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/rtas,A2,136.0,,21,journals/todaes,B2,0.131125827815
22,journals/is,1504.0,32461.0,A2,72.0,,22,journals/tmc,,121.0,,22,conf/secon,B1,0.13
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/icdcs,A1,119.0,,23,journals/rts,B1,0.128246753247
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/dcoss,,118.0,,24,conf/date,A1,0.119961051607
25,conf/nips,5684.0,404822.0,A1,66.0,,25,journals/tosn,,117.0,,25,conf/mobicom,A1,0.115577889447
26,conf/visual,317.0,7593.0,B2,66.0,,26,conf/secon,B1,117.0,,26,conf/islped,A1,0.114654002714
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/iccd,A2,112.0,,27,conf/rtcsa,B1,0.111696522655
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/sigcomm,A1,112.0,,28,conf/ecrts,A2,0.103133159269
29,conf/icra,16038.0,236265.0,A1,61.0,,29,conf/mass,B1,109.0,,29,conf/mobihoc,A1,0.0998531571219
30,journals/comsur,583.0,19860.0,A1,61.0,,30,conf/iros,A1,108.0,,30,conf/mass,B1,0.088474025974
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/rtcsa,B1,106.0,,31,conf/samos,B2,0.0838323353293
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,journals/vlsisp,,103.0,,32,conf/iccad,A1,0.0824026562028
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/huc,,101.0,,33,journals/tmc,,0.078114912847
34,journals/soco,1974.0,28145.0,B1,57.0,,34,journals/todaes,B2,99.0,,34,conf/sigcomm,A1,0.0778318276581
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/lcn,A2,97.0,,35,journals/tcad,A1,0.0749047820567
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,conf/emsoft,A2,96.0,,36,conf/vlsid,A2,0.0722891566265
37,conf/emnlp,1380.0,19971.0,A1,53.0,,37,conf/icc,A2,96.0,,37,conf/dac,A1,0.0704872816427
38,conf/isca,1821.0,135083.0,A1,53.0,,38,conf/cases,A2,93.0,,38,journals/tvlsi,A1,0.0699067909454
39,journals/networks,1952.0,113935.0,B1,52.0,,39,journals/dt,,93.0,,39,journals/sigmobile,,0.0680061823802
40,journals/behaviourIT,1033.0,21287.0,,52.0,,40,conf/ewsn,A2,92.0,,40,conf/icnp,A1,0.0674418604651
41,conf/icde,4327.0,135333.0,A1,52.0,,41,conf/globecom,A1,92.0,,41,conf/huc,,0.0671989354624
42,journals/jcisd,6138.0,73816.0,B1,51.0,,42,conf/glvlsi,,92.0,,42,conf/patmos,B2,0.0658436213992
43,journals/dss,2302.0,56927.0,A1,50.0,,43,conf/percom,A2,90.0,,43,journals/tpds,A1,0.0630685263796
44,conf/isit,4224.0,15815.0,B1,49.0,,44,conf/cdc,B1,86.0,,44,journals/dt,,0.0625420309348
45,conf/sigir,3545.0,205477.0,A1,49.0,,45,conf/icassp,A1,86.0,,45,conf/iser,B3,0.0618846694796
46,conf/ias,468.0,1722.0,B1,49.0,,46,conf/iscas,A1,85.0,,46,conf/asap,B1,0.0610687022901
47,journals/fgcs,2265.0,38059.0,A2,48.0,,47,journals/ton,A1,81.0,,47,conf/isvlsi,B1,0.0588842975207
48,journals/jcc,4376.0,140430.0,A1,47.0,,48,conf/icpp,A2,80.0,,48,conf/aspdac,,0.0570736769284
49,conf/icassp,28525.0,238265.0,A1,47.0,,49,journals/rts,B1,79.0,,49,journals/vlsisp,,0.0556155507559
50,journals/bib,798.0,38929.0,,46.0,,50,conf/ecrts,A2,79.0,,50,conf/hybrid,,0.0539419087137
51,journals/ai,2580.0,376792.0,A1,46.0,,51,conf/isss,,74.0,,51,conf/glvlsi,,0.0523024445708
52,conf/ijcai,6188.0,295635.0,A1,46.0,,52,conf/lctrts,,70.0,,52,conf/percom,A2,0.0513992004569
53,conf/jcai,213.0,171.0,,46.0,,53,conf/mobihoc,A1,68.0,,53,journals/ccr,A1,0.0510204081633
54,journals/interactions,2020.0,25053.0,B2,46.0,,54,journals/jpdc,A2,68.0,,54,conf/isorc,B1,0.0498442367601
55,conf/indin,449.0,117.0,,46.0,,55,conf/nsdi,A1,64.0,,55,conf/iccd,A2,0.0486111111111
56,conf/iros,13604.0,126537.0,A1,45.0,,56,conf/dagstuhl,,61.0,,56,conf/icdcs,A1,0.0484133441823
57,journals/fss,3354.0,58453.0,A1,45.0,,57,conf/sigmetrics,A1,61.0,,57,conf/hpca,A1,0.0482846251588
58,conf/cns,163.0,39.0,,45.0,,58,conf/icnp,A1,58.0,,58,conf/vlsi,,0.0413793103448
59,conf/globecom,14010.0,105540.0,A1,45.0,,59,conf/isvlsi,B1,57.0,,59,conf/sigmetrics,A1,0.0409395973154
60,journals/ijon,7349.0,79598.0,A1,45.0,,60,journals/cn,A1,57.0,,60,conf/infocom,A1,0.0397522684718
61,journals/kbs,2347.0,29383.0,,44.0,,61,conf/isca,A1,57.0,,61,journals/adhoc,B1,0.0396551724138
62,journals/prl,5475.0,100320.0,A1,44.0,,62,conf/iccps,,56.0,,62,journals/ton,A1,0.035761589404
63,conf/icc,14807.0,125393.0,A2,44.0,,63,conf/wcnc,A2,56.0,,63,conf/lcn,A2,0.0353627415239
64,conf/cdc,8622.0,25900.0,B1,43.0,,64,conf/samos,B2,56.0,,64,conf/micro,A1,0.0340667139815
65,journals/mcm,3045.0,22454.0,A2,43.0,,65,journals/sigbed,,55.0,,65,conf/dsd,B1,0.0333575054387
66,conf/soda,2924.0,204116.0,A1,43.0,,66,journals/ieicet,,53.0,,66,conf/isca,A1,0.0313014827018
67,journals/adhoc,1160.0,24419.0,B1,42.0,,67,conf/estimedia,B3,53.0,,67,conf/podc,A1,0.031211750306
68,conf/hpca,787.0,26675.0,A1,42.0,,68,journals/jsac,A1,53.0,,68,journals/winet,A1,0.0306188925081
69,journals/siamsc,1790.0,41616.0,A1,42.0,,69,journals/dafes,B2,52.0,,69,conf/icdcsw,,0.0281273131014
70,journals/comcom,4829.0,48151.0,A2,42.0,,70,conf/hybrid,,52.0,,70,journals/jsa,,0.0279840091376
71,conf/vtc,10987.0,36827.0,A1,42.0,,71,conf/podc,A1,51.0,,71,journals/tc,A1,0.0274367136577
72,conf/date,5135.0,52731.0,A1,41.0,,72,conf/icpads,B1,50.0,,72,journals/ijrr,A1,0.0271226415094
73,conf/micro,1409.0,59172.0,A1,40.0,,73,conf/isqed,B1,50.0,,73,conf/isqed,B1,0.0267522739433
74,journals/scientometrics,4199.0,122179.0,,40.0,,74,journals/ccr,A1,50.0,,74,conf/ipps,A1,0.0243968555164
75,conf/dac,6526.0,186313.0,A1,40.0,,75,journals/computer,,50.0,,75,conf/icpp,A2,0.0233032333236
76,journals/eaai,1516.0,14305.0,A2,39.0,,76,journals/jsa,,49.0,,76,conf/icpads,B1,0.0222222222222
77,journals/siamcomp,3124.0,269865.0,A1,39.0,,77,conf/isorc,B1,48.0,,77,journals/jpdc,A2,0.0218228498074
78,conf/sigmetrics,1490.0,70702.0,A1,39.0,,78,conf/asap,B1,48.0,,78,conf/fpl,A2,0.016694490818
79,conf/interspeech,17729.0,130378.0,A1,39.0,,79,conf/patmos,B2,48.0,,79,conf/icccn,B1,0.0166736140058
80,journals/neco,2472.0,320711.0,A1,38.0,,80,conf/micro,A1,48.0,,80,conf/sc,A1,0.0139293812763
81,journals/tcs,10811.0,391021.0,A1,38.0,,81,journals/winet,A1,47.0,,81,conf/dagstuhl,,0.0139047184864
82,journals/integration,954.0,6860.0,B2,38.0,,82,journals/adhoc,B1,46.0,,82,conf/sigmod,A1,0.0124123043713
83,conf/hicss,11101.0,101629.0,A1,38.0,,83,conf/dsd,B1,46.0,,83,conf/icra,A1,0.0122833270981
84,conf/fast,354.0,10728.0,A1,37.0,,84,journals/comcom,A2,46.0,,84,conf/europar,,0.0119852489244
85,journals/cad,2736.0,55554.0,,37.0,,85,journals/ijrr,A1,46.0,,85,journals/cn,A1,0.0110294117647
86,conf/cloudcom,757.0,3093.0,B2,37.0,,86,conf/sigmod,A1,46.0,,86,journals/jsac,A1,0.0109481512084
87,conf/aaai,7555.0,234650.0,A1,37.0,,87,conf/igarss,B1,45.0,,87,journals/computer,,0.0104909777591
88,conf/bmvc,2532.0,51771.0,A2,37.0,,88,conf/iser,B3,44.0,,88,conf/cdc,B1,0.00997448387845
89,conf/cscw,1792.0,98709.0,A1,37.0,,89,journals/sigmobile,,44.0,,89,journals/comcom,A2,0.00952578173535
90,conf/isip,148.0,186.0,,36.0,,90,conf/sc,A1,43.0,,90,conf/atal,,0.00925726587729
91,journals/siamis,425.0,5889.0,,36.0,,91,conf/atal,,43.0,,91,conf/icde,A1,0.00901317309914
92,journals/csi,921.0,8151.0,,36.0,,92,conf/icccn,B1,40.0,,92,conf/iros,A1,0.0079388415172
93,journals/siamco,1861.0,64741.0,A2,36.0,,93,conf/fpl,A2,40.0,,93,conf/wcnc,A2,0.0074986609534
94,conf/ipsn,841.0,28102.0,A1,36.0,,94,conf/sac,A1,40.0,,94,conf/sac,A1,0.00727008360596
95,conf/icip,17283.0,156642.0,A1,35.0,,95,conf/icde,A1,39.0,,95,conf/globecom,A1,0.00656673804425
96,conf/ai,834.0,4107.0,B1,35.0,,96,conf/hotnets,B3,39.0,,96,conf/icc,A2,0.00648342000405
97,conf/ppopp,790.0,28302.0,A2,35.0,,97,conf/europar,,39.0,,97,conf/iscas,A1,0.00500972475983
98,conf/sdm,1058.0,20754.0,A2,35.0,,98,conf/hpca,A1,38.0,,98,conf/igarss,B1,0.00334497881513
