Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/chi,A1,3988.0,,1,conf/uist,A1,0.470877768663
2,journals/cma,4572.0,33510.0,,118.0,,2,conf/uist,A1,574.0,,2,journals/tochi,,0.460591133005
3,journals/pr,6744.0,201239.0,A1,118.0,,3,conf/cscw,A1,555.0,,3,conf/chi,A1,0.37281480789
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,journals/interactions,B2,374.0,,4,journals/hhci,,0.348958333333
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/interact,B1,329.0,,5,conf/ACMdis,,0.346534653465
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/mhci,,264.0,,6,conf/cscw,A1,0.309709821429
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/huc,,251.0,,7,conf/soups,B1,0.309523809524
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/ACMdis,,245.0,,8,conf/ecscw,B1,0.298932384342
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/cacm,A1,235.0,,9,conf/perdis,,0.272727272727
10,journals/scl,1739.0,26654.0,,89.0,,10,journals/ijmms,A1,200.0,,10,conf/tabletop,,0.263969171484
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,journals/tochi,,187.0,,11,conf/graphicsinterface,,0.220820189274
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,journals/puc,B1,158.0,,12,conf/pervasive,A2,0.21897810219
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/iui,A1,157.0,,13,conf/mhci,,0.218724109362
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/vl,,141.0,,14,conf/group,A2,0.207357859532
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/graphicsinterface,,140.0,,15,conf/nordichi,B1,0.186046511628
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/tei,B1,137.0,,16,journals/interactions,B2,0.185148514851
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/tabletop,,137.0,,17,conf/lats,,0.18320610687
18,conf/infocom,6943.0,350398.0,A1,76.0,,18,conf/nordichi,B1,136.0,,18,conf/interact,B1,0.181467181467
19,journals/computer,4766.0,261329.0,,76.0,,19,journals/hhci,,134.0,,19,journals/cscw,B3,0.17903930131
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/group,A2,124.0,,20,conf/tei,B1,0.175191815857
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/avi,A2,120.0,,21,conf/huc,,0.166999334664
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/siggraph,A2,113.0,,22,conf/iseud,,0.165467625899
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/hci,A2,112.0,,23,conf/hcomp,,0.163120567376
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/acmidc,,109.0,,24,conf/dppi,,0.156424581006
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/bcshci,,109.0,,25,conf/acmidc,,0.154609929078
26,journals/jocn,2068.0,89870.0,,64.0,,26,journals/pervasive,A2,108.0,,26,conf/automotiveUI,,0.147540983607
27,journals/comsur,583.0,19860.0,A1,61.0,,27,journals/iwc,B1,102.0,,27,conf/avi,A2,0.144578313253
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/hicss,A1,102.0,,28,journals/puc,B1,0.138475021911
29,conf/icra,16038.0,236265.0,A1,61.0,,29,journals/tvcg,A1,95.0,,29,journals/pervasive,A2,0.136536030341
30,conf/eccv,3329.0,159515.0,A1,59.0,,30,conf/assets,A2,92.0,,30,conf/bcshci,,0.133414932681
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,journals/tog,A1,86.0,,31,conf/sg,,0.126865671642
32,conf/smc,9388.0,28167.0,B2,58.0,,32,journals/computer,,86.0,,32,conf/infovis,,0.125850340136
33,journals/soco,1974.0,28145.0,B1,57.0,,33,conf/ecscw,B1,84.0,,33,conf/iui,A1,0.115441176471
34,conf/networking,1306.0,9360.0,B1,56.0,,34,journals/cscw,B3,82.0,,34,conf/aughuman,,0.107407407407
35,conf/nsdi,481.0,17531.0,A1,54.0,,35,conf/ozchi,B1,79.0,,35,journals/ivs,B1,0.106796116505
36,conf/isca,1821.0,135083.0,A1,53.0,,36,conf/icmi,A2,72.0,,36,conf/vl,,0.106174698795
37,conf/emnlp,1380.0,19971.0,A1,53.0,,37,conf/mm,A1,70.0,,37,journals/iwc,B1,0.103658536585
38,journals/behaviourIT,1033.0,21287.0,,52.0,,38,conf/soups,B1,65.0,,38,conf/assets,A2,0.102793296089
39,journals/networks,1952.0,113935.0,B1,52.0,,39,conf/hri,A2,65.0,,39,conf/ozchi,B1,0.101542416452
40,conf/icde,4327.0,135333.0,A1,52.0,,40,conf/aaai,A1,65.0,,40,conf/candc,,0.0969581749049
41,journals/jcisd,6138.0,73816.0,B1,51.0,,41,conf/mc,,65.0,,41,conf/persuasive,,0.0864197530864
42,journals/dss,2302.0,56927.0,A1,50.0,,42,conf/icse,A1,64.0,,42,conf/ami,,0.0862944162437
43,conf/sigir,3545.0,205477.0,A1,49.0,,43,conf/pervasive,A2,60.0,,43,conf/ieeevast,,0.0805785123967
44,conf/isit,4224.0,15815.0,B1,49.0,,44,journals/behaviourIT,,57.0,,44,conf/ph,,0.0789074355083
45,conf/ias,468.0,1722.0,B1,49.0,,45,journals/cga,A2,53.0,,45,conf/eics,B1,0.0787878787879
46,journals/fgcs,2265.0,38059.0,A2,48.0,,46,conf/ph,,52.0,,46,journals/ijmms,A1,0.076423385556
47,conf/icwsm,797.0,7564.0,B1,48.0,,47,conf/candc,,51.0,,47,journals/icom,,0.0741525423729
48,journals/jcc,4376.0,140430.0,A1,47.0,,48,conf/www,A1,51.0,,48,conf/etra,B5,0.0671641791045
49,conf/icassp,28525.0,238265.0,A1,47.0,,49,conf/nime,B1,48.0,,49,conf/icmi,A2,0.0669144981413
50,conf/ijcai,6188.0,295635.0,A1,46.0,,50,conf/ismar,A2,47.0,,50,conf/mum,,0.0621621621622
51,conf/jcai,213.0,171.0,,46.0,,51,journals/ijhci,B1,47.0,,51,conf/icwsm,B1,0.0589711417817
52,journals/bib,798.0,38929.0,,46.0,,52,conf/icwsm,B1,47.0,,52,conf/ihm,,0.0564853556485
53,journals/interactions,2020.0,25053.0,B2,46.0,,53,conf/sigir,A1,44.0,,53,journals/tois,A2,0.055737704918
54,journals/ai,2580.0,376792.0,A1,46.0,,54,conf/ACMace,,43.0,,54,journals/behaviourIT,,0.055179090029
55,conf/indin,449.0,117.0,,46.0,,55,conf/jcdl,A2,41.0,,55,conf/hri,A2,0.0542570951586
56,journals/ijon,7349.0,79598.0,A1,45.0,,56,journals/jasis,A1,40.0,,56,journals/ijhci,B1,0.0510869565217
57,journals/fss,3354.0,58453.0,A1,45.0,,57,conf/ieeevast,,39.0,,57,conf/iswc,A1,0.0496894409938
58,conf/globecom,14010.0,105540.0,A1,45.0,,58,conf/dagstuhl,,38.0,,58,conf/ismar,A2,0.0480081716037
59,conf/iros,13604.0,126537.0,A1,45.0,,59,journals/software,A1,37.0,,59,conf/mc,,0.0468975468975
60,conf/cns,163.0,39.0,,45.0,,60,conf/infovis,,37.0,,60,conf/ACMace,,0.0465872156013
61,conf/icc,14807.0,125393.0,A2,44.0,,61,conf/automotiveUI,,36.0,,61,conf/iwec,,0.046511627907
62,journals/prl,5475.0,100320.0,A1,44.0,,62,conf/ijcai,A1,35.0,,62,journals/crossroads,,0.0434782608696
63,journals/kbs,2347.0,29383.0,,44.0,,63,journals/icom,,35.0,,63,journals/vlc,B1,0.0429128738622
64,journals/mcm,3045.0,22454.0,A2,43.0,,64,journals/cgf,A2,34.0,,64,journals/tvcg,A1,0.0400337126001
