Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/sigir,A1,1895.0,,1,conf/ictir,,0.559322033898
2,journals/cee,1272.0,4934.0,,118.0,,2,conf/cikm,A1,968.0,,2,conf/sigir,A1,0.534555712271
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/trec,A2,811.0,,3,conf/adcs,,0.533980582524
4,journals/pr,6744.0,201239.0,A1,118.0,,4,conf/ecir,A2,523.0,,4,journals/ir,B1,0.469907407407
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/clef,B2,502.0,,5,conf/ecir,A2,0.459174714662
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,conf/www,A1,474.0,,6,conf/trec,A2,0.453579418345
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/jasis,A1,384.0,,7,journals/sigir,,0.453536754508
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/ipm,,358.0,,8,conf/iiix,,0.343612334802
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/sigir,,327.0,,9,journals/tois,A2,0.339344262295
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,conf/mm,A1,267.0,,10,conf/wsdm,B1,0.333958724203
11,journals/scl,1739.0,26654.0,,89.0,,11,conf/aaai,A1,251.0,,11,conf/inex,,0.324929971989
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/jcdl,A2,243.0,,12,conf/spire,B1,0.275563258232
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,journals/tois,A2,207.0,,13,conf/airs,B3,0.226937269373
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/ir,B1,203.0,,14,conf/cikm,A1,0.223401800138
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/wsdm,B1,178.0,,15,journals/tweb,A2,0.2125
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/ntcir,,176.0,,16,conf/riao,,0.185358255452
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/kdd,A1,168.0,,17,conf/clef,B2,0.181423924828
18,journals/computer,4766.0,261329.0,,76.0,,18,journals/tkde,A1,166.0,,18,conf/ntcir,,0.177240684794
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/acl,A1,164.0,,19,conf/la-web,,0.154166666667
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/icdm,A1,161.0,,20,conf/dl,B1,0.153594771242
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/spire,B1,159.0,,21,conf/jcdl,A2,0.152160300564
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/icde,A1,156.0,,22,journals/tist,,0.13880126183
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/ercimdl,,137.0,,23,journals/ipm,,0.136850152905
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/icmcs,B3,131.0,,24,conf/ercimdl,,0.121994657168
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/sigmod,A1,129.0,,25,conf/www,A1,0.105309931126
26,conf/visual,317.0,7593.0,B2,66.0,,26,conf/airs,B3,123.0,,26,conf/civr,,0.0985221674877
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/coling,A1,122.0,,27,conf/mir,,0.0895316804408
28,journals/comsur,583.0,19860.0,A1,61.0,,28,conf/ijcai,A1,119.0,,28,conf/isi,B1,0.0889348500517
29,conf/sigmod,3706.0,337960.0,A1,61.0,,29,conf/riao,,119.0,,29,conf/icwsm,B1,0.0803011292346
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/inex,,116.0,,30,conf/mmm,B1,0.0781115879828
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,conf/icml,A1,115.0,,31,conf/adc,,0.072186836518
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,conf/nips,A1,95.0,,32,conf/icadl,,0.071608040201
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/vldb,A1,94.0,,33,journals/jasis,A1,0.0714285714286
34,journals/soco,1974.0,28145.0,B1,57.0,,34,conf/mmm,B1,91.0,,34,conf/sdm,A2,0.0671077504726
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/isi,B1,86.0,,35,conf/recsys,B1,0.0642750373692
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,conf/webi,,85.0,,36,conf/mm,A1,0.0642444658325
37,conf/wsdm,533.0,8651.0,B1,54.0,,37,conf/naacl,A1,84.0,,37,conf/kdd,A1,0.0585569884977
38,conf/emnlp,1380.0,19971.0,A1,53.0,,38,journals/cacm,A1,84.0,,38,journals/tkde,A1,0.0567909681834
39,conf/isca,1821.0,135083.0,A1,53.0,,39,conf/chi,A1,83.0,,39,conf/cpm,B1,0.056258790436
40,journals/networks,1952.0,113935.0,B1,52.0,,40,journals/pvldb,A1,82.0,,40,conf/naacl,A1,0.0560747663551
41,conf/icde,4327.0,135333.0,A1,52.0,,41,conf/iiix,,78.0,,41,journals/vldb,A2,0.0554722638681
42,journals/behaviourIT,1033.0,21287.0,,52.0,,42,conf/cvpr,A1,78.0,,42,journals/pvldb,A1,0.0553679945982
43,journals/jcisd,6138.0,73816.0,B1,51.0,,43,conf/emnlp,A1,73.0,,43,conf/dgo,B1,0.0538922155689
44,journals/dss,2302.0,56927.0,A1,50.0,,44,conf/sdm,A2,71.0,,44,conf/emnlp,A1,0.0528985507246
45,conf/sigir,3545.0,205477.0,A1,49.0,,45,conf/ictir,,66.0,,45,conf/icdm,A1,0.0492957746479
46,conf/ias,468.0,1722.0,B1,49.0,,46,conf/mir,,65.0,,46,conf/webi,,0.0477259966311
47,conf/isit,4224.0,15815.0,B1,49.0,,47,journals/tmm,A1,64.0,,47,journals/debu,,0.0461658841941
48,journals/ir,432.0,42026.0,B1,49.0,,48,conf/icwsm,B1,64.0,,48,conf/apweb,B2,0.0447257383966
49,conf/icwsm,797.0,7564.0,B1,48.0,,49,conf/dgo,B1,63.0,,49,conf/ijcnlp,,0.043956043956
50,journals/fgcs,2265.0,38059.0,A2,48.0,,50,conf/lrec,A2,61.0,,50,journals/tods,A2,0.043673012318
51,conf/naacl,1498.0,59153.0,A1,48.0,,51,conf/civr,,60.0,,51,journals/is,A2,0.0392287234043
52,journals/jcc,4376.0,140430.0,A1,47.0,,52,journals/is,A2,59.0,,52,conf/acl,A1,0.038661008958
53,conf/icassp,28525.0,238265.0,A1,47.0,,53,journals/debu,,59.0,,53,conf/wise,B1,0.0380228136882
54,conf/jcai,213.0,171.0,,46.0,,54,journals/expert,A1,58.0,,54,journals/tmm,A1,0.0377581120944
55,conf/ijcai,6188.0,295635.0,A1,46.0,,55,journals/dss,A1,58.0,,55,journals/kais,A2,0.0363636363636
56,journals/bib,798.0,38929.0,,46.0,,56,conf/icadl,,57.0,,56,conf/edbt,A2,0.0362517099863
57,journals/interactions,2020.0,25053.0,B2,46.0,,57,conf/sac,A1,57.0,,57,conf/icde,A1,0.0360526923966
58,conf/indin,449.0,117.0,,46.0,,58,conf/hicss,A1,56.0,,58,conf/vldb,A1,0.0355925785687
59,journals/ai,2580.0,376792.0,A1,46.0,,59,conf/robio,B1,56.0,,59,conf/icml,A1,0.0349119611415
60,conf/cns,163.0,39.0,,45.0,,60,conf/dcc,A2,55.0,,60,conf/sigmod,A1,0.0348084187804
61,conf/globecom,14010.0,105540.0,A1,45.0,,61,conf/adcs,,55.0,,61,conf/coling,A1,0.034317862166
62,journals/ijon,7349.0,79598.0,A1,45.0,,62,journals/ijon,A1,54.0,,62,journals/sigmod,A1,0.0338010204082
63,journals/fss,3354.0,58453.0,A1,45.0,,63,conf/dasfaa,B1,54.0,,63,conf/aaai,A1,0.0332230311052
64,conf/iros,13604.0,126537.0,A1,45.0,,64,journals/sigmod,A1,53.0,,64,conf/dasfaa,B1,0.0331695331695
65,journals/prl,5475.0,100320.0,A1,44.0,,65,conf/apweb,B2,53.0,,65,journals/expert,A1,0.0306068601583
66,conf/icc,14807.0,125393.0,A2,44.0,,66,conf/uai,A1,53.0,,66,conf/waim,B2,0.0302547770701
67,journals/kbs,2347.0,29383.0,,44.0,,67,conf/edbt,A2,53.0,,67,conf/pkdd,A2,0.0291375291375
68,journals/mcm,3045.0,22454.0,A2,43.0,,68,journals/isci,A1,52.0,,68,conf/dcc,A2,0.0285714285714
69,conf/soda,2924.0,204116.0,A1,43.0,,69,conf/pakdd,,52.0,,69,conf/uai,A1,0.0269720101781
