Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/nips,A1,1815.0,,1,conf/icml,A1,0.487249544627
2,journals/cee,1272.0,4934.0,,118.0,,2,conf/icml,A1,1605.0,,2,journals/jmlr,A1,0.434642032333
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,journals/jmlr,A1,941.0,,3,conf/colt,A2,0.377049180328
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/aaai,A1,625.0,,4,conf/aistats,,0.356890459364
5,journals/pr,6744.0,201239.0,A1,118.0,,5,journals/ml,A1,420.0,,5,journals/ml,A1,0.320855614973
6,journals/cce,2581.0,35527.0,,118.0,,6,conf/colt,A2,414.0,,6,conf/nips,A1,0.319317382125
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/kdd,A1,402.0,,7,conf/uai,A1,0.199491094148
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/uai,A1,392.0,,8,conf/ecml,A2,0.196319018405
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/ijcai,A1,386.0,,9,journals/tkdd,,0.189189189189
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/icassp,A1,259.0,,10,conf/alt,B1,0.154255319149
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/cvpr,A1,243.0,,11,conf/ilp,B1,0.143403441683
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/pkdd,A2,236.0,,12,conf/kdd,A1,0.140118508191
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/aistats,,202.0,,13,conf/pkdd,A2,0.137529137529
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/icdm,A1,184.0,,14,journals/sigkdd,,0.108459869848
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,journals/neco,A1,181.0,,15,conf/sdm,A2,0.100189035917
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/ecml,A2,160.0,,16,conf/wsdm,B1,0.0956848030019
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/pami,A1,159.0,,17,journals/tist,,0.0946372239748
18,conf/infocom,6943.0,350398.0,A1,76.0,,18,journals/bioinformatics,A1,137.0,,18,journals/datamine,A2,0.0864661654135
19,journals/computer,4766.0,261329.0,,76.0,,19,conf/acl,A1,135.0,,19,conf/aaai,A1,0.0827266710788
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,conf/sigir,A1,129.0,,20,conf/emnlp,A1,0.0797101449275
21,journals/ml,1309.0,184440.0,A1,73.0,,21,journals/tnn,,119.0,,21,journals/jair,A1,0.0790419161677
22,journals/is,1504.0,32461.0,A2,72.0,,22,journals/tit,A1,117.0,,22,journals/neco,A1,0.0732200647249
23,journals/isci,7032.0,124049.0,A1,70.0,,23,journals/ai,A1,117.0,,23,conf/dis,A2,0.070821529745
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/alt,B1,116.0,,24,conf/ijcai,A1,0.0623787976729
25,conf/visual,317.0,7593.0,B2,66.0,,25,conf/icip,A1,111.0,,25,conf/conll,,0.0609555189456
26,conf/nips,5684.0,404822.0,A1,66.0,,26,conf/emnlp,A1,110.0,,26,conf/ai,B1,0.0599520383693
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/cikm,A1,108.0,,27,conf/icdm,A1,0.056338028169
28,journals/comsur,583.0,19860.0,A1,61.0,,28,conf/sdm,A2,106.0,,28,conf/ismb,A1,0.0527009222661
29,conf/sigmod,3706.0,337960.0,A1,61.0,,29,conf/icra,A1,105.0,,29,conf/naacl,A1,0.0467289719626
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/atal,,104.0,,30,journals/ai,A1,0.0453488372093
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,conf/www,A1,95.0,,31,conf/robocup,,0.0425531914894
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,conf/interspeech,A1,92.0,,32,journals/aim,A2,0.0409240924092
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/icann,B1,90.0,,33,conf/aips,,0.0401301518438
34,journals/soco,1974.0,28145.0,B1,57.0,,34,conf/iros,A1,83.0,,34,conf/recomb,A2,0.0374493927126
35,conf/networking,1306.0,9360.0,B1,56.0,,35,journals/nn,A1,82.0,,35,conf/sigecom,,0.0374064837905
36,conf/wsdm,533.0,8651.0,B1,54.0,,36,journals/tsp,A1,79.0,,36,conf/sigir,A1,0.036389280677
37,conf/nsdi,481.0,17531.0,A1,54.0,,37,conf/eccv,A1,78.0,,37,journals/ida,,0.0355191256831
38,conf/emnlp,1380.0,19971.0,A1,53.0,,38,conf/stoc,A1,76.0,,38,conf/cvpr,A1,0.0353505964504
39,conf/isca,1821.0,135083.0,A1,53.0,,39,conf/ilp,B1,75.0,,39,journals/ci,B1,0.0343007915567
40,conf/icde,4327.0,135333.0,A1,52.0,,40,conf/mm,A1,75.0,,40,conf/icann,B1,0.0338218714769
41,journals/nn,3310.0,136228.0,A1,52.0,,41,journals/tkde,A1,75.0,,41,conf/ismir,A1,0.0335235378031
42,journals/behaviourIT,1033.0,21287.0,,52.0,,42,journals/pr,A1,71.0,,42,conf/acl,A1,0.0318246110325
43,journals/networks,1952.0,113935.0,B1,52.0,,43,journals/bmcbi,A1,70.0,,43,conf/pakdd,,0.0316062176166
