Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/mm,A1,1879.0,,1,journals/tomccap,,0.51775147929
2,journals/cce,2581.0,35527.0,,118.0,,2,conf/icmcs,B3,1524.0,,2,conf/mm,A1,0.452117420597
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/icip,A1,1191.0,,3,conf/mmsys,B3,0.398305084746
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/icassp,A1,632.0,,4,conf/civr,,0.354679802956
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/cvpr,A1,581.0,,5,conf/mir,,0.347107438017
6,journals/cee,1272.0,4934.0,,118.0,,6,journals/tmm,A1,562.0,,6,conf/trecvid,,0.342696629213
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/icpr,A1,449.0,,7,journals/tmm,A1,0.331563421829
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/tcsv,A1,438.0,,8,conf/mmm,B1,0.296995708155
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/tip,A1,387.0,,9,conf/icimcs,,0.270557029178
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,conf/mmm,B1,346.0,,10,journals/ieeemm,A2,0.244590780809
11,journals/scl,1739.0,26654.0,,89.0,,11,conf/pcm,,337.0,,11,journals/mms,A2,0.230971128609
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/iscas,A1,288.0,,12,conf/spieSR,,0.220502901354
13,journals/cm,1467.0,7672.0,A1,86.0,,13,journals/pami,A1,267.0,,13,conf/icmcs,B3,0.209168267911
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/ieeemm,A2,260.0,,14,conf/pcm,,0.208024691358
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/mir,,252.0,,15,conf/nossdav,A2,0.173033707865
16,conf/www,4501.0,120253.0,A1,83.0,,16,journals/mta,B2,246.0,,16,conf/mediaeval,,0.166666666667
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/civr,,216.0,,17,journals/tcsv,A1,0.145273631841
18,conf/infocom,6943.0,350398.0,A1,76.0,,18,conf/iccv,A1,213.0,,18,journals/tist,,0.145110410095
19,journals/computer,4766.0,261329.0,,76.0,,19,journals/pr,A1,202.0,,19,conf/wiamis,,0.130193905817
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,conf/mmsp,B2,202.0,,20,conf/mmsp,B2,0.128417037508
21,journals/ml,1309.0,184440.0,A1,73.0,,21,conf/globecom,A1,191.0,,21,conf/ism,B2,0.118257261411
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/eccv,A1,176.0,,22,conf/vcip,B1,0.115816767502
23,journals/isci,7032.0,124049.0,A1,70.0,,23,journals/mms,A2,176.0,,23,conf/pcs,,0.112380952381
24,conf/icml,3294.0,290468.0,A1,69.0,,24,journals/tomccap,,175.0,,24,conf/cbmi,,0.110236220472
25,conf/visual,317.0,7593.0,B2,66.0,,25,conf/icc,A2,171.0,,25,journals/mta,B2,0.110017889088
26,conf/nips,5684.0,404822.0,A1,66.0,,26,conf/www,A1,169.0,,26,journals/jvcir,B1,0.107047279215
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/sigir,A1,154.0,,27,conf/fgr,,0.0928853754941
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/infocom,A1,148.0,,28,conf/cvpr,A1,0.0845213849287
29,conf/icra,16038.0,236265.0,A1,61.0,,29,journals/ijon,A1,135.0,,29,journals/spic,,0.0795529257068
30,journals/comsur,583.0,19860.0,A1,61.0,,30,conf/vcip,B1,134.0,,30,journals/tip,A1,0.0757042253521
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,conf/aaai,A1,123.0,,31,conf/icig,B3,0.0742358078603
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,journals/jsac,A1,123.0,,32,conf/iccv,A1,0.0706702057067
33,conf/smc,9388.0,28167.0,B2,58.0,,33,journals/spic,,121.0,,33,conf/icmi,A2,0.0706319702602
34,journals/soco,1974.0,28145.0,B1,57.0,,34,journals/jvcir,B1,120.0,,34,conf/icip,A1,0.0689116472835
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/ism,B2,114.0,,35,conf/ismir,A1,0.0634807417974
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,conf/spieSR,,114.0,,36,conf/icwl,B3,0.0633802816901
37,conf/emnlp,1380.0,19971.0,A1,53.0,,37,journals/cviu,A1,111.0,,37,journals/cviu,A1,0.058606124604
38,conf/isca,1821.0,135083.0,A1,53.0,,38,conf/chi,A1,107.0,,38,journals/jstsp,A1,0.0559345156889
39,journals/behaviourIT,1033.0,21287.0,,52.0,,39,journals/tkde,A1,106.0,,39,conf/accv,,0.0534818941504
40,journals/networks,1952.0,113935.0,B1,52.0,,40,conf/icde,A1,103.0,,40,conf/eccv,A1,0.0528687293482
41,conf/icde,4327.0,135333.0,A1,52.0,,41,conf/cikm,A1,102.0,,41,journals/pami,A1,0.0526315789474
42,journals/jcisd,6138.0,73816.0,B1,51.0,,42,conf/icimcs,,102.0,,42,journals/tifs,,0.051376146789
43,journals/dss,2302.0,56927.0,A1,50.0,,43,journals/prl,A1,102.0,,43,conf/avss,,0.050916496945
44,conf/sigir,3545.0,205477.0,A1,49.0,,44,journals/tsp,A1,99.0,,44,conf/icpr,A1,0.0500445831476
45,conf/isit,4224.0,15815.0,B1,49.0,,45,conf/accv,,96.0,,45,conf/iciap,B1,0.0459849004804
46,conf/ias,468.0,1722.0,B1,49.0,,46,conf/mmsys,B3,94.0,,46,conf/sigir,A1,0.0434414668547
47,journals/fgcs,2265.0,38059.0,A2,48.0,,47,conf/fgr,,94.0,,47,journals/ijcv,A1,0.0406876790831
