Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/acl,A1,1598.0,,1,journals/tacl,,0.683168316832
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/emnlp,A1,872.0,,2,conf/emnlp,A1,0.631884057971
3,journals/cce,2581.0,35527.0,,118.0,,3,conf/coling,A1,645.0,,3,journals/coling,A1,0.396766169154
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/naacl,A1,561.0,,4,conf/conll,,0.392092257002
5,journals/cma,4572.0,33510.0,,118.0,,5,conf/interspeech,A1,465.0,,5,conf/acl,A1,0.376709099481
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/lrec,A2,343.0,,6,conf/naacl,A1,0.374499332443
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/aaai,A1,331.0,,7,conf/iwslt,,0.361842105263
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/coling,A1,319.0,,8,conf/iwpt,B3,0.343137254902
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/icassp,A1,280.0,,9,conf/ijcnlp,,0.300366300366
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,conf/ijcnlp,,246.0,,10,conf/inlg,,0.266666666667
11,journals/scl,1739.0,26654.0,,89.0,,11,conf/conll,,238.0,,11,journals/talip,,0.263829787234
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/ijcai,A1,226.0,,12,journals/nle,,0.225672877847
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/eacl,A2,220.0,,13,conf/eacl,A2,0.216110019646
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/icml,A1,172.0,,14,conf/amta,B4,0.1875
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/nips,A1,170.0,,15,conf/coling,A1,0.181434599156
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/cikm,A1,167.0,,16,conf/anlp,,0.171686746988
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/sigir,A1,148.0,,17,journals/mt,B1,0.156989247312
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/cicling,B1,118.0,,18,journals/jclc,,0.14371257485
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/www,A1,114.0,,19,conf/iucs,,0.118421052632
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/iwslt,,110.0,,20,conf/ranlp,B2,0.107913669065
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,journals/nle,,109.0,,21,conf/cicling,B1,0.107762557078
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/kdd,A1,102.0,,22,conf/paclic,,0.10248447205
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/trec,A2,86.0,,23,journals/pbml,,0.1
24,conf/icml,3294.0,290468.0,A1,69.0,,24,journals/taslp,,84.0,,24,conf/ialp,,0.0977443609023
25,conf/nips,5684.0,404822.0,A1,66.0,,25,journals/ai,A1,84.0,,25,conf/slt,B2,0.0936768149883
26,conf/visual,317.0,7593.0,B2,66.0,,26,conf/clef,B2,84.0,,26,conf/lrec,A2,0.0891603847154
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/ntcir,,80.0,,27,journals/csl,,0.0849478390462
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,journals/mt,B1,73.0,,28,conf/wsdm,B1,0.0806754221388
29,journals/comsur,583.0,19860.0,A1,61.0,,29,journals/tacl,,69.0,,29,conf/ntcir,,0.0805639476334
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/icpr,A1,68.0,,30,conf/asru,B2,0.0799031476998
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,conf/icdar,A2,67.0,,31,conf/airs,B3,0.0774907749077
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,journals/talip,,62.0,,32,journals/jair,A1,0.0622754491018
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/iui,A1,57.0,,33,journals/lre,B3,0.0598006644518
34,journals/soco,1974.0,28145.0,B1,57.0,,34,journals/csl,,57.0,,34,conf/iscslp,,0.0586011342155
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/anlp,,57.0,,35,conf/icwsm,B1,0.0552070263488
36,conf/wsdm,533.0,8651.0,B1,54.0,,36,journals/lre,B3,54.0,,36,conf/icml,A1,0.0522161505768
37,conf/nsdi,481.0,17531.0,A1,54.0,,37,journals/jmlr,A1,53.0,,37,conf/das,,0.0505836575875
38,conf/emnlp,1380.0,19971.0,A1,53.0,,38,journals/jair,A1,52.0,,38,conf/trec,A2,0.0480984340045
39,conf/isca,1821.0,135083.0,A1,53.0,,39,conf/inlg,,52.0,,39,conf/aaai,A1,0.0438120450033
40,conf/icde,4327.0,135333.0,A1,52.0,,40,journals/ml,A1,51.0,,40,conf/semco,,0.0421686746988
41,journals/behaviourIT,1033.0,21287.0,,52.0,,41,conf/icdm,A1,50.0,,41,conf/iui,A1,0.0419117647059
42,journals/networks,1952.0,113935.0,B1,52.0,,42,conf/ranlp,B2,45.0,,42,conf/sigir,A1,0.0417489421721
43,journals/jcisd,6138.0,73816.0,B1,51.0,,43,journals/ipm,,44.0,,43,journals/ml,A1,0.038961038961
44,journals/dss,2302.0,56927.0,A1,50.0,,44,conf/uai,A1,44.0,,44,conf/cikm,A1,0.0385414262636
45,conf/isit,4224.0,15815.0,B1,49.0,,45,conf/icwsm,B1,44.0,,45,conf/aiia,,0.0374479889043
46,conf/ias,468.0,1722.0,B1,49.0,,46,conf/ecai,A2,43.0,,46,conf/ijcai,A1,0.0365223012282
47,conf/sigir,3545.0,205477.0,A1,49.0,,47,conf/wsdm,B1,43.0,,47,conf/kdd,A1,0.0355524573022
