Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/sigops,B1,474.0,,1,conf/sosp,A1,0.628404669261
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,conf/sosp,A1,323.0,,2,conf/hotos,A2,0.509589041096
3,journals/cee,1272.0,4934.0,,118.0,,3,conf/usenix,A1,257.0,,3,conf/osdi,A1,0.481481481481
4,journals/cma,4572.0,33510.0,,118.0,,4,journals/cacm,A1,224.0,,4,conf/nsdi,A1,0.388773388773
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/osdi,A1,208.0,,5,journals/tocs,A2,0.385882352941
6,journals/pr,6744.0,201239.0,A1,118.0,,6,conf/sigcomm,A1,197.0,,6,conf/sigopsE,,0.382932166302
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/icdcs,A1,192.0,,7,journals/sigops,B1,0.376788553259
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/nsdi,A1,187.0,,8,conf/eurosys,A2,0.366242038217
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/hotos,A2,186.0,,9,conf/iptps,A1,0.349056603774
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/sigopsE,,175.0,,10,conf/fast,A1,0.293785310734
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,journals/tocs,A2,164.0,,11,conf/cloud,B2,0.275280898876
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/podc,A1,159.0,,12,conf/hotnets,B3,0.262886597938
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,conf/asplos,A1,122.0,,13,conf/hotcloud,,0.225352112676
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/tc,A1,120.0,,14,conf/usenix,A1,0.220790378007
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/eurosys,A2,115.0,,15,journals/tos,,0.210526315789
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/fast,A1,104.0,,16,conf/asplos,A1,0.157216494845
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/infocom,A1,104.0,,17,conf/sigcomm,A1,0.136900625434
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/sigmetrics,A1,97.0,,18,conf/middleware,A2,0.100222717149
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/tse,A1,93.0,,19,conf/imc,A1,0.0980769230769
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,journals/tpds,A1,91.0,,20,conf/wdag,,0.0979325353645
21,journals/ml,1309.0,184440.0,A1,73.0,,21,conf/middleware,A2,90.0,,21,conf/podc,A1,0.0973072215422
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/wdag,,90.0,,22,conf/wmcsa,,0.0957095709571
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/sigmod,A1,87.0,,23,conf/icac,A2,0.0850574712644
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/srds,A2,84.0,,24,conf/srds,A2,0.0829220138203
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/isca,A1,84.0,,25,journals/ccr,A1,0.0816326530612
26,journals/jocn,2068.0,89870.0,,64.0,,26,conf/dsn,A1,82.0,,26,conf/mobisys,A1,0.0812030075188
27,conf/icra,16038.0,236265.0,A1,61.0,,27,journals/ccr,A1,80.0,,27,conf/icdcs,A1,0.0781122864117
28,journals/comsur,583.0,19860.0,A1,61.0,,28,conf/ipps,A1,80.0,,28,conf/ac,B4,0.0770392749245
29,conf/sigmod,3706.0,337960.0,A1,61.0,,29,conf/iptps,A1,74.0,,29,journals/ijnsec,,0.0730948678072
30,conf/isscc,1967.0,13365.0,B1,59.0,,30,journals/spe,A2,71.0,,30,journals/dc,B1,0.0666666666667
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/ccs,A1,70.0,,31,conf/dsn,A1,0.0658105939005
32,conf/smc,9388.0,28167.0,B2,58.0,,32,journals/computer,,67.0,,32,conf/sigmetrics,A1,0.0651006711409
33,journals/soco,1974.0,28145.0,B1,57.0,,33,journals/ton,A1,62.0,,33,conf/opodis,B2,0.064128256513
34,conf/networking,1306.0,9360.0,B1,56.0,,34,conf/icpp,A2,60.0,,34,conf/ppopp,A2,0.0632911392405
35,conf/nsdi,481.0,17531.0,A1,54.0,,35,journals/comcom,A2,59.0,,35,conf/conext,B1,0.0594059405941
36,conf/emnlp,1380.0,19971.0,A1,53.0,,36,journals/jss,,59.0,,36,conf/sp,B1,0.0576339737108
37,conf/isca,1821.0,135083.0,A1,53.0,,37,journals/ieicet,,59.0,,37,conf/rtas,A2,0.0575221238938
38,journals/behaviourIT,1033.0,21287.0,,52.0,,38,conf/sp,B1,57.0,,38,conf/ndss,A1,0.0557620817844
39,conf/icde,4327.0,135333.0,A1,52.0,,39,conf/icse,A1,56.0,,39,conf/csfw,A1,0.0553571428571
40,journals/networks,1952.0,113935.0,B1,52.0,,40,journals/cn,A1,55.0,,40,conf/p2p,A2,0.0548672566372
41,journals/jcisd,6138.0,73816.0,B1,51.0,,41,conf/hpdc,A1,54.0,,41,conf/uss,,0.0540265035678
42,journals/dss,2302.0,56927.0,A1,50.0,,42,conf/mobisys,A1,54.0,,42,conf/hpdc,A1,0.0473684210526
43,conf/isit,4224.0,15815.0,B1,49.0,,43,conf/uss,,53.0,,43,conf/acisp,,0.0469897209985
44,conf/ias,468.0,1722.0,B1,49.0,,44,conf/mobicom,A1,53.0,,44,conf/isca,A1,0.0461285008237
45,conf/sigir,3545.0,205477.0,A1,49.0,,45,conf/icde,A1,52.0,,45,conf/ftcs,,0.0460624071322
46,journals/fgcs,2265.0,38059.0,A2,48.0,,46,conf/europar,,52.0,,46,conf/mobicom,A1,0.0443886097152
47,journals/jcc,4376.0,140430.0,A1,47.0,,47,conf/ac,B4,51.0,,47,conf/rtss,A1,0.0425347222222
48,conf/icassp,28525.0,238265.0,A1,47.0,,48,conf/hotnets,B3,51.0,,48,journals/csi,,0.042345276873
49,conf/ijcai,6188.0,295635.0,A1,46.0,,49,conf/imc,A1,51.0,,49,journals/toplas,A2,0.0372608257805
50,conf/pldi,1303.0,110902.0,A1,46.0,,50,conf/popl,A1,50.0,,50,conf/icnp,A1,0.0372093023256
