Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/ipps,A1,2366.0,,1,journals/tpds,A1,0.356882959369
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,journals/tpds,A1,1177.0,,2,conf/ipps,A1,0.320683111954
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/icpp,A2,1011.0,,3,conf/icpp,A2,0.294494611127
4,journals/cce,2581.0,35527.0,,118.0,,4,journals/jpdc,A2,817.0,,4,conf/lcpc,B4,0.289693593315
5,journals/pr,6744.0,201239.0,A1,118.0,,5,journals/tc,A1,779.0,,5,journals/jpdc,A2,0.262195121951
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/sc,A1,615.0,,6,conf/hipc,B1,0.247393364929
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/europar,,550.0,,7,conf/hpdc,A1,0.238596491228
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/infocom,A1,512.0,,8,conf/ics,A2,0.230769230769
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/icdcs,A1,356.0,,9,conf/cluster,A2,0.230088495575
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/globecom,A1,330.0,,10,journals/ijhpca,,0.217280813215
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/ics,A2,324.0,,11,conf/spdp,,0.202567760342
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,journals/pc,A2,311.0,,12,conf/sc,A1,0.199222546161
13,journals/cm,1467.0,7672.0,A1,86.0,,13,journals/tjs,B2,305.0,,13,journals/cluster,B2,0.1918767507
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/concurrency,,301.0,,14,conf/IEEEpact,,0.183950617284
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/icc,A2,288.0,,15,journals/ppl,B2,0.183606557377
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/ccgrid,A1,272.0,,16,conf/pvm,,0.181558935361
