Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/interspeech,A1,6887.0,,1,conf/asru,B2,0.573849878935
2,journals/cee,1272.0,4934.0,,118.0,,2,conf/icassp,A1,3778.0,,2,conf/wocci,,0.55
3,journals/cce,2581.0,35527.0,,118.0,,3,journals/taslp,,969.0,,3,conf/slt,B2,0.501170960187
4,journals/pr,6744.0,201239.0,A1,118.0,,4,journals/speech,A2,724.0,,4,journals/csl,,0.436661698957
5,journals/cma,4572.0,33510.0,,118.0,,5,journals/csl,,293.0,,5,conf/iscslp,,0.432892249527
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,journals/ieicet,,281.0,,6,conf/odyssey,,0.425
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/asru,B2,237.0,,7,conf/sltu,,0.413333333333
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/iscslp,,229.0,,8,conf/interspeech,A1,0.388459585989
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/lrec,A2,215.0,,9,conf/ssw,,0.380952380952
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,conf/slt,B2,214.0,,10,journals/taslp,,0.359288097887
11,journals/scl,1739.0,26654.0,,89.0,,11,conf/icmcs,B3,176.0,,11,conf/slte,,0.349693251534
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/acl,A1,168.0,,12,conf/mlmi,,0.341040462428
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/ssw,,160.0,,13,journals/speech,A2,0.338951310861
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/naacl,A1,158.0,,14,conf/iwslt,,0.325657894737
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/tsd,B1,133.0,,15,journals/tslp,B5,0.277108433735
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/icpr,A1,131.0,,16,journals/ejasmp,,0.248945147679
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/apsipa,,117.0,,17,conf/clear,,0.22619047619
18,conf/infocom,6943.0,350398.0,A1,76.0,,18,journals/spl,A1,111.0,,18,conf/nolisp,,0.167597765363
19,journals/computer,4766.0,261329.0,,76.0,,19,conf/ismir,A1,108.0,,19,journals/ijclclp,,0.155844155844
20,journals/ml,1309.0,184440.0,A1,73.0,,20,journals/tsp,A1,105.0,,20,conf/sigdial,B2,0.152709359606
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/odyssey,,102.0,,21,conf/waspaa,,0.133333333333
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/iwslt,,99.0,,22,conf/icassp,A1,0.132445223488
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/dagm,,92.0,,23,conf/apsipa,,0.130434782609
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/icip,A1,90.0,,24,conf/mediaeval,,0.127659574468
25,conf/visual,317.0,7593.0,B2,66.0,,25,conf/coling,A1,85.0,,25,conf/rocling,,0.118309859155
26,conf/nips,5684.0,404822.0,A1,66.0,,26,conf/nips,A1,78.0,,26,conf/iwaenc,,0.117647058824
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/iros,A1,77.0,,27,conf/tsd,B1,0.114261168385
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/isspa,,73.0,,28,conf/avsp,,0.11
29,journals/comsur,583.0,19860.0,A1,61.0,,29,journals/scjapan,,73.0,,29,conf/naacl,A1,0.105473965287
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/icmi,A2,71.0,,30,conf/maveba,,0.0997150997151
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,journals/ejasp,B1,68.0,,31,conf/iucs,,0.0964912280702
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,journals/prl,A1,63.0,,32,journals/talip,,0.0936170212766
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/eusipco,,63.0,,33,conf/qomex,,0.0873786407767
34,journals/soco,1974.0,28145.0,B1,57.0,,34,conf/mm,A1,62.0,,34,conf/ismir,A1,0.077032810271
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/mlmi,,59.0,,35,journals/spm,A1,0.0736196319018
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,journals/ejasmp,,59.0,,36,conf/icmi,A2,0.0659851301115
37,conf/emnlp,1380.0,19971.0,A1,53.0,,37,conf/slte,,57.0,,37,conf/acii,,0.0658682634731
38,conf/isca,1821.0,135083.0,A1,53.0,,38,conf/avsp,,55.0,,38,conf/cost,,0.0615079365079
39,journals/nn,3310.0,136228.0,A1,52.0,,39,conf/icdar,A2,54.0,,39,conf/avbpa,A2,0.0560471976401
40,journals/behaviourIT,1033.0,21287.0,,52.0,,40,journals/sigpro,A1,48.0,,40,journals/jstsp,A1,0.0559345156889
41,journals/networks,1952.0,113935.0,B1,52.0,,41,conf/emnlp,A1,48.0,,41,conf/lrec,A2,0.055887704705
42,conf/icde,4327.0,135333.0,A1,52.0,,42,conf/mmsp,B2,47.0,,42,journals/spl,A1,0.0434442270059
43,journals/jcisd,6138.0,73816.0,B1,51.0,,43,journals/pami,A1,47.0,,43,conf/dagm,,0.0422794117647
44,journals/dss,2302.0,56927.0,A1,50.0,,44,conf/acii,,44.0,,44,conf/eusipco,,0.0418604651163
45,conf/ias,468.0,1722.0,B1,49.0,,45,conf/hci,A2,44.0,,45,conf/dicta,,0.0415224913495
46,conf/sigir,3545.0,205477.0,A1,49.0,,46,conf/rocling,,42.0,,46,journals/pdln,,0.0409356725146
47,conf/isit,4224.0,15815.0,B1,49.0,,47,journals/jstsp,A1,41.0,,47,conf/acl,A1,0.039603960396
48,journals/fgcs,2265.0,38059.0,A2,48.0,,48,journals/pr,A1,40.0,,48,conf/ica,,0.0393996247655
49,conf/naacl,1498.0,59153.0,A1,48.0,,49,conf/mediaeval,,36.0,,49,journals/mt,B1,0.0387096774194
50,journals/jcc,4376.0,140430.0,A1,47.0,,50,conf/waspaa,,36.0,,50,conf/isspa,,0.0349449497367
51,conf/icassp,28525.0,238265.0,A1,47.0,,51,conf/dicta,,36.0,,51,conf/emnlp,A1,0.0347826086957
52,conf/ijcai,6188.0,295635.0,A1,46.0,,52,conf/clef,B2,36.0,,52,conf/ijcnlp,,0.031746031746
53,journals/interactions,2020.0,25053.0,B2,46.0,,53,journals/spm,A1,36.0,,53,journals/coling,A1,0.0310945273632
54,conf/jcai,213.0,171.0,,46.0,,54,conf/maveba,,35.0,,54,conf/mmsp,B2,0.0298792116974
55,journals/ai,2580.0,376792.0,A1,46.0,,55,journals/pdln,,35.0,,55,journals/scjapan,,0.0267791636097
56,conf/indin,449.0,117.0,,46.0,,56,journals/ijprai,B1,33.0,,56,conf/eacl,A2,0.0255402750491
57,journals/bib,798.0,38929.0,,46.0,,57,journals/dsp,,31.0,,57,conf/icmcs,B3,0.0241559154543
58,conf/cns,163.0,39.0,,45.0,,58,conf/cost,,31.0,,58,conf/coling,A1,0.0239099859353
59,conf/globecom,14010.0,105540.0,A1,45.0,,59,conf/sltu,,31.0,,59,conf/fgr,,0.0227272727273
60,conf/iros,13604.0,126537.0,A1,45.0,,60,conf/sigdial,B2,31.0,,60,conf/icb,,0.0226628895184
