Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/stoc,A1,1712.0,,1,journals/toc,,0.656804733728
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,conf/focs,A1,1450.0,,2,conf/stoc,A1,0.567639257294
3,journals/cce,2581.0,35527.0,,118.0,,3,journals/siamcomp,A1,1324.0,,3,conf/innovations,,0.522727272727
4,journals/pr,6744.0,201239.0,A1,118.0,,4,journals/eccc,,1117.0,,4,conf/focs,A1,0.486903962391
5,journals/cma,4572.0,33510.0,,118.0,,5,conf/soda,A1,1076.0,,5,conf/istcs,,0.44776119403
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/icalp,A1,631.0,,6,conf/approx,B1,0.440381558029
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/jacm,A1,573.0,,7,journals/eccc,,0.434799532892
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/iacr,,557.0,,8,journals/siamcomp,A1,0.423815620999
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/jcss,A2,548.0,,9,journals/cc,B2,0.39641943734
10,journals/scl,1739.0,26654.0,,89.0,,10,journals/tcs,A1,546.0,,10,conf/coco,,0.394543546695
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,journals/algorithmica,,424.0,,11,conf/random,B1,0.39156626506
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,journals/ipl,A2,421.0,,12,conf/soda,A1,0.367989056088
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/compgeom,A2,389.0,,13,conf/tcc,A2,0.31724137931
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/coco,,376.0,,14,journals/talg,B1,0.289760348584
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,journals/jal,A2,336.0,,15,journals/jal,A2,0.272064777328
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/crypto,A1,334.0,,16,conf/crypto,A1,0.239942528736
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/podc,A1,294.0,,17,conf/compgeom,A2,0.237484737485
18,journals/computer,4766.0,261329.0,,76.0,,18,journals/iandc,A2,290.0,,18,journals/joc,A2,0.218487394958
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/approx,B1,277.0,,19,journals/jacm,A1,0.210739242369
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,journals/dcg,B1,267.0,,20,journals/rsa,,0.208982584785
21,journals/ml,1309.0,184440.0,A1,73.0,,21,conf/esa,A2,251.0,,21,journals/jcss,A2,0.20726172466
22,journals/is,1504.0,32461.0,A2,72.0,,22,journals/rsa,,228.0,,22,conf/icalp,A1,0.20230843219
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/spaa,A2,222.0,,23,conf/spaa,A2,0.196634189548
24,conf/icml,3294.0,290468.0,A1,69.0,,24,journals/combinatorica,,219.0,,24,journals/algorithmica,,0.193961573651
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/stacs,A2,218.0,,25,conf/esa,A2,0.190295678544
26,journals/jocn,2068.0,89870.0,,64.0,,26,journals/siamdm,B1,214.0,,26,conf/sigecom,,0.189526184539
27,journals/comsur,583.0,19860.0,A1,61.0,,27,journals/jct,,187.0,,27,conf/podc,A1,0.179926560588
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/colt,A2,184.0,,28,conf/colt,A2,0.167577413479
29,conf/icra,16038.0,236265.0,A1,61.0,,29,journals/mst,B2,171.0,,29,journals/combinatorica,,0.164537941397
30,conf/isscc,1967.0,13365.0,B1,59.0,,30,conf/eurocrypt,A1,165.0,,30,conf/wads,B1,0.161030595813
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,journals/cacm,A1,162.0,,31,conf/swat,B1,0.158582089552
32,conf/smc,9388.0,28167.0,B2,58.0,,32,journals/tit,A1,160.0,,32,conf/ipco,B1,0.153716216216
33,journals/soco,1974.0,28145.0,B1,57.0,,33,conf/pods,A1,159.0,,33,conf/pods,A1,0.143631436314
34,conf/networking,1306.0,9360.0,B1,56.0,,34,journals/cc,B2,155.0,,34,journals/dc,B1,0.142105263158
35,conf/nsdi,481.0,17531.0,A1,54.0,,35,conf/sigecom,,152.0,,35,journals/dcg,B1,0.134103465595
36,conf/isca,1821.0,135083.0,A1,53.0,,36,conf/isaac,B1,142.0,,36,conf/wine,,0.133561643836
37,conf/emnlp,1380.0,19971.0,A1,53.0,,37,conf/tcc,A2,138.0,,37,conf/stacs,A2,0.126670540383
38,conf/icde,4327.0,135333.0,A1,52.0,,38,conf/innovations,,138.0,,38,conf/eurocrypt,A1,0.125954198473
39,journals/behaviourIT,1033.0,21287.0,,52.0,,39,journals/talg,B1,133.0,,39,conf/tark,B2,0.125766871166
40,journals/networks,1952.0,113935.0,B1,52.0,,40,conf/fsttcs,B1,126.0,,40,conf/wdag,,0.117519042437
41,journals/toc,169.0,1011.0,,51.0,,41,journals/dm,A2,118.0,,41,journals/siamdm,B1,0.109631147541
42,journals/jcisd,6138.0,73816.0,B1,51.0,,42,journals/toc,,111.0,,42,conf/fsttcs,B1,0.108714408973
43,journals/dss,2302.0,56927.0,A1,50.0,,43,journals/comgeo,,110.0,,43,journals/cpc,,0.104549854792
44,conf/sigir,3545.0,205477.0,A1,49.0,,44,journals/cpc,,108.0,,44,journals/mst,B2,0.100706713781
45,conf/isit,4224.0,15815.0,B1,49.0,,45,conf/wdag,,108.0,,45,journals/comgeo,,0.0989208633094
46,conf/ias,468.0,1722.0,B1,49.0,,46,conf/mfcs,B1,106.0,,46,journals/ijcga,B1,0.0924608819346
47,conf/eurocrypt,1310.0,147911.0,A1,48.0,,47,conf/dagstuhl,,105.0,,47,conf/isaac,B1,0.0891959798995
48,journals/fgcs,2265.0,38059.0,A2,48.0,,48,journals/joc,A2,104.0,,48,conf/latin,B1,0.0889621087315
49,journals/jcc,4376.0,140430.0,A1,47.0,,49,journals/dam,A2,104.0,,49,conf/cpm,B1,0.0886075949367
50,conf/icassp,28525.0,238265.0,A1,47.0,,50,conf/wads,B1,100.0,,50,journals/iandc,A2,0.0778941713672
51,conf/ijcai,6188.0,295635.0,A1,46.0,,51,conf/infocom,A1,99.0,,51,conf/pkc,A2,0.0770609318996
52,journals/bib,798.0,38929.0,,46.0,,52,conf/www,A1,96.0,,52,conf/asiacrypt,A1,0.0769230769231
53,journals/ai,2580.0,376792.0,A1,46.0,,53,conf/ipco,B1,91.0,,53,conf/icdt,B1,0.0766283524904
54,journals/interactions,2020.0,25053.0,B2,46.0,,54,journals/tc,A1,91.0,,54,conf/fc,B1,0.0724637681159
55,conf/indin,449.0,117.0,,46.0,,55,conf/swat,B1,85.0,,55,journals/iacr,,0.0674824327599
56,conf/jcai,213.0,171.0,,46.0,,56,journals/mp,A1,84.0,,56,journals/sigact,,0.067463706234
57,journals/fss,3354.0,58453.0,A1,45.0,,57,journals/jgt,B1,83.0,,57,conf/cocoon,B1,0.0657118786858
58,conf/globecom,14010.0,105540.0,A1,45.0,,58,journals/dc,B1,81.0,,58,conf/recomb,A2,0.0607287449393
59,journals/ijon,7349.0,79598.0,A1,45.0,,59,journals/sigact,,79.0,,59,journals/ipl,A2,0.0605668249173
60,conf/cns,163.0,39.0,,45.0,,60,conf/ipps,A1,78.0,,60,conf/lics,A2,0.0601092896175
61,conf/iros,13604.0,126537.0,A1,45.0,,61,conf/cocoon,B1,78.0,,61,conf/fct,B2,0.0551948051948
62,conf/popl,1511.0,171888.0,A1,45.0,,62,conf/wine,,78.0,,62,conf/alt,B1,0.0518617021277
63,conf/icc,14807.0,125393.0,A2,44.0,,63,conf/lics,A2,77.0,,63,journals/tcs,A1,0.050504116178
64,journals/kbs,2347.0,29383.0,,44.0,,64,journals/jcb,A1,72.0,,64,journals/jcb,A1,0.0475875743556
65,journals/prl,5475.0,100320.0,A1,44.0,,65,conf/sigmod,A1,70.0,,65,journals/acta,B1,0.0458392101551
66,journals/mcm,3045.0,22454.0,A2,43.0,,66,conf/asiacrypt,A1,68.0,,66,conf/mfcs,B1,0.0455717970765
67,conf/cdc,8622.0,25900.0,B1,43.0,,67,journals/jpdc,A2,66.0,,67,journals/eatcs,,0.0449438202247
68,conf/soda,2924.0,204116.0,A1,43.0,,68,journals/acta,B1,65.0,,68,conf/popl,A1,0.0383851753805
69,journals/adhoc,1160.0,24419.0,B1,42.0,,69,conf/random,B1,65.0,,69,journals/ml,A1,0.0374331550802
70,conf/vtc,10987.0,36827.0,A1,42.0,,70,journals/ijcga,B1,65.0,,70,conf/cccg,B2,0.0373983739837
71,journals/comcom,4829.0,48151.0,A2,42.0,,71,conf/ccs,A1,64.0,,71,journals/ijfcs,B2,0.0363901018923
72,journals/siamsc,1790.0,41616.0,A1,42.0,,72,conf/cpm,B1,63.0,,72,journals/jgt,B1,0.0322079937912
