Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/www,A1,1454.0,,1,journals/ws,A1,0.495495495495
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/semweb,,719.0,,2,conf/wsdm,B1,0.425891181989
3,journals/cce,2581.0,35527.0,,118.0,,3,conf/cikm,A1,709.0,,3,conf/www,A1,0.323039324595
4,journals/cee,1272.0,4934.0,,118.0,,4,conf/sigir,A1,491.0,,4,conf/owled,,0.314049586777
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,conf/icde,A1,460.0,,5,journals/tweb,A2,0.30625
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/kdd,A1,430.0,,6,conf/aswc,,0.279620853081
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/esws,,341.0,,7,conf/semweb,,0.277928102049
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/sigmod,A1,328.0,,8,conf/esws,,0.260703363914
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/tkde,A1,309.0,,9,conf/websci,,0.227053140097
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/aaai,A1,303.0,,10,conf/kcap,,0.218954248366
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/icdm,A1,292.0,,11,conf/ekaw,B1,0.209471766849
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/vldb,A1,291.0,,12,conf/webdb,B1,0.191489361702
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/wsdm,B1,227.0,,13,conf/dlog,,0.178753830439
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/icwe,,185.0,,14,conf/icwe,,0.175521821632
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,journals/expert,A1,182.0,,15,conf/cikm,A1,0.163627971382
16,journals/www,423.0,7421.0,B1,83.0,,16,conf/dlog,,175.0,,16,conf/icwsm,B1,0.156838143036
17,conf/www,4501.0,120253.0,A1,83.0,,17,conf/ijcai,A1,167.0,,17,conf/kdd,A1,0.149878006274
18,journals/ploscb,3878.0,85175.0,,80.0,,18,journals/ws,A1,165.0,,18,journals/tist,,0.148264984227
19,journals/computer,4766.0,261329.0,,76.0,,19,journals/pvldb,A1,160.0,,19,journals/vldb,A2,0.140929535232
20,conf/infocom,6943.0,350398.0,A1,76.0,,20,conf/sdm,A2,146.0,,20,journals/www,B1,0.139479905437
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/ecir,A2,143.0,,21,conf/sigir,A1,0.13850493653
22,journals/ml,1309.0,184440.0,A1,73.0,,22,conf/edbt,A2,142.0,,22,conf/sdm,A2,0.137996219282
23,journals/is,1504.0,32461.0,A2,72.0,,23,conf/ht,,136.0,,23,journals/dpd,B1,0.132653061224
24,journals/isci,7032.0,124049.0,A1,70.0,,24,conf/mm,A1,136.0,,24,conf/ecir,A2,0.125548726953
25,conf/icml,3294.0,290468.0,A1,69.0,,25,conf/wise,B1,135.0,,25,conf/ht,,0.123974475843
26,conf/visual,317.0,7593.0,B2,66.0,,26,conf/webi,,135.0,,26,journals/sigir,,0.116504854369
27,conf/nips,5684.0,404822.0,A1,66.0,,27,journals/sigmod,A1,134.0,,27,conf/vldb,A1,0.110185535782
28,journals/jocn,2068.0,89870.0,,64.0,,28,conf/icmcs,B3,126.0,,28,journals/sigkdd,,0.108459869848
29,conf/icra,16038.0,236265.0,A1,61.0,,29,conf/icwsm,B1,125.0,,29,journals/pvldb,A1,0.108035111411
30,journals/comsur,583.0,19860.0,A1,61.0,,30,journals/debu,,119.0,,30,conf/icde,A1,0.106309221169
31,conf/sigmod,3706.0,337960.0,A1,61.0,,31,conf/pakdd,,116.0,,31,journals/tkde,A1,0.105713308245
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,conf/ekaw,B1,115.0,,32,conf/wise,B1,0.102661596958
33,conf/eccv,3329.0,159515.0,A1,59.0,,33,conf/trec,A2,114.0,,33,conf/airs,B3,0.10147601476
34,conf/smc,9388.0,28167.0,B2,58.0,,34,conf/nips,A1,110.0,,34,journals/tois,A2,0.0983606557377
35,journals/soco,1974.0,28145.0,B1,57.0,,35,conf/chi,A1,110.0,,35,conf/edbt,A2,0.0971272229822
36,conf/networking,1306.0,9360.0,B1,56.0,,36,conf/dasfaa,B1,109.0,,36,journals/expert,A1,0.0960422163588
37,conf/nsdi,481.0,17531.0,A1,54.0,,37,journals/internet,A1,106.0,,37,journals/debu,,0.0931142410016
38,conf/wsdm,533.0,8651.0,B1,54.0,,38,conf/icdcs,A1,105.0,,38,conf/icdm,A1,0.0894060012247
39,conf/isca,1821.0,135083.0,A1,53.0,,39,conf/sac,A1,101.0,,39,conf/sigmod,A1,0.0885051268214
40,conf/emnlp,1380.0,19971.0,A1,53.0,,40,conf/jcdl,A2,98.0,,40,journals/sigmod,A1,0.0854591836735
41,conf/icde,4327.0,135333.0,A1,52.0,,41,conf/icml,A1,98.0,,41,conf/recsys,B1,0.0777279521674
42,journals/networks,1952.0,113935.0,B1,52.0,,42,conf/soda,A1,96.0,,42,conf/apweb,B2,0.0759493670886
43,journals/behaviourIT,1033.0,21287.0,,52.0,,43,conf/stoc,A1,95.0,,43,conf/webi,,0.0758001122965
44,journals/jcisd,6138.0,73816.0,B1,51.0,,44,journals/vldb,A2,94.0,,44,conf/sigecom,,0.069825436409
45,journals/dss,2302.0,56927.0,A1,50.0,,45,conf/pkdd,A2,90.0,,45,conf/socialcom,B4,0.0672043010753
46,conf/isit,4224.0,15815.0,B1,49.0,,46,conf/apweb,B2,90.0,,46,conf/dasfaa,B1,0.0669533169533
47,conf/ias,468.0,1722.0,B1,49.0,,47,journals/sigir,,84.0,,47,journals/internet,A1,0.0638554216867
48,conf/sigir,3545.0,205477.0,A1,49.0,,48,conf/dexa,B1,84.0,,48,journals/tods,A2,0.063829787234
49,conf/icwsm,797.0,7564.0,B1,48.0,,49,journals/cn,A1,82.0,,49,conf/trec,A2,0.0637583892617
50,journals/fgcs,2265.0,38059.0,A2,48.0,,50,conf/dagstuhl,,77.0,,50,journals/kais,A2,0.0636363636364
51,conf/icassp,28525.0,238265.0,A1,47.0,,51,conf/atal,,77.0,,51,conf/jcdl,A2,0.0613650594865
52,journals/jcc,4376.0,140430.0,A1,47.0,,52,conf/owled,,76.0,,52,conf/pakdd,,0.060103626943
53,journals/ai,2580.0,376792.0,A1,46.0,,53,conf/icws,A1,75.0,,53,conf/skg,,0.0584028605483
54,conf/jcai,213.0,171.0,,46.0,,54,conf/acl,A1,71.0,,54,conf/icsoc,A2,0.0544933078394
55,journals/interactions,2020.0,25053.0,B2,46.0,,55,journals/jasis,A1,69.0,,55,conf/waim,B2,0.0541401273885
56,conf/ijcai,6188.0,295635.0,A1,46.0,,56,conf/waim,B2,68.0,,56,conf/pkdd,A2,0.0524475524476
57,conf/indin,449.0,117.0,,46.0,,57,journals/ipm,,68.0,,57,conf/pods,A1,0.0523938572719
58,journals/bib,798.0,38929.0,,46.0,,58,conf/cvpr,A1,67.0,,58,conf/icws,A1,0.0503355704698
59,journals/ijon,7349.0,79598.0,A1,45.0,,59,conf/kcap,,67.0,,59,conf/mdm,A2,0.0489073881374
60,conf/cns,163.0,39.0,,45.0,,60,conf/focs,A1,65.0,,60,conf/mmm,B1,0.0429184549356
61,conf/globecom,14010.0,105540.0,A1,45.0,,61,conf/icip,A1,64.0,,61,conf/icdcs,A1,0.0427176566314
62,journals/fss,3354.0,58453.0,A1,45.0,,62,conf/hicss,A1,64.0,,62,journals/is,A2,0.0425531914894
63,conf/iros,13604.0,126537.0,A1,45.0,,63,journals/is,A2,64.0,,63,conf/aaai,A1,0.040105890139
64,journals/prl,5475.0,100320.0,A1,44.0,,64,journals/kais,A2,63.0,,64,conf/iui,A1,0.0397058823529
65,journals/kbs,2347.0,29383.0,,44.0,,65,conf/infocom,A1,62.0,,65,conf/dexa,B1,0.0387632671897
66,conf/icc,14807.0,125393.0,A2,44.0,,66,journals/mta,B2,62.0,,66,journals/aim,A2,0.0376237623762
67,conf/cdc,8622.0,25900.0,B1,43.0,,67,journals/tois,A2,60.0,,67,journals/dke,,0.03507565337
68,conf/soda,2924.0,204116.0,A1,43.0,,68,journals/www,B1,59.0,,68,conf/aaaiss,,0.0347633136095
69,journals/mcm,3045.0,22454.0,A2,43.0,,69,conf/aswc,,59.0,,69,conf/soda,A1,0.0328317373461
70,journals/comcom,4829.0,48151.0,A2,42.0,,70,conf/pods,A1,58.0,,70,conf/mm,A1,0.0327237728585
71,journals/siamsc,1790.0,41616.0,A1,42.0,,71,journals/cacm,A1,58.0,,71,conf/stoc,A1,0.0314986737401
72,conf/vtc,10987.0,36827.0,A1,42.0,,72,conf/icsoc,A2,57.0,,72,conf/icml,A1,0.0297510625379
73,journals/adhoc,1160.0,24419.0,B1,42.0,,73,journals/tods,A2,57.0,,73,journals/mta,B2,0.0277280858676
74,conf/hpca,787.0,26675.0,A1,42.0,,74,journals/aim,A2,57.0,,74,conf/ijcai,A1,0.0269877181642
75,conf/date,5135.0,52731.0,A1,41.0,,75,journals/isci,A1,56.0,,75,journals/ipm,,0.025993883792
76,conf/dac,6526.0,186313.0,A1,40.0,,76,conf/sigecom,,56.0,,76,conf/er,A2,0.0234128770824
77,journals/scientometrics,4199.0,122179.0,,40.0,,77,conf/caise,A2,56.0,,77,conf/caise,A2,0.0228384991843
78,conf/micro,1409.0,59172.0,A1,40.0,,78,conf/airs,B3,55.0,,78,conf/otm,,0.0219922380336
79,journals/siamcomp,3124.0,269865.0,A1,39.0,,79,conf/iui,A1,54.0,,79,conf/focs,A1,0.0218267293486
80,journals/eaai,1516.0,14305.0,A2,39.0,,80,conf/webdb,B1,54.0,,80,conf/nips,A1,0.0193525686137
81,conf/interspeech,17729.0,130378.0,A1,39.0,,81,journals/ipl,A2,53.0,,81,conf/sac,A1,0.0183569611051
82,conf/sigmetrics,1490.0,70702.0,A1,39.0,,82,conf/er,A2,52.0,,82,conf/dagstuhl,,0.0175518577616
83,journals/integration,954.0,6860.0,B2,38.0,,83,conf/ecai,A2,52.0,,83,conf/icmcs,B3,0.017293439473
84,conf/hicss,11101.0,101629.0,A1,38.0,,84,journals/dpd,B1,52.0,,84,conf/ecai,A2,0.0168175937904
85,conf/esws,1308.0,12532.0,,38.0,,85,conf/recsys,B1,52.0,,85,conf/acl,A1,0.0167373880245
86,journals/neco,2472.0,320711.0,A1,38.0,,86,journals/dke,,51.0,,86,conf/atal,,0.0165769644779
87,journals/tcs,10811.0,391021.0,A1,38.0,,87,conf/otm,,51.0,,87,journals/cn,A1,0.015866873065
88,conf/fast,354.0,10728.0,A1,37.0,,88,conf/socialcom,B4,50.0,,88,journals/siamcomp,A1,0.0150448143406
89,conf/aaai,7555.0,234650.0,A1,37.0,,89,conf/mmm,B1,50.0,,89,journals/tpds,A1,0.0148574893875
90,conf/cscw,1792.0,98709.0,A1,37.0,,90,journals/sigkdd,,50.0,,90,journals/tse,A1,0.0141993957704
91,conf/bmvc,2532.0,51771.0,A2,37.0,,91,conf/skg,,49.0,,91,journals/jasis,A1,0.0128348214286
92,journals/cad,2736.0,55554.0,,37.0,,92,journals/tweb,A2,49.0,,92,conf/chi,A1,0.0102832569879
93,conf/cloudcom,757.0,3093.0,B2,37.0,,93,journals/ieicet,,49.0,,93,conf/cvpr,A1,0.00974687227233
94,conf/isip,148.0,186.0,,36.0,,94,journals/tpds,A1,49.0,,94,conf/infocom,A1,0.00892985741034
95,conf/edbt,1462.0,28921.0,A2,36.0,,95,journals/tist,,47.0,,95,journals/isci,A1,0.00796359499431
96,journals/csi,921.0,8151.0,,36.0,,96,journals/siamcomp,A1,47.0,,96,journals/ipl,A2,0.00762480218674
97,journals/siamco,1861.0,64741.0,A2,36.0,,97,conf/aaaiss,,47.0,,97,conf/hicss,A1,0.0057652463742
98,journals/siamis,425.0,5889.0,,36.0,,98,conf/websci,,47.0,,98,journals/cacm,A1,0.00551383211332
99,conf/ipsn,841.0,28102.0,A1,36.0,,99,journals/tse,A1,47.0,,99,conf/icip,A1,0.0037030608112
100,conf/icip,17283.0,156642.0,A1,35.0,,100,conf/mdm,A2,47.0,,100,journals/ieicet,,0.00289239124019
101,conf/ppopp,790.0,28302.0,A2,35.0,,101,journals/corr,,,,101,journals/nar,B1,
102,conf/ai,834.0,4107.0,B1,35.0,,102,conf/ssp,,,,102,journals/pr,A1,
103,conf/sdm,1058.0,20754.0,A2,35.0,,103,conf/isit,B1,,,103,journals/cce,,
104,conf/icws,1490.0,14000.0,A1,34.0,,104,journals/tcom,A1,,,104,journals/cee,,
105,conf/vldb,2641.0,235473.0,A1,34.0,,105,journals/twc,A1,,,105,journals/cma,,
106,conf/allerton,778.0,633.0,,33.0,,106,journals/jstsp,A1,,,106,journals/neuroimage,,
107,journals/socnet,537.0,17912.0,,33.0,,107,conf/acssc,,,,107,conf/biocomp,B4,
108,conf/icalp,3119.0,122492.0,A1,33.0,,108,journals/tmc,,,,108,conf/icete,B4,
109,conf/cec,5323.0,30161.0,B1,32.0,,109,journals/tit,A1,,,109,journals/scl,,
110,conf/miccai,4743.0,59627.0,A1,32.0,,110,journals/wc,,,,110,journals/eswa,A1,
111,conf/percom,1751.0,19503.0,A2,32.0,,111,conf/icassp,A1,,,111,journals/automatica,A1,
112,conf/sac,5502.0,37130.0,A1,32.0,,112,conf/icc,A2,,,112,journals/cm,A1,
113,conf/tacas,874.0,35833.0,A1,31.0,,113,conf/allerton,,,,113,journals/pieee,A1,
114,conf/coling,3555.0,68639.0,A1,31.0,,114,conf/wcnc,A2,,,114,journals/sigpro,A1,
115,journals/dam,5729.0,70961.0,A2,31.0,,115,journals/tsp,A1,,,115,journals/ploscb,,
116,journals/lre,903.0,17032.0,B3,31.0,,116,conf/ciss,,,,116,journals/computer,,
117,conf/lrec,3847.0,17564.0,A2,31.0,,117,conf/globecom,A1,,,117,journals/bmcbi,A1,
118,conf/icdar,2762.0,27617.0,A2,31.0,,118,journals/tifs,,,,118,journals/ml,A1,
119,journals/eis,228.0,3625.0,,30.0,,119,journals/ejwcn,B1,,,119,conf/visual,B2,
120,journals/siamma,1295.0,17645.0,,30.0,,120,conf/crowncom,,,,120,journals/jocn,,
121,conf/ics,1404.0,42901.0,A2,30.0,,121,journals/siamco,A2,,,121,conf/icra,A1,
122,conf/iccad,3313.0,104804.0,A1,29.0,,122,conf/ita,,,,122,journals/comsur,A1,
123,conf/gis,1524.0,12787.0,B1,29.0,,123,conf/dcc,A2,,,123,conf/isscc,B1,
124,conf/icpr,8972.0,82067.0,A1,29.0,,124,journals/icl,A1,,,124,conf/eccv,A1,
125,journals/algorithmica,2186.0,53176.0,,29.0,,125,journals/jsac,A1,,,125,conf/smc,B2,
126,conf/hri,1198.0,5977.0,A2,29.0,,126,conf/iccoms,,,,126,journals/soco,B1,
127,journals/isj,527.0,16818.0,,29.0,,127,conf/globalsip,,,,127,conf/networking,B1,
128,journals/dm,11762.0,98470.0,A2,29.0,,128,journals/ejasp,B1,,,128,conf/nsdi,A1,
129,conf/ms,116.0,126.0,,28.0,,129,journals/tvt,,,,129,conf/isca,A1,
130,conf/csee,842.0,37548.0,B5,28.0,,130,conf/camsap,,,,130,conf/emnlp,A1,
131,conf/ifip,2909.0,47513.0,,28.0,,131,journals/spm,A1,,,131,journals/networks,B1,
132,journals/aamas,456.0,24584.0,A2,28.0,,132,conf/smartgridcomm,,,,132,journals/behaviourIT,,
133,conf/iccS,4457.0,19295.0,A2,28.0,,133,journals/wpc,,,,133,journals/jcisd,B1,
134,conf/itw,562.0,321.0,,28.0,,134,journals/automatica,A1,,,134,journals/dss,A1,
