Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,conf/soda,A1,1623.0,,1,journals/talg,B1,0.570806100218
2,conf/soda,2924.0,204116.0,A1,43.0,,2,conf/stoc,A1,937.0,,2,conf/soda,A1,0.555061559508
3,journals/siamcomp,3124.0,269865.0,A1,39.0,,3,journals/siamcomp,A1,908.0,,3,conf/wads,B1,0.460547504026
4,journals/tcs,10811.0,391021.0,A1,38.0,,4,conf/focs,A1,887.0,,4,conf/compgeom,A2,0.452380952381
5,journals/jacm,2719.0,368295.0,A1,35.0,,5,journals/algorithmica,,823.0,,5,conf/esa,A2,0.423805913571
6,conf/icalp,3119.0,122492.0,A1,33.0,,6,conf/compgeom,A2,741.0,,6,conf/swat,B1,0.408582089552
7,journals/dam,5729.0,70961.0,A2,31.0,,7,journals/tcs,A1,656.0,,7,conf/approx,B1,0.39586645469
8,conf/stacs,1721.0,55729.0,A2,29.0,,8,conf/icalp,A1,571.0,,8,journals/comgeo,,0.394784172662
9,journals/algorithmica,2186.0,53176.0,,29.0,,9,conf/esa,A2,559.0,,9,journals/algorithmica,,0.37648673376
10,journals/dm,11762.0,98470.0,A2,29.0,,10,journals/ipl,A2,509.0,,10,journals/ijcga,B1,0.311522048364
11,conf/spaa,1129.0,41290.0,A2,29.0,,11,journals/comgeo,,439.0,,11,conf/stoc,A1,0.310676392573
12,conf/pods,1107.0,115617.0,A1,28.0,,12,conf/isaac,B1,433.0,,12,conf/focs,A1,0.297850906649
13,conf/podc,1634.0,85678.0,A1,27.0,,13,journals/dcg,B1,378.0,,13,journals/siamcomp,A1,0.290653008963
14,journals/siamdm,1952.0,43907.0,B1,26.0,,14,conf/cccg,B2,325.0,,14,conf/isaac,B1,0.271984924623
15,journals/jct,6280.0,105859.0,,23.0,,15,journals/jcss,A2,317.0,,15,conf/cccg,B2,0.264227642276
16,journals/cpc,1033.0,14066.0,,21.0,,16,journals/jacm,A1,298.0,,16,conf/ipco,B1,0.251689189189
17,journals/orl,1945.0,29366.0,B1,21.0,,17,conf/wads,B1,286.0,,17,conf/cpm,B1,0.233473980309
18,conf/approx,629.0,14236.0,B1,19.0,,18,journals/eccc,,283.0,,18,conf/spaa,A2,0.21789193977
19,conf/isaac,1592.0,26271.0,B1,19.0,,19,journals/dam,A2,274.0,,19,journals/rsa,,0.206232813932
20,conf/mfcs,2326.0,42104.0,B1,19.0,,20,journals/siamdm,B1,263.0,,20,conf/latin,B1,0.202635914333
21,journals/combinatorica,1331.0,31860.0,,18.0,,21,journals/talg,B1,262.0,,21,conf/spire,B1,0.195840554593
22,conf/gd,1021.0,40829.0,B2,17.0,,22,conf/approx,B1,249.0,,22,journals/dcg,B1,0.18985434455
23,conf/latin,607.0,13469.0,B1,17.0,,23,conf/spaa,A2,246.0,,23,conf/icalp,A1,0.183071497275
24,conf/spire,577.0,5936.0,B1,17.0,,24,conf/stacs,A2,226.0,,24,conf/gd,B2,0.160626836435
25,conf/cpm,711.0,20452.0,B1,16.0,,25,journals/rsa,,225.0,,25,conf/sigecom,,0.15710723192
26,conf/ipco,592.0,23226.0,B1,15.0,,26,journals/ijcga,B1,219.0,,26,conf/wg,B1,0.154006243496
27,conf/wads,621.0,17966.0,B1,12.0,,27,conf/swat,B1,219.0,,27,conf/cocoon,B1,0.148272957035
