Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/aaai,A1,2015.0,,1,conf/kr,A2,0.484913793103
2,conf/www,4501.0,120253.0,A1,83.0,,2,conf/ijcai,A1,1747.0,,2,journals/ai,A1,0.41976744186
3,journals/ml,1309.0,184440.0,A1,73.0,,3,journals/ai,A1,1083.0,,3,conf/socs,,0.370689655172
4,conf/icml,3294.0,290468.0,A1,69.0,,4,conf/atal,,984.0,,4,journals/jair,A1,0.360479041916
5,conf/nips,5684.0,404822.0,A1,66.0,,5,conf/ecai,A2,460.0,,5,conf/lpnmr,B1,0.353057199211
6,conf/icra,16038.0,236265.0,A1,61.0,,6,conf/kr,A2,450.0,,6,conf/aips,,0.309110629067
7,journals/ai,2580.0,376792.0,A1,46.0,,7,conf/uai,A1,406.0,,7,conf/ijcai,A1,0.282320620556
8,conf/ijcai,6188.0,295635.0,A1,46.0,,8,journals/aim,A2,374.0,,8,conf/aaai,A1,0.266710787558
9,conf/iros,13604.0,126537.0,A1,45.0,,9,conf/iros,A1,343.0,,9,journals/aamas,A2,0.254385964912
10,conf/aaai,7555.0,234650.0,A1,37.0,,10,conf/cp,A2,338.0,,10,journals/aim,A2,0.246864686469
11,journals/jacm,2719.0,368295.0,A1,35.0,,11,conf/icra,A1,320.0,,11,conf/dlog,,0.244126659857
12,conf/uai,1965.0,147942.0,A1,32.0,,12,journals/jair,A1,301.0,,12,conf/cp,A2,0.238700564972
13,journals/aamas,456.0,24584.0,A2,28.0,,13,conf/aips,,285.0,,13,conf/jelia,B1,0.232108317215
14,journals/ci,758.0,44731.0,B1,27.0,,14,conf/icml,A1,284.0,,14,journals/constraints,,0.224
15,conf/aips,922.0,16922.0,,25.0,,15,conf/dlog,,239.0,,15,conf/atal,,0.211840688913
16,journals/aim,1515.0,75041.0,A2,22.0,,16,journals/expert,A1,180.0,,16,conf/uai,A1,0.206615776081
17,conf/kr,928.0,60866.0,A2,22.0,,17,conf/lpnmr,B1,179.0,,17,journals/tplp,B1,0.174180327869
18,conf/aaaiss,1352.0,4785.0,,20.0,,18,conf/robocup,,177.0,,18,journals/ci,B1,0.163588390501
19,conf/atal,4645.0,93519.0,,20.0,,19,conf/nips,A1,168.0,,19,conf/ilp,B1,0.160611854685
20,conf/lpnmr,507.0,12762.0,B1,18.0,,20,journals/amai,B1,155.0,,20,conf/ecsqaru,B1,0.160390516039
21,conf/robocup,1175.0,16551.0,,16.0,,21,conf/dagstuhl,,153.0,,21,conf/robocup,,0.150638297872
22,conf/ictai,2505.0,27065.0,A2,14.0,,22,conf/semweb,,150.0,,22,conf/ecai,A2,0.148771021992
23,conf/socs,232.0,188.0,,14.0,,23,journals/ml,A1,146.0,,23,conf/sigecom,,0.143391521197
24,conf/ecsqaru,717.0,11881.0,B1,13.0,,24,conf/iclp,B1,141.0,,24,journals/amai,B1,0.142463235294
25,conf/ilp,523.0,14495.0,B1,10.0,,25,conf/acl,A1,129.0,,25,journals/ml,A1,0.1115355233
26,conf/ecai,3092.0,39911.0,A2,,,26,journals/ci,B1,124.0,,26,journals/expert,A1,0.0949868073879
