Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/pr,6744.0,201239.0,A1,118.0,,1,conf/IEEEicci,,524.0,,1,journals/ijssci,,0.677685950413
2,journals/eswa,8936.0,109580.0,A1,89.0,,2,journals/cogsci,,387.0,,2,journals/ijcini,,0.573099415205
3,journals/isci,7032.0,124049.0,A1,70.0,,3,conf/nips,A1,173.0,,3,conf/IEEEicci,,0.516765285996
4,conf/nips,5684.0,404822.0,A1,66.0,,4,conf/robio,B1,118.0,,4,journals/cogsci,,0.335064935065
5,conf/icra,16038.0,236265.0,A1,61.0,,5,conf/iccsa,B1,118.0,,5,journals/tcos,B5,0.154838709677
6,conf/smc,9388.0,28167.0,B2,58.0,,6,journals/isci,A1,110.0,,6,conf/rskt,,0.128608923885
7,journals/soco,1974.0,28145.0,B1,57.0,,7,conf/isnn,,109.0,,7,conf/rsfdgrc,,0.0820512820513
8,conf/icassp,28525.0,238265.0,A1,47.0,,8,conf/ijcai,A1,106.0,,8,conf/its,B2,0.0793522267206
9,conf/ijcai,6188.0,295635.0,A1,46.0,,9,journals/ijon,A1,106.0,,9,conf/rsctc,,0.0785619174434
10,journals/ai,2580.0,376792.0,A1,46.0,,10,journals/ijcini,,98.0,,10,conf/grc,,0.0636604774536
11,conf/globecom,14010.0,105540.0,A1,45.0,,11,conf/rskt,,98.0,,11,conf/aied,B1,0.0634920634921
12,conf/iros,13604.0,126537.0,A1,45.0,,12,conf/its,B2,98.0,,12,conf/cscwd,,0.0439868975199
13,journals/ijon,7349.0,79598.0,A1,45.0,,13,conf/grc,,96.0,,13,conf/isnn,,0.0323826500297
14,journals/fss,3354.0,58453.0,A1,45.0,,14,journals/tsmc,,96.0,,14,conf/nips,A1,0.030436312456
15,conf/vtc,10987.0,36827.0,A1,42.0,,15,conf/cscwd,,94.0,,15,conf/robio,B1,0.0296631473102
16,journals/cogsci,1155.0,136657.0,,38.0,,16,conf/smc,B2,90.0,,16,conf/iccsa,B1,0.027550782162
17,journals/neco,2472.0,320711.0,A1,38.0,,17,journals/ijssci,,82.0,,17,journals/tfs,A1,0.0273590173088
18,conf/aaai,7555.0,234650.0,A1,37.0,,18,conf/igarss,B1,76.0,,18,journals/soco,B1,0.0273556231003
19,conf/icip,17283.0,156642.0,A1,35.0,,19,conf/aaai,A1,75.0,,19,conf/webi,,0.0252667040988
20,journals/fuin,2907.0,33770.0,B1,26.0,,20,conf/ifip12,,66.0,,20,conf/ifip12,,0.0252100840336
21,conf/webi,1781.0,10504.0,,22.0,,21,conf/icdm,A1,65.0,,21,journals/jcst,B2,0.0236344537815
22,conf/igarss,13453.0,19429.0,B1,20.0,,22,conf/icip,A1,63.0,,22,journals/ai,A1,0.0201550387597
23,journals/jcst,1904.0,6719.0,B2,20.0,,23,conf/iros,A1,63.0,,23,conf/icdm,A1,0.0199020208206
24,conf/aied,945.0,3705.0,B1,19.0,,24,conf/aied,B1,60.0,,24,journals/neco,A1,0.0194174757282
25,conf/robio,3978.0,7907.0,B1,19.0,,25,conf/rsctc,,59.0,,25,conf/icic,,0.0176348547718
26,conf/rskt,762.0,2237.0,,17.0,,26,journals/eswa,A1,59.0,,26,journals/fuin,B1,0.0171998624011
27,conf/icnc,3589.0,5272.0,B4,15.0,,27,conf/fskd,B2,58.0,,27,conf/ijcai,A1,0.0171299288946
28,conf/icic,2892.0,4937.0,,15.0,,28,conf/chi,A1,58.0,,28,journals/isci,A1,0.0156427758817
29,conf/its,1235.0,10887.0,B2,15.0,,29,conf/ijcnn,A2,55.0,,29,journals/fss,A1,0.0152057245081
30,conf/iccsa,4283.0,9663.0,B1,14.0,,30,conf/icnc,B4,54.0,,30,conf/icnc,B4,0.0150459738089
31,conf/fskd,4860.0,5009.0,B2,14.0,,31,journals/soco,B1,54.0,,31,journals/ijon,A1,0.0144237311199
32,conf/cscwd,2137.0,4845.0,,13.0,,32,conf/acl,A1,53.0,,32,journals/tsmc,,0.0127574750831
33,conf/kes,4678.0,12656.0,B1,12.0,,33,conf/globecom,A1,52.0,,33,journals/tnn,,0.0126811594203
34,conf/isnn,3366.0,5670.0,,11.0,,34,journals/ai,A1,52.0,,34,conf/acl,A1,0.0124941065535
35,conf/rsfdgrc,585.0,3984.0,,10.0,,35,journals/ieicet,,52.0,,35,conf/fskd,B2,0.0119341563786
36,conf/chi,10697.0,257222.0,A1,6.0,,36,conf/icic,,51.0,,36,conf/kes,B1,0.0106883283454
37,conf/IEEEicci,1014.0,2492.0,,,,37,journals/fss,A1,51.0,,37,conf/aaai,A1,0.00992720052945
38,journals/ijcini,171.0,608.0,,,,38,conf/kes,B1,50.0,,38,conf/ijcnn,A2,0.00977082963226
39,conf/grc,1508.0,3780.0,,,,39,journals/fuin,B1,50.0,,39,conf/smc,B2,0.00958670643375
40,journals/tsmc,7525.0,282768.0,,,,40,conf/vtc,A1,50.0,,40,journals/pr,A1,0.00726571767497
41,journals/ijssci,121.0,214.0,,,,41,journals/tnn,,49.0,,41,journals/eswa,A1,0.00660250671441
42,conf/ifip12,2618.0,3359.0,,,,42,journals/pr,A1,49.0,,42,conf/igarss,B1,0.00564929755445
43,conf/icdm,3266.0,43188.0,A1,,,43,journals/tfs,A1,49.0,,43,conf/chi,A1,0.00542208095728
44,conf/rsctc,751.0,7784.0,,,,44,conf/icra,A1,49.0,,44,conf/iros,A1,0.00463099088503
45,conf/ijcnn,5629.0,15630.0,A2,,,45,conf/rsfdgrc,,48.0,,45,conf/vtc,A1,0.0045508328024
46,conf/acl,4242.0,195392.0,A1,,,46,journals/tcos,B5,48.0,,46,conf/globecom,A1,0.00371163454675
47,journals/ieicet,16941.0,18868.0,,,,47,journals/neco,A1,48.0,,47,conf/icip,A1,0.00364520048603
48,journals/tnn,3864.0,312231.0,,,,48,conf/icassp,A1,46.0,,48,journals/ieicet,,0.00306947641816
49,journals/tfs,1791.0,87889.0,A1,,,49,journals/jcst,B2,45.0,,49,conf/icra,A1,0.00305524379598
50,journals/tcos,310.0,514.0,B5,,,50,conf/webi,,45.0,,50,conf/icassp,A1,0.00161262050833
