Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/cvpr,A1,3453.0,,1,conf/iccv,A1,0.520238885202
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/iccv,A1,1568.0,,2,conf/cvpr,A1,0.502327611289
3,conf/icml,3294.0,290468.0,A1,69.0,,3,conf/eccv,A1,1504.0,,3,journals/ijcv,A1,0.493982808023
4,conf/nips,5684.0,404822.0,A1,66.0,,4,journals/pami,A1,1419.0,,4,conf/eccv,A1,0.451787323521
5,conf/icra,16038.0,236265.0,A1,61.0,,5,conf/icip,A1,1050.0,,5,conf/emmcvpr,,0.313218390805
6,conf/eccv,3329.0,159515.0,A1,59.0,,6,conf/icpr,A1,930.0,,6,journals/pami,A1,0.279716144293
7,conf/icassp,28525.0,238265.0,A1,47.0,,7,journals/ijcv,A1,862.0,,7,conf/bmvc,A2,0.268562401264
8,journals/mia,1047.0,45369.0,A1,47.0,,8,conf/bmvc,A2,680.0,,8,conf/wacv,B1,0.240495137047
9,conf/iros,13604.0,126537.0,A1,45.0,,9,conf/miccai,A1,545.0,,9,conf/scalespace,,0.230496453901
10,journals/prl,5475.0,100320.0,A1,44.0,,10,journals/tip,A1,432.0,,10,conf/fgr,,0.22628458498
11,conf/aaai,7555.0,234650.0,A1,37.0,,11,conf/icmcs,B3,411.0,,11,conf/accv,,0.214484679666
12,conf/bmvc,2532.0,51771.0,A2,37.0,,12,conf/nips,A1,391.0,,12,journals/cviu,A1,0.202217529039
13,conf/icip,17283.0,156642.0,A1,35.0,,13,conf/accv,,385.0,,13,conf/3dim,B1,0.185970636215
14,conf/miccai,4743.0,59627.0,A1,32.0,,14,journals/cviu,A1,383.0,,14,conf/icb,,0.165722379603
15,conf/icpr,8972.0,82067.0,A1,29.0,,15,conf/mm,A1,377.0,,15,journals/tog,A1,0.134964150148
16,conf/icb,706.0,5469.0,,27.0,,16,conf/icassp,A1,366.0,,16,conf/vmv,,0.116279069767
17,conf/iscas,16967.0,68042.0,A1,27.0,,17,journals/pr,A1,342.0,,17,conf/miccai,A1,0.114906177525
18,conf/siggraph,4741.0,307117.0,A2,26.0,,18,journals/tog,A1,320.0,,18,journals/ivc,A1,0.112451361868
19,conf/isbi,4174.0,14072.0,B1,26.0,,19,journals/ivc,A1,289.0,,19,conf/ismar,A2,0.105209397344
20,conf/accv,1795.0,12712.0,,25.0,,20,conf/icra,A1,283.0,,20,conf/icpr,A1,0.103655818101
21,conf/icmcs,7286.0,55698.0,B3,23.0,,21,conf/wacv,B1,272.0,,21,journals/mia,A1,0.102196752627
22,conf/wacv,1131.0,16365.0,B1,18.0,,22,conf/isbi,B1,269.0,,22,conf/sspr,B1,0.0988636363636
23,conf/caip,1274.0,7211.0,B2,16.0,,23,conf/fgr,,229.0,,23,conf/dagm,,0.0983455882353
24,conf/scalespace,564.0,9978.0,,14.0,,24,conf/dagm,,214.0,,24,journals/jmiv,B1,0.0945558739255
25,conf/vmv,645.0,10392.0,,12.0,,25,conf/iros,A1,203.0,,25,conf/mm,A1,0.0907122232916
26,conf/iciap,1457.0,11752.0,B1,12.0,,26,journals/prl,A1,169.0,,26,journals/tip,A1,0.0845070422535
27,conf/pcm,1620.0,3882.0,,10.0,,27,journals/tcsv,A1,157.0,,27,journals/tmm,A1,0.083185840708
28,conf/mva,1722.0,6416.0,B3,9.0,,28,journals/cgf,A2,151.0,,28,journals/mva,B1,0.0770593445527
29,conf/sspr,880.0,5411.0,B1,8.0,,29,journals/tmm,A1,141.0,,29,journals/cvgip,,0.0752148997135
30,conf/iccv,3014.0,216626.0,A1,,,30,conf/scalespace,,130.0,,30,conf/caip,B2,0.0722135007849
31,journals/pami,5073.0,667087.0,A1,,,31,conf/siggraph,A2,127.0,,31,conf/nips,A1,0.0687895847994
32,journals/ijcv,1745.0,252396.0,A1,,,32,journals/tmi,A1,126.0,,32,conf/pcm,,0.0648148148148
33,journals/tip,5112.0,231992.0,A1,,,33,conf/icb,,117.0,,33,conf/isbi,B1,0.0644465740297
34,journals/cviu,1894.0,78359.0,A1,,,34,conf/3dim,B1,114.0,,34,conf/icip,A1,0.0607533414338
35,conf/mm,4156.0,84789.0,A1,,,35,conf/aaai,A1,111.0,,35,conf/icmcs,B3,0.0564095525666
36,journals/tog,2371.0,136331.0,A1,,,36,conf/emmcvpr,,109.0,,36,journals/tcsv,A1,0.0520729684909
37,journals/ivc,2570.0,70197.0,A1,,,37,journals/mia,A1,107.0,,37,conf/iciap,B1,0.0514756348662
38,conf/fgr,1012.0,42786.0,,,,38,journals/cvgip,,105.0,,38,conf/mva,B3,0.0511033681765
39,conf/dagm,2176.0,10564.0,,,,39,conf/pcm,,105.0,,39,journals/pr,A1,0.0507117437722
40,journals/tcsv,3015.0,109012.0,A1,,,40,conf/ismar,A2,103.0,,40,journals/cgf,A2,0.0493948315342
41,journals/cgf,3057.0,50712.0,A2,,,41,conf/icml,A1,102.0,,41,journals/tmi,A1,0.0409090909091
42,journals/tmm,1695.0,38203.0,A1,,,42,journals/jmiv,B1,99.0,,42,conf/icml,A1,0.0309653916211
43,journals/tmi,3080.0,134076.0,A1,,,43,conf/caip,B2,92.0,,43,journals/prl,A1,0.0308675799087
44,conf/3dim,613.0,8150.0,B1,,,44,conf/mva,B3,88.0,,44,conf/siggraph,A2,0.0267875975533
45,conf/emmcvpr,348.0,6541.0,,,,45,journals/mva,B1,87.0,,45,conf/icra,A1,0.0176455917197
46,journals/cvgip,1396.0,71457.0,,,,46,conf/sspr,B1,87.0,,46,conf/iros,A1,0.0149220817407
47,conf/ismar,979.0,12048.0,A2,,,47,journals/tsmc,,79.0,,47,conf/aaai,A1,0.0146922567836
48,journals/jmiv,1047.0,20761.0,B1,,,48,conf/vmv,,75.0,,48,conf/icassp,A1,0.0128308501315
49,journals/mva,1129.0,21489.0,B1,,,49,conf/iciap,B1,75.0,,49,journals/tsmc,,0.0104983388704
50,journals/tsmc,7525.0,282768.0,,,,50,conf/iscas,A1,73.0,,50,conf/iscas,A1,0.00430246949962
