Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/kdd,A1,1423.0,,1,journals/tkdd,,0.545945945946
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/icdm,A1,935.0,,2,journals/sigkdd,,0.524945770065
3,conf/www,4501.0,120253.0,A1,83.0,,3,conf/cikm,A1,602.0,,3,conf/kdd,A1,0.495991634716
4,journals/bmcbi,7074.0,136587.0,A1,73.0,,4,conf/icde,A1,521.0,,4,conf/sdm,A2,0.468809073724
5,journals/ml,1309.0,184440.0,A1,73.0,,5,conf/icml,A1,499.0,,5,journals/datamine,A2,0.392857142857
6,journals/isci,7032.0,124049.0,A1,70.0,,6,conf/sdm,A2,496.0,,6,conf/wsdm,B1,0.288930581614
7,conf/icml,3294.0,290468.0,A1,69.0,,7,journals/tkde,A1,483.0,,7,conf/icdm,A1,0.286282914881
8,conf/nips,5684.0,404822.0,A1,66.0,,8,conf/www,A1,446.0,,8,conf/pkdd,A2,0.196386946387
9,conf/sigmod,3706.0,337960.0,A1,61.0,,9,conf/sigmod,A1,417.0,,9,journals/kais,A2,0.186868686869
10,conf/wsdm,533.0,8651.0,B1,54.0,,10,conf/aaai,A1,395.0,,10,conf/pakdd,,0.169430051813
11,conf/icde,4327.0,135333.0,A1,52.0,,11,conf/pkdd,A2,337.0,,11,journals/tkde,A1,0.165241190558
12,conf/sigir,3545.0,205477.0,A1,49.0,,12,conf/nips,A1,332.0,,12,conf/icml,A1,0.151487553127
13,conf/ijcai,6188.0,295635.0,A1,46.0,,13,conf/pakdd,,327.0,,13,journals/vldb,A2,0.148425787106
14,journals/ijon,7349.0,79598.0,A1,45.0,,14,conf/vldb,A1,265.0,,14,conf/cikm,A1,0.138933764136
15,conf/aaai,7555.0,234650.0,A1,37.0,,15,conf/sigir,A1,248.0,,15,conf/recsys,B1,0.124065769806
16,conf/edbt,1462.0,28921.0,A2,36.0,,16,conf/ijcai,A1,244.0,,16,conf/icde,A1,0.120406748324
17,conf/icip,17283.0,156642.0,A1,35.0,,17,journals/sigkdd,,242.0,,17,journals/pvldb,A1,0.120189061445
18,conf/sdm,1058.0,20754.0,A2,35.0,,18,journals/datamine,A2,209.0,,18,journals/ml,A1,0.116119174943
19,conf/vldb,2641.0,235473.0,A1,34.0,,19,journals/kais,A2,185.0,,19,conf/sigmod,A1,0.112520237453
20,conf/sac,5502.0,37130.0,A1,32.0,,20,journals/jmlr,A1,181.0,,20,conf/dis,A2,0.104815864023
21,conf/uai,1965.0,147942.0,A1,32.0,,21,journals/pvldb,A1,178.0,,21,conf/asunam,,0.101237345332
22,conf/pods,1107.0,115617.0,A1,28.0,,22,conf/wsdm,B1,154.0,,22,conf/vldb,A1,0.100340780008
23,conf/icmcs,7286.0,55698.0,B3,23.0,,23,conf/icmcs,B3,153.0,,23,conf/www,A1,0.099089091313
24,conf/webi,1781.0,10504.0,,22.0,,24,journals/ml,A1,152.0,,24,conf/edbt,A2,0.0964432284542
25,conf/asunam,889.0,1589.0,,20.0,,25,conf/edbt,A2,141.0,,25,conf/ssdbm,A2,0.0886075949367
26,journals/sigkdd,461.0,21066.0,,20.0,,26,conf/mm,A1,136.0,,26,journals/jmlr,A1,0.0836027713626
27,conf/igarss,13453.0,19429.0,B1,20.0,,27,journals/bioinformatics,A1,118.0,,27,conf/sigir,A1,0.0699576868829
28,conf/ssdbm,1027.0,9842.0,A2,19.0,,28,conf/cvpr,A1,107.0,,28,conf/pods,A1,0.0641373080397
29,conf/dasfaa,1628.0,6723.0,B1,17.0,,29,conf/ictai,A2,106.0,,29,conf/dasfaa,B1,0.0614250614251
30,conf/ictai,2505.0,27065.0,A2,14.0,,30,journals/ijon,A1,105.0,,30,conf/nips,A1,0.0584095707248
31,conf/dis,706.0,4812.0,A2,12.0,,31,journals/tkdd,,101.0,,31,journals/debu,,0.0571205007825
32,conf/kdd,2869.0,148223.0,A1,,,32,conf/dasfaa,B1,100.0,,32,conf/aaai,A1,0.0522832561218
33,conf/icdm,3266.0,43188.0,A1,,,33,journals/vldb,A2,99.0,,33,conf/uai,A1,0.0432569974555
34,conf/cikm,4333.0,72291.0,A1,,,34,journals/isci,A1,91.0,,34,conf/ictai,A2,0.0423153692615
35,journals/tkde,2923.0,124112.0,A1,,,35,conf/ssdbm,A2,91.0,,35,conf/webi,,0.0415496911847
36,conf/pkdd,1716.0,25605.0,A2,,,36,conf/asunam,,90.0,,36,conf/ijcai,A1,0.0394311570782
37,conf/pakdd,1930.0,14336.0,,,,37,conf/sac,A1,90.0,,37,conf/mm,A1,0.0327237728585
38,journals/datamine,532.0,42245.0,A2,,,38,journals/bmcbi,A1,88.0,,38,conf/icmcs,B3,0.0209991765029
39,journals/kais,990.0,24743.0,A2,,,39,conf/ipps,A1,87.0,,39,journals/tnn,,0.0194099378882
40,journals/jmlr,2165.0,94215.0,A1,,,40,conf/igarss,B1,86.0,,40,conf/acl,A1,0.017916077322
41,journals/pvldb,1481.0,18238.0,A1,,,41,conf/uai,A1,85.0,,41,conf/sac,A1,0.0163576881134
42,conf/mm,4156.0,84789.0,A1,,,42,conf/recsys,B1,83.0,,42,conf/cvpr,A1,0.0155659004946
43,journals/bioinformatics,10067.0,582213.0,A1,,,43,conf/icip,A1,79.0,,43,journals/ijon,A1,0.0142876581848
44,journals/tkdd,185.0,2796.0,,,,44,conf/acl,A1,76.0,,44,journals/isci,A1,0.0129408418658
