Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/chi,A1,3988.0,,1,conf/uist,A1,0.470877768663
2,journals/computer,4766.0,261329.0,,76.0,,2,conf/uist,A1,574.0,,2,journals/tochi,,0.460591133005
3,journals/behaviourIT,1033.0,21287.0,,52.0,,3,conf/cscw,A1,555.0,,3,conf/chi,A1,0.37281480789
4,journals/interactions,2020.0,25053.0,B2,46.0,,4,journals/interactions,B2,374.0,,4,journals/hhci,,0.348958333333
5,conf/uist,1219.0,52308.0,A1,40.0,,5,conf/interact,B1,329.0,,5,conf/ACMdis,,0.346534653465
6,conf/hicss,11101.0,101629.0,A1,38.0,,6,conf/mhci,,264.0,,6,conf/cscw,A1,0.309709821429
7,conf/cscw,1792.0,98709.0,A1,37.0,,7,conf/huc,,251.0,,7,conf/soups,B1,0.309523809524
8,conf/aaai,7555.0,234650.0,A1,37.0,,8,conf/ACMdis,,245.0,,8,conf/ecscw,B1,0.298932384342
9,conf/pervasive,274.0,10214.0,A2,32.0,,9,journals/cacm,A1,235.0,,9,conf/tabletop,,0.263969171484
10,conf/soups,210.0,3281.0,B1,29.0,,10,journals/ijmms,A1,200.0,,10,conf/graphicsinterface,,0.220820189274
11,conf/hri,1198.0,5977.0,A2,29.0,,11,journals/tochi,,187.0,,11,conf/pervasive,A2,0.21897810219
12,journals/cga,1531.0,41215.0,A2,28.0,,12,journals/puc,B1,158.0,,12,conf/mhci,,0.218724109362
13,conf/siggraph,4741.0,307117.0,A2,26.0,,13,conf/iui,A1,157.0,,13,conf/group,A2,0.207357859532
14,conf/iui,1360.0,26631.0,A1,26.0,,14,conf/vl,,141.0,,14,conf/nordichi,B1,0.186046511628
15,journals/hhci,384.0,56493.0,,25.0,,15,conf/graphicsinterface,,140.0,,15,journals/interactions,B2,0.185148514851
16,conf/hci,10109.0,15200.0,A2,25.0,,16,conf/tei,B1,137.0,,16,conf/interact,B1,0.181467181467
17,conf/interact,1813.0,17182.0,B1,24.0,,17,conf/tabletop,,137.0,,17,journals/cscw,B3,0.17903930131
18,conf/candc,526.0,1982.0,,22.0,,18,conf/nordichi,B1,136.0,,18,conf/tei,B1,0.175191815857
19,conf/acmidc,705.0,3545.0,,21.0,,19,journals/hhci,,134.0,,19,conf/huc,,0.166999334664
20,conf/ph,659.0,3089.0,,21.0,,20,conf/group,A2,124.0,,20,conf/acmidc,,0.154609929078
21,conf/icmi,1076.0,11229.0,A2,20.0,,21,conf/avi,A2,120.0,,21,conf/avi,A2,0.144578313253
22,conf/group,598.0,10785.0,A2,19.0,,22,conf/siggraph,A2,113.0,,22,journals/puc,B1,0.138475021911
23,conf/assets,895.0,8381.0,A2,19.0,,23,conf/hci,A2,112.0,,23,journals/pervasive,A2,0.136536030341
24,conf/bcshci,817.0,5854.0,,17.0,,24,conf/acmidc,,109.0,,24,conf/bcshci,,0.133414932681
25,conf/graphicsinterface,634.0,15397.0,,17.0,,25,conf/bcshci,,109.0,,25,conf/iui,A1,0.115441176471
26,conf/vl,1328.0,19263.0,,17.0,,26,journals/pervasive,A2,108.0,,26,conf/vl,,0.106174698795
27,conf/ACMdis,707.0,9284.0,,17.0,,27,journals/iwc,B1,102.0,,27,journals/iwc,B1,0.103658536585
28,conf/avi,830.0,7670.0,A2,14.0,,28,conf/hicss,A1,102.0,,28,conf/assets,A2,0.102793296089
29,conf/mc,1386.0,960.0,,7.0,,29,journals/tvcg,A1,95.0,,29,conf/ozchi,B1,0.101542416452
30,conf/chi,10697.0,257222.0,A1,6.0,,30,conf/assets,A2,92.0,,30,conf/candc,,0.0969581749049
31,conf/mhci,1207.0,8589.0,,,,31,journals/tog,A1,86.0,,31,conf/ph,,0.0789074355083
