Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/ccs,A1,649.0,,1,conf/sp,B1,0.58543983822
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/sp,B1,579.0,,2,conf/ndss,A1,0.412639405204
3,journals/computer,4766.0,261329.0,,76.0,,3,journals/iacr,,531.0,,3,conf/csfw,A1,0.401785714286
4,conf/icde,4327.0,135333.0,A1,52.0,,4,conf/uss,,339.0,,4,journals/tissec,,0.391849529781
5,conf/eurocrypt,1310.0,147911.0,A1,48.0,,5,conf/acsac,A1,235.0,,5,conf/dimva,B1,0.384615384615
6,conf/pldi,1303.0,110902.0,A1,46.0,,6,conf/csfw,A1,225.0,,6,conf/raid,A2,0.358490566038
7,conf/popl,1511.0,171888.0,A1,45.0,,7,conf/ndss,A1,222.0,,7,conf/uss,,0.345565749235
8,journals/comcom,4829.0,48151.0,A2,42.0,,8,journals/cacm,A1,222.0,,8,conf/pet,,0.321585903084
9,conf/ndss,538.0,23946.0,A1,39.0,,9,conf/dbsec,,194.0,,9,journals/jcs,,0.311158798283
10,journals/tcs,10811.0,391021.0,A1,38.0,,10,conf/esorics,A2,192.0,,10,conf/ccs,A1,0.280952380952
11,conf/asiacrypt,884.0,39222.0,A1,34.0,,11,journals/ieeesp,,156.0,,11,conf/dbsec,,0.278335724534
12,conf/sec,831.0,5600.0,B1,34.0,,12,journals/jcs,,145.0,,12,conf/acsac,A1,0.270737327189
13,conf/fc,621.0,14257.0,B1,28.0,,13,conf/crypto,A1,137.0,,13,conf/wpes,,0.246913580247
14,conf/sp,989.0,93159.0,B1,27.0,,14,conf/raid,A2,133.0,,14,conf/esorics,A2,0.244585987261
15,conf/sacmat,374.0,10440.0,A1,23.0,,15,journals/tissec,,125.0,,15,conf/nspw,,0.232484076433
16,conf/raid,371.0,12063.0,A2,22.0,,16,conf/eurocrypt,A1,123.0,,16,conf/sacmat,A1,0.224598930481
17,conf/acns,405.0,5170.0,B1,19.0,,17,conf/spw,B4,123.0,,17,conf/spw,B4,0.19806763285
18,conf/isw,533.0,8946.0,,16.0,,18,journals/tse,A1,111.0,,18,journals/ijisec,B1,0.167664670659
19,conf/securecomm,351.0,3677.0,B1,15.0,,19,conf/fc,B1,103.0,,19,conf/fc,B1,0.165861513688
20,conf/imc,520.0,24389.0,A1,13.0,,20,journals/tkde,A1,92.0,,20,journals/tdsc,B1,0.16393442623
21,conf/dsn,1246.0,21786.0,A1,12.0,,21,journals/sigsoft,,91.0,,21,conf/securecomm,B1,0.136752136752
