Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/cikm,A1,1747.0,,1,conf/wsdm,B1,0.425891181989
2,journals/is,1504.0,32461.0,A2,72.0,,2,conf/sigir,A1,1223.0,,2,conf/cikm,A1,0.403184860374
3,journals/isci,7032.0,124049.0,A1,70.0,,3,conf/icde,A1,753.0,,3,conf/sigir,A1,0.344992947814
4,conf/sigmod,3706.0,337960.0,A1,61.0,,4,conf/www,A1,728.0,,4,conf/ecir,A2,0.338015803336
5,conf/wsdm,533.0,8651.0,B1,54.0,,5,journals/tkde,A1,578.0,,5,conf/trec,A2,0.284675615213
6,conf/icde,4327.0,135333.0,A1,52.0,,6,conf/kdd,A1,569.0,,6,journals/sigir,,0.271844660194
7,conf/sigir,3545.0,205477.0,A1,49.0,,7,conf/icdm,A1,553.0,,7,journals/ir,B1,0.259259259259
8,journals/ir,432.0,42026.0,B1,49.0,,8,conf/trec,A2,509.0,,8,conf/sdm,A2,0.258979206049
9,conf/icwsm,797.0,7564.0,B1,48.0,,9,conf/sigmod,A1,456.0,,9,conf/dasfaa,B1,0.234643734644
10,conf/ijcai,6188.0,295635.0,A1,46.0,,10,conf/ecir,A2,385.0,,10,journals/vldb,A2,0.233883058471
11,conf/aaai,7555.0,234650.0,A1,37.0,,11,conf/dasfaa,B1,382.0,,11,journals/tois,A2,0.214754098361
12,conf/edbt,1462.0,28921.0,A2,36.0,,12,conf/pakdd,,323.0,,12,conf/kdd,A1,0.198326943186
13,conf/sdm,1058.0,20754.0,A2,35.0,,13,conf/vldb,A1,278.0,,13,journals/tkde,A1,0.197742045843
14,conf/vldb,2641.0,235473.0,A1,34.0,,14,journals/pvldb,A1,277.0,,14,conf/airs,B3,0.191881918819
15,conf/sac,5502.0,37130.0,A1,32.0,,15,conf/sdm,A2,274.0,,15,journals/pvldb,A1,0.187035786631
16,conf/clef,2767.0,18658.0,B2,24.0,,16,conf/clef,B2,260.0,,16,conf/icde,A1,0.174023572914
17,conf/mdm,961.0,7523.0,A2,23.0,,17,conf/edbt,A2,253.0,,17,conf/edbt,A2,0.173050615595
18,conf/icmcs,7286.0,55698.0,B3,23.0,,18,conf/aaai,A1,236.0,,18,conf/icdm,A1,0.169320269443
19,conf/webi,1781.0,10504.0,,22.0,,19,conf/wsdm,B1,227.0,,19,conf/pakdd,,0.167357512953
20,conf/jcdl,1597.0,13713.0,A2,21.0,,20,conf/waim,B2,207.0,,20,conf/waim,B2,0.164808917197
21,journals/sigmod,1568.0,46055.0,A1,21.0,,21,conf/jcdl,A2,207.0,,21,conf/www,A1,0.161741835148
22,conf/ssdbm,1027.0,9842.0,A2,19.0,,22,journals/sigir,,196.0,,22,journals/kais,A2,0.139393939394
23,conf/dasfaa,1628.0,6723.0,B1,17.0,,23,journals/ipm,,171.0,,23,conf/jcdl,A2,0.129618033813
24,conf/trec,1788.0,55555.0,A2,16.0,,24,conf/dexa,B1,171.0,,24,conf/apweb,B2,0.129113924051
25,conf/wise,1315.0,10431.0,B1,14.0,,25,journals/jasis,A1,160.0,,25,conf/sigmod,A1,0.123043712898
26,journals/ipm,2616.0,85353.0,,12.0,,26,conf/mm,A1,156.0,,26,conf/icwsm,B1,0.117942283563
27,conf/waim,1256.0,2798.0,B2,11.0,,27,journals/vldb,A2,156.0,,27,conf/wise,B1,0.113307984791
28,journals/sigir,721.0,31047.0,,11.0,,28,conf/icmcs,B3,155.0,,28,conf/vldb,A1,0.105263157895
29,conf/airs,542.0,1314.0,B3,10.0,,29,conf/apweb,B2,153.0,,29,conf/ssdbm,A2,0.101265822785
30,conf/cikm,4333.0,72291.0,A1,,,30,conf/webi,,152.0,,30,conf/mdm,A2,0.100936524454
31,journals/tkde,2923.0,124112.0,A1,,,31,conf/ijcai,A1,150.0,,31,journals/dke,,0.100412654746
32,conf/kdd,2869.0,148223.0,A1,,,32,conf/wise,B1,149.0,,32,conf/clef,B2,0.0939645825804
33,conf/icdm,3266.0,43188.0,A1,,,33,journals/dke,,146.0,,33,journals/sigmod,A1,0.0873724489796
34,conf/ecir,1139.0,8436.0,A2,,,34,conf/pkdd,A2,143.0,,34,conf/webi,,0.0853453116227
35,conf/pakdd,1930.0,14336.0,,,,35,conf/sac,A1,138.0,,35,conf/pkdd,A2,0.0833333333333
36,journals/pvldb,1481.0,18238.0,A1,,,36,journals/kais,A2,138.0,,36,conf/ercimdl,,0.0828138913624
37,conf/dexa,2167.0,14267.0,B1,,,37,journals/sigmod,A1,137.0,,37,conf/dexa,B1,0.078910936779
38,journals/jasis,5376.0,281507.0,A1,,,38,conf/er,A2,134.0,,38,journals/is,A2,0.0757978723404
39,conf/mm,4156.0,84789.0,A1,,,39,journals/isci,A1,132.0,,39,journals/ipm,,0.0653669724771
40,journals/vldb,667.0,36101.0,A2,,,40,journals/tois,A2,131.0,,40,conf/er,A2,0.0603331832508
41,conf/apweb,1185.0,3115.0,B2,,,41,journals/is,A2,114.0,,41,conf/icdcs,A1,0.040276647681
42,journals/dke,1454.0,29615.0,,,,42,journals/ir,B1,112.0,,42,conf/mm,A1,0.0375360923965
43,conf/pkdd,1716.0,25605.0,A2,,,43,conf/acl,A1,110.0,,43,conf/semweb,,0.0363355237727
44,journals/kais,990.0,24743.0,A2,,,44,conf/ssdbm,A2,104.0,,44,conf/aaai,A1,0.0312375909993
45,conf/er,2221.0,28947.0,A2,,,45,conf/airs,B3,104.0,,45,journals/jasis,A1,0.0297619047619
46,journals/tois,610.0,71840.0,A2,,,46,conf/icdcs,A1,99.0,,46,conf/acl,A1,0.025931164545
47,conf/acl,4242.0,195392.0,A1,,,47,conf/mdm,A2,97.0,,47,conf/sac,A1,0.0250817884406
48,conf/icdcs,2458.0,87448.0,A1,,,48,conf/icwsm,B1,94.0,,48,conf/ijcai,A1,0.0242404654169
49,conf/semweb,2587.0,52477.0,,,,49,conf/semweb,,94.0,,49,conf/icmcs,B3,0.0212736755421
50,conf/ercimdl,1123.0,9491.0,,,,50,conf/ercimdl,,93.0,,50,journals/isci,A1,0.018771331058
