Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/nips,A1,1815.0,,1,conf/icml,A1,0.487249544627
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/icml,A1,1605.0,,2,journals/jmlr,A1,0.434642032333
3,conf/www,4501.0,120253.0,A1,83.0,,3,journals/jmlr,A1,941.0,,3,conf/colt,A2,0.377049180328
4,journals/ml,1309.0,184440.0,A1,73.0,,4,conf/aaai,A1,625.0,,4,conf/aistats,,0.356890459364
5,journals/bmcbi,7074.0,136587.0,A1,73.0,,5,journals/ml,A1,420.0,,5,journals/ml,A1,0.320855614973
6,conf/icml,3294.0,290468.0,A1,69.0,,6,conf/colt,A2,414.0,,6,conf/nips,A1,0.319317382125
7,conf/nips,5684.0,404822.0,A1,66.0,,7,conf/kdd,A1,402.0,,7,conf/uai,A1,0.199491094148
8,conf/icra,16038.0,236265.0,A1,61.0,,8,conf/uai,A1,392.0,,8,conf/alt,B1,0.154255319149
9,conf/eccv,3329.0,159515.0,A1,59.0,,9,conf/ijcai,A1,386.0,,9,conf/ilp,B1,0.143403441683
10,conf/emnlp,1380.0,19971.0,A1,53.0,,10,conf/icassp,A1,259.0,,10,conf/kdd,A1,0.140118508191
11,journals/nn,3310.0,136228.0,A1,52.0,,11,conf/cvpr,A1,243.0,,11,conf/pkdd,A2,0.137529137529
12,conf/sigir,3545.0,205477.0,A1,49.0,,12,conf/pkdd,A2,236.0,,12,conf/sdm,A2,0.100189035917
13,conf/naacl,1498.0,59153.0,A1,48.0,,13,conf/aistats,,202.0,,13,conf/aaai,A1,0.0827266710788
14,conf/icassp,28525.0,238265.0,A1,47.0,,14,conf/icdm,A1,184.0,,14,conf/emnlp,A1,0.0797101449275
15,journals/ai,2580.0,376792.0,A1,46.0,,15,journals/neco,A1,181.0,,15,journals/jair,A1,0.0790419161677
16,conf/ijcai,6188.0,295635.0,A1,46.0,,16,journals/pami,A1,159.0,,16,journals/neco,A1,0.0732200647249
17,conf/iros,13604.0,126537.0,A1,45.0,,17,journals/bioinformatics,A1,137.0,,17,conf/ijcai,A1,0.0623787976729
18,conf/interspeech,17729.0,130378.0,A1,39.0,,18,conf/acl,A1,135.0,,18,conf/icdm,A1,0.056338028169
19,journals/siamcomp,3124.0,269865.0,A1,39.0,,19,conf/sigir,A1,129.0,,19,conf/naacl,A1,0.0467289719626
20,journals/neco,2472.0,320711.0,A1,38.0,,20,journals/tnn,,119.0,,20,journals/ai,A1,0.0453488372093
21,conf/aaai,7555.0,234650.0,A1,37.0,,21,journals/tit,A1,117.0,,21,journals/aim,A2,0.0409240924092
22,conf/icip,17283.0,156642.0,A1,35.0,,22,journals/ai,A1,117.0,,22,conf/sigir,A1,0.036389280677
23,conf/sdm,1058.0,20754.0,A2,35.0,,23,conf/alt,B1,116.0,,23,conf/cvpr,A1,0.0353505964504
24,conf/uai,1965.0,147942.0,A1,32.0,,24,conf/icip,A1,111.0,,24,conf/icann,B1,0.0338218714769
25,conf/colt,1098.0,172142.0,A2,27.0,,25,conf/emnlp,A1,110.0,,25,conf/acl,A1,0.0318246110325
26,journals/aim,1515.0,75041.0,A2,22.0,,26,conf/cikm,A1,108.0,,26,conf/pakdd,,0.0316062176166
27,conf/atal,4645.0,93519.0,,20.0,,27,conf/sdm,A2,106.0,,27,journals/pami,A1,0.0313424009462
28,conf/icann,2661.0,16880.0,B1,14.0,,28,conf/icra,A1,105.0,,28,journals/tnn,,0.0307971014493
29,conf/alt,752.0,112195.0,B1,13.0,,29,conf/atal,,104.0,,29,journals/tkde,A1,0.0256585699624
30,conf/ilp,523.0,14495.0,B1,10.0,,30,conf/www,A1,95.0,,30,conf/stoc,A1,0.025198938992
31,journals/jmlr,2165.0,94215.0,A1,,,31,conf/interspeech,A1,92.0,,31,conf/cikm,A1,0.0249249942303
32,conf/kdd,2869.0,148223.0,A1,,,32,conf/icann,B1,90.0,,32,journals/nn,A1,0.0247734138973
33,conf/pkdd,1716.0,25605.0,A2,,,33,conf/iros,A1,83.0,,33,conf/eccv,A1,0.0234304595975
34,conf/aistats,566.0,11966.0,,,,34,journals/nn,A1,82.0,,34,conf/atal,,0.0223896663079
35,conf/icdm,3266.0,43188.0,A1,,,35,journals/tsp,A1,79.0,,35,journals/jcss,A2,0.0223146747352
36,journals/pami,5073.0,667087.0,A1,,,36,conf/eccv,A1,78.0,,36,conf/iccv,A1,0.0212342402123
37,journals/bioinformatics,10067.0,582213.0,A1,,,37,conf/stoc,A1,76.0,,37,conf/www,A1,0.0211064207954
