Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,journals/ior,A1,716.0,,1,conf/ipco,B1,0.554054054054
2,journals/interfaces,714.0,4506.0,B2,63.0,,2,journals/mp,A1,570.0,,2,journals/ior,A1,0.483783783784
3,journals/mansci,2100.0,125312.0,B2,62.0,,3,journals/eor,A1,378.0,,3,journals/msom,,0.277486910995
4,journals/ior,1480.0,54189.0,A1,61.0,,4,journals/orl,B1,364.0,,4,journals/transci,B2,0.227722772277
5,journals/networks,1952.0,113935.0,B1,52.0,,5,conf/wsc,A1,344.0,,5,journals/mor,A2,0.218872870249
6,journals/msom,382.0,7891.0,,49.0,,6,conf/ipco,B1,328.0,,6,journals/disopt,B1,0.188328912467
7,conf/soda,2924.0,204116.0,A1,43.0,,7,conf/soda,A1,268.0,,7,journals/orl,B1,0.187146529563
8,journals/siamjo,1172.0,70795.0,A1,41.0,,8,journals/mansci,B2,249.0,,8,journals/informs,A2,0.179946284691
9,journals/siamcomp,3124.0,269865.0,A1,39.0,,9,journals/dam,A2,207.0,,9,journals/mp,A1,0.165409170052
10,journals/tcs,10811.0,391021.0,A1,38.0,,10,journals/informs,A2,201.0,,10,conf/approx,B1,0.138314785374
11,journals/jacm,2719.0,368295.0,A1,35.0,,11,journals/cor,,199.0,,11,journals/mansci,B2,0.118571428571
12,conf/icalp,3119.0,122492.0,A1,33.0,,12,journals/networks,B1,181.0,,12,journals/questa,,0.104827586207
13,journals/dam,5729.0,70961.0,A2,31.0,,13,journals/mor,A2,167.0,,13,journals/4or,,0.0994318181818
14,journals/transci,707.0,31772.0,B2,31.0,,14,journals/transci,B2,161.0,,14,journals/tomacs,,0.0971302428256
15,journals/dm,11762.0,98470.0,A2,29.0,,15,journals/questa,,152.0,,15,journals/networks,B1,0.0927254098361
16,journals/algorithmica,2186.0,53176.0,,29.0,,16,journals/anor,A2,132.0,,16,conf/soda,A1,0.0916552667579
17,journals/siamdm,1952.0,43907.0,B1,26.0,,17,journals/siamcomp,A1,132.0,,17,journals/talg,B1,0.0762527233115
18,journals/jct,6280.0,105859.0,,23.0,,18,journals/siamdm,B1,119.0,,18,journals/scheduling,B1,0.072265625
19,journals/orl,1945.0,29366.0,B1,21.0,,19,conf/stoc,A1,118.0,,19,conf/esa,A2,0.068233510235
20,conf/igarss,13453.0,19429.0,B1,20.0,,20,conf/focs,A1,116.0,,20,journals/interfaces,B2,0.0672268907563
21,conf/approx,629.0,14236.0,B1,19.0,,21,journals/msom,,106.0,,21,journals/siamjo,A1,0.0622866894198
22,journals/combinatorica,1331.0,31860.0,,18.0,,22,conf/esa,A2,90.0,,22,conf/wine,,0.0616438356164
23,conf/wine,584.0,6553.0,,17.0,,23,conf/approx,B1,87.0,,23,journals/siamdm,B1,0.0609631147541
24,conf/ipco,592.0,23226.0,B1,15.0,,24,journals/algorithmica,,78.0,,24,journals/rsa,,0.0604949587534
