Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,conf/ipps,A1,2366.0,,1,journals/tpds,A1,0.356882959369
2,journals/computer,4766.0,261329.0,,76.0,,2,journals/tpds,A1,1177.0,,2,conf/ipps,A1,0.320683111954
3,conf/isca,1821.0,135083.0,A1,53.0,,3,conf/icpp,A2,1011.0,,3,conf/icpp,A2,0.294494611127
4,journals/fgcs,2265.0,38059.0,A2,48.0,,4,journals/jpdc,A2,817.0,,4,conf/lcpc,B4,0.289693593315
5,conf/globecom,14010.0,105540.0,A1,45.0,,5,journals/tc,A1,779.0,,5,journals/jpdc,A2,0.262195121951
6,conf/icc,14807.0,125393.0,A2,44.0,,6,conf/sc,A1,615.0,,6,conf/hipc,B1,0.247393364929
7,journals/comcom,4829.0,48151.0,A2,42.0,,7,conf/europar,,550.0,,7,conf/hpdc,A1,0.238596491228
8,conf/date,5135.0,52731.0,A1,41.0,,8,conf/infocom,A1,512.0,,8,conf/ics,A2,0.230769230769
9,conf/dac,6526.0,186313.0,A1,40.0,,9,conf/icdcs,A1,356.0,,9,conf/cluster,A2,0.230088495575
10,journals/cluster,714.0,8003.0,B2,39.0,,10,conf/globecom,A1,330.0,,10,journals/ijhpca,,0.217280813215
11,journals/tcs,10811.0,391021.0,A1,38.0,,11,conf/ics,A2,324.0,,11,conf/sc,A1,0.199222546161
12,conf/ppopp,790.0,28302.0,A2,35.0,,12,journals/pc,A2,311.0,,12,journals/cluster,B2,0.1918767507
13,conf/IEEEpact,810.0,14843.0,,32.0,,13,journals/tjs,B2,305.0,,13,conf/IEEEpact,,0.183950617284
14,conf/ics,1404.0,42901.0,A2,30.0,,14,journals/concurrency,,301.0,,14,journals/ppl,B2,0.183606557377
15,conf/iccS,4457.0,19295.0,A2,28.0,,15,conf/icc,A2,288.0,,15,conf/pvm,,0.181558935361
16,journals/pc,2477.0,46196.0,A2,25.0,,16,conf/ccgrid,A1,272.0,,16,conf/ppopp,A2,0.181012658228
17,conf/cluster,1130.0,8047.0,A2,25.0,,17,conf/hpdc,A1,272.0,,17,conf/ccgrid,A1,0.173690932312
18,conf/icpp,3433.0,53080.0,A2,22.0,,18,conf/icpads,B1,269.0,,18,conf/europar,,0.169022741242
19,conf/fpl,2396.0,18654.0,A2,22.0,,19,conf/hipc,B1,261.0,,19,journals/tjs,B2,0.158523908524
20,conf/mass,1232.0,6808.0,B1,22.0,,20,conf/cluster,A2,260.0,,20,conf/icppw,,0.158088235294
21,conf/icccn,2399.0,19747.0,B1,20.0,,21,conf/lcpc,B4,208.0,,21,conf/mass,B1,0.148538961039
