Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/cvpr,A1,3187.0,,1,conf/cvpr,A1,0.463631073611
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/icpr,A1,1485.0,,2,conf/iccv,A1,0.441274054413
3,journals/isci,7032.0,124049.0,A1,70.0,,3,journals/pami,A1,1456.0,,3,conf/eccv,A1,0.368879543406
4,conf/icml,3294.0,290468.0,A1,69.0,,4,journals/pr,A1,1358.0,,4,journals/ijcv,A1,0.356446991404
5,conf/nips,5684.0,404822.0,A1,66.0,,5,conf/iccv,A1,1330.0,,5,journals/pami,A1,0.287009658979
6,conf/icra,16038.0,236265.0,A1,61.0,,6,conf/icip,A1,1293.0,,6,conf/fgr,,0.266798418972
7,conf/eccv,3329.0,159515.0,A1,59.0,,7,conf/eccv,A1,1228.0,,7,conf/bmvc,A2,0.261848341232
8,conf/smc,9388.0,28167.0,B2,58.0,,8,conf/bmvc,A2,663.0,,8,conf/icb,,0.256373937677
9,conf/icassp,28525.0,238265.0,A1,47.0,,9,conf/miccai,A1,643.0,,9,conf/wacv,B1,0.249336870027
10,conf/iros,13604.0,126537.0,A1,45.0,,10,journals/ijcv,A1,622.0,,10,conf/accv,,0.230640668524
11,journals/ijon,7349.0,79598.0,A1,45.0,,11,journals/tip,A1,553.0,,11,journals/cviu,A1,0.214889123548
12,journals/prl,5475.0,100320.0,A1,44.0,,12,conf/icmcs,B3,510.0,,12,journals/pr,A1,0.201364175563
13,conf/aaai,7555.0,234650.0,A1,37.0,,13,journals/prl,A1,494.0,,13,conf/sspr,B1,0.189772727273
14,conf/bmvc,2532.0,51771.0,A2,37.0,,14,conf/icassp,A1,439.0,,14,conf/icpr,A1,0.165514935354
15,conf/icip,17283.0,156642.0,A1,35.0,,15,conf/mm,A1,427.0,,15,conf/icdar,A2,0.139029688631
16,conf/miccai,4743.0,59627.0,A1,32.0,,16,conf/accv,,414.0,,16,conf/miccai,A1,0.135568205777
17,conf/icdar,2762.0,27617.0,A2,31.0,,17,journals/cviu,A1,407.0,,17,journals/cvgip,,0.131088825215
18,conf/icpr,8972.0,82067.0,A1,29.0,,18,conf/icdar,A2,384.0,,18,journals/ivc,A1,0.130739299611
19,conf/icb,706.0,5469.0,,27.0,,19,conf/nips,A1,338.0,,19,journals/tog,A1,0.124420075917
20,conf/iscas,16967.0,68042.0,A1,27.0,,20,journals/ivc,A1,336.0,,20,journals/ijprai,B1,0.116483516484
21,conf/isbi,4174.0,14072.0,B1,26.0,,21,journals/tsmc,,311.0,,21,journals/tip,A1,0.108176838811
22,conf/siggraph,4741.0,307117.0,A2,26.0,,22,journals/tog,A1,295.0,,22,journals/tmm,A1,0.103244837758
23,conf/accv,1795.0,12712.0,,25.0,,23,conf/wacv,B1,282.0,,23,conf/mm,A1,0.102743022137
24,conf/icmcs,7286.0,55698.0,B3,23.0,,24,conf/isbi,B1,277.0,,24,journals/mva,B1,0.100088573959
25,conf/wacv,1131.0,16365.0,B1,18.0,,25,conf/fgr,,270.0,,25,conf/caip,B2,0.0934065934066
26,conf/caip,1274.0,7211.0,B2,16.0,,26,journals/ijon,A1,257.0,,26,journals/prl,A1,0.0902283105023
27,conf/iciap,1457.0,11752.0,B1,12.0,,27,journals/tcsv,A1,255.0,,27,conf/pcm,,0.0882716049383
28,conf/pcm,1620.0,3882.0,,10.0,,28,conf/icra,A1,228.0,,28,journals/tcsv,A1,0.0845771144279
29,conf/mva,1722.0,6416.0,B3,9.0,,29,journals/ijprai,B1,212.0,,29,conf/icip,A1,0.0748134004513
30,conf/sspr,880.0,5411.0,B1,8.0,,30,conf/iros,A1,187.0,,30,conf/dagm,,0.0735294117647
31,journals/pami,5073.0,667087.0,A1,,,31,journals/cvgip,,183.0,,31,conf/iciap,B1,0.070006863418
32,conf/iccv,3014.0,216626.0,A1,,,32,conf/icb,,181.0,,32,conf/icmcs,B3,0.0699972550096
33,journals/ijcv,1745.0,252396.0,A1,,,33,journals/tmm,A1,175.0,,33,conf/isbi,B1,0.0663632007667
34,journals/tip,5112.0,231992.0,A1,,,34,conf/sspr,B1,167.0,,34,conf/mva,B3,0.0638792102207
35,conf/mm,4156.0,84789.0,A1,,,35,conf/dagm,,160.0,,35,conf/nips,A1,0.0594651653765
36,journals/cviu,1894.0,78359.0,A1,,,36,journals/tnn,,157.0,,36,journals/tmi,A1,0.0477272727273
37,journals/ivc,2570.0,70197.0,A1,,,37,conf/aaai,A1,147.0,,37,journals/cgf,A2,0.0471050049068
38,journals/tsmc,7525.0,282768.0,,,,38,journals/tmi,A1,147.0,,38,journals/tsmc,,0.0413289036545
39,journals/tog,2371.0,136331.0,A1,,,39,journals/cgf,A2,144.0,,39,journals/tnn,,0.0406314699793
40,conf/fgr,1012.0,42786.0,,,,40,conf/pcm,,143.0,,40,journals/ijon,A1,0.034970744319
