Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,conf/rtss,A1,771.0,,1,conf/rtss,A1,0.669270833333
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/rtas,A2,433.0,,2,conf/rtas,A2,0.638643067847
3,conf/sigmod,3706.0,337960.0,A1,61.0,,3,conf/ecrts,A2,404.0,,3,journals/rts,B1,0.594155844156
4,conf/icde,4327.0,135333.0,A1,52.0,,4,conf/rtcsa,B1,394.0,,4,conf/ecrts,A2,0.527415143603
5,conf/date,5135.0,52731.0,A1,41.0,,5,conf/infocom,A1,373.0,,5,conf/rtcsa,B1,0.415173867229
6,conf/dac,6526.0,186313.0,A1,40.0,,6,journals/rts,B1,366.0,,6,conf/iccps,,0.383886255924
7,conf/sigmetrics,1490.0,70702.0,A1,39.0,,7,journals/tc,A1,345.0,,7,journals/sigbed,,0.306358381503
8,journals/tcs,10811.0,391021.0,A1,38.0,,8,conf/icdcs,A1,245.0,,8,conf/emsoft,A2,0.273305084746
9,conf/ipsn,841.0,28102.0,A1,36.0,,9,journals/tpds,A1,243.0,,9,conf/sies,B3,0.219584569733
10,conf/vldb,2641.0,235473.0,A1,34.0,,10,conf/ipps,A1,220.0,,10,conf/lctrts,,0.189448441247
11,conf/sac,5502.0,37130.0,A1,32.0,,11,conf/date,A1,213.0,,11,journals/tecs,B1,0.184139784946
12,conf/rtss,1152.0,65287.0,A1,30.0,,12,conf/isorc,B1,161.0,,12,conf/isorc,B1,0.167185877466
13,journals/rts,616.0,20049.0,B1,30.0,,13,conf/etfa,,141.0,,13,conf/adaEurope,,0.147812971342
14,conf/hybrid,964.0,37578.0,,27.0,,14,journals/tecs,B1,137.0,,14,conf/ipsn,A1,0.114149821641
15,conf/podc,1634.0,85678.0,A1,27.0,,15,conf/emsoft,A2,129.0,,15,conf/sensys,A1,0.10546875
16,conf/ecrts,766.0,12095.0,A2,24.0,,16,conf/dac,A1,114.0,,16,conf/codes,,0.10513739546
17,conf/icnp,860.0,26679.0,A1,22.0,,17,conf/sensys,A1,108.0,,17,conf/icdcs,A1,0.09967453214
18,conf/icpp,3433.0,53080.0,A2,22.0,,18,journals/sigbed,,106.0,,18,conf/icnp,A1,0.0872093023256
19,conf/emsoft,472.0,8123.0,A2,22.0,,19,conf/icpp,A2,103.0,,19,conf/hybrid,,0.0860995850622
20,conf/mass,1232.0,6808.0,B1,22.0,,20,journals/tse,A1,102.0,,20,journals/tpds,A1,0.0736810187993
21,conf/codes,837.0,11576.0,,21.0,,21,conf/adaEurope,,98.0,,21,journals/tii,A2,0.068710359408
22,conf/concur,1040.0,46863.0,A2,21.0,,22,conf/ipsn,A1,96.0,,22,conf/srds,A2,0.0621915103653
23,conf/etfa,2814.0,6900.0,,20.0,,23,journals/ton,A1,92.0,,23,conf/infocom,A1,0.0537231744203
24,conf/srds,1013.0,18782.0,A2,17.0,,24,journals/jpdc,A2,90.0,,24,journals/tc,A1,0.0522964984084
25,conf/rtcsa,949.0,6166.0,B1,15.0,,25,conf/codes,,88.0,,25,conf/concur,A2,0.0509615384615
26,conf/sies,337.0,708.0,B3,12.0,,26,conf/hybrid,,83.0,,26,conf/etfa,,0.0501066098081
27,conf/dsn,1246.0,21786.0,A1,12.0,,27,journals/jss,,82.0,,27,conf/hpdc,A1,0.0482456140351
28,conf/rtas,678.0,14567.0,A2,,,28,journals/jsa,,82.0,,28,journals/tmc,,0.0477727566172
29,journals/tc,6597.0,264854.0,A1,,,29,conf/iccps,,81.0,,29,conf/sigmetrics,A1,0.0476510067114
30,conf/icdcs,2458.0,87448.0,A1,,,30,journals/tcs,A1,80.0,,30,journals/jsa,,0.0468303826385
31,journals/tpds,3298.0,84900.0,A1,,,31,conf/lctrts,,79.0,,31,conf/podc,A1,0.0452876376989
32,conf/ipps,7378.0,78830.0,A1,,,32,conf/icde,A1,77.0,,32,conf/dsn,A1,0.0449438202247
33,conf/isorc,963.0,8798.0,B1,,,33,conf/icnp,A1,75.0,,33,conf/mass,B1,0.0438311688312
34,journals/tecs,744.0,7759.0,B1,,,34,conf/sigmod,A1,75.0,,34,conf/date,A1,0.0414800389484
35,conf/sensys,1024.0,43459.0,A1,,,35,journals/tmc,,74.0,,35,journals/ton,A1,0.0406181015453
36,journals/sigbed,346.0,1157.0,,,,36,conf/podc,A1,74.0,,36,journals/tse,A1,0.0308157099698
37,journals/tse,3310.0,298968.0,A1,,,37,conf/sies,B3,74.0,,37,conf/icpp,A2,0.0300029129042
38,conf/adaEurope,663.0,3015.0,,,,38,conf/sigmetrics,A1,71.0,,38,conf/ipps,A1,0.0298183789645
39,journals/ton,2265.0,135914.0,A1,,,39,conf/sac,A1,68.0,,39,journals/jpdc,A2,0.0288831835687
40,journals/jpdc,3116.0,57395.0,A2,,,40,journals/cn,A1,67.0,,40,conf/vldb,A1,0.0227186671715
41,journals/jss,3704.0,53738.0,,,,41,journals/tii,A2,65.0,,41,journals/jss,,0.0221382289417
42,journals/jsa,1751.0,92154.0,,,,42,conf/srds,A2,63.0,,42,conf/sigmod,A1,0.0202374527793
43,conf/iccps,211.0,387.0,,,,43,journals/ipl,A2,60.0,,43,conf/icde,A1,0.0177952391957
44,conf/lctrts,417.0,7495.0,,,,44,conf/vldb,A1,60.0,,44,conf/dac,A1,0.0174685871897
45,journals/tmc,1549.0,38787.0,,,,45,conf/dagstuhl,,60.0,,45,conf/dagstuhl,,0.0136767722817
46,journals/cn,5168.0,163372.0,A1,,,46,conf/dsn,A1,56.0,,46,journals/cn,A1,0.0129643962848
47,journals/tii,946.0,6689.0,A2,,,47,conf/hpdc,A1,55.0,,47,conf/sac,A1,0.0123591421301
48,journals/ipl,6951.0,107976.0,A2,,,48,journals/computer,,55.0,,48,journals/computer,,0.011540075535
49,conf/dagstuhl,4387.0,49198.0,,,,49,conf/mass,B1,54.0,,49,journals/ipl,A2,0.00863185153215
50,conf/hpdc,1140.0,28992.0,A1,,,50,conf/concur,A2,53.0,,50,journals/tcs,A1,0.00739987050227
