Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/pr,6744.0,201239.0,A1,118.0,,1,conf/interspeech,A1,6887.0,,1,conf/asru,B2,0.573849878935
2,journals/sigpro,4742.0,50775.0,A1,84.0,,2,conf/icassp,A1,3778.0,,2,conf/slt,B2,0.501170960187
3,conf/nips,5684.0,404822.0,A1,66.0,,3,journals/taslp,,969.0,,3,journals/csl,,0.436661698957
4,conf/emnlp,1380.0,19971.0,A1,53.0,,4,journals/speech,A2,724.0,,4,conf/iscslp,,0.432892249527
5,conf/naacl,1498.0,59153.0,A1,48.0,,5,journals/csl,,293.0,,5,conf/odyssey,,0.425
6,conf/icassp,28525.0,238265.0,A1,47.0,,6,journals/ieicet,,281.0,,6,conf/interspeech,A1,0.388459585989
7,conf/iros,13604.0,126537.0,A1,45.0,,7,conf/asru,B2,237.0,,7,journals/taslp,,0.359288097887
8,journals/prl,5475.0,100320.0,A1,44.0,,8,conf/iscslp,,229.0,,8,conf/slte,,0.349693251534
9,conf/interspeech,17729.0,130378.0,A1,39.0,,9,conf/lrec,A2,215.0,,9,journals/speech,A2,0.338951310861
10,conf/icip,17283.0,156642.0,A1,35.0,,10,conf/slt,B2,214.0,,10,conf/iwslt,,0.325657894737
11,journals/speech,2136.0,44873.0,A2,34.0,,11,conf/icmcs,B3,176.0,,11,journals/ejasmp,,0.248945147679
12,conf/icdar,2762.0,27617.0,A2,31.0,,12,conf/acl,A1,168.0,,12,conf/waspaa,,0.133333333333
13,conf/lrec,3847.0,17564.0,A2,31.0,,13,conf/naacl,A1,158.0,,13,conf/icassp,A1,0.132445223488
14,conf/ismir,1402.0,16812.0,A1,31.0,,14,conf/tsd,B1,133.0,,14,conf/apsipa,,0.130434782609
15,conf/coling,3555.0,68639.0,A1,31.0,,15,conf/icpr,A1,131.0,,15,conf/mediaeval,,0.127659574468
16,conf/icpr,8972.0,82067.0,A1,29.0,,16,conf/apsipa,,117.0,,16,conf/rocling,,0.118309859155
17,conf/hci,10109.0,15200.0,A2,25.0,,17,journals/spl,A1,111.0,,17,conf/tsd,B1,0.114261168385
18,conf/acii,668.0,3626.0,,24.0,,18,conf/ismir,A1,108.0,,18,conf/avsp,,0.11
19,conf/clef,2767.0,18658.0,B2,24.0,,19,journals/tsp,A1,105.0,,19,conf/naacl,A1,0.105473965287
20,conf/icmcs,7286.0,55698.0,B3,23.0,,20,conf/odyssey,,102.0,,20,conf/ismir,A1,0.077032810271
21,conf/icmi,1076.0,11229.0,A2,20.0,,21,conf/iwslt,,99.0,,21,journals/spm,A1,0.0736196319018
22,conf/asru,413.0,3120.0,B2,20.0,,22,conf/dagm,,92.0,,22,conf/icmi,A2,0.0659851301115
23,conf/waspaa,270.0,379.0,,18.0,,23,conf/icip,A1,90.0,,23,conf/acii,,0.0658682634731
24,conf/mmsp,1573.0,10876.0,B2,16.0,,24,conf/coling,A1,85.0,,24,journals/jstsp,A1,0.0559345156889
25,conf/slt,427.0,1994.0,B2,15.0,,25,conf/nips,A1,78.0,,25,conf/lrec,A2,0.055887704705
26,conf/dicta,867.0,3235.0,,13.0,,26,conf/iros,A1,77.0,,26,journals/spl,A1,0.0434442270059
27,conf/tsd,1164.0,4097.0,B1,12.0,,27,conf/isspa,,73.0,,27,conf/dagm,,0.0422794117647
28,conf/iwslt,304.0,1043.0,,11.0,,28,conf/icmi,A2,71.0,,28,conf/eusipco,,0.0418604651163
29,conf/mediaeval,282.0,194.0,,11.0,,29,journals/ejasp,B1,68.0,,29,conf/dicta,,0.0415224913495
30,conf/eusipco,1505.0,414.0,,9.0,,30,journals/prl,A1,63.0,,30,conf/acl,A1,0.039603960396
31,conf/avsp,500.0,2426.0,,8.0,,31,conf/eusipco,,63.0,,31,conf/isspa,,0.0349449497367
32,conf/iscslp,529.0,478.0,,6.0,,32,conf/mm,A1,62.0,,32,conf/emnlp,A1,0.0347826086957
33,conf/rocling,355.0,171.0,,3.0,,33,journals/ejasmp,,59.0,,33,conf/mmsp,B2,0.0298792116974
34,journals/taslp,2697.0,65460.0,,,,34,conf/slte,,57.0,,34,conf/icmcs,B3,0.0241559154543
35,journals/csl,671.0,19176.0,,,,35,conf/avsp,,55.0,,35,conf/coling,A1,0.0239099859353
36,journals/ieicet,16941.0,18868.0,,,,36,conf/icdar,A2,54.0,,36,journals/ejasp,B1,0.0213567839196
37,conf/acl,4242.0,195392.0,A1,,,37,journals/sigpro,A1,48.0,,37,conf/icdar,A2,0.0195510499638
38,conf/apsipa,897.0,130.0,,,,38,conf/emnlp,A1,48.0,,38,journals/ieicet,,0.0165869783366
39,journals/spl,2555.0,14486.0,A1,,,39,conf/mmsp,B2,47.0,,39,conf/mm,A1,0.0149181905679
40,journals/tsp,10379.0,300724.0,A1,,,40,journals/pami,A1,47.0,,40,conf/icpr,A1,0.0146009808292
41,conf/odyssey,240.0,1513.0,,,,41,conf/acii,,44.0,,41,conf/nips,A1,0.0137227304715
42,conf/dagm,2176.0,10564.0,,,,42,conf/hci,A2,44.0,,42,conf/clef,B2,0.013010480665
43,conf/isspa,2089.0,5615.0,,,,43,conf/rocling,,42.0,,43,journals/prl,A1,0.0115068493151
44,journals/ejasp,3184.0,29072.0,B1,,,44,journals/jstsp,A1,41.0,,44,journals/sigpro,A1,0.0101223112611
45,conf/mm,4156.0,84789.0,A1,,,45,journals/pr,A1,40.0,,45,journals/tsp,A1,0.0101165815589
46,journals/ejasmp,237.0,678.0,,,,46,conf/mediaeval,,36.0,,46,journals/pami,A1,0.00926473487089
47,conf/slte,163.0,137.0,,,,47,conf/waspaa,,36.0,,47,journals/pr,A1,0.00593119810202
48,journals/pami,5073.0,667087.0,A1,,,48,conf/dicta,,36.0,,48,conf/iros,A1,0.0056600999706
