Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/cm,1467.0,7672.0,A1,86.0,,1,journals/tcom,A1,3154.0,,1,conf/hotnets,B3,0.479381443299
2,journals/sigpro,4742.0,50775.0,A1,84.0,,2,conf/icc,A2,2198.0,,2,journals/tcom,A1,0.396280939817
3,conf/infocom,6943.0,350398.0,A1,76.0,,3,conf/globecom,A1,2098.0,,3,conf/nsdi,A1,0.326403326403
4,conf/nsdi,481.0,17531.0,A1,54.0,,4,journals/twc,A1,1794.0,,4,journals/twc,A1,0.313198324022
5,conf/isit,4224.0,15815.0,B1,49.0,,5,journals/tit,A1,1358.0,,5,conf/sigcomm,A1,0.259902710215
6,conf/icassp,28525.0,238265.0,A1,47.0,,6,conf/vtc,A1,995.0,,6,journals/wcl,,0.229090909091
7,conf/globecom,14010.0,105540.0,A1,45.0,,7,journals/tsp,A1,903.0,,7,conf/imc,A1,0.203846153846
8,conf/icc,14807.0,125393.0,A2,44.0,,8,conf/wcnc,A2,880.0,,8,conf/ita,,0.1875
9,conf/vtc,10987.0,36827.0,A1,42.0,,9,conf/icassp,A1,839.0,,9,journals/ccr,A1,0.178571428571
10,conf/sigmetrics,1490.0,70702.0,A1,39.0,,10,journals/jsac,A1,737.0,,10,journals/jsac,A1,0.152241272464
11,conf/icip,17283.0,156642.0,A1,35.0,,11,journals/icl,A1,736.0,,11,journals/tvt,,0.149886761375
12,conf/allerton,778.0,633.0,,33.0,,12,journals/tvt,,728.0,,12,conf/globecom,A1,0.149750178444
13,conf/pimrc,7388.0,26633.0,A1,27.0,,13,conf/isit,B1,617.0,,13,conf/icc,A2,0.148443303843
14,conf/iscas,16967.0,68042.0,A1,27.0,,14,conf/pimrc,A1,519.0,,14,conf/isit,B1,0.146070075758
15,conf/ciss,1447.0,4377.0,,26.0,,15,conf/sigcomm,A1,374.0,,15,conf/conext,B1,0.142574257426
16,conf/acssc,1721.0,458.0,,26.0,,16,conf/infocom,A1,312.0,,16,journals/icl,A1,0.133044107014
17,journals/iet-com,2119.0,3949.0,,25.0,,17,journals/ett,,197.0,,17,conf/wcnc,A2,0.117836100696
18,journals/wicomm,1434.0,8282.0,B1,25.0,,18,journals/ton,A1,183.0,,18,journals/jcn,B2,0.116740088106
19,journals/winet,1535.0,43453.0,A1,25.0,,19,journals/ccr,A1,175.0,,19,journals/ett,,0.111299435028
20,journals/wpc,4130.0,29248.0,,24.0,,20,journals/ejasp,B1,175.0,,20,conf/ciss,,0.102280580511
21,conf/ita,432.0,1024.0,,24.0,,21,journals/ejwcn,B1,165.0,,21,journals/tit,A1,0.0993634301602
22,conf/iwcmc,2021.0,3875.0,B1,19.0,,22,conf/nsdi,A1,157.0,,22,conf/mobicom,A1,0.0963149078727
23,journals/jcn,908.0,3627.0,B2,16.0,,23,conf/ciss,,148.0,,23,journals/wc,,0.0941455696203
24,conf/iswcs,990.0,405.0,,15.0,,24,conf/acssc,,140.0,,24,conf/allerton,,0.0938303341902
25,conf/imc,520.0,24389.0,A1,13.0,,25,journals/wpc,,137.0,,25,conf/vtc,A1,0.0905615727678
26,journals/tcom,7959.0,236070.0,A1,,,26,journals/iet-com,,129.0,,26,journals/tsp,A1,0.0870026014067
27,journals/twc,5728.0,84604.0,A1,,,27,journals/spl,A1,128.0,,27,journals/jstsp,A1,0.0845839017735
28,journals/tit,13667.0,729338.0,A1,,,28,journals/cn,A1,128.0,,28,conf/acssc,,0.0813480534573
29,journals/tsp,10379.0,300724.0,A1,,,29,journals/wcl,,126.0,,29,journals/ton,A1,0.0807947019868
