Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/kdd,A1,1423.0,,1,journals/tkdd,,0.545945945946
2,journals/ml,1309.0,184440.0,A1,73.0,,2,conf/icdm,A1,935.0,,2,journals/sigkdd,,0.524945770065
3,conf/icml,3294.0,290468.0,A1,69.0,,3,conf/cikm,A1,602.0,,3,conf/kdd,A1,0.495991634716
4,conf/nips,5684.0,404822.0,A1,66.0,,4,conf/icde,A1,521.0,,4,conf/sdm,A2,0.468809073724
5,conf/sigmod,3706.0,337960.0,A1,61.0,,5,conf/icml,A1,499.0,,5,journals/datamine,A2,0.392857142857
6,conf/wsdm,533.0,8651.0,B1,54.0,,6,conf/sdm,A2,496.0,,6,conf/wsdm,B1,0.288930581614
7,conf/emnlp,1380.0,19971.0,A1,53.0,,7,journals/tkde,A1,483.0,,7,conf/icdm,A1,0.286282914881
8,conf/icde,4327.0,135333.0,A1,52.0,,8,conf/www,A1,446.0,,8,conf/pkdd,A2,0.196386946387
9,conf/sigir,3545.0,205477.0,A1,49.0,,9,conf/sigmod,A1,417.0,,9,journals/tist,,0.192429022082
10,conf/icwsm,797.0,7564.0,B1,48.0,,10,conf/aaai,A1,395.0,,10,journals/sadm,B4,0.1875
11,conf/aaai,7555.0,234650.0,A1,37.0,,11,conf/pkdd,A2,337.0,,11,journals/kais,A2,0.186868686869
12,conf/edbt,1462.0,28921.0,A2,36.0,,12,conf/nips,A1,332.0,,12,conf/pakdd,,0.169430051813
13,conf/sdm,1058.0,20754.0,A2,35.0,,13,conf/pakdd,,327.0,,13,journals/tkde,A1,0.165241190558
14,conf/vldb,2641.0,235473.0,A1,34.0,,14,conf/vldb,A1,265.0,,14,conf/icml,A1,0.151487553127
15,conf/uai,1965.0,147942.0,A1,32.0,,15,conf/sigir,A1,248.0,,15,journals/vldb,A2,0.148425787106
16,conf/gis,1524.0,12787.0,B1,29.0,,16,journals/sigkdd,,242.0,,16,conf/cikm,A1,0.138933764136
17,conf/pods,1107.0,115617.0,A1,28.0,,17,journals/datamine,A2,209.0,,17,conf/ssd,,0.135638297872
18,conf/mdm,961.0,7523.0,A2,23.0,,18,journals/kais,A2,185.0,,18,conf/recsys,B1,0.124065769806
19,journals/mms,762.0,23249.0,A2,22.0,,19,journals/jmlr,A1,181.0,,19,conf/icde,A1,0.120406748324
20,conf/asunam,889.0,1589.0,,20.0,,20,journals/pvldb,A1,178.0,,20,journals/pvldb,A1,0.120189061445
21,journals/sigkdd,461.0,21066.0,,20.0,,21,conf/wsdm,B1,154.0,,21,conf/ilp,B1,0.116634799235
22,journals/sadm,272.0,753.0,B4,19.0,,22,journals/ml,A1,152.0,,22,journals/ml,A1,0.116119174943
23,conf/ssdbm,1027.0,9842.0,A2,19.0,,23,conf/edbt,A2,141.0,,23,conf/sigmod,A1,0.112520237453
24,conf/dasfaa,1628.0,6723.0,B1,17.0,,24,conf/ictai,A2,106.0,,24,conf/dis,A2,0.104815864023
25,conf/ictai,2505.0,27065.0,A2,14.0,,25,journals/tkdd,,101.0,,25,conf/asunam,,0.101237345332
26,conf/dawak,649.0,5110.0,B1,14.0,,26,conf/dasfaa,B1,100.0,,26,conf/vldb,A1,0.100340780008
27,journals/ida,732.0,8569.0,,13.0,,27,journals/vldb,A2,99.0,,27,conf/www,A1,0.099089091313
28,conf/dis,706.0,4812.0,A2,12.0,,28,conf/ssdbm,A2,91.0,,28,conf/edbt,A2,0.0964432284542
29,conf/waim,1256.0,2798.0,B2,11.0,,29,conf/asunam,,90.0,,29,conf/ssdbm,A2,0.0886075949367
30,conf/ilp,523.0,14495.0,B1,10.0,,30,conf/uai,A1,85.0,,30,conf/aistats,,0.0883392226148
31,conf/kdd,2869.0,148223.0,A1,,,31,conf/recsys,B1,83.0,,31,conf/icwsm,B1,0.0878293601004
32,conf/icdm,3266.0,43188.0,A1,,,32,conf/dis,A2,74.0,,32,journals/jmlr,A1,0.0836027713626
33,conf/cikm,4333.0,72291.0,A1,,,33,journals/debu,,73.0,,33,conf/dawak,B1,0.0724191063174
34,journals/tkde,2923.0,124112.0,A1,,,34,conf/pods,A1,71.0,,34,conf/sigir,A1,0.0699576868829
35,conf/pkdd,1716.0,25605.0,A2,,,35,conf/icwsm,B1,70.0,,35,journals/tois,A2,0.0688524590164
36,conf/pakdd,1930.0,14336.0,,,,36,conf/gis,B1,69.0,,36,journals/ida,,0.068306010929
37,journals/datamine,532.0,42245.0,A2,,,37,conf/emnlp,A1,63.0,,37,journals/jiis,B1,0.0654761904762
38,journals/kais,990.0,24743.0,A2,,,38,journals/tist,,61.0,,38,conf/pods,A1,0.0641373080397
39,journals/jmlr,2165.0,94215.0,A1,,,39,conf/ilp,B1,61.0,,39,conf/dasfaa,B1,0.0614250614251
40,journals/pvldb,1481.0,18238.0,A1,,,40,conf/waim,B2,56.0,,40,conf/nips,A1,0.0584095707248
41,journals/tkdd,185.0,2796.0,,,,41,conf/ssd,,51.0,,41,journals/debu,,0.0571205007825
42,journals/vldb,667.0,36101.0,A2,,,42,journals/sadm,B4,51.0,,42,journals/mms,A2,0.0564304461942
43,conf/recsys,669.0,6329.0,B1,,,43,journals/ida,,50.0,,43,journals/tods,A2,0.0548712206047
44,journals/debu,1278.0,19702.0,,,,44,conf/aistats,,50.0,,44,conf/aaai,A1,0.0522832561218
45,journals/tist,317.0,40570.0,,,,45,journals/tods,A2,49.0,,45,conf/mdm,A2,0.0468262226847
46,conf/ssd,376.0,13641.0,,,,46,conf/dawak,B1,47.0,,46,conf/emnlp,A1,0.045652173913
47,conf/aistats,566.0,11966.0,,,,47,conf/mdm,A2,45.0,,47,conf/gis,B1,0.0452755905512
48,journals/tods,893.0,113458.0,A2,,,48,journals/jiis,B1,44.0,,48,conf/waim,B2,0.0445859872611
49,journals/jiis,672.0,20579.0,B1,,,49,journals/mms,A2,43.0,,49,conf/uai,A1,0.0432569974555
50,journals/tois,610.0,71840.0,A2,,,50,journals/tois,A2,42.0,,50,conf/ictai,A2,0.0423153692615
