Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/www,423.0,7421.0,B1,83.0,,1,conf/sigmod,A1,1965.0,,1,journals/pvldb,A1,0.586090479406
2,conf/www,4501.0,120253.0,A1,83.0,,2,conf/icde,A1,1754.0,,2,journals/vldb,A2,0.568215892054
3,journals/is,1504.0,32461.0,A2,72.0,,3,conf/vldb,A1,1161.0,,3,conf/cidr,A2,0.56228956229
4,conf/sigmod,3706.0,337960.0,A1,61.0,,4,journals/pvldb,A1,868.0,,4,conf/sigmod,A1,0.530221262817
5,conf/wsdm,533.0,8651.0,B1,54.0,,5,journals/tkde,A1,676.0,,5,journals/tods,A2,0.521836506159
6,conf/icde,4327.0,135333.0,A1,52.0,,6,journals/debu,,617.0,,6,journals/debu,,0.482785602504
7,conf/edbt,1462.0,28921.0,A2,36.0,,7,journals/sigmod,A1,538.0,,7,conf/pods,A1,0.446251129178
8,conf/sdm,1058.0,20754.0,A2,35.0,,8,conf/edbt,A2,501.0,,8,conf/webdb,B1,0.443262411348
9,journals/jacm,2719.0,368295.0,A1,35.0,,9,conf/cikm,A1,495.0,,9,conf/vldb,A1,0.439606209769
10,conf/vldb,2641.0,235473.0,A1,34.0,,10,conf/pods,A1,494.0,,10,conf/icde,A1,0.405361682459
11,conf/gis,1524.0,12787.0,B1,29.0,,11,journals/tods,A2,466.0,,11,conf/icdt,B1,0.35632183908
12,conf/cidr,297.0,12184.0,A2,28.0,,12,conf/kdd,A1,389.0,,12,journals/sigmod,A1,0.343112244898
13,conf/pods,1107.0,115617.0,A1,28.0,,13,journals/vldb,A2,379.0,,13,conf/edbt,A2,0.34268125855
14,conf/mdm,961.0,7523.0,A2,23.0,,14,conf/www,A1,285.0,,14,conf/ssd,,0.31914893617
15,conf/icdt,522.0,36527.0,B1,22.0,,15,conf/icdm,A1,266.0,,15,conf/ssdbm,A2,0.251217137293
16,journals/sigmod,1568.0,46055.0,A1,21.0,,16,conf/dasfaa,B1,262.0,,16,journals/tkde,A1,0.231269243927
17,journals/sigkdd,461.0,21066.0,,20.0,,17,conf/ssdbm,A2,258.0,,17,journals/dpd,B1,0.224489795918
18,conf/ssdbm,1027.0,9842.0,A2,19.0,,18,journals/is,A2,194.0,,18,journals/tkdd,,0.210810810811
19,conf/ideas,761.0,5212.0,,19.0,,19,conf/icdt,B1,186.0,,19,conf/comad,,0.1926910299
20,journals/geoinformatica,391.0,8048.0,B1,19.0,,20,conf/cidr,A2,167.0,,20,conf/dasfaa,B1,0.160933660934
21,conf/dasfaa,1628.0,6723.0,B1,17.0,,21,conf/gis,B1,153.0,,21,journals/www,B1,0.158392434988
22,conf/wise,1315.0,10431.0,B1,14.0,,22,journals/jacm,A1,152.0,,22,conf/btw,,0.146313364055
23,conf/dawak,649.0,5110.0,B1,14.0,,23,journals/jcss,A2,147.0,,23,conf/sdm,A2,0.137051039698
24,conf/waim,1256.0,2798.0,B2,11.0,,24,conf/sdm,A2,145.0,,24,conf/kdd,A1,0.135587312652
25,conf/btw,868.0,3772.0,,11.0,,25,conf/waim,B2,138.0,,25,journals/is,A2,0.128989361702
26,journals/pvldb,1481.0,18238.0,A1,,,26,conf/icdcs,A1,135.0,,26,journals/dbsk,,0.124183006536
27,journals/tkde,2923.0,124112.0,A1,,,27,conf/btw,,127.0,,27,journals/sigkdd,,0.117136659436
28,journals/debu,1278.0,19702.0,,,,28,conf/webdb,B1,125.0,,28,conf/cikm,A1,0.114239556889
29,conf/cikm,4333.0,72291.0,A1,,,29,conf/ssd,,120.0,,29,journals/datamine,A2,0.110902255639
30,journals/tods,893.0,113458.0,A2,,,30,conf/er,A2,117.0,,30,conf/waim,B2,0.109872611465
31,conf/kdd,2869.0,148223.0,A1,,,31,journals/dke,,96.0,,31,conf/adc,,0.106157112527
32,journals/vldb,667.0,36101.0,A2,,,32,conf/mdm,A2,91.0,,32,conf/dbsec,,0.101865136298
33,conf/icdm,3266.0,43188.0,A1,,,33,journals/dpd,B1,88.0,,33,conf/gis,B1,0.100393700787
34,journals/jcss,2644.0,98794.0,A2,,,34,journals/csur,A1,81.0,,34,conf/wsdm,B1,0.0975609756098
35,conf/icdcs,2458.0,87448.0,A1,,,35,conf/wise,B1,77.0,,35,conf/mdm,A2,0.0946930280957
36,conf/webdb,282.0,11169.0,B1,,,36,journals/kais,A2,76.0,,36,conf/ideas,,0.0946123521682
37,conf/ssd,376.0,13641.0,,,,37,conf/ideas,,72.0,,37,journals/geoinformatica,B1,0.0920716112532
38,conf/er,2221.0,28947.0,A2,,,38,conf/dbsec,,71.0,,38,journals/tois,A2,0.0852459016393
39,journals/dke,1454.0,29615.0,,,,39,journals/www,B1,67.0,,39,conf/icdm,A1,0.0814451928965
40,journals/dpd,392.0,12099.0,B1,,,40,journals/datamine,A2,59.0,,40,journals/kais,A2,0.0767676767677
41,journals/csur,1353.0,214765.0,A1,,,41,conf/comad,,58.0,,41,conf/dawak,B1,0.0693374422188
42,journals/kais,990.0,24743.0,A2,,,42,journals/sigkdd,,54.0,,42,journals/jiis,B1,0.0669642857143
43,conf/dbsec,697.0,10418.0,,,,43,journals/tois,A2,52.0,,43,journals/dke,,0.0660247592847
44,journals/datamine,532.0,42245.0,A2,,,44,conf/wsdm,B1,52.0,,44,conf/www,A1,0.0633192623861
45,conf/comad,301.0,2218.0,,,,45,conf/adc,,50.0,,45,journals/csur,A1,0.059866962306
46,journals/tois,610.0,71840.0,A2,,,46,conf/dawak,B1,45.0,,46,conf/wise,B1,0.0585551330798
47,conf/adc,471.0,4193.0,,,,47,journals/jiis,B1,45.0,,47,journals/jacm,A1,0.05590290548
48,journals/jiis,672.0,20579.0,B1,,,48,journals/tkdd,,39.0,,48,journals/jcss,A2,0.0555975794251
49,journals/tkdd,185.0,2796.0,,,,49,journals/dbsk,,38.0,,49,conf/icdcs,A1,0.0549227013832
50,journals/dbsk,306.0,889.0,,,,50,journals/geoinformatica,B1,36.0,,50,conf/er,A2,0.0526789734354
