Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/cikm,A1,1747.0,,1,conf/ictir,,0.491525423729
2,journals/www,423.0,7421.0,B1,83.0,,2,conf/sigir,A1,1223.0,,2,conf/wsdm,B1,0.425891181989
3,conf/sigmod,3706.0,337960.0,A1,61.0,,3,conf/icde,A1,753.0,,3,conf/cikm,A1,0.403184860374
4,conf/wsdm,533.0,8651.0,B1,54.0,,4,conf/www,A1,728.0,,4,conf/sigir,A1,0.344992947814
5,conf/icde,4327.0,135333.0,A1,52.0,,5,journals/tkde,A1,578.0,,5,conf/ecir,A2,0.338015803336
6,conf/sigir,3545.0,205477.0,A1,49.0,,6,conf/kdd,A1,569.0,,6,journals/tkdd,,0.32972972973
7,journals/ir,432.0,42026.0,B1,49.0,,7,conf/icdm,A1,553.0,,7,conf/trec,A2,0.284675615213
8,conf/icwsm,797.0,7564.0,B1,48.0,,8,conf/trec,A2,509.0,,8,journals/sigir,,0.271844660194
9,conf/edbt,1462.0,28921.0,A2,36.0,,9,conf/sigmod,A1,456.0,,9,conf/widm,B1,0.263157894737
10,conf/sdm,1058.0,20754.0,A2,35.0,,10,conf/ecir,A2,385.0,,10,journals/ir,B1,0.259259259259
11,conf/vldb,2641.0,235473.0,A1,34.0,,11,conf/dasfaa,B1,382.0,,11,conf/sdm,A2,0.258979206049
12,conf/clef,2767.0,18658.0,B2,24.0,,12,conf/pakdd,,323.0,,12,conf/inex,,0.252100840336
13,conf/mdm,961.0,7523.0,A2,23.0,,13,conf/vldb,A1,278.0,,13,conf/dasfaa,B1,0.234643734644
14,conf/webi,1781.0,10504.0,,22.0,,14,journals/pvldb,A1,277.0,,14,journals/vldb,A2,0.233883058471
15,journals/sigmod,1568.0,46055.0,A1,21.0,,15,conf/sdm,A2,274.0,,15,journals/tois,A2,0.214754098361
16,conf/jcdl,1597.0,13713.0,A2,21.0,,16,conf/clef,B2,260.0,,16,journals/tist,,0.201892744479
17,journals/sigkdd,461.0,21066.0,,20.0,,17,conf/edbt,A2,253.0,,17,conf/kdd,A1,0.198326943186
18,conf/ssdbm,1027.0,9842.0,A2,19.0,,18,conf/wsdm,B1,227.0,,18,journals/tkde,A1,0.197742045843
19,conf/dasfaa,1628.0,6723.0,B1,17.0,,19,conf/waim,B2,207.0,,19,conf/airs,B3,0.191881918819
20,conf/spire,577.0,5936.0,B1,17.0,,20,conf/jcdl,A2,207.0,,20,journals/pvldb,A1,0.187035786631
21,conf/trec,1788.0,55555.0,A2,16.0,,21,journals/sigir,,196.0,,21,journals/www,B1,0.186761229314
22,conf/wise,1315.0,10431.0,B1,14.0,,22,journals/vldb,A2,156.0,,22,conf/icde,A1,0.174023572914
23,conf/dawak,649.0,5110.0,B1,14.0,,23,conf/apweb,B2,153.0,,23,conf/edbt,A2,0.173050615595
24,conf/inex,357.0,6857.0,,13.0,,24,conf/webi,,152.0,,24,conf/icdm,A1,0.169320269443
25,journals/sigir,721.0,31047.0,,11.0,,25,conf/wise,B1,149.0,,25,journals/sigkdd,,0.169197396963
26,conf/waim,1256.0,2798.0,B2,11.0,,26,journals/dke,,146.0,,26,conf/pakdd,,0.167357512953
27,conf/airs,542.0,1314.0,B3,10.0,,27,conf/pkdd,A2,143.0,,27,conf/waim,B2,0.164808917197
28,conf/icadl,796.0,1814.0,,7.0,,28,journals/kais,A2,138.0,,28,conf/www,A1,0.161741835148
29,conf/cikm,4333.0,72291.0,A1,,,29,journals/sigmod,A1,137.0,,29,conf/spire,B1,0.152512998267
30,journals/tkde,2923.0,124112.0,A1,,,30,journals/tois,A2,131.0,,30,conf/adc,,0.150743099788
31,conf/kdd,2869.0,148223.0,A1,,,31,journals/ir,B1,112.0,,31,journals/datamine,A2,0.15037593985
32,conf/icdm,3266.0,43188.0,A1,,,32,conf/airs,B3,104.0,,32,journals/dpd,B1,0.142857142857
33,conf/ecir,1139.0,8436.0,A2,,,33,conf/ssdbm,A2,104.0,,33,conf/ssd,,0.140957446809
