Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/eurocrypt,1310.0,147911.0,A1,48.0,,1,journals/iacr,,2364.0,,1,conf/tcc,A2,0.772413793103
2,conf/soda,2924.0,204116.0,A1,43.0,,2,conf/crypto,A1,1042.0,,2,conf/crypto,A1,0.748563218391
3,journals/siamcomp,3124.0,269865.0,A1,39.0,,3,conf/eurocrypt,A1,817.0,,3,journals/joc,A2,0.668067226891
4,conf/fse,555.0,28756.0,A2,38.0,,4,conf/asiacrypt,A1,451.0,,4,conf/eurocrypt,A1,0.623664122137
5,journals/tcs,10811.0,391021.0,A1,38.0,,5,conf/stoc,A1,429.0,,5,conf/scn,B2,0.593137254902
6,journals/jacm,2719.0,368295.0,A1,35.0,,6,conf/focs,A1,368.0,,6,conf/asiacrypt,A1,0.510180995475
7,conf/asiacrypt,884.0,39222.0,A1,34.0,,7,conf/tcc,A2,336.0,,7,conf/pkc,A2,0.5
8,conf/icalp,3119.0,122492.0,A1,33.0,,8,journals/eccc,,328.0,,8,conf/fse,A2,0.432432432432
9,conf/ches,527.0,23587.0,A1,33.0,,9,journals/tit,A1,320.0,,9,conf/ctrsa,,0.382352941176
10,journals/cc,391.0,5597.0,B2,32.0,,10,journals/joc,A2,318.0,,10,conf/sacrypt,,0.363228699552
11,journals/dam,5729.0,70961.0,A2,31.0,,11,conf/pkc,A2,279.0,,11,journals/iacr,,0.286406590744
12,conf/pkc,558.0,21362.0,A2,30.0,,12,conf/ccs,A1,273.0,,12,conf/ches,A1,0.239089184061
13,journals/dm,11762.0,98470.0,A2,29.0,,13,conf/fse,A2,240.0,,13,conf/innovations,,0.238636363636
14,conf/fc,621.0,14257.0,B1,28.0,,14,journals/siamcomp,A1,223.0,,14,conf/fc,B1,0.219001610306
15,journals/joc,476.0,28486.0,A2,28.0,,15,journals/ieicet,,181.0,,15,conf/acns,B1,0.197530864198
16,conf/podc,1634.0,85678.0,A1,27.0,,16,conf/icalp,A1,175.0,,16,conf/ima,,0.183006535948
17,conf/sp,989.0,93159.0,B1,27.0,,17,conf/sacrypt,,162.0,,17,conf/isw,,0.168855534709
18,journals/siamdm,1952.0,43907.0,B1,26.0,,18,conf/ctrsa,,156.0,,18,conf/indocrypt,B1,0.165198237885
19,conf/ima,306.0,4956.0,,25.0,,19,conf/fc,B1,136.0,,19,conf/acisp,,0.15859030837
20,journals/jct,6280.0,105859.0,,23.0,,20,journals/ipl,A2,132.0,,20,journals/cc,B2,0.145780051151
21,conf/coco,953.0,61124.0,,22.0,,21,journals/dcc,B1,131.0,,21,conf/stoc,A1,0.14224137931
22,journals/dcc,1873.0,22606.0,B1,21.0,,22,journals/tcs,A1,128.0,,22,conf/icisc,,0.132411067194
23,conf/sacrypt,446.0,14299.0,,20.0,,23,conf/ches,A1,126.0,,23,journals/eccc,,0.127676138575
