Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/icra,A1,5996.0,,1,conf/isrr,B4,0.56652360515
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/iros,A1,4106.0,,2,conf/iser,B3,0.518987341772
3,journals/automatica,7338.0,229957.0,A1,86.0,,3,journals/trob,A1,867.0,,3,conf/rss,A2,0.469879518072
4,conf/icra,16038.0,236265.0,A1,61.0,,4,journals/ijrr,A1,670.0,,4,conf/wafr,B4,0.449392712551
5,conf/eccv,3329.0,159515.0,A1,59.0,,5,conf/cvpr,A1,634.0,,5,journals/ijrr,A1,0.395047169811
6,conf/smc,9388.0,28167.0,B2,58.0,,6,journals/pami,A1,606.0,,6,conf/icra,A1,0.373862077566
7,conf/icassp,28525.0,238265.0,A1,47.0,,7,conf/robio,B1,547.0,,7,conf/fsr,B4,0.364583333333
8,conf/ijcai,6188.0,295635.0,A1,46.0,,8,journals/ar,,509.0,,8,conf/mhs,,0.332568807339
9,conf/iros,13604.0,126537.0,A1,45.0,,9,conf/iser,B3,369.0,,9,conf/iros,A1,0.301822993237
10,journals/prl,5475.0,100320.0,A1,44.0,,10,conf/icpr,A1,369.0,,10,conf/humanoids,B2,0.289803220036
11,conf/cdc,8622.0,25900.0,B1,43.0,,11,conf/icip,A1,344.0,,11,journals/trob,A1,0.289192795197
12,conf/aaai,7555.0,234650.0,A1,37.0,,12,conf/humanoids,B2,324.0,,12,journals/ar,,0.264004149378
13,conf/bmvc,2532.0,51771.0,A2,37.0,,13,journals/ras,A2,302.0,,13,journals/ram,,0.263565891473
14,journals/ras,2342.0,58693.0,A2,37.0,,14,conf/iccv,A1,283.0,,14,journals/arobots,A1,0.250285714286
15,conf/icip,17283.0,156642.0,A1,35.0,,15,journals/tsmc,,281.0,,15,journals/jfr,A1,0.161311914324
16,conf/miccai,4743.0,59627.0,A1,32.0,,16,conf/haptics,B1,245.0,,16,conf/haptics,B1,0.141864504922
17,conf/rss,415.0,6430.0,A2,31.0,,17,conf/eccv,A1,243.0,,17,conf/robio,B1,0.137506284565
18,conf/icpr,8972.0,82067.0,A1,29.0,,18,journals/jfr,A1,241.0,,18,journals/tase,,0.130787037037
19,conf/accv,1795.0,12712.0,,25.0,,19,journals/pr,A1,222.0,,19,journals/ras,A2,0.128949615713
20,journals/robotica,2751.0,16910.0,B2,23.0,,20,journals/arobots,A1,219.0,,20,journals/pami,A1,0.119455943229
21,conf/icmcs,7286.0,55698.0,B3,23.0,,21,journals/ram,,204.0,,21,conf/ro-man,,0.119448698315
22,conf/humanoids,1118.0,10515.0,B2,23.0,,22,conf/rss,A2,195.0,,22,journals/ijcv,A1,0.100859598854
23,conf/ro-man,1306.0,3073.0,,22.0,,23,conf/miccai,A1,190.0,,23,conf/case,,0.0992953235106
24,conf/robio,3978.0,7907.0,B1,19.0,,24,journals/ijcv,A1,176.0,,24,conf/iccv,A1,0.093895155939
25,conf/wacv,1131.0,16365.0,B1,18.0,,25,conf/icassp,A1,174.0,,25,conf/cvpr,A1,0.0922315973232
26,conf/case,1561.0,2464.0,,14.0,,26,conf/cdc,B1,174.0,,26,journals/cviu,A1,0.0902851108765
27,conf/iser,711.0,17209.0,B3,13.0,,27,journals/cviu,A1,171.0,,27,conf/wacv,B1,0.0884173297966
28,journals/trob,2998.0,227400.0,A1,,,28,conf/smc,B2,159.0,,28,conf/fgr,,0.0879446640316
29,journals/ijrr,1696.0,56532.0,A1,,,29,conf/ro-man,,156.0,,29,conf/eccv,A1,0.0729948933614
30,journals/pami,5073.0,667087.0,A1,,,30,conf/aaai,A1,155.0,,30,journals/jirs,,0.0672139558748
31,journals/ar,1928.0,14683.0,,,,31,conf/case,,155.0,,31,journals/cvgip,,0.0651862464183
32,conf/iccv,3014.0,216626.0,A1,,,32,journals/robotica,B2,149.0,,32,journals/robotica,B2,0.0541621228644
33,journals/tsmc,7525.0,282768.0,,,,33,journals/prl,A1,146.0,,33,conf/accv,,0.0462395543175
34,conf/haptics,1727.0,8138.0,B1,,,34,conf/mhs,,145.0,,34,conf/bmvc,A2,0.0458135860979
35,journals/jfr,1494.0,31855.0,A1,,,35,conf/icmcs,B3,135.0,,35,conf/icpr,A1,0.0411279536335
36,journals/arobots,875.0,25934.0,A1,,,36,conf/isrr,B4,132.0,,36,conf/miccai,A1,0.0400590343664
37,journals/ram,774.0,13883.0,,,,37,journals/jirs,,131.0,,37,journals/tsmc,,0.037342192691
38,journals/ijcv,1745.0,252396.0,A1,,,38,conf/bmvc,A2,116.0,,38,journals/ivc,A1,0.036186770428
39,journals/cviu,1894.0,78359.0,A1,,,39,journals/tase,,113.0,,39,journals/pr,A1,0.0329181494662
40,conf/mhs,436.0,173.0,,,,40,journals/tip,A1,113.0,,40,journals/prl,A1,0.0266666666667
41,conf/isrr,233.0,7777.0,B4,,,41,conf/wafr,B4,111.0,,41,journals/tip,A1,0.0221048513302
42,journals/jirs,1949.0,16542.0,,,,42,conf/fsr,B4,105.0,,42,journals/tbe,A1,0.0211407179035
43,journals/tase,864.0,6339.0,,,,43,conf/ijcai,A1,101.0,,43,conf/aaai,A1,0.0205162144275
44,journals/tip,5112.0,231992.0,A1,,,44,conf/wacv,B1,100.0,,44,conf/cdc,B1,0.0201809324983
45,conf/wafr,247.0,5015.0,B4,,,45,journals/tbe,A1,96.0,,45,conf/icip,A1,0.0199039518602
46,conf/fsr,288.0,2470.0,B4,,,46,journals/ivc,A1,93.0,,46,conf/icmcs,B3,0.0185286851496
47,journals/tbe,4541.0,88018.0,A1,,,47,journals/cvgip,,91.0,,47,conf/smc,B2,0.0169365146996
48,journals/ivc,2570.0,70197.0,A1,,,48,conf/fgr,,89.0,,48,conf/ijcai,A1,0.0163219133807
49,journals/cvgip,1396.0,71457.0,,,,49,journals/automatica,A1,85.0,,49,journals/automatica,A1,0.0115835377487
50,conf/fgr,1012.0,42786.0,,,,50,conf/accv,,83.0,,50,conf/icassp,A1,0.00609991235758
