Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/neuroimage,6390.0,202819.0,,117.0,,1,journals/cogsci,,529.0,,1,journals/cogsci,,0.458008658009
2,journals/ml,1309.0,184440.0,A1,73.0,,2,conf/aaai,A1,193.0,,2,conf/bica,B4,0.385650224215
3,conf/icml,3294.0,290468.0,A1,69.0,,3,conf/nips,A1,188.0,,3,conf/iccm,,0.336538461538
4,conf/nips,5684.0,404822.0,A1,66.0,,4,conf/ijcai,A1,164.0,,4,conf/agi,B4,0.188775510204
5,journals/jocn,2068.0,89870.0,,64.0,,5,conf/chi,A1,137.0,,5,journals/cogsr,,0.153086419753
6,conf/icra,16038.0,236265.0,A1,61.0,,6,conf/its,B2,101.0,,6,journals/ni,A1,0.0841836734694
7,conf/emnlp,1380.0,19971.0,A1,53.0,,7,journals/ai,A1,98.0,,7,conf/its,B2,0.0817813765182
8,conf/naacl,1498.0,59153.0,A1,48.0,,8,conf/bica,B4,86.0,,8,journals/hhci,,0.0729166666667
9,journals/interactions,2020.0,25053.0,B2,46.0,,9,conf/iros,A1,81.0,,9,conf/edm,B3,0.0690537084399
10,conf/ijcai,6188.0,295635.0,A1,46.0,,10,conf/hri,A2,68.0,,10,conf/aied,B1,0.0677248677249
11,journals/ai,2580.0,376792.0,A1,46.0,,11,journals/jocn,,65.0,,11,conf/aaaifs,,0.0653789004458
12,conf/iros,13604.0,126537.0,A1,45.0,,12,conf/aied,B1,64.0,,12,conf/hri,A2,0.0567612687813
13,journals/ijon,7349.0,79598.0,A1,45.0,,13,journals/neco,A1,62.0,,13,conf/aiia,,0.0513176144244
14,conf/interspeech,17729.0,130378.0,A1,39.0,,14,conf/icml,A1,62.0,,14,journals/mima,,0.0496368038741
15,journals/cogsci,1155.0,136657.0,,38.0,,15,journals/cogsr,,62.0,,15,journals/jetai,B2,0.0417310664606
16,journals/neco,2472.0,320711.0,A1,38.0,,16,conf/acl,A1,59.0,,16,journals/aim,A2,0.0382838283828
17,conf/aaai,7555.0,234650.0,A1,37.0,,17,journals/aim,A2,58.0,,17,journals/ai,A1,0.037984496124
18,conf/uai,1965.0,147942.0,A1,32.0,,18,conf/interspeech,A1,58.0,,18,conf/nips,A1,0.0330752990852
19,conf/coling,3555.0,68639.0,A1,31.0,,19,journals/ijon,A1,56.0,,19,journals/jocn,,0.0314313346228
20,conf/hri,1198.0,5977.0,A2,29.0,,20,conf/gecco,A1,52.0,,20,journals/ml,A1,0.0297937356761
21,journals/hhci,384.0,56493.0,,25.0,,21,journals/cacm,A1,52.0,,21,conf/ijcai,A1,0.0265029088559
22,journals/ni,392.0,6544.0,A1,25.0,,22,journals/ijmms,A1,47.0,,22,conf/aaaiss,,0.0258875739645
