Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/bmcbi,A1,1505.0,,1,conf/psb,A1,0.339393939394
2,journals/pr,6744.0,201239.0,A1,118.0,,2,journals/bioinformatics,A1,1300.0,,2,journals/biodatamining,,0.328947368421
3,journals/ploscb,3878.0,85175.0,,80.0,,3,journals/nar,B1,545.0,,3,conf/eccb,B1,0.316384180791
4,journals/bmcbi,7074.0,136587.0,A1,73.0,,4,conf/amia,,260.0,,4,conf/ismb,A1,0.227931488801
5,journals/jcisd,6138.0,73816.0,B1,51.0,,5,journals/ploscb,,244.0,,5,conf/gcb,,0.215926493109
6,conf/icassp,28525.0,238265.0,A1,47.0,,6,conf/psb,A1,224.0,,6,journals/biomedsem,,0.215767634855
7,journals/bib,798.0,38929.0,,46.0,,7,journals/jcb,A1,198.0,,7,journals/bmcbi,A1,0.212750918858
8,conf/globecom,14010.0,105540.0,A1,45.0,,8,journals/bmcsb,,191.0,,8,journals/biodb,,0.197777777778
9,journals/ijon,7349.0,79598.0,A1,45.0,,9,conf/recomb,A2,182.0,,9,conf/apbc,,0.1875
10,journals/prl,5475.0,100320.0,A1,44.0,,10,conf/ismb,A1,173.0,,10,conf/recomb,A2,0.184210526316
11,journals/tcs,10811.0,391021.0,A1,38.0,,11,conf/bibm,B4,171.0,,11,journals/jbcb,B1,0.154371584699
12,conf/icip,17283.0,156642.0,A1,35.0,,12,conf/gcb,,141.0,,12,conf/wabi,B1,0.152400835073
13,conf/coling,3555.0,68639.0,A1,31.0,,13,journals/tcbb,A2,125.0,,13,journals/bib,,0.140350877193
14,conf/psb,660.0,18545.0,A1,23.0,,14,journals/jamia,A1,115.0,,14,conf/csb,B1,0.138059701493
15,conf/igarss,13453.0,19429.0,B1,20.0,,15,journals/jbcb,B1,113.0,,15,journals/jcb,A1,0.130865829478
16,journals/jbcb,732.0,9734.0,B1,19.0,,16,journals/bib,,112.0,,16,journals/bioinformatics,A1,0.129134796861
17,conf/amia,5606.0,32170.0,,19.0,,17,journals/jbi,A2,109.0,,17,journals/bmcsb,,0.128706199461
18,conf/cpm,711.0,20452.0,B1,16.0,,18,journals/biodb,,89.0,,18,journals/tcbb,A2,0.124501992032
19,conf/bibm,1611.0,1614.0,B4,15.0,,19,journals/pr,A1,88.0,,19,journals/ijdmb,,0.121301775148
20,conf/icic,2892.0,4937.0,,15.0,,20,conf/igarss,B1,80.0,,20,conf/isbra,B3,0.121301775148
21,conf/bibe,1365.0,4123.0,B1,10.0,,21,conf/bcb,B4,78.0,,21,conf/bcb,B4,0.118902439024
22,journals/bioinformatics,10067.0,582213.0,A1,,,22,conf/csb,B1,74.0,,22,conf/bibm,B4,0.106145251397
23,journals/jcb,1513.0,48286.0,A1,,,23,conf/wabi,B1,73.0,,23,journals/isb,,0.0982532751092
24,journals/bmcsb,1484.0,15670.0,,,,24,conf/coling,A1,73.0,,24,journals/nar,B1,0.0947331826873
25,conf/recomb,988.0,43832.0,A2,,,25,journals/jcisd,B1,69.0,,25,journals/jbi,A2,0.0815258040389
26,conf/ismb,759.0,40807.0,A1,,,26,conf/cikm,A1,68.0,,26,journals/ploscb,,0.0629190304281
27,conf/gcb,653.0,4424.0,,,,27,conf/bibe,B1,62.0,,27,conf/cpm,B1,0.0618846694796
28,journals/tcbb,1004.0,11473.0,A2,,,28,conf/eccb,B1,56.0,,28,journals/jamia,A1,0.0551558752998
29,journals/jamia,2085.0,10487.0,A1,,,29,conf/globecom,A1,55.0,,29,conf/amia,,0.0463788797717
30,journals/jbi,1337.0,28382.0,A2,,,30,journals/biomedsem,,52.0,,30,conf/bibe,B1,0.0454212454212
31,journals/biodb,450.0,3475.0,,,,31,journals/biodatamining,,50.0,,31,journals/artmed,A2,0.0343698854337
32,conf/bcb,656.0,588.0,B4,,,32,conf/icassp,A1,50.0,,32,journals/candc,A2,0.0248940677966
33,conf/csb,536.0,8097.0,B1,,,33,journals/ijon,A1,49.0,,33,conf/pakdd,,0.0233160621762
34,conf/wabi,479.0,6217.0,B1,,,34,conf/icdm,A1,49.0,,34,conf/coling,A1,0.0205344585091
35,conf/cikm,4333.0,72291.0,A1,,,35,conf/acl,A1,49.0,,35,conf/cikm,A1,0.0156935148858
36,conf/eccb,177.0,8441.0,B1,,,36,journals/candc,A2,47.0,,36,conf/icdm,A1,0.0150030618494
37,journals/biomedsem,241.0,1150.0,,,,37,conf/icip,A1,47.0,,37,conf/icic,,0.0145228215768
38,journals/biodatamining,152.0,701.0,,,,38,journals/tcs,A1,46.0,,38,journals/pr,A1,0.0130486358244
39,conf/icdm,3266.0,43188.0,A1,,,39,journals/prl,A1,46.0,,39,conf/acl,A1,0.0115511551155
40,conf/acl,4242.0,195392.0,A1,,,40,conf/apbc,,45.0,,40,journals/jcisd,B1,0.0112414467253
41,journals/candc,1888.0,21272.0,A2,,,41,conf/pakdd,,45.0,,41,conf/dagstuhl,,0.0100296330066
42,conf/apbc,240.0,2053.0,,,,42,journals/isb,,45.0,,42,journals/prl,A1,0.00840182648402
43,conf/pakdd,1930.0,14336.0,,,,43,conf/cpm,B1,44.0,,43,journals/ijon,A1,0.00666757381957
44,journals/isb,458.0,6841.0,,,,44,conf/dagstuhl,,44.0,,44,journals/ipl,A2,0.00604229607251
45,conf/dagstuhl,4387.0,49198.0,,,,45,journals/ieicet,,44.0,,45,conf/igarss,B1,0.00594662900468
46,journals/ieicet,16941.0,18868.0,,,,46,conf/icic,,42.0,,46,journals/tcs,A1,0.0042549255388
47,journals/artmed,1222.0,27093.0,A2,,,47,journals/artmed,A2,42.0,,47,conf/globecom,A1,0.00392576730906
48,journals/ipl,6951.0,107976.0,A2,,,48,journals/ipl,A2,42.0,,48,conf/icip,A1,0.00271943528323
49,journals/ijdmb,338.0,714.0,,,,49,journals/ijdmb,,41.0,,49,journals/ieicet,,0.0025972492769
50,conf/isbra,338.0,926.0,B3,,,50,conf/isbra,B3,41.0,,50,conf/icassp,A1,0.00175284837862
