Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/visualization,1187.0,47784.0,,50.0,,1,conf/europar,,481.0,,1,journals/cse,,0.44920993228
2,journals/fgcs,2265.0,38059.0,A2,48.0,,2,journals/cse,,398.0,,2,conf/parco,B3,0.388888888889
3,conf/date,5135.0,52731.0,A1,41.0,,3,conf/parco,B3,378.0,,3,conf/iwomp,,0.338983050847
4,conf/micro,1409.0,59172.0,A1,40.0,,4,conf/ipps,A1,315.0,,4,conf/vecpar,B4,0.170786516854
5,conf/ics,1404.0,42901.0,A2,30.0,,5,journals/concurrency,,250.0,,5,conf/pvm,,0.16825095057
6,conf/iccS,4457.0,19295.0,A2,28.0,,6,conf/iccS,A2,222.0,,6,conf/europar,,0.147818070068
7,journals/pc,2477.0,46196.0,A2,25.0,,7,conf/sc,A1,220.0,,7,conf/para,,0.146907216495
8,conf/parco,972.0,2891.0,B3,25.0,,8,conf/pdp,B1,217.0,,8,conf/pdp,B1,0.130173965207
9,conf/cluster,1130.0,8047.0,A2,25.0,,9,journals/pc,A2,210.0,,9,journals/sp,,0.110882956879
10,conf/icpp,3433.0,53080.0,A2,22.0,,10,conf/pvm,,177.0,,10,journals/concurrency,,0.104909777591
11,conf/fpl,2396.0,18654.0,A2,22.0,,11,conf/para,,114.0,,11,journals/ijhpca,,0.104193138501
12,conf/grid,490.0,10645.0,A2,21.0,,12,journals/fgcs,A2,111.0,,12,conf/hpcn,B3,0.0978956999085
13,conf/pdp,1667.0,8185.0,B1,19.0,,13,conf/hpcn,B3,107.0,,13,conf/grid,A2,0.0959183673469
14,conf/hpcc,1589.0,2309.0,,17.0,,14,journals/tvcg,A1,100.0,,14,journals/pc,A2,0.0847799757771
15,conf/pvm,1052.0,6674.0,,14.0,,15,conf/icpp,A2,96.0,,15,conf/lcpc,B4,0.0779944289694
16,journals/ppl,915.0,9304.0,B2,14.0,,16,conf/ics,A2,94.0,,16,conf/sc,A1,0.0712666018788
17,conf/sc,3087.0,61642.0,A1,13.0,,17,journals/jpdc,A2,83.0,,17,conf/cluster,A2,0.070796460177
18,conf/para,776.0,5805.0,,12.0,,18,journals/ijhpca,,82.0,,18,journals/ife,,0.0699523052464
19,conf/ppam,959.0,5535.0,,11.0,,19,conf/cluster,A2,80.0,,19,conf/ics,A2,0.0669515669516
20,conf/pdpta,3075.0,7158.0,B2,9.0,,20,conf/vecpar,B4,76.0,,20,conf/hpdc,A1,0.0622807017544
21,journals/cse,886.0,6733.0,,5.0,,21,conf/ccgrid,A1,73.0,,21,conf/ppam,,0.0615224191867
22,conf/europar,3254.0,24096.0,,,,22,conf/hpdc,A1,71.0,,22,conf/ppsc,B4,0.0580235720762
23,conf/ipps,7378.0,78830.0,A1,,,23,journals/tjs,B2,71.0,,23,conf/eScience,B1,0.0560859188544
24,journals/concurrency,2383.0,39519.0,,,,24,conf/fpl,A2,70.0,,24,journals/ppl,B2,0.055737704918
25,conf/hpcn,1093.0,7175.0,B3,,,25,conf/pdpta,B2,66.0,,25,journals/ijpp,B2,0.0514064015519
26,journals/tvcg,2373.0,58997.0,A1,,,26,journals/procedia,C ,65.0,,26,conf/iccS,A2,0.0498092887593
27,journals/jpdc,3116.0,57395.0,A2,,,27,journals/cgf,A2,65.0,,27,journals/fgcs,A2,0.0490066225166
28,journals/ijhpca,787.0,31963.0,,,,28,conf/ppsc,B4,64.0,,28,conf/ccgrid,A1,0.0466155810983
29,conf/vecpar,445.0,2600.0,B4,,,29,conf/iwomp,,60.0,,29,conf/icppw,,0.0431985294118
30,conf/ccgrid,1566.0,27666.0,A1,,,30,conf/ppam,,59.0,,30,conf/visualization,,0.0429654591407
31,conf/hpdc,1140.0,28992.0,A1,,,31,conf/lcpc,B4,56.0,,31,conf/ipps,A1,0.0426944971537
32,journals/tjs,1924.0,15395.0,B2,,,32,journals/sp,,54.0,,32,journals/tvcg,A1,0.0421407501054
33,journals/procedia,2009.0,3663.0,C ,,,33,journals/ijpp,B2,53.0,,33,conf/hipc,B1,0.0398104265403
34,journals/cgf,3057.0,50712.0,A2,,,34,conf/visualization,,51.0,,34,journals/tjs,B2,0.0369022869023
35,conf/ppsc,1103.0,12072.0,B4,,,35,journals/ppl,B2,51.0,,35,journals/procedia,C ,0.0323544051767
36,conf/iwomp,177.0,1325.0,,,,36,conf/date,A1,50.0,,36,conf/fpl,A2,0.0292153589316
37,conf/lcpc,718.0,21610.0,B4,,,37,conf/eScience,B1,47.0,,37,journals/toms,A2,0.0287356321839
38,journals/sp,487.0,6647.0,,,,38,conf/icppw,,47.0,,38,conf/icpp,A2,0.0279638799883
39,journals/ijpp,1031.0,13382.0,B2,,,39,conf/grid,A2,47.0,,39,conf/micro,A1,0.0269694819021
40,conf/eScience,838.0,6242.0,B1,,,40,journals/jcphy,,45.0,,40,journals/jpdc,A2,0.0266367137356
41,conf/icppw,1088.0,5961.0,,,,41,journals/ife,,44.0,,41,conf/hpcc,,0.0258023914412
42,journals/jcphy,4920.0,61020.0,,,,42,conf/dagstuhl,,44.0,,42,journals/jsa,,0.0245573957738
43,journals/ife,629.0,1514.0,,,,43,journals/cphysics,A1,43.0,,43,conf/pdpta,B2,0.0214634146341
44,conf/dagstuhl,4387.0,49198.0,,,,44,journals/jsa,,43.0,,44,journals/cgf,A2,0.021262675826
45,journals/cphysics,2942.0,24149.0,A1,,,45,journals/tpds,A1,43.0,,45,journals/cphysics,A1,0.0146159075459
46,journals/jsa,1751.0,92154.0,,,,46,conf/hipc,B1,42.0,,46,journals/tpds,A1,0.0130382049727
