Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,journals/computer,,1672.0,,1,conf/isca,A1,0.51674903899
2,conf/isca,1821.0,135083.0,A1,53.0,,2,conf/isca,A1,941.0,,2,conf/hpca,A1,0.515883100381
3,journals/dss,2302.0,56927.0,A1,50.0,,3,conf/micro,A1,518.0,,3,conf/asplos,A1,0.400773195876
4,conf/pldi,1303.0,110902.0,A1,46.0,,4,journals/tc,A1,442.0,,4,conf/micro,A1,0.367636621718
5,conf/hpca,787.0,26675.0,A1,42.0,,5,conf/hpca,A1,406.0,,5,journals/computer,,0.350818296265
6,conf/date,5135.0,52731.0,A1,41.0,,6,conf/ipps,A1,364.0,,6,journals/cal,,0.331550802139
7,conf/dac,6526.0,186313.0,A1,40.0,,7,conf/icpp,A2,335.0,,7,journals/taco,,0.309278350515
8,conf/micro,1409.0,59172.0,A1,40.0,,8,conf/asplos,A1,311.0,,8,conf/IEEEpact,,0.303703703704
9,conf/sigmetrics,1490.0,70702.0,A1,39.0,,9,journals/micro,A1,288.0,,9,conf/ispass,B1,0.301843317972
10,conf/hicss,11101.0,101629.0,A1,38.0,,10,journals/cacm,A1,257.0,,10,journals/micro,A1,0.288
11,conf/ppopp,790.0,28302.0,A2,35.0,,11,conf/IEEEpact,,246.0,,11,conf/cgo,A2,0.233062330623
12,conf/IEEEpact,810.0,14843.0,,32.0,,12,conf/dac,A1,245.0,,12,journals/tocs,A2,0.181176470588
13,conf/ics,1404.0,42901.0,A2,30.0,,13,conf/sc,A1,231.0,,13,conf/ics,A2,0.160256410256
14,conf/iccad,3313.0,104804.0,A1,29.0,,14,journals/jpdc,A2,227.0,,14,conf/cases,A2,0.154150197628
15,conf/icpr,8972.0,82067.0,A1,29.0,,15,conf/ics,A2,225.0,,15,conf/ppopp,A2,0.141772151899
16,conf/aspdac,2891.0,17518.0,,28.0,,16,journals/tpds,A1,224.0,,16,journals/itpro,B2,0.123834886818
17,conf/islped,1474.0,29414.0,A1,24.0,,17,conf/iccd,A2,207.0,,17,conf/cf,B1,0.115887850467
18,conf/icpp,3433.0,53080.0,A2,22.0,,18,conf/date,A1,156.0,,18,conf/icpp,A2,0.0975822895427
19,conf/compsac,3169.0,13894.0,A2,21.0,,19,conf/islped,A1,142.0,,19,conf/islped,A1,0.0963364993216
20,journals/itpro,751.0,4329.0,B2,21.0,,20,conf/sigmetrics,A1,136.0,,20,conf/sigmetrics,A1,0.0912751677852
21,conf/ispass,434.0,3972.0,B1,20.0,,21,conf/ispass,B1,131.0,,21,conf/iccd,A2,0.08984375
22,conf/vlsid,2573.0,16525.0,A2,18.0,,22,conf/iccad,A1,130.0,,22,conf/isi,B1,0.0868665977249
23,conf/iccd,2304.0,27546.0,A2,18.0,,23,journals/software,A1,123.0,,23,conf/pldi,A1,0.0828856485035
24,conf/cases,506.0,6500.0,A2,17.0,,24,journals/tse,A1,122.0,,24,journals/ijpp,B2,0.0814742967992
25,conf/cf,535.0,3103.0,B1,15.0,,25,journals/taco,,120.0,,25,conf/sc,A1,0.0748299319728
26,conf/sc,3087.0,61642.0,A1,13.0,,26,conf/ppopp,A2,112.0,,26,journals/jpdc,A2,0.0728498074454
27,conf/chi,10697.0,257222.0,A1,6.0,,27,conf/hicss,A1,109.0,,27,conf/sensys,A1,0.0712890625
28,journals/tc,6597.0,264854.0,A1,,,28,conf/pldi,A1,108.0,,28,conf/hpdc,A1,0.0710526315789
29,conf/ipps,7378.0,78830.0,A1,,,29,conf/icse,A1,101.0,,29,journals/tpds,A1,0.0679199514857
30,conf/asplos,776.0,64697.0,A1,,,30,journals/pami,A1,100.0,,30,journals/tc,A1,0.0670001515841
31,journals/micro,1000.0,27995.0,A1,,,31,conf/chi,A1,96.0,,31,conf/ipps,A1,0.0493358633776
32,journals/cacm,10519.0,922594.0,A1,,,32,conf/europar,,95.0,,32,journals/software,A1,0.0434782608696
33,journals/jpdc,3116.0,57395.0,A2,,,33,journals/itpro,B2,93.0,,33,conf/iccad,A1,0.0392393600966
34,journals/tpds,3298.0,84900.0,A1,,,34,conf/icdcs,A1,86.0,,34,conf/dac,A1,0.0375421391358
35,journals/software,2829.0,103570.0,A1,,,35,conf/cgo,A2,86.0,,35,journals/tse,A1,0.0368580060423
36,journals/tse,3310.0,298968.0,A1,,,36,journals/tcad,A1,85.0,,36,conf/icdcs,A1,0.0349877949552
37,journals/taco,388.0,1786.0,,,,37,journals/ijpp,B2,84.0,,37,journals/dss,A1,0.0347523892268
38,conf/icse,5428.0,145511.0,A1,,,38,conf/isi,B1,84.0,,38,conf/date,A1,0.0303797468354
39,journals/pami,5073.0,667087.0,A1,,,39,conf/hpdc,A1,81.0,,39,conf/europar,,0.0291948371235
40,conf/europar,3254.0,24096.0,,,,40,journals/dss,A1,80.0,,40,conf/vlsid,A2,0.025650991061
41,conf/icdcs,2458.0,87448.0,A1,,,41,conf/cases,A2,78.0,,41,journals/tvlsi,A1,0.0249667110519
42,conf/cgo,369.0,5651.0,A2,,,42,journals/tocs,A2,77.0,,42,journals/cacm,A1,0.0244319802263
43,journals/tcad,4726.0,133432.0,A1,,,43,journals/tvlsi,A1,75.0,,43,conf/aspdac,,0.0217917675545
44,journals/ijpp,1031.0,13382.0,B2,,,44,conf/sensys,A1,73.0,,44,conf/compsac,A2,0.02082675923
45,conf/isi,967.0,3516.0,B1,,,45,conf/icpr,A1,67.0,,45,journals/pami,A1,0.0197122018529
46,conf/hpdc,1140.0,28992.0,A1,,,46,conf/vlsid,A2,66.0,,46,conf/icse,A1,0.0186072218128
47,journals/tocs,425.0,77443.0,A2,,,47,conf/compsac,A2,66.0,,47,journals/tcad,A1,0.0179856115108
48,journals/tvlsi,3004.0,46874.0,A1,,,48,conf/aspdac,,63.0,,48,conf/hicss,A1,0.00981893523106
49,conf/sensys,1024.0,43459.0,A1,,,49,conf/cf,B1,62.0,,49,conf/chi,A1,0.00897447882584
50,journals/cal,187.0,1871.0,,,,50,journals/cal,,62.0,,50,conf/icpr,A1,0.00746767721801
