Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/cvpr,A1,2016.0,,1,conf/rt,,0.367441860465
2,journals/pr,6744.0,201239.0,A1,118.0,,2,journals/pami,A1,1616.0,,2,conf/iccv,A1,0.332780358328
3,conf/icml,3294.0,290468.0,A1,69.0,,3,conf/siggraph,A2,1056.0,,3,journals/ijcv,A1,0.319770773639
4,conf/nips,5684.0,404822.0,A1,66.0,,4,conf/icpr,A1,1007.0,,4,journals/pami,A1,0.318549181944
5,conf/icra,16038.0,236265.0,A1,61.0,,5,conf/iccv,A1,1003.0,,5,journals/tog,A1,0.310839308309
6,conf/eccv,3329.0,159515.0,A1,59.0,,6,conf/eccv,A1,852.0,,6,conf/cvpr,A1,0.293279022403
7,conf/icassp,28525.0,238265.0,A1,47.0,,7,conf/icip,A1,738.0,,7,conf/eccv,A1,0.255932712526
8,conf/ijcai,6188.0,295635.0,A1,46.0,,8,journals/tog,A1,737.0,,8,conf/siggraph,A2,0.222737819026
9,conf/iros,13604.0,126537.0,A1,45.0,,9,journals/pr,A1,567.0,,9,conf/pg,A2,0.215419501134
10,journals/prl,5475.0,100320.0,A1,44.0,,10,journals/ijcv,A1,558.0,,10,journals/cviu,A1,0.191129883844
11,conf/bmvc,2532.0,51771.0,A2,37.0,,11,conf/bmvc,A2,451.0,,11,conf/fgr,,0.183794466403
12,conf/aaai,7555.0,234650.0,A1,37.0,,12,journals/cviu,A1,362.0,,12,conf/icb,,0.182719546742
13,conf/icip,17283.0,156642.0,A1,35.0,,13,journals/cgf,A2,348.0,,13,conf/bmvc,A2,0.178120063191
14,conf/miccai,4743.0,59627.0,A1,32.0,,14,journals/prl,A1,335.0,,14,conf/wacv,B1,0.176834659593
15,conf/icdar,2762.0,27617.0,A2,31.0,,15,conf/icdar,A2,328.0,,15,conf/sspr,B1,0.176136363636
16,conf/icpr,8972.0,82067.0,A1,29.0,,16,conf/nips,A1,307.0,,16,conf/si3d,,0.174789915966
17,journals/cga,1531.0,41215.0,A2,28.0,,17,conf/icassp,A1,277.0,,17,journals/cvgip,,0.154011461318
18,conf/icb,706.0,5469.0,,27.0,,18,journals/tip,A1,267.0,,18,conf/icdar,A2,0.118754525706
19,conf/isbi,4174.0,14072.0,B1,26.0,,19,journals/ivc,A1,255.0,,19,journals/cgf,A2,0.113837095191
20,conf/si3d,595.0,28755.0,,26.0,,20,conf/mm,A1,240.0,,20,conf/icpr,A1,0.112238074008
21,conf/siggraph,4741.0,307117.0,A2,26.0,,21,journals/tsmc,,227.0,,21,conf/accv,,0.101949860724
22,conf/accv,1795.0,12712.0,,25.0,,22,conf/icra,A1,224.0,,22,journals/ivc,A1,0.0992217898833
23,conf/icmcs,7286.0,55698.0,B3,23.0,,23,journals/cvgip,,215.0,,23,journals/mva,B1,0.0983170947741
24,conf/wacv,1131.0,16365.0,B1,18.0,,24,conf/icmcs,B3,212.0,,24,conf/vr,A2,0.0893393393393
25,conf/caip,1274.0,7211.0,B2,16.0,,25,conf/miccai,A1,209.0,,25,journals/pr,A1,0.0840747330961
26,conf/iciap,1457.0,11752.0,B1,12.0,,26,conf/wacv,B1,200.0,,26,conf/caip,B2,0.0777080062794
27,conf/sspr,880.0,5411.0,B1,8.0,,27,conf/fgr,,186.0,,27,journals/ijprai,B1,0.0752747252747
28,conf/chi,10697.0,257222.0,A1,6.0,,28,conf/accv,,183.0,,28,journals/tvcg,A1,0.0750105351875
29,journals/pami,5073.0,667087.0,A1,,,29,journals/tvcg,A1,178.0,,29,conf/iciap,B1,0.0734385724091
30,conf/iccv,3014.0,216626.0,A1,,,30,conf/rt,,158.0,,30,journals/cga,A2,0.0640104506858
31,journals/tog,2371.0,136331.0,A1,,,31,conf/sspr,B1,155.0,,31,journals/prl,A1,0.0611872146119
32,journals/ijcv,1745.0,252396.0,A1,,,32,conf/iros,A1,137.0,,32,conf/mm,A1,0.0577478344562
33,journals/cviu,1894.0,78359.0,A1,,,33,journals/ijprai,B1,137.0,,33,conf/nips,A1,0.0540112596763
34,journals/cgf,3057.0,50712.0,A2,,,34,conf/isbi,B1,135.0,,34,journals/vc,B1,0.0533902829685
