Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/cm,1467.0,7672.0,A1,86.0,,1,conf/infocom,A1,3161.0,,1,conf/infocom,A1,0.455278697969
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/globecom,A1,1318.0,,2,journals/ton,A1,0.418101545254
3,conf/networking,1306.0,9360.0,B1,56.0,,3,conf/icc,A2,1128.0,,3,conf/mobihoc,A1,0.359765051395
4,conf/isit,4224.0,15815.0,B1,49.0,,4,journals/ton,A1,947.0,,4,conf/icnp,A1,0.291860465116
5,conf/globecom,14010.0,105540.0,A1,45.0,,5,journals/jsac,A1,749.0,,5,journals/tmc,,0.254357650097
6,conf/icc,14807.0,125393.0,A2,44.0,,6,journals/cn,A1,614.0,,6,conf/iwqos,A2,0.249484536082
7,journals/comcom,4829.0,48151.0,A2,42.0,,7,journals/tpds,A1,524.0,,7,conf/imc,A1,0.238461538462
8,conf/vtc,10987.0,36827.0,A1,42.0,,8,journals/twc,A1,467.0,,8,conf/wiopt,B1,0.235741444867
9,journals/adhoc,1160.0,24419.0,B1,42.0,,9,conf/wcnc,A2,446.0,,9,conf/qshine,B2,0.235051546392
10,journals/pe,1644.0,28533.0,A2,39.0,,10,journals/tmc,,394.0,,10,conf/mobicom,A1,0.22864321608
11,conf/sigmetrics,1490.0,70702.0,A1,39.0,,11,journals/tit,A1,352.0,,11,conf/conext,B1,0.225742574257
12,conf/rtss,1152.0,65287.0,A1,30.0,,12,conf/icdcs,A1,339.0,,12,conf/secon,B1,0.222222222222
13,conf/pimrc,7388.0,26633.0,A1,27.0,,13,journals/comcom,A2,322.0,,13,conf/sigmetrics,A1,0.214765100671
14,journals/winet,1535.0,43453.0,A1,25.0,,14,conf/sigmetrics,A1,320.0,,14,journals/network,A1,0.203799654577
15,journals/wicomm,1434.0,8282.0,B1,25.0,,15,journals/tcom,A1,312.0,,15,conf/mass,B1,0.193181818182
16,conf/mass,1232.0,6808.0,B1,22.0,,16,journals/tvt,,310.0,,16,conf/sigcomm,A1,0.176511466296
17,conf/icnp,860.0,26679.0,A1,22.0,,17,journals/tc,A1,290.0,,17,journals/winet,A1,0.168729641694
18,conf/icpp,3433.0,53080.0,A2,22.0,,18,conf/mobicom,A1,273.0,,18,conf/networking,B1,0.162327718224
19,conf/icccn,2399.0,19747.0,B1,20.0,,19,journals/winet,A1,259.0,,19,journals/ccr,A1,0.160204081633
20,conf/iwqos,485.0,4828.0,A2,16.0,,20,conf/icccn,B1,256.0,,20,journals/tpds,A1,0.158884172226
21,conf/imc,520.0,24389.0,A1,13.0,,21,conf/sigcomm,A1,254.0,,21,journals/adhoc,B1,0.155172413793
22,conf/qshine,485.0,2643.0,B2,8.0,,22,conf/icnp,A1,251.0,,22,journals/jsac,A1,0.154720099153
23,journals/ton,2265.0,135914.0,A1,,,23,conf/mobihoc,A1,245.0,,23,conf/icdcs,A1,0.137917005696
24,journals/jsac,4841.0,428028.0,A1,,,24,conf/mass,B1,238.0,,24,journals/monet,A2,0.135387488329
25,journals/cn,5168.0,163372.0,A1,,,25,journals/pe,A2,213.0,,25,journals/pe,A2,0.129562043796
26,journals/tpds,3298.0,84900.0,A1,,,26,conf/networking,B1,212.0,,26,journals/cn,A1,0.118808049536
27,journals/twc,5728.0,84604.0,A1,,,27,conf/secon,B1,200.0,,27,journals/wc,,0.110759493671
28,conf/wcnc,7468.0,54198.0,A2,,,28,conf/wiopt,B1,186.0,,28,conf/sensys,A1,0.1103515625
29,journals/tmc,1549.0,38787.0,,,,29,journals/adhoc,B1,180.0,,29,conf/icccn,B1,0.106711129637
30,journals/tit,13667.0,729338.0,A1,,,30,journals/ccr,A1,157.0,,30,conf/globecom,A1,0.0940756602427
31,conf/icdcs,2458.0,87448.0,A1,,,31,conf/icpp,A2,150.0,,31,conf/rtss,A1,0.09375
32,journals/tcom,7959.0,236070.0,A1,,,32,journals/monet,A2,145.0,,32,journals/cm,A1,0.093387866394
33,journals/tvt,4857.0,51527.0,,,,33,journals/icl,A1,142.0,,33,journals/questa,,0.0855172413793
34,journals/tc,6597.0,264854.0,A1,,,34,journals/wc,,140.0,,34,journals/twc,A1,0.0815293296089
35,conf/mobicom,1194.0,184683.0,A1,,,35,conf/ipps,A1,137.0,,35,conf/icc,A2,0.0761801850476
36,conf/sigcomm,1439.0,282065.0,A1,,,36,journals/cm,A1,137.0,,36,journals/wicomm,B1,0.0760111576011
37,conf/mobihoc,681.0,40138.0,A1,,,37,conf/vtc,A1,133.0,,37,journals/comcom,A2,0.0666804721474
38,conf/secon,900.0,11106.0,B1,,,38,journals/ieicet,,124.0,,38,journals/tvt,,0.0638254066296
39,conf/wiopt,789.0,4095.0,B1,,,39,conf/imc,A1,124.0,,39,conf/wcnc,A2,0.0597214783074
40,journals/ccr,980.0,62513.0,A1,,,40,journals/questa,,124.0,,40,journals/tc,A1,0.0439593754737
41,journals/monet,1071.0,30335.0,A2,,,41,conf/iwqos,A2,121.0,,41,conf/icpp,A2,0.0436935624818
42,journals/icl,5532.0,61901.0,A1,,,42,conf/pimrc,A1,121.0,,42,journals/tcom,A1,0.0392009046363
43,journals/wc,1264.0,103875.0,,,,43,journals/jpdc,A2,118.0,,43,journals/jpdc,A2,0.0378690629012
44,conf/ipps,7378.0,78830.0,A1,,,44,journals/network,A1,118.0,,44,journals/tit,A1,0.0257554693788
45,journals/ieicet,16941.0,18868.0,,,,45,conf/conext,B1,114.0,,45,journals/icl,A1,0.0256688358641
46,journals/questa,1450.0,28368.0,,,,46,conf/qshine,B2,114.0,,46,conf/isit,B1,0.0253314393939
47,journals/jpdc,3116.0,57395.0,A2,,,47,conf/sensys,A1,113.0,,47,conf/ipps,A1,0.0185687178097
48,journals/network,579.0,10331.0,A1,,,48,journals/wicomm,B1,109.0,,48,conf/pimrc,A1,0.0163779101245
49,conf/conext,505.0,5892.0,B1,,,49,conf/rtss,A1,108.0,,49,conf/vtc,A1,0.0121052152544
50,conf/sensys,1024.0,43459.0,A1,,,50,conf/isit,B1,107.0,,50,journals/ieicet,,0.00731952068945
