Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/cm,1467.0,7672.0,A1,86.0,,1,conf/infocom,A1,822.0,,1,conf/hotnets,B3,0.649484536082
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/globecom,A1,760.0,,2,conf/nsdi,A1,0.509355509356
3,journals/comsur,583.0,19860.0,A1,61.0,,3,conf/icc,A2,759.0,,3,conf/sigcomm,A1,0.498262682418
4,conf/networking,1306.0,9360.0,B1,56.0,,4,conf/sigcomm,A1,717.0,,4,conf/imc,A1,0.494230769231
5,conf/nsdi,481.0,17531.0,A1,54.0,,5,journals/cm,A1,407.0,,5,conf/conext,B1,0.352475247525
6,conf/globecom,14010.0,105540.0,A1,45.0,,6,journals/ton,A1,368.0,,6,journals/ccr,A1,0.326530612245
7,conf/icc,14807.0,125393.0,A2,44.0,,7,journals/jsac,A1,341.0,,7,journals/cm,A1,0.277436946149
8,journals/comcom,4829.0,48151.0,A2,42.0,,8,conf/wcnc,A2,320.0,,8,conf/pam,A2,0.25078369906
9,journals/adhoc,1160.0,24419.0,B1,42.0,,9,journals/ccr,A1,320.0,,9,conf/icnp,A1,0.216279069767
10,conf/vtc,10987.0,36827.0,A1,42.0,,10,journals/cn,A1,275.0,,10,journals/network,A1,0.208981001727
11,conf/sigmetrics,1490.0,70702.0,A1,39.0,,11,conf/imc,A1,257.0,,11,conf/osdi,A1,0.196759259259
12,conf/usenix,1164.0,69836.0,A1,35.0,,12,conf/nsdi,A1,245.0,,12,conf/mobicom,A1,0.178391959799
13,conf/pimrc,7388.0,26633.0,A1,27.0,,13,conf/vtc,A1,240.0,,13,journals/ton,A1,0.162472406181
14,journals/wicomm,1434.0,8282.0,B1,25.0,,14,journals/twc,A1,238.0,,14,conf/mobisys,A1,0.156390977444
15,journals/winet,1535.0,43453.0,A1,25.0,,15,conf/pimrc,A1,228.0,,15,conf/sosp,A1,0.149805447471
16,conf/pam,319.0,3522.0,A2,23.0,,16,conf/sigmetrics,A1,221.0,,16,conf/sigmetrics,A1,0.148322147651
17,conf/icnp,860.0,26679.0,A1,22.0,,17,conf/mobicom,A1,213.0,,17,journals/wc,,0.135284810127
18,conf/icccn,2399.0,19747.0,B1,20.0,,18,conf/iscc,A2,196.0,,18,journals/comsur,A1,0.123499142367
19,conf/iwcmc,2021.0,3875.0,B1,19.0,,19,journals/comcom,A2,193.0,,19,conf/infocom,A1,0.118392625666
