Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/bioinformatics,A1,1963.0,,1,conf/eccb,B1,0.418079096045
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,conf/kdd,A1,911.0,,2,journals/tkdd,,0.389189189189
3,journals/pr,6744.0,201239.0,A1,118.0,,3,journals/nar,B1,857.0,,3,conf/sdm,A2,0.332703213611
4,conf/www,4501.0,120253.0,A1,83.0,,4,journals/bmcbi,A1,807.0,,4,conf/kdd,A1,0.317532241199
5,journals/ploscb,3878.0,85175.0,,80.0,,5,conf/icdm,A1,526.0,,5,conf/ismb,A1,0.316205533597
6,journals/ml,1309.0,184440.0,A1,73.0,,6,conf/sdm,A2,352.0,,6,journals/sigkdd,,0.275488069414
7,journals/bmcbi,7074.0,136587.0,A1,73.0,,7,conf/cikm,A1,350.0,,7,conf/gcb,,0.261868300153
8,conf/icml,3294.0,290468.0,A1,69.0,,8,conf/icde,A1,332.0,,8,journals/datamine,A2,0.244360902256
9,conf/nips,5684.0,404822.0,A1,66.0,,9,journals/tkde,A1,309.0,,9,conf/psb,A1,0.221212121212
10,conf/sigmod,3706.0,337960.0,A1,61.0,,10,journals/ploscb,,279.0,,10,journals/bioinformatics,A1,0.19499354326
11,conf/wsdm,533.0,8651.0,B1,54.0,,11,conf/www,A1,251.0,,11,conf/wsdm,B1,0.187617260788
12,conf/icde,4327.0,135333.0,A1,52.0,,12,conf/sigmod,A1,243.0,,12,conf/recomb,A2,0.182186234818
13,journals/jcisd,6138.0,73816.0,B1,51.0,,13,conf/ismb,A1,240.0,,13,journals/jbcb,B1,0.177595628415
14,conf/sigir,3545.0,205477.0,A1,49.0,,14,conf/icml,A1,223.0,,14,conf/wabi,B1,0.171189979123
15,journals/bib,798.0,38929.0,,46.0,,15,conf/aaai,A1,222.0,,15,conf/icdm,A1,0.161053276179
16,conf/ijcai,6188.0,295635.0,A1,46.0,,16,journals/jcb,A1,203.0,,16,conf/csb,B1,0.154850746269
17,journals/tcs,10811.0,391021.0,A1,38.0,,17,conf/nips,A1,202.0,,17,journals/nar,B1,0.148965756996
18,conf/aaai,7555.0,234650.0,A1,37.0,,18,conf/pkdd,A2,183.0,,18,journals/jcb,A1,0.134170522141
19,conf/edbt,1462.0,28921.0,A2,36.0,,19,conf/pakdd,,181.0,,19,journals/kais,A2,0.121212121212
20,conf/sdm,1058.0,20754.0,A2,35.0,,20,conf/recomb,A2,180.0,,20,journals/bmcbi,A1,0.114079728584
21,conf/vldb,2641.0,235473.0,A1,34.0,,21,conf/gcb,,171.0,,21,conf/pkdd,A2,0.106643356643
22,conf/coling,3555.0,68639.0,A1,31.0,,22,conf/vldb,A1,163.0,,22,journals/tkde,A1,0.105713308245
