Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/kdd,A1,1097.0,,1,journals/tkdd,,0.448648648649
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,journals/bmcbi,A1,1083.0,,2,conf/kdd,A1,0.38236319275
3,journals/pr,6744.0,201239.0,A1,118.0,,3,journals/bioinformatics,A1,864.0,,3,conf/sdm,A2,0.381852551985
4,conf/www,4501.0,120253.0,A1,83.0,,4,conf/icdm,A1,670.0,,4,journals/sigkdd,,0.34273318872
5,journals/ploscb,3878.0,85175.0,,80.0,,5,conf/cikm,A1,470.0,,5,journals/datamine,A2,0.302631578947
6,journals/bmcbi,7074.0,136587.0,A1,73.0,,6,conf/sdm,A2,404.0,,6,conf/wsdm,B1,0.215759849906
7,journals/ml,1309.0,184440.0,A1,73.0,,7,journals/nar,B1,391.0,,7,conf/icdm,A1,0.20514390692
8,journals/isci,7032.0,124049.0,A1,70.0,,8,conf/icde,A1,366.0,,8,conf/psb,A1,0.169696969697
9,conf/icml,3294.0,290468.0,A1,69.0,,9,journals/tkde,A1,365.0,,9,conf/gcb,,0.16539050536
10,conf/nips,5684.0,404822.0,A1,66.0,,10,conf/icml,A1,322.0,,10,conf/ismb,A1,0.156785243742
11,conf/sigmod,3706.0,337960.0,A1,61.0,,11,conf/aaai,A1,298.0,,11,journals/bmcbi,A1,0.153095843936
12,conf/wsdm,533.0,8651.0,B1,54.0,,12,conf/www,A1,289.0,,12,journals/kais,A2,0.151515151515
13,conf/icde,4327.0,135333.0,A1,52.0,,13,conf/sigmod,A1,273.0,,13,conf/bcb,B4,0.134146341463
14,conf/sigir,3545.0,205477.0,A1,49.0,,14,conf/pakdd,,239.0,,14,journals/tkde,A1,0.12487170715
15,conf/ijcai,6188.0,295635.0,A1,46.0,,15,conf/nips,A1,229.0,,15,conf/pakdd,,0.123834196891
16,journals/ijon,7349.0,79598.0,A1,45.0,,16,conf/pkdd,A2,210.0,,16,conf/pkdd,A2,0.122377622378
17,conf/aaai,7555.0,234650.0,A1,37.0,,17,conf/bibm,B4,176.0,,17,conf/recsys,B1,0.112107623318
18,conf/edbt,1462.0,28921.0,A2,36.0,,18,conf/ijcai,A1,175.0,,18,journals/jbcb,B1,0.110655737705
19,conf/sdm,1058.0,20754.0,A2,35.0,,19,conf/sigir,A1,174.0,,19,conf/bibm,B4,0.109248913718
20,conf/vldb,2641.0,235473.0,A1,34.0,,20,conf/vldb,A1,173.0,,20,conf/cikm,A1,0.108469882299
21,conf/coling,3555.0,68639.0,A1,31.0,,21,journals/datamine,A2,161.0,,21,journals/tcbb,A2,0.104581673307
22,conf/psb,660.0,18545.0,A1,23.0,,22,journals/ploscb,,160.0,,22,conf/icml,A1,0.0977534911961
23,journals/sigkdd,461.0,21066.0,,20.0,,23,journals/sigkdd,,158.0,,23,conf/recomb,A2,0.0921052631579
24,conf/igarss,13453.0,19429.0,B1,20.0,,24,journals/kais,A2,150.0,,24,journals/bioinformatics,A1,0.085824972683
25,journals/jbcb,732.0,9734.0,B1,19.0,,25,journals/pvldb,A1,123.0,,25,conf/icde,A1,0.0845851629304
26,conf/amia,5606.0,32170.0,,19.0,,26,conf/ismb,A1,119.0,,26,journals/pvldb,A1,0.0830519918974
27,conf/dasfaa,1628.0,6723.0,B1,17.0,,27,conf/wsdm,B1,115.0,,27,journals/ml,A1,0.0794499618029
28,conf/bibm,1611.0,1614.0,B4,15.0,,28,conf/psb,A1,112.0,,28,conf/sigmod,A1,0.0736643281166
29,conf/ictai,2505.0,27065.0,A2,14.0,,29,journals/bmcsb,,108.0,,29,journals/bmcsb,,0.0727762803235
30,conf/kdd,2869.0,148223.0,A1,,,30,conf/gcb,,108.0,,30,journals/jcb,A1,0.0707204230007
31,journals/bioinformatics,10067.0,582213.0,A1,,,31,conf/igarss,B1,107.0,,31,journals/nar,B1,0.0679645402399
32,conf/icdm,3266.0,43188.0,A1,,,32,journals/jcb,A1,107.0,,32,conf/vldb,A1,0.0655054903446
33,conf/cikm,4333.0,72291.0,A1,,,33,journals/tcbb,A2,105.0,,33,conf/edbt,A2,0.0649794801642
34,journals/tkde,2923.0,124112.0,A1,,,34,journals/ml,A1,104.0,,34,conf/www,A1,0.064207953788
35,conf/pakdd,1930.0,14336.0,,,,35,journals/jmlr,A1,100.0,,35,conf/dasfaa,B1,0.0583538083538
36,conf/pkdd,1716.0,25605.0,A2,,,36,conf/edbt,A2,95.0,,36,conf/sigir,A1,0.0490832157969
37,journals/datamine,532.0,42245.0,A2,,,37,conf/dasfaa,B1,95.0,,37,journals/jmlr,A1,0.0461893764434
38,journals/kais,990.0,24743.0,A2,,,38,conf/ictai,A2,94.0,,38,journals/ploscb,,0.0412583806086
39,journals/pvldb,1481.0,18238.0,A1,,,39,conf/acl,A1,94.0,,39,conf/nips,A1,0.0402885292048
40,conf/ismb,759.0,40807.0,A1,,,40,conf/recomb,A2,91.0,,40,conf/aaai,A1,0.0394440767704
41,journals/bmcsb,1484.0,15670.0,,,,41,conf/bcb,B4,88.0,,41,conf/ictai,A2,0.0375249500998
42,conf/gcb,653.0,4424.0,,,,42,conf/coling,A1,84.0,,42,conf/ijcai,A1,0.0282805429864
43,journals/jcb,1513.0,48286.0,A1,,,43,journals/isci,A1,84.0,,43,conf/coling,A1,0.0236286919831
44,journals/tcbb,1004.0,11473.0,A2,,,44,journals/tkdd,,83.0,,44,conf/acl,A1,0.022159358793
45,journals/jmlr,2165.0,94215.0,A1,,,45,journals/jbcb,B1,81.0,,45,conf/amia,,0.0133785230111
46,conf/acl,4242.0,195392.0,A1,,,46,journals/pr,A1,79.0,,46,journals/isci,A1,0.0119453924915
47,conf/recomb,988.0,43832.0,A2,,,47,journals/ijon,A1,78.0,,47,journals/pr,A1,0.0117141162515
48,conf/bcb,656.0,588.0,B4,,,48,conf/cvpr,A1,77.0,,48,conf/cvpr,A1,0.0112016293279
49,journals/tkdd,185.0,2796.0,,,,49,conf/recsys,B1,75.0,,49,journals/ijon,A1,0.0106136889373
50,conf/recsys,669.0,6329.0,B1,,,50,conf/amia,,75.0,,50,conf/igarss,B1,0.00795361629376
