Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/sigmod,A1,1889.0,,1,journals/dr,,0.673758865248
2,journals/www,423.0,7421.0,B1,83.0,,2,conf/icde,A1,1860.0,,2,journals/vldb,A2,0.602698650675
3,journals/computer,4766.0,261329.0,,76.0,,3,conf/vldb,A1,1133.0,,3,journals/pvldb,A1,0.569885212694
4,journals/is,1504.0,32461.0,A2,72.0,,4,journals/tkde,A1,953.0,,4,conf/cidr,A2,0.525252525253
5,journals/isci,7032.0,124049.0,A1,70.0,,5,journals/pvldb,A1,844.0,,5,conf/sigmod,A1,0.509713977334
6,conf/sigmod,3706.0,337960.0,A1,61.0,,6,conf/cikm,A1,634.0,,6,journals/debu,,0.451486697966
7,conf/icde,4327.0,135333.0,A1,52.0,,7,journals/debu,,577.0,,7,journals/tods,A2,0.435610302352
8,conf/sigir,3545.0,205477.0,A1,49.0,,8,conf/edbt,A2,503.0,,8,conf/icde,A1,0.429859024728
9,conf/ijcai,6188.0,295635.0,A1,46.0,,9,journals/sigmod,A1,478.0,,9,conf/vldb,A1,0.429004165089
10,conf/aaai,7555.0,234650.0,A1,37.0,,10,conf/kdd,A1,477.0,,10,conf/webdb,B1,0.421985815603
11,conf/edbt,1462.0,28921.0,A2,36.0,,11,journals/vldb,A2,402.0,,11,conf/ssd,,0.348404255319
12,journals/jacm,2719.0,368295.0,A1,35.0,,12,journals/tods,A2,389.0,,12,conf/edbt,A2,0.344049247606
13,conf/sdm,1058.0,20754.0,A2,35.0,,13,conf/icdm,A1,385.0,,13,conf/pods,A1,0.327913279133
14,conf/vldb,2641.0,235473.0,A1,34.0,,14,conf/dasfaa,B1,376.0,,14,journals/tkde,A1,0.326034895655
15,conf/gis,1524.0,12787.0,B1,29.0,,15,conf/pods,A1,363.0,,15,journals/sigmod,A1,0.304846938776
16,conf/pods,1107.0,115617.0,A1,28.0,,16,conf/www,A1,328.0,,16,journals/dpd,B1,0.270408163265
17,conf/cidr,297.0,12184.0,A2,28.0,,17,conf/ssdbm,A2,252.0,,17,conf/ssdbm,A2,0.245374878286
18,conf/mdm,961.0,7523.0,A2,23.0,,18,journals/is,A2,206.0,,18,conf/icdt,B1,0.241379310345
19,conf/icdt,522.0,36527.0,B1,22.0,,19,conf/sdm,A2,203.0,,19,conf/dasfaa,B1,0.230958230958
20,journals/sigmod,1568.0,46055.0,A1,21.0,,20,conf/icdcs,A1,187.0,,20,journals/www,B1,0.205673758865
21,conf/ssdbm,1027.0,9842.0,A2,19.0,,21,conf/pakdd,,175.0,,21,conf/sdm,A2,0.191871455577
22,conf/dasfaa,1628.0,6723.0,B1,17.0,,22,conf/dexa,B1,168.0,,22,conf/kdd,A1,0.166260020913
23,conf/wise,1315.0,10431.0,B1,14.0,,23,conf/gis,B1,163.0,,23,conf/cikm,A1,0.146318947611
24,conf/btw,868.0,3772.0,,11.0,,24,journals/dke,,161.0,,24,journals/is,A2,0.136968085106
25,conf/waim,1256.0,2798.0,B2,11.0,,25,conf/waim,B2,157.0,,25,conf/mdm,A2,0.135275754422
26,journals/tkde,2923.0,124112.0,A1,,,26,conf/cidr,A2,156.0,,26,conf/btw,,0.133640552995
27,journals/pvldb,1481.0,18238.0,A1,,,27,conf/er,A2,142.0,,27,conf/waim,B2,0.125
28,conf/cikm,4333.0,72291.0,A1,,,28,conf/ssd,,131.0,,28,conf/icdm,A1,0.117881200245
29,journals/debu,1278.0,19702.0,,,,29,conf/mdm,A2,130.0,,29,journals/kais,A2,0.113131313131
30,conf/kdd,2869.0,148223.0,A1,,,30,journals/tse,A1,126.0,,30,journals/dke,,0.110729023384
31,journals/vldb,667.0,36101.0,A2,,,31,conf/icdt,B1,126.0,,31,conf/gis,B1,0.106955380577
32,journals/tods,893.0,113458.0,A2,,,32,journals/isci,A1,125.0,,32,conf/pakdd,,0.0906735751295
33,conf/icdm,3266.0,43188.0,A1,,,33,conf/webdb,B1,119.0,,33,conf/dexa,B1,0.0775265343793
34,conf/icdcs,2458.0,87448.0,A1,,,34,conf/sigir,A1,117.0,,34,conf/icdcs,A1,0.0760781122864
35,conf/pakdd,1930.0,14336.0,,,,35,conf/btw,,116.0,,35,conf/wise,B1,0.0745247148289
36,conf/dexa,2167.0,14267.0,B1,,,36,journals/cacm,A1,114.0,,36,conf/www,A1,0.0728726949567
37,journals/dke,1454.0,29615.0,,,,37,journals/jcss,A2,112.0,,37,conf/er,A2,0.0639351643404
38,conf/er,2221.0,28947.0,A2,,,38,journals/kais,A2,112.0,,38,conf/pkdd,A2,0.0501165501166
39,conf/ssd,376.0,13641.0,,,,39,conf/aaai,A1,110.0,,39,journals/jcss,A2,0.0423600605144
40,journals/tse,3310.0,298968.0,A1,,,40,conf/mm,A1,109.0,,40,journals/tse,A1,0.0380664652568
41,conf/webdb,282.0,11169.0,B1,,,41,journals/tpds,A1,109.0,,41,journals/tpds,A1,0.0330503335355
42,journals/cacm,10519.0,922594.0,A1,,,42,journals/dpd,B1,106.0,,42,conf/sigir,A1,0.0330042313117
43,journals/jcss,2644.0,98794.0,A2,,,43,conf/wise,B1,98.0,,43,journals/jacm,A1,0.0308937109231
44,journals/kais,990.0,24743.0,A2,,,44,journals/dr,,95.0,,44,conf/mm,A1,0.0262271414822
45,conf/mm,4156.0,84789.0,A1,,,45,journals/tc,A1,92.0,,45,journals/isci,A1,0.0177758816837
46,journals/tpds,3298.0,84900.0,A1,,,46,conf/ijcai,A1,88.0,,46,journals/computer,,0.0176248426353
47,journals/dpd,392.0,12099.0,B1,,,47,journals/www,B1,87.0,,47,conf/aaai,A1,0.0145598941099
