Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,conf/infocom,A1,3200.0,,1,journals/ton,A1,0.497571743929
2,conf/networking,1306.0,9360.0,B1,56.0,,2,conf/globecom,A1,1207.0,,2,conf/infocom,A1,0.46089586634
3,conf/isit,4224.0,15815.0,B1,49.0,,3,journals/ton,A1,1127.0,,3,conf/mobihoc,A1,0.355359765051
4,conf/globecom,14010.0,105540.0,A1,45.0,,4,conf/icc,A2,1026.0,,4,conf/icnp,A1,0.333720930233
5,conf/icc,14807.0,125393.0,A2,44.0,,5,journals/jsac,A1,750.0,,5,conf/iwqos,A2,0.274226804124
6,journals/adhoc,1160.0,24419.0,B1,42.0,,6,journals/cn,A1,656.0,,6,conf/imc,A1,0.269230769231
7,journals/comcom,4829.0,48151.0,A2,42.0,,7,journals/tpds,A1,489.0,,7,journals/tmc,,0.260167850226
8,conf/vtc,10987.0,36827.0,A1,42.0,,8,journals/twc,A1,423.0,,8,conf/wiopt,B1,0.259822560203
9,conf/sigmetrics,1490.0,70702.0,A1,39.0,,9,journals/tmc,,403.0,,9,conf/sigmetrics,A1,0.259731543624
10,journals/sigmetrics,983.0,10914.0,,39.0,,10,conf/sigmetrics,A1,387.0,,10,conf/conext,B1,0.247524752475
11,journals/pe,1644.0,28533.0,A2,39.0,,11,conf/wcnc,A2,361.0,,11,conf/sigcomm,A1,0.243919388464
12,conf/rtss,1152.0,65287.0,A1,30.0,,12,conf/sigcomm,A1,351.0,,12,conf/mobicom,A1,0.239530988275
13,conf/pimrc,7388.0,26633.0,A1,27.0,,13,conf/icdcs,A1,341.0,,13,conf/secon,B1,0.212222222222
14,journals/winet,1535.0,43453.0,A1,25.0,,14,journals/tit,A1,331.0,,14,journals/ccr,A1,0.189795918367
15,conf/icpp,3433.0,53080.0,A2,22.0,,15,journals/tc,A1,311.0,,15,journals/network,A1,0.183074265976
16,conf/icnp,860.0,26679.0,A1,22.0,,16,journals/comcom,A2,311.0,,16,conf/broadnets,B1,0.182242990654
