Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/cm,1467.0,7672.0,A1,86.0,,1,conf/iscas,A1,1039.0,,1,journals/jssc,,0.562628336756
2,journals/pieee,1039.0,18961.0,A1,85.0,,2,conf/isscc,B1,1007.0,,2,conf/isscc,B1,0.511947127605
3,conf/isscc,1967.0,13365.0,B1,59.0,,3,journals/jssc,,822.0,,3,conf/esscirc,,0.467032967033
4,conf/icassp,28525.0,238265.0,A1,47.0,,4,journals/tcas,,705.0,,4,conf/cicc,B2,0.29021667761
5,conf/globecom,14010.0,105540.0,A1,45.0,,5,conf/cicc,B2,442.0,,5,journals/tcas,,0.129595588235
6,conf/icc,14807.0,125393.0,A2,44.0,,6,conf/dac,A1,194.0,,6,journals/tbcas,,0.125252525253
7,conf/date,5135.0,52731.0,A1,41.0,,7,journals/tvlsi,A1,194.0,,7,conf/islped,A1,0.100407055631
8,conf/dac,6526.0,186313.0,A1,40.0,,8,journals/ieicet,,190.0,,8,journals/esticas,,0.1
9,conf/icip,17283.0,156642.0,A1,35.0,,9,conf/esscirc,,170.0,,9,conf/norchip,,0.0825242718447
10,conf/iccad,3313.0,104804.0,A1,29.0,,10,conf/icecsys,,159.0,,10,journals/tvlsi,A1,0.0645805592543
11,conf/aspdac,2891.0,17518.0,,28.0,,11,conf/islped,A1,148.0,,11,conf/iscas,A1,0.0612365179466
12,conf/iscas,16967.0,68042.0,A1,27.0,,12,conf/date,A1,137.0,,12,conf/essderc,,0.0501930501931
13,journals/mj,2661.0,10618.0,B1,26.0,,13,conf/aspdac,,131.0,,13,conf/icecsys,,0.0492870427774
14,conf/islped,1474.0,29414.0,A1,24.0,,14,conf/iccad,A1,111.0,,14,conf/ecctd,,0.0482573726542
15,conf/icmcs,7286.0,55698.0,B3,23.0,,15,journals/tcad,A1,91.0,,15,conf/aspdac,,0.0453130404704
16,conf/cicc,1523.0,4740.0,B2,23.0,,16,conf/icassp,A1,74.0,,16,conf/3dic,,0.0405797101449
17,conf/igarss,13453.0,19429.0,B1,20.0,,17,conf/isqed,B1,67.0,,17,conf/isqed,B1,0.035848047084
18,conf/3dic,345.0,749.0,,20.0,,18,journals/tbcas,,62.0,,18,conf/iccad,A1,0.0335043766979
19,conf/esscirc,364.0,211.0,,19.0,,19,journals/tcsv,A1,57.0,,19,conf/socc,B2,0.0302049622438
20,conf/vts,1599.0,18311.0,A2,18.0,,20,journals/vlsisp,,47.0,,20,conf/sips,,0.0301953818828
21,conf/iccd,2304.0,27546.0,A2,18.0,,21,conf/vlsid,A2,46.0,,21,conf/dac,A1,0.0297272448667
22,conf/vlsid,2573.0,16525.0,A2,18.0,,22,conf/apccas,,45.0,,22,conf/date,A1,0.0266796494645
23,conf/isqed,1869.0,8032.0,B1,18.0,,23,conf/icmcs,B3,38.0,,23,journals/vlsisp,,0.0253779697624
24,conf/glvlsi,1759.0,7169.0,,16.0,,24,journals/dt,,36.0,,24,journals/dt,,0.0242098184264
25,conf/essderc,259.0,47.0,,15.0,,25,journals/tim,A2,36.0,,25,conf/apccas,,0.0239744272776
26,conf/ecctd,373.0,135.0,,11.0,,26,journals/ieiceee,,34.0,,26,conf/vlsi,,0.0206896551724
27,conf/isnn,3366.0,5670.0,,11.0,,27,conf/icip,A1,34.0,,27,journals/tcad,A1,0.019255184088
28,conf/icecsys,3226.0,7186.0,,11.0,,28,conf/iccd,A2,31.0,,28,journals/tcsv,A1,0.0189054726368
29,journals/jcsc,1589.0,8246.0,B2,11.0,,29,journals/mj,B1,30.0,,29,journals/micro,A1,0.018
30,conf/vlsi,870.0,2152.0,,10.0,,30,conf/socc,B2,28.0,,30,conf/vlsid,A2,0.0178779634668
31,conf/norchip,206.0,16.0,,9.0,,31,conf/icc,A2,26.0,,31,journals/ieiceee,,0.0142199916353
32,conf/apccas,1877.0,3529.0,,8.0,,32,journals/esticas,,25.0,,32,conf/glvlsi,,0.0142126208073
33,journals/jssc,1461.0,4346.0,,,,33,conf/glvlsi,,25.0,,33,journals/pieee,A1,0.0134744947064
34,journals/tcas,5440.0,54120.0,,,,34,conf/igarss,B1,25.0,,34,conf/iccd,A2,0.0134548611111
35,journals/tvlsi,3004.0,46874.0,A1,,,35,conf/globecom,A1,21.0,,35,journals/mj,B1,0.011273957159
36,journals/ieicet,16941.0,18868.0,,,,36,journals/tce,,21.0,,36,journals/ieicet,,0.0112153946048
37,journals/tcad,4726.0,133432.0,A1,,,37,journals/mr,,20.0,,37,journals/cm,A1,0.0102249488753
38,journals/tbcas,495.0,3844.0,,,,38,conf/ecctd,,18.0,,38,journals/jcsc,B2,0.00818124606671
39,journals/tcsv,3015.0,109012.0,A1,,,39,conf/vlsi,,18.0,,39,conf/vts,A2,0.00813008130081
40,journals/vlsisp,1852.0,17801.0,,,,40,journals/micro,A1,18.0,,40,journals/tce,,0.00618374558304
41,journals/dt,1487.0,29710.0,,,,41,conf/sips,,17.0,,41,journals/tim,A2,0.00612557427259
