Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,conf/chi,A1,3984.0,,1,conf/uist,A1,0.468416735029
2,journals/behaviourIT,1033.0,21287.0,,52.0,,2,conf/uist,A1,571.0,,2,journals/tochi,,0.433497536946
3,journals/interactions,2020.0,25053.0,B2,46.0,,3,conf/cscw,A1,542.0,,3,conf/chi,A1,0.372440871272
4,conf/uist,1219.0,52308.0,A1,40.0,,4,journals/interactions,B2,364.0,,4,journals/hhci,,0.356770833333
5,conf/hicss,11101.0,101629.0,A1,38.0,,5,conf/interact,B1,308.0,,5,conf/ACMdis,,0.330975954738
6,conf/cscw,1792.0,98709.0,A1,37.0,,6,conf/mhci,,274.0,,6,conf/cscw,A1,0.302455357143
7,conf/aaai,7555.0,234650.0,A1,37.0,,7,conf/huc,,271.0,,7,conf/soups,B1,0.3
8,conf/pervasive,274.0,10214.0,A2,32.0,,8,conf/ACMdis,,234.0,,8,conf/ecscw,B1,0.284697508897
9,conf/soups,210.0,3281.0,B1,29.0,,9,journals/cacm,A1,230.0,,9,conf/tabletop,,0.265895953757
10,conf/hri,1198.0,5977.0,A2,29.0,,10,journals/pervasive,A2,200.0,,10,journals/pervasive,A2,0.252844500632
11,journals/cga,1531.0,41215.0,A2,28.0,,11,journals/ijmms,A1,194.0,,11,conf/pervasive,A2,0.248175182482
12,conf/siggraph,4741.0,307117.0,A2,26.0,,12,journals/tochi,,176.0,,12,conf/mhci,,0.227009113505
13,conf/iui,1360.0,26631.0,A1,26.0,,13,journals/puc,B1,166.0,,13,conf/graphicsinterface,,0.212933753943
14,journals/hhci,384.0,56493.0,,25.0,,14,conf/iui,A1,152.0,,14,conf/group,A2,0.198996655518
15,conf/hci,10109.0,15200.0,A2,25.0,,15,conf/tabletop,,138.0,,15,conf/nordichi,B1,0.186046511628
16,conf/interact,1813.0,17182.0,B1,24.0,,16,journals/hhci,,137.0,,16,conf/huc,,0.180306054558
17,conf/ph,659.0,3089.0,,21.0,,17,conf/nordichi,B1,136.0,,17,journals/interactions,B2,0.180198019802
18,conf/acmidc,705.0,3545.0,,21.0,,18,conf/tei,B1,136.0,,18,journals/cscw,B3,0.174672489083
19,conf/icmi,1076.0,11229.0,A2,20.0,,19,conf/graphicsinterface,,135.0,,19,conf/tei,B1,0.173913043478
20,conf/assets,895.0,8381.0,A2,19.0,,20,conf/vl,,133.0,,20,conf/interact,B1,0.169884169884
21,conf/group,598.0,10785.0,A2,19.0,,21,conf/group,A2,119.0,,21,conf/acmidc,,0.156028368794
22,conf/bcshci,817.0,5854.0,,17.0,,22,conf/avi,A2,119.0,,22,journals/puc,B1,0.145486415425
23,conf/vl,1328.0,19263.0,,17.0,,23,conf/siggraph,A2,111.0,,23,conf/avi,A2,0.143373493976
24,conf/graphicsinterface,634.0,15397.0,,17.0,,24,conf/acmidc,,110.0,,24,conf/bcshci,,0.132190942472
25,conf/ACMdis,707.0,9284.0,,17.0,,25,conf/bcshci,,108.0,,25,conf/iswc,A1,0.125776397516
26,conf/iswc,644.0,19090.0,A1,16.0,,26,conf/hci,A2,103.0,,26,conf/iui,A1,0.111764705882
27,conf/avi,830.0,7670.0,A2,14.0,,27,conf/assets,A2,99.0,,27,conf/assets,A2,0.11061452514
28,conf/mc,1386.0,960.0,,7.0,,28,conf/hicss,A1,98.0,,28,conf/vl,,0.10015060241
29,conf/chi,10697.0,257222.0,A1,6.0,,29,journals/iwc,B1,92.0,,29,conf/ozchi,B1,0.0976863753213
30,conf/mhci,1207.0,8589.0,,,,30,journals/computer,,90.0,,30,journals/iwc,B1,0.0934959349593
31,conf/huc,1503.0,22520.0,,,,31,journals/tog,A1,82.0,,31,conf/ph,,0.0834597875569
32,journals/cacm,10519.0,922594.0,A1,,,32,conf/iswc,A1,81.0,,32,journals/ijmms,A1,0.0741306839893
33,journals/pervasive,791.0,28157.0,A2,,,33,journals/tvcg,A1,80.0,,33,conf/icmi,A2,0.0622676579926
34,journals/ijmms,2617.0,115930.0,A1,,,34,conf/ecscw,B1,80.0,,34,conf/hri,A2,0.0534223706177
35,journals/tochi,406.0,30846.0,,,,35,journals/cscw,B3,80.0,,35,journals/ijhci,B1,0.05
36,journals/puc,1141.0,27695.0,B1,,,36,conf/ozchi,B1,76.0,,36,conf/nime,B1,0.0482866043614
37,conf/tabletop,519.0,2789.0,,,,37,conf/pervasive,A2,68.0,,37,conf/ismar,A2,0.046986721144
38,conf/nordichi,731.0,4633.0,B1,,,38,conf/mm,A1,67.0,,38,journals/behaviourIT,,0.0464666021297
39,conf/tei,782.0,3452.0,B1,,,39,conf/icmi,A2,67.0,,39,conf/mc,,0.040404040404
40,journals/iwc,984.0,20295.0,B1,,,40,conf/hri,A2,64.0,,40,journals/tog,A1,0.0345845634753
41,journals/tog,2371.0,136331.0,A1,,,41,conf/soups,B1,63.0,,41,journals/cga,A2,0.0339647289353
42,journals/tvcg,2373.0,58997.0,A1,,,42,conf/nime,B1,62.0,,42,journals/tvcg,A1,0.0337126000843
43,conf/ecscw,281.0,14054.0,B1,,,43,conf/icse,A1,58.0,,43,conf/siggraph,A2,0.0234127821135
44,journals/cscw,458.0,15416.0,B3,,,44,conf/mc,,56.0,,44,journals/cacm,A1,0.0218651963114
45,conf/ozchi,778.0,11462.0,B1,,,45,conf/ph,,55.0,,45,journals/computer,,0.0188837599664
46,conf/mm,4156.0,84789.0,A1,,,46,journals/cga,A2,52.0,,46,conf/mm,A1,0.0161212704524
47,conf/nime,1284.0,9675.0,B1,,,47,conf/aaai,A1,52.0,,47,conf/icse,A1,0.0106853352985
48,conf/icse,5428.0,145511.0,A1,,,48,journals/behaviourIT,,48.0,,48,conf/hci,A2,0.010188940548
49,journals/ijhci,920.0,19827.0,B1,,,49,journals/ijhci,B1,46.0,,49,conf/hicss,A1,0.00882803351049
50,conf/ismar,979.0,12048.0,A2,,,50,conf/ismar,A2,46.0,,50,conf/aaai,A1,0.00688285903375
