Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/sigir,A1,1733.0,,1,conf/sigir,A1,0.488857545839
2,journals/is,1504.0,32461.0,A2,72.0,,2,conf/cikm,A1,1217.0,,2,journals/sigir,,0.414701803051
3,journals/isci,7032.0,124049.0,A1,70.0,,3,journals/tkde,A1,834.0,,3,journals/ir,B1,0.407407407407
4,conf/icml,3294.0,290468.0,A1,69.0,,4,conf/icde,A1,750.0,,4,conf/ecir,A2,0.402985074627
5,conf/sigmod,3706.0,337960.0,A1,61.0,,5,conf/trec,A2,704.0,,5,conf/trec,A2,0.393736017897
6,conf/wsdm,533.0,8651.0,B1,54.0,,6,conf/www,A1,532.0,,6,conf/wsdm,B1,0.37148217636
7,conf/icde,4327.0,135333.0,A1,52.0,,7,conf/kdd,A1,461.0,,7,journals/tois,A2,0.306557377049
8,conf/sigir,3545.0,205477.0,A1,49.0,,8,conf/sigmod,A1,460.0,,8,journals/tkde,A1,0.285323297982
9,journals/ir,432.0,42026.0,B1,49.0,,9,conf/ecir,A2,459.0,,9,conf/cikm,A1,0.280867759058
10,conf/ijcai,6188.0,295635.0,A1,46.0,,10,conf/icdm,A1,453.0,,10,journals/vldb,A2,0.271364317841
11,conf/aaai,7555.0,234650.0,A1,37.0,,11,conf/clef,B2,405.0,,11,conf/sdm,A2,0.242911153119
12,conf/edbt,1462.0,28921.0,A2,36.0,,12,journals/ipm,,316.0,,12,conf/airs,B3,0.19926199262
13,conf/sdm,1058.0,20754.0,A2,35.0,,13,journals/sigir,,299.0,,13,journals/pvldb,A1,0.191087103309
14,conf/vldb,2641.0,235473.0,A1,34.0,,14,conf/mm,A1,299.0,,14,conf/icde,A1,0.173330251907
15,conf/gis,1524.0,12787.0,B1,29.0,,15,conf/aaai,A1,287.0,,15,conf/dasfaa,B1,0.167076167076
16,conf/clef,2767.0,18658.0,B2,24.0,,16,journals/jasis,A1,287.0,,16,conf/riao,,0.166666666667
17,conf/icmcs,7286.0,55698.0,B3,23.0,,17,journals/pvldb,A1,283.0,,17,conf/kdd,A1,0.160683164866
18,conf/mdm,961.0,7523.0,A2,23.0,,18,conf/vldb,A1,279.0,,18,conf/clef,B2,0.146367907481
19,conf/jcdl,1597.0,13713.0,A2,21.0,,19,conf/dasfaa,B1,272.0,,19,conf/ntcir,,0.139979859013
20,journals/sigmod,1568.0,46055.0,A1,21.0,,20,conf/sdm,A2,257.0,,20,conf/edbt,A2,0.139534883721
21,conf/dasfaa,1628.0,6723.0,B1,17.0,,21,conf/pakdd,,228.0,,21,conf/icdm,A1,0.138701775873
22,conf/trec,1788.0,55555.0,A2,16.0,,22,conf/icmcs,B3,210.0,,22,journals/tods,A2,0.131019036954
23,conf/wise,1315.0,10431.0,B1,14.0,,23,conf/jcdl,A2,208.0,,23,conf/jcdl,A2,0.13024420789
24,conf/mmm,1165.0,3542.0,B1,14.0,,24,conf/edbt,A2,204.0,,24,conf/waim,B2,0.12898089172
25,journals/ipm,2616.0,85353.0,,12.0,,25,conf/wsdm,B1,198.0,,25,journals/kais,A2,0.125252525253
26,journals/sigir,721.0,31047.0,,11.0,,26,journals/tois,A2,187.0,,26,conf/sigmod,A1,0.124123043713
27,conf/waim,1256.0,2798.0,B2,11.0,,27,journals/vldb,A2,181.0,,27,journals/ipm,,0.120795107034
28,conf/airs,542.0,1314.0,B3,10.0,,28,journals/ir,B1,176.0,,28,conf/www,A1,0.118195956454
29,conf/cikm,4333.0,72291.0,A1,,,29,conf/ijcai,A1,167.0,,29,conf/pakdd,,0.118134715026
30,journals/tkde,2923.0,124112.0,A1,,,30,journals/sigmod,A1,167.0,,30,conf/mdm,A2,0.116545265349
31,conf/kdd,2869.0,148223.0,A1,,,31,conf/waim,B2,162.0,,31,conf/ercimdl,,0.108637577916
32,conf/ecir,1139.0,8436.0,A2,,,32,conf/acl,A1,147.0,,32,journals/sigmod,A1,0.106505102041
33,conf/icdm,3266.0,43188.0,A1,,,33,journals/isci,A1,142.0,,33,conf/apweb,B2,0.106329113924
34,conf/mm,4156.0,84789.0,A1,,,34,conf/ntcir,,139.0,,34,conf/vldb,A1,0.105641802348
35,journals/jasis,5376.0,281507.0,A1,,,35,conf/icdcs,A1,130.0,,35,conf/wise,B1,0.0882129277567
36,journals/pvldb,1481.0,18238.0,A1,,,36,conf/gis,B1,127.0,,36,conf/mmm,B1,0.0858369098712
37,conf/pakdd,1930.0,14336.0,,,,37,conf/apweb,B2,126.0,,37,conf/gis,B1,0.0833333333333
38,journals/tois,610.0,71840.0,A2,,,38,conf/icml,A1,125.0,,38,journals/debu,,0.0782472613459
39,journals/vldb,667.0,36101.0,A2,,,39,journals/kais,A2,124.0,,39,journals/is,A2,0.0771276595745
40,conf/acl,4242.0,195392.0,A1,,,40,conf/ercimdl,,122.0,,40,journals/dke,,0.0770288858322
41,conf/ntcir,993.0,1994.0,,,,41,journals/tods,A2,117.0,,41,conf/mm,A1,0.0719441770934
42,conf/icdcs,2458.0,87448.0,A1,,,42,conf/wise,B1,116.0,,42,conf/pkdd,A2,0.0600233100233
43,conf/apweb,1185.0,3115.0,B2,,,43,journals/is,A2,116.0,,43,journals/jasis,A1,0.0533854166667
44,journals/kais,990.0,24743.0,A2,,,44,journals/dke,,112.0,,44,conf/icdcs,A1,0.0528885272579
45,conf/ercimdl,1123.0,9491.0,,,,45,conf/mdm,A2,112.0,,45,conf/aaai,A1,0.0379880873594
46,journals/tods,893.0,113458.0,A2,,,46,conf/airs,B3,108.0,,46,conf/icml,A1,0.0379477838494
47,journals/dke,1454.0,29615.0,,,,47,conf/riao,,107.0,,47,conf/acl,A1,0.0346534653465
48,conf/riao,642.0,8533.0,,,,48,conf/pkdd,A2,103.0,,48,conf/icmcs,B3,0.0288223991216
49,conf/pkdd,1716.0,25605.0,A2,,,49,conf/mmm,B1,100.0,,49,conf/ijcai,A1,0.0269877181642
50,journals/debu,1278.0,19702.0,,,,50,journals/debu,,100.0,,50,journals/isci,A1,0.0201934015927
