Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,journals/cacm,A1,2356.0,,1,journals/tissec,,0.404388714734
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/ccs,A1,810.0,,2,conf/wpes,,0.378600823045
3,conf/sigmod,3706.0,337960.0,A1,61.0,,3,journals/iacr,,731.0,,3,conf/ndss,A1,0.375464684015
4,conf/icde,4327.0,135333.0,A1,52.0,,4,conf/uss,,275.0,,4,conf/ccs,A1,0.350649350649
5,conf/eurocrypt,1310.0,147911.0,A1,48.0,,5,conf/sp,B1,262.0,,5,conf/pet,,0.339207048458
6,conf/ndss,538.0,23946.0,A1,39.0,,6,conf/ndss,A1,202.0,,6,conf/sacmat,A1,0.331550802139
7,conf/hicss,11101.0,101629.0,A1,38.0,,7,conf/acsac,A1,187.0,,7,conf/uss,,0.280326197757
8,journals/jacm,2719.0,368295.0,A1,35.0,,8,conf/esorics,A2,177.0,,8,conf/sp,B1,0.264914054601
9,conf/asiacrypt,884.0,39222.0,A1,34.0,,9,conf/fc,B1,160.0,,9,conf/fc,B1,0.257648953301
10,conf/pkc,558.0,21362.0,A2,30.0,,10,journals/computer,,158.0,,10,journals/jcs,,0.248927038627
11,conf/fc,621.0,14257.0,B1,28.0,,11,conf/crypto,A1,155.0,,11,conf/acns,B1,0.241975308642
12,conf/sigcse,3657.0,24686.0,A2,27.0,,12,journals/jss,,144.0,,12,conf/esorics,A2,0.225477707006
13,conf/sp,989.0,93159.0,B1,27.0,,13,conf/eurocrypt,A1,139.0,,13,journals/cacm,A1,0.223975663086
14,conf/icis,3669.0,31539.0,,25.0,,14,journals/tissec,,129.0,,14,conf/raid,A2,0.21832884097
15,conf/sacmat,374.0,10440.0,A1,23.0,,15,conf/chi,A1,127.0,,15,conf/acsac,A1,0.215437788018
16,conf/raid,371.0,12063.0,A2,22.0,,16,journals/sigmod,A1,126.0,,16,conf/csfw,A1,0.169642857143
17,conf/amcis,6236.0,17319.0,B1,22.0,,17,journals/ieeesp,,125.0,,17,journals/tdsc,B1,0.168618266979
18,journals/sigmod,1568.0,46055.0,A1,21.0,,18,conf/sacmat,A1,124.0,,18,conf/dbsec,,0.16068866571
19,conf/jcdl,1597.0,13713.0,A2,21.0,,19,journals/jcs,,116.0,,19,conf/pkc,A2,0.155913978495
20,conf/acns,405.0,5170.0,B1,19.0,,20,conf/dbsec,,112.0,,20,conf/isw,,0.155722326454
21,conf/isw,533.0,8946.0,,16.0,,21,conf/infocom,A1,106.0,,21,conf/icics,B1,0.121621621622
22,conf/acisp,681.0,8080.0,,16.0,,22,journals/software,A1,105.0,,22,conf/asiacrypt,A1,0.114253393665
23,journals/insk,1642.0,2505.0,,14.0,,23,conf/hicss,A1,104.0,,23,conf/crypto,A1,0.111350574713
24,conf/chi,10697.0,257222.0,A1,6.0,,24,journals/ipl,A2,104.0,,24,conf/eurocrypt,A1,0.106106870229
25,journals/cacm,10519.0,922594.0,A1,,,25,journals/tse,A1,102.0,,25,conf/acisp,,0.102790014684
26,conf/ccs,2310.0,93433.0,A1,,,26,conf/asiacrypt,A1,101.0,,26,journals/ieeesp,,0.09117432531
27,journals/iacr,8254.0,31689.0,,,,27,conf/acns,B1,98.0,,27,journals/iacr,,0.0885631209111
28,conf/uss,981.0,44064.0,,,,28,conf/icde,A1,96.0,,28,journals/sigmod,A1,0.0803571428571
29,conf/acsac,868.0,26355.0,A1,,,29,conf/csfw,A1,95.0,,29,journals/csur,A1,0.0635624538064
30,conf/esorics,785.0,17737.0,A2,,,30,journals/jacm,A1,95.0,,30,journals/tifs,,0.0605504587156
31,conf/crypto,1392.0,269304.0,A1,,,31,conf/wpes,,92.0,,31,journals/sigsoft,,0.0437317784257
32,journals/jss,3704.0,53738.0,,,,32,journals/sigsoft,,90.0,,32,conf/jcdl,A2,0.0432060112711
33,journals/tissec,319.0,23751.0,,,,33,conf/pkc,A2,87.0,,33,journals/internet,A1,0.0421686746988
34,journals/ieeesp,1371.0,20218.0,,,,34,journals/csur,A1,86.0,,34,journals/insk,,0.0395858708892
35,journals/jcs,466.0,18173.0,,,,35,conf/sigmod,A1,85.0,,35,journals/jss,,0.0388768898488
36,conf/dbsec,697.0,10418.0,,,,36,conf/isw,,83.0,,36,journals/software,A1,0.0371155885472
37,journals/software,2829.0,103570.0,A1,,,37,conf/raid,A2,81.0,,37,journals/jacm,A1,0.034939315925
38,journals/ipl,6951.0,107976.0,A2,,,38,conf/amcis,B1,81.0,,38,journals/computer,,0.0331514897188
39,journals/tse,3310.0,298968.0,A1,,,39,conf/sigcse,A2,80.0,,39,journals/compsec,,0.0321528424977
40,conf/csfw,560.0,25727.0,A1,,,40,conf/pet,,77.0,,40,journals/tse,A1,0.0308157099698
41,conf/wpes,243.0,5231.0,,,,41,conf/icis,,75.0,,41,journals/tkde,A1,0.0242901128977
42,journals/sigsoft,2058.0,141842.0,,,,42,conf/icics,B1,72.0,,42,conf/sigmod,A1,0.0229357798165
43,journals/csur,1353.0,214765.0,A1,,,43,journals/tdsc,B1,72.0,,43,conf/icde,A1,0.022186272244
44,conf/pet,227.0,8131.0,,,,44,journals/tkde,A1,71.0,,44,conf/sigcse,A2,0.0218758545256
45,conf/icics,592.0,5923.0,B1,,,45,journals/internet,A1,70.0,,45,conf/icis,,0.0204415372036
46,journals/tdsc,427.0,10175.0,B1,,,46,conf/acisp,,70.0,,46,conf/infocom,A1,0.0152671755725
47,journals/tkde,2923.0,124112.0,A1,,,47,journals/compsec,,69.0,,47,journals/ipl,A2,0.0149618759891
48,journals/internet,1660.0,42904.0,A1,,,48,conf/jcdl,A2,69.0,,48,conf/amcis,B1,0.0129890955741
49,journals/compsec,2146.0,51020.0,,,,49,journals/tifs,,66.0,,49,conf/chi,A1,0.0118724876133
