Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/chi,A1,3973.0,,1,conf/uist,A1,0.459392945037
2,journals/computer,4766.0,261329.0,,76.0,,2,conf/uist,A1,560.0,,2,journals/tochi,,0.443349753695
3,journals/behaviourIT,1033.0,21287.0,,52.0,,3,conf/cscw,A1,558.0,,3,conf/chi,A1,0.371412545574
4,journals/interactions,2020.0,25053.0,B2,46.0,,4,journals/interactions,B2,370.0,,4,journals/hhci,,0.354166666667
5,conf/uist,1219.0,52308.0,A1,40.0,,5,conf/interact,B1,311.0,,5,conf/ACMdis,,0.343705799151
6,conf/hicss,11101.0,101629.0,A1,38.0,,6,conf/mhci,,269.0,,6,conf/cscw,A1,0.311383928571
7,conf/cscw,1792.0,98709.0,A1,37.0,,7,conf/huc,,249.0,,7,conf/ecscw,B1,0.309608540925
8,conf/aaai,7555.0,234650.0,A1,37.0,,8,conf/ACMdis,,243.0,,8,conf/soups,B1,0.3
9,conf/pervasive,274.0,10214.0,A2,32.0,,9,journals/cacm,A1,237.0,,9,conf/tabletop,,0.263969171484
10,conf/soups,210.0,3281.0,B1,29.0,,10,journals/ijmms,A1,204.0,,10,conf/mhci,,0.222866611433
11,conf/hri,1198.0,5977.0,A2,29.0,,11,journals/tochi,,180.0,,11,conf/graphicsinterface,,0.212933753943
12,conf/siggraph,4741.0,307117.0,A2,26.0,,12,journals/puc,B1,158.0,,12,conf/pervasive,A2,0.211678832117
13,conf/iui,1360.0,26631.0,A1,26.0,,13,conf/iui,A1,155.0,,13,conf/group,A2,0.205685618729
14,conf/icis,3669.0,31539.0,,25.0,,14,conf/nordichi,B1,141.0,,14,conf/nordichi,B1,0.192886456908
15,conf/hci,10109.0,15200.0,A2,25.0,,15,conf/tabletop,,137.0,,15,journals/interactions,B2,0.183168316832
16,journals/hhci,384.0,56493.0,,25.0,,16,journals/hhci,,136.0,,16,journals/cscw,B3,0.17903930131
17,conf/interact,1813.0,17182.0,B1,24.0,,17,conf/graphicsinterface,,135.0,,17,conf/interact,B1,0.171538885825
18,conf/candc,526.0,1982.0,,22.0,,18,conf/tei,B1,134.0,,18,conf/tei,B1,0.171355498721
19,conf/acmidc,705.0,3545.0,,21.0,,19,conf/vl,,133.0,,19,conf/huc,,0.165668662675
20,conf/ph,659.0,3089.0,,21.0,,20,conf/group,A2,123.0,,20,conf/acmidc,,0.147517730496
21,conf/icmi,1076.0,11229.0,A2,20.0,,21,conf/hicss,A1,123.0,,21,conf/avi,A2,0.144578313253
22,conf/group,598.0,10785.0,A2,19.0,,22,conf/avi,A2,120.0,,22,journals/puc,B1,0.138475021911
23,conf/assets,895.0,8381.0,A2,19.0,,23,conf/hci,A2,113.0,,23,conf/bcshci,,0.133414932681
24,conf/bcshci,817.0,5854.0,,17.0,,24,conf/bcshci,,109.0,,24,journals/pervasive,A2,0.132743362832
25,conf/vl,1328.0,19263.0,,17.0,,25,conf/siggraph,A2,109.0,,25,conf/iui,A1,0.113970588235
26,conf/graphicsinterface,634.0,15397.0,,17.0,,26,journals/pervasive,A2,105.0,,26,conf/assets,A2,0.102793296089
27,conf/ACMdis,707.0,9284.0,,17.0,,27,conf/acmidc,,104.0,,27,conf/vl,,0.10015060241
28,conf/avi,830.0,7670.0,A2,14.0,,28,journals/iwc,B1,97.0,,28,journals/misq,,0.0989988876529
29,conf/mc,1386.0,960.0,,7.0,,29,conf/assets,A2,92.0,,29,conf/ozchi,B1,0.098971722365
30,conf/chi,10697.0,257222.0,A1,6.0,,30,journals/misq,,89.0,,30,journals/iwc,B1,0.0985772357724
31,conf/mhci,1207.0,8589.0,,,,31,journals/tvcg,A1,87.0,,31,conf/candc,,0.0969581749049
32,conf/huc,1503.0,22520.0,,,,32,conf/ecscw,B1,87.0,,32,conf/ph,,0.0789074355083
33,journals/cacm,10519.0,922594.0,A1,,,33,journals/computer,,82.0,,33,journals/ijmms,A1,0.0779518532671
34,journals/ijmms,2617.0,115930.0,A1,,,34,journals/cscw,B3,82.0,,34,conf/icmi,A2,0.0669144981413
35,journals/tochi,406.0,30846.0,,,,35,journals/tog,A1,82.0,,35,conf/hri,A2,0.0542570951586
36,journals/puc,1141.0,27695.0,B1,,,36,conf/icis,,79.0,,36,journals/behaviourIT,,0.054211035818
37,conf/nordichi,731.0,4633.0,B1,,,37,conf/ozchi,B1,77.0,,37,conf/mc,,0.0468975468975
38,conf/tabletop,519.0,2789.0,,,,38,conf/icmi,A2,72.0,,38,conf/nime,B1,0.0404984423676
39,conf/tei,782.0,3452.0,B1,,,39,conf/mc,,65.0,,39,journals/tvcg,A1,0.0366624525917
40,journals/pervasive,791.0,28157.0,A2,,,40,conf/hri,A2,65.0,,40,journals/tog,A1,0.0345845634753
41,journals/iwc,984.0,20295.0,B1,,,41,conf/aaai,A1,65.0,,41,conf/siggraph,A2,0.0229909301835
42,journals/misq,899.0,126924.0,,,,42,conf/mm,A1,65.0,,42,journals/cacm,A1,0.0225306588079
43,journals/tvcg,2373.0,58997.0,A1,,,43,conf/soups,B1,63.0,,43,conf/icis,,0.0215317525211
44,conf/ecscw,281.0,14054.0,B1,,,44,conf/icse,A1,58.0,,44,journals/computer,,0.017205203525
45,journals/cscw,458.0,15416.0,B3,,,45,conf/pervasive,A2,58.0,,45,conf/mm,A1,0.0156400384986
46,journals/tog,2371.0,136331.0,A1,,,46,journals/behaviourIT,,56.0,,46,conf/hci,A2,0.011178158077
47,conf/ozchi,778.0,11462.0,B1,,,47,conf/nime,B1,52.0,,47,conf/hicss,A1,0.0110800828754
48,conf/mm,4156.0,84789.0,A1,,,48,conf/ph,,52.0,,48,conf/www,A1,0.0108864696734
49,conf/icse,5428.0,145511.0,A1,,,49,conf/candc,,51.0,,49,conf/icse,A1,0.0106853352985
