Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,conf/hicss,A1,3043.0,,1,journals/bise,,0.277955271565
2,journals/bise,313.0,1427.0,,70.0,,2,conf/amcis,B1,703.0,,2,conf/hicss,A1,0.274119448698
3,journals/dss,2302.0,56927.0,A1,50.0,,3,conf/icis,,485.0,,3,journals/jmis,A1,0.243404255319
4,journals/isr,757.0,75607.0,,44.0,,4,conf/ecis,B1,464.0,,4,journals/jais,,0.174683544304
5,conf/hicss,11101.0,101629.0,A1,38.0,,5,journals/jmis,A1,286.0,,5,journals/isem,,0.172881355932
6,journals/ecra,523.0,9534.0,A2,31.0,,6,journals/dss,A1,272.0,,6,conf/mkwi,,0.168776371308
7,journals/isj,527.0,16818.0,,29.0,,7,conf/pacis,,176.0,,7,conf/desrist,,0.160142348754
8,journals/isf,727.0,13007.0,B1,26.0,,8,journals/wi,,163.0,,8,journals/itm,B1,0.157099697885
9,conf/icis,3669.0,31539.0,,25.0,,9,conf/dgo,B1,159.0,,9,journals/ecra,A2,0.141491395793
10,conf/hci,10109.0,15200.0,A2,25.0,,10,journals/cacm,A1,151.0,,10,journals/misq,,0.140155728587
11,journals/jeim,435.0,8904.0,,24.0,,11,conf/wirtschaftsinformatik,,126.0,,11,conf/dgo,B1,0.136013686912
12,conf/ecis,3839.0,17576.0,B1,23.0,,12,journals/misq,,126.0,,12,conf/wirtschaftsinformatik,,0.132352941176
13,conf/mkwi,474.0,517.0,,22.0,,13,journals/jasis,A1,109.0,,13,conf/icis,,0.13218860725
14,conf/amcis,6236.0,17319.0,B1,22.0,,14,conf/isi,B1,104.0,,14,conf/ecis,B1,0.120864808544
15,conf/wirtschaftsinformatik,952.0,13291.0,,22.0,,15,journals/iam,,98.0,,15,journals/isr,,0.120211360634
16,journals/isem,295.0,3076.0,,21.0,,16,journals/db,,95.0,,16,journals/dss,A1,0.118158123371
17,conf/atal,4645.0,93519.0,,20.0,,17,conf/chi,A1,93.0,,17,journals/isj,,0.115749525617
18,conf/desrist,281.0,923.0,,20.0,,18,journals/eor,A1,92.0,,18,conf/amcis,B1,0.112732520847
19,conf/pacis,2616.0,5926.0,,15.0,,19,journals/isr,,91.0,,19,conf/isi,B1,0.107549120993
20,journals/electronicmarkets,728.0,12627.0,,14.0,,20,conf/egov,,89.0,,20,conf/egov,,0.106971153846
21,conf/egov,832.0,2610.0,,13.0,,21,journals/bise,,87.0,,21,journals/ejis,,0.102493074792
22,conf/gi,5257.0,12783.0,A2,11.0,,22,conf/mkwi,,80.0,,22,journals/electronicmarkets,,0.101648351648
23,conf/sigcpr,659.0,3013.0,,8.0,,23,journals/ecra,A2,74.0,,23,journals/isf,B1,0.0935350756534
24,conf/icegov,704.0,698.0,,8.0,,24,journals/electronicmarkets,,74.0,,24,journals/db,,0.0894538606403
25,conf/ACMicec,642.0,4762.0,,7.0,,25,journals/ejis,,74.0,,25,conf/ACMicec,,0.0856697819315
26,conf/chi,10697.0,257222.0,A1,6.0,,26,journals/jais,,69.0,,26,journals/jsis,,0.0833333333333
27,journals/jmis,1175.0,82716.0,A1,,,27,journals/isf,B1,68.0,,27,conf/ifip8-2,,0.0819672131148
28,journals/wi,2109.0,37453.0,,,,28,journals/cor,,63.0,,28,journals/jeim,,0.0804597701149
29,conf/dgo,1169.0,3415.0,B1,,,29,journals/isj,,61.0,,29,journals/wi,,0.0772878141299
30,journals/cacm,10519.0,922594.0,A1,,,30,conf/atal,,60.0,,30,conf/sigcpr,,0.0743550834598
31,journals/misq,899.0,126924.0,,,,31,conf/ACMicec,,55.0,,31,conf/pacis,,0.0672782874618
32,journals/jasis,5376.0,281507.0,A1,,,32,conf/gi,A2,53.0,,32,conf/icegov,,0.0625
33,conf/isi,967.0,3516.0,B1,,,33,journals/itm,B1,52.0,,33,journals/bpmj,,0.0611664295875
34,journals/iam,1877.0,64653.0,,,,34,journals/computer,,51.0,,34,journals/iam,,0.05221097496
35,journals/db,1062.0,39165.0,,,,35,journals/isem,,51.0,,35,journals/hmd,,0.0352
36,journals/eor,9513.0,255722.0,A1,,,36,journals/ijmms,A1,49.0,,36,journals/jors,,0.0302245250432
37,journals/ejis,722.0,30545.0,,,,37,conf/sigcpr,,49.0,,37,journals/expert,A1,0.0221635883905
38,journals/jais,395.0,10088.0,,,,38,journals/jsis,,47.0,,38,journals/jasis,A1,0.020275297619
39,journals/cor,4634.0,111923.0,,,,39,journals/tsmc,,45.0,,39,journals/ijmms,A1,0.0187237294612
40,journals/itm,331.0,6685.0,B1,,,40,conf/desrist,,45.0,,40,conf/caise,A2,0.0146818923328
41,journals/ijmms,2617.0,115930.0,A1,,,41,journals/hmd,,44.0,,41,journals/cacm,A1,0.0143549767088
42,journals/jsis,564.0,15148.0,,,,42,conf/icegov,,44.0,,42,journals/cor,,0.0135951661631
43,journals/tsmc,7525.0,282768.0,,,,43,journals/bpmj,,43.0,,43,conf/atal,,0.0129171151776
44,journals/hmd,1250.0,1352.0,,,,44,journals/expert,A1,42.0,,44,journals/computer,,0.0107007973143
45,journals/bpmj,703.0,24141.0,,,,45,conf/wsc,A1,42.0,,45,conf/gi,A2,0.010081795701
46,journals/expert,1895.0,162391.0,A1,,,46,conf/ifip8-2,,40.0,,46,journals/eor,A1,0.00967097655839
47,conf/wsc,8329.0,100577.0,A1,,,47,conf/hci,A2,36.0,,47,conf/chi,A1,0.00869402636253
48,conf/ifip8-2,488.0,6676.0,,,,48,conf/caise,A2,36.0,,48,journals/tsmc,,0.00598006644518
49,conf/caise,2452.0,27619.0,A2,,,49,journals/jeim,,35.0,,49,conf/wsc,A1,0.00504262216353
50,journals/jors,1158.0,9380.0,,,,50,journals/jors,,35.0,,50,conf/hci,A2,0.00356118310416
