Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/nips,A1,2237.0,,1,conf/nips,A1,0.393560872625
2,journals/scl,1739.0,26654.0,,89.0,,2,journals/tac,A1,1407.0,,2,journals/jmlr,A1,0.278521939954
3,journals/automatica,7338.0,229957.0,A1,86.0,,3,conf/cdc,B1,1277.0,,3,journals/tac,A1,0.254660633484
4,journals/ploscb,3878.0,85175.0,,80.0,,4,journals/automatica,A1,1131.0,,4,conf/icml,A1,0.242865816636
5,conf/infocom,6943.0,350398.0,A1,76.0,,5,conf/icml,A1,800.0,,5,conf/aistats,,0.234982332155
6,journals/ml,1309.0,184440.0,A1,73.0,,6,journals/jmlr,A1,603.0,,6,conf/colt,A2,0.230418943534
7,journals/isci,7032.0,124049.0,A1,70.0,,7,journals/neco,A1,388.0,,7,journals/deds,,0.198218262806
8,conf/icml,3294.0,290468.0,A1,69.0,,8,conf/cvpr,A1,353.0,,8,journals/scl,,0.174813110983
9,conf/nips,5684.0,404822.0,A1,66.0,,9,journals/scl,,304.0,,9,conf/hybrid,,0.170124481328
10,conf/icra,16038.0,236265.0,A1,61.0,,10,conf/icassp,A1,287.0,,10,journals/neco,A1,0.156957928803
11,conf/eccv,3329.0,159515.0,A1,59.0,,11,conf/amcc,,277.0,,11,journals/automatica,A1,0.154129190515
12,journals/nn,3310.0,136228.0,A1,52.0,,12,conf/uai,A1,254.0,,12,conf/cdc,B1,0.148109487358
13,conf/icassp,28525.0,238265.0,A1,47.0,,13,conf/colt,A2,253.0,,13,journals/ml,A1,0.140565317036
14,conf/ijcai,6188.0,295635.0,A1,46.0,,14,conf/aaai,A1,208.0,,14,conf/uai,A1,0.129262086514
15,conf/iros,13604.0,126537.0,A1,45.0,,15,journals/pami,A1,207.0,,15,journals/ejcon,,0.111963190184
16,journals/ijon,7349.0,79598.0,A1,45.0,,16,conf/icra,A1,196.0,,16,conf/amcc,,0.0877971473851
17,conf/cdc,8622.0,25900.0,B1,43.0,,17,journals/tit,A1,192.0,,17,conf/alt,B1,0.0824468085106
18,conf/interspeech,17729.0,130378.0,A1,39.0,,18,journals/tsp,A1,188.0,,18,journals/siamco,A2,0.0806018269747
19,journals/neco,2472.0,320711.0,A1,38.0,,19,journals/ml,A1,184.0,,19,journals/tcst,,0.0670152091255
20,conf/aaai,7555.0,234650.0,A1,37.0,,20,journals/tnn,,175.0,,20,conf/kdd,A1,0.0592540955037
21,journals/siamco,1861.0,64741.0,A2,36.0,,21,conf/kdd,A1,170.0,,21,conf/iccv,A1,0.0530856005309
22,conf/icip,17283.0,156642.0,A1,35.0,,22,conf/hybrid,,164.0,,22,conf/cvpr,A1,0.0513529240617
23,conf/uai,1965.0,147942.0,A1,32.0,,23,conf/iccv,A1,160.0,,23,journals/ijsysc,A2,0.0487804878049
24,conf/iscas,16967.0,68042.0,A1,27.0,,24,journals/nn,A1,154.0,,24,journals/nn,A1,0.0465256797583
25,conf/hybrid,964.0,37578.0,,27.0,,25,journals/siamco,A2,150.0,,25,journals/ijcv,A1,0.0464183381089
26,conf/colt,1098.0,172142.0,A2,27.0,,26,journals/ijbc,,147.0,,26,journals/tnn,,0.0452898550725
27,conf/icann,2661.0,16880.0,B1,14.0,,27,journals/ijon,A1,145.0,,27,conf/pkdd,A2,0.0425407925408
28,journals/deds,449.0,9974.0,,13.0,,28,journals/tcst,,141.0,,28,journals/pami,A1,0.0408042578356
29,conf/alt,752.0,112195.0,B1,13.0,,29,conf/aistats,,133.0,,29,journals/ijbc,,0.0389817024662
30,conf/icarcv,2669.0,7622.0,B1,11.0,,30,journals/bioinformatics,A1,133.0,,30,conf/eccv,A1,0.0372484229498
31,journals/tac,5525.0,219475.0,A1,,,31,conf/ijcai,A1,131.0,,31,conf/icarcv,B1,0.0359685275384
32,journals/jmlr,2165.0,94215.0,A1,,,32,conf/eccv,A1,124.0,,32,journals/tfs,A1,0.035734226689
33,conf/amcc,3155.0,1632.0,,,,33,journals/ijsysc,A2,122.0,,33,conf/aaai,A1,0.027531436135
34,journals/pami,5073.0,667087.0,A1,,,34,journals/tcas,,121.0,,34,journals/ploscb,,0.0252707581227
35,journals/tit,13667.0,729338.0,A1,,,35,conf/icip,A1,107.0,,35,conf/icann,B1,0.0236753100338
36,journals/tsp,10379.0,300724.0,A1,,,36,journals/ploscb,,98.0,,36,journals/tcas,,0.0222426470588
37,journals/tnn,3864.0,312231.0,,,,37,conf/infocom,A1,98.0,,37,conf/ijcai,A1,0.0211700064641
38,conf/kdd,2869.0,148223.0,A1,,,38,conf/iscas,A1,98.0,,38,journals/ijon,A1,0.0197305755885
39,conf/iccv,3014.0,216626.0,A1,,,39,conf/icarcv,B1,96.0,,39,journals/tsp,A1,0.0181134984103
40,journals/ijbc,3771.0,44250.0,,,,40,journals/deds,,89.0,,40,conf/infocom,A1,0.0141149359067
41,journals/tcst,2104.0,40096.0,,,,41,conf/interspeech,A1,86.0,,41,journals/tit,A1,0.014048437843
42,conf/aistats,566.0,11966.0,,,,42,journals/tsmc,,82.0,,42,journals/bioinformatics,A1,0.0132114830635
43,journals/bioinformatics,10067.0,582213.0,A1,,,43,journals/ijcv,A1,81.0,,43,conf/icra,A1,0.0122209751839
44,journals/ijsysc,2501.0,24473.0,A2,,,44,conf/iros,A1,81.0,,44,journals/tsmc,,0.0108970099668
45,journals/tcas,5440.0,54120.0,,,,45,journals/ejcon,,73.0,,45,conf/icassp,A1,0.0100613496933
46,journals/tsmc,7525.0,282768.0,,,,46,conf/pkdd,A2,73.0,,46,journals/isci,A1,0.00910125142207
47,journals/ijcv,1745.0,252396.0,A1,,,47,journals/tfs,A1,64.0,,47,conf/icip,A1,0.00619105479373
48,journals/ejcon,652.0,5519.0,,,,48,journals/isci,A1,64.0,,48,conf/iros,A1,0.0059541311379
49,conf/pkdd,1716.0,25605.0,A2,,,49,conf/icann,B1,63.0,,49,conf/iscas,A1,0.00577591795839
50,journals/tfs,1791.0,87889.0,A1,,,50,conf/alt,B1,62.0,,50,conf/interspeech,A1,0.00485080940831
