Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,conf/chi,A1,3969.0,,1,conf/uist,A1,0.461033634126
2,journals/behaviourIT,1033.0,21287.0,,52.0,,2,conf/uist,A1,562.0,,2,journals/tochi,,0.435960591133
3,journals/interactions,2020.0,25053.0,B2,46.0,,3,conf/cscw,A1,556.0,,3,conf/chi,A1,0.371038608956
4,conf/uist,1219.0,52308.0,A1,40.0,,4,journals/interactions,B2,367.0,,4,journals/hhci,,0.348958333333
5,conf/hicss,11101.0,101629.0,A1,38.0,,5,conf/interact,B1,314.0,,5,conf/ACMdis,,0.333804809052
6,conf/cscw,1792.0,98709.0,A1,37.0,,6,conf/mhci,,272.0,,6,conf/cscw,A1,0.310267857143
7,conf/aaai,7555.0,234650.0,A1,37.0,,7,conf/huc,,250.0,,7,conf/ecscw,B1,0.309608540925
8,conf/pervasive,274.0,10214.0,A2,32.0,,8,conf/ACMdis,,236.0,,8,conf/soups,B1,0.304761904762
9,conf/soups,210.0,3281.0,B1,29.0,,9,journals/cacm,A1,227.0,,9,conf/tabletop,,0.265895953757
10,conf/hri,1198.0,5977.0,A2,29.0,,10,journals/ijmms,A1,197.0,,10,conf/mhci,,0.225352112676
11,journals/cga,1531.0,41215.0,A2,28.0,,11,journals/tochi,,177.0,,11,conf/graphicsinterface,,0.219242902208
12,conf/siggraph,4741.0,307117.0,A2,26.0,,12,journals/puc,B1,159.0,,12,conf/pervasive,A2,0.21897810219
13,conf/iui,1360.0,26631.0,A1,26.0,,13,conf/iui,A1,154.0,,13,conf/group,A2,0.207357859532
14,conf/hci,10109.0,15200.0,A2,25.0,,14,conf/vl,,140.0,,14,conf/nordichi,B1,0.186046511628
15,journals/hhci,384.0,56493.0,,25.0,,15,conf/graphicsinterface,,139.0,,15,journals/interactions,B2,0.181683168317
16,conf/interact,1813.0,17182.0,B1,24.0,,16,conf/tabletop,,138.0,,16,journals/cscw,B3,0.17903930131
17,conf/ph,659.0,3089.0,,21.0,,17,conf/nordichi,B1,136.0,,17,conf/interact,B1,0.173193601765
18,conf/acmidc,705.0,3545.0,,21.0,,18,journals/hhci,,134.0,,18,conf/tei,B1,0.167519181586
19,conf/icmi,1076.0,11229.0,A2,20.0,,19,conf/tei,B1,131.0,,19,conf/huc,,0.166333998669
20,conf/group,598.0,10785.0,A2,19.0,,20,conf/group,A2,124.0,,20,conf/acmidc,,0.157446808511
21,conf/assets,895.0,8381.0,A2,19.0,,21,conf/avi,A2,123.0,,21,conf/avi,A2,0.148192771084
22,conf/icalt,3129.0,9892.0,B1,18.0,,22,conf/hci,A2,111.0,,22,journals/puc,B1,0.1393514461
23,conf/vl,1328.0,19263.0,,17.0,,23,conf/acmidc,,111.0,,23,journals/pervasive,A2,0.134007585335
24,conf/graphicsinterface,634.0,15397.0,,17.0,,24,conf/siggraph,A2,111.0,,24,conf/bcshci,,0.132190942472
25,conf/ACMdis,707.0,9284.0,,17.0,,25,conf/bcshci,,108.0,,25,conf/iui,A1,0.113235294118
26,conf/bcshci,817.0,5854.0,,17.0,,26,journals/pervasive,A2,106.0,,26,conf/vl,,0.105421686747
27,conf/avi,830.0,7670.0,A2,14.0,,27,journals/ce,,105.0,,27,conf/assets,A2,0.102793296089
28,conf/mc,1386.0,960.0,,7.0,,28,journals/tvcg,A1,102.0,,28,journals/iwc,B1,0.102642276423
29,conf/chi,10697.0,257222.0,A1,6.0,,29,journals/iwc,B1,101.0,,29,conf/ozchi,B1,0.098971722365
30,conf/mhci,1207.0,8589.0,,,,30,conf/hicss,A1,100.0,,30,conf/ph,,0.0789074355083
31,conf/huc,1503.0,22520.0,,,,31,conf/assets,A2,92.0,,31,journals/ijmms,A1,0.0752770347726
32,journals/cacm,10519.0,922594.0,A1,,,32,conf/ecscw,B1,87.0,,32,conf/icmi,A2,0.067843866171
33,journals/ijmms,2617.0,115930.0,A1,,,33,journals/ets,,86.0,,33,journals/ets,,0.0558804418454
34,journals/tochi,406.0,30846.0,,,,34,journals/computer,,85.0,,34,journals/behaviourIT,,0.055179090029
35,journals/puc,1141.0,27695.0,B1,,,35,journals/cscw,B3,82.0,,35,conf/hri,A2,0.0542570951586
36,conf/tabletop,519.0,2789.0,,,,36,journals/tog,A1,82.0,,36,conf/mc,,0.0468975468975
37,conf/nordichi,731.0,4633.0,B1,,,37,conf/ozchi,B1,77.0,,37,journals/tvcg,A1,0.0429835651075
38,conf/tei,782.0,3452.0,B1,,,38,conf/icmi,A2,73.0,,38,journals/ce,,0.041111981206
39,journals/pervasive,791.0,28157.0,A2,,,39,conf/icalt,B1,69.0,,39,conf/nime,B1,0.0404984423676
40,journals/ce,2554.0,50227.0,,,,40,conf/aaai,A1,65.0,,40,journals/tog,A1,0.0345845634753
41,journals/tvcg,2373.0,58997.0,A1,,,41,conf/mc,,65.0,,41,journals/cga,A2,0.0333115610712
42,journals/iwc,984.0,20295.0,B1,,,42,conf/mm,A1,65.0,,42,conf/siggraph,A2,0.0234127821135
43,conf/ecscw,281.0,14054.0,B1,,,43,conf/hri,A2,65.0,,43,conf/icalt,B1,0.0220517737296
44,journals/ets,1539.0,24178.0,,,,44,conf/soups,B1,64.0,,44,journals/cacm,A1,0.0215799980987
45,journals/cscw,458.0,15416.0,B3,,,45,conf/icse,A1,63.0,,45,journals/computer,,0.0178346621905
46,journals/tog,2371.0,136331.0,A1,,,46,conf/pervasive,A2,60.0,,46,conf/mm,A1,0.0156400384986
47,conf/ozchi,778.0,11462.0,B1,,,47,journals/behaviourIT,,57.0,,47,conf/icse,A1,0.0116064848931
48,conf/mm,4156.0,84789.0,A1,,,48,conf/ph,,52.0,,48,conf/hci,A2,0.0109803145712
49,conf/icse,5428.0,145511.0,A1,,,49,conf/nime,B1,52.0,,49,conf/hicss,A1,0.00900819745969
50,conf/nime,1284.0,9675.0,B1,,,50,journals/cga,A2,51.0,,50,conf/aaai,A1,0.00860357379219
