Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/acl,A1,2018.0,,1,journals/tacl,,0.623762376238
2,journals/bmcbi,7074.0,136587.0,A1,73.0,,2,conf/coling,A1,837.0,,2,conf/emnlp,A1,0.554347826087
3,journals/ml,1309.0,184440.0,A1,73.0,,3,conf/emnlp,A1,765.0,,3,conf/acl,A1,0.475719000471
4,conf/icml,3294.0,290468.0,A1,69.0,,4,conf/naacl,A1,664.0,,4,conf/naacl,A1,0.443257676903
5,conf/nips,5684.0,404822.0,A1,66.0,,5,conf/interspeech,A1,575.0,,5,journals/coling,A1,0.424129353234
6,conf/emnlp,1380.0,19971.0,A1,53.0,,6,conf/lrec,A2,538.0,,6,conf/conll,,0.413509060956
7,conf/sigir,3545.0,205477.0,A1,49.0,,7,journals/coling,A1,341.0,,7,conf/iwslt,,0.381578947368
8,conf/naacl,1498.0,59153.0,A1,48.0,,8,conf/aaai,A1,314.0,,8,journals/talip,,0.374468085106
9,conf/icassp,28525.0,238265.0,A1,47.0,,9,conf/ijcnlp,,300.0,,9,conf/ijcnlp,,0.3663003663
10,conf/ijcai,6188.0,295635.0,A1,46.0,,10,conf/icassp,A1,273.0,,10,conf/inlg,,0.282051282051
11,journals/ai,2580.0,376792.0,A1,46.0,,11,conf/eacl,A2,259.0,,11,conf/eacl,A2,0.25442043222
12,conf/interspeech,17729.0,130378.0,A1,39.0,,12,conf/ijcai,A1,255.0,,12,conf/anlp,,0.246987951807
13,conf/aaai,7555.0,234650.0,A1,37.0,,13,conf/conll,,251.0,,13,journals/nle,,0.24016563147
14,journals/speech,2136.0,44873.0,A2,34.0,,14,conf/sigir,A1,194.0,,14,conf/coling,A1,0.235443037975
15,conf/icdar,2762.0,27617.0,A2,31.0,,15,conf/cicling,B1,155.0,,15,conf/sigdial,B2,0.226600985222
16,journals/lre,903.0,17032.0,B3,31.0,,16,conf/ntcir,,138.0,,16,journals/mt,B1,0.163440860215
17,conf/coling,3555.0,68639.0,A1,31.0,,17,conf/cikm,A1,132.0,,17,conf/slt,B2,0.154566744731
18,conf/lrec,3847.0,17564.0,A2,31.0,,18,conf/clef,B2,130.0,,18,conf/cicling,B1,0.141552511416
19,conf/eacl,1018.0,17481.0,A2,30.0,,19,conf/trec,A2,120.0,,19,conf/lrec,A2,0.139849233169
20,conf/icpr,8972.0,82067.0,A1,29.0,,20,conf/iwslt,,116.0,,20,conf/ntcir,,0.138972809668
21,conf/clef,2767.0,18658.0,B2,24.0,,21,journals/nle,,116.0,,21,conf/ialp,,0.12030075188
22,journals/mt,465.0,8857.0,B1,20.0,,22,conf/icml,A1,100.0,,22,conf/ranlp,B2,0.112709832134
23,conf/sigdial,203.0,758.0,B2,20.0,,23,journals/taslp,,92.0,,23,conf/airs,B3,0.10147601476
24,conf/igarss,13453.0,19429.0,B1,20.0,,24,conf/nips,A1,91.0,,24,journals/csl,,0.0923994038748
25,conf/aied,945.0,3705.0,B1,19.0,,25,journals/talip,,88.0,,25,journals/lre,B3,0.0797342192691
26,journals/nle,483.0,14161.0,,19.0,,26,conf/anlp,,82.0,,26,conf/trec,A2,0.0671140939597
27,conf/trec,1788.0,55555.0,A2,16.0,,27,conf/www,A1,77.0,,27,conf/sigir,A1,0.0547249647391
28,conf/ijcnlp,819.0,2729.0,,15.0,,28,journals/mt,B1,76.0,,28,conf/aied,B1,0.0497354497354
29,conf/slt,427.0,1994.0,B2,15.0,,29,journals/lre,B3,72.0,,29,conf/clef,B2,0.0469822912902
30,conf/ranlp,417.0,1115.0,B2,15.0,,30,conf/flairs,B1,70.0,,30,conf/aaai,A1,0.04156187955
31,conf/flairs,2171.0,10104.0,B1,15.0,,31,journals/ai,A1,69.0,,31,conf/ijcai,A1,0.0412087912088
32,journals/ipm,2616.0,85353.0,,12.0,,32,conf/slt,B2,66.0,,32,journals/ml,A1,0.0359052711994
33,conf/iwslt,304.0,1043.0,,11.0,,33,journals/ipm,,65.0,,33,journals/taslp,,0.0341119762699
34,conf/airs,542.0,1314.0,B3,10.0,,34,journals/tacl,,63.0,,34,conf/interspeech,A1,0.032432737323
35,conf/ialp,399.0,115.0,,6.0,,35,conf/icpr,A1,62.0,,35,conf/flairs,B1,0.0322432058959
36,conf/chi,10697.0,257222.0,A1,6.0,,36,journals/ieicet,,62.0,,36,conf/cikm,A1,0.0304638818371
37,conf/acl,4242.0,195392.0,A1,,,37,journals/csl,,62.0,,37,conf/icml,A1,0.0303582270795
38,journals/coling,804.0,109623.0,A1,,,38,conf/icdar,A2,60.0,,38,journals/ai,A1,0.0267441860465
39,conf/conll,607.0,15228.0,,,,39,conf/chi,A1,58.0,,39,journals/ipm,,0.0248470948012
