Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,journals/computer,,1645.0,,1,conf/hotnets,B3,0.634020618557
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/infocom,A1,681.0,,2,conf/nsdi,A1,0.50103950104
3,conf/nsdi,481.0,17531.0,A1,54.0,,3,conf/sigcomm,A1,681.0,,3,conf/imc,A1,0.494230769231
4,conf/isca,1821.0,135083.0,A1,53.0,,4,journals/ton,A1,314.0,,4,conf/sigcomm,A1,0.473245309243
5,journals/dss,2302.0,56927.0,A1,50.0,,5,journals/ccr,A1,309.0,,5,journals/computer,,0.345153168275
6,conf/globecom,14010.0,105540.0,A1,45.0,,6,journals/cacm,A1,259.0,,6,journals/ccr,A1,0.315306122449
7,conf/icc,14807.0,125393.0,A2,44.0,,7,conf/imc,A1,257.0,,7,conf/conext,B1,0.314851485149
8,conf/micro,1409.0,59172.0,A1,40.0,,8,journals/tc,A1,246.0,,8,conf/osdi,A1,0.210648148148
9,conf/sigmetrics,1490.0,70702.0,A1,39.0,,9,conf/nsdi,A1,241.0,,9,conf/icnp,A1,0.198837209302
10,conf/hicss,11101.0,101629.0,A1,38.0,,10,conf/sigmetrics,A1,237.0,,10,conf/sosp,A1,0.177042801556
11,conf/usenix,1164.0,69836.0,A1,35.0,,11,conf/mobicom,A1,201.0,,11,conf/mobicom,A1,0.168341708543
12,conf/icmcs,7286.0,55698.0,B3,23.0,,12,conf/isca,A1,190.0,,12,conf/mobisys,A1,0.162406015038
13,conf/icnp,860.0,26679.0,A1,22.0,,13,journals/cn,A1,175.0,,13,conf/sigmetrics,A1,0.159060402685
14,conf/icpp,3433.0,53080.0,A2,22.0,,14,conf/icnp,A1,171.0,,14,journals/itpro,B2,0.155792276964
15,conf/compsac,3169.0,13894.0,A2,21.0,,15,journals/jsac,A1,160.0,,15,journals/ton,A1,0.138631346578
16,journals/itpro,751.0,4329.0,B2,21.0,,16,conf/conext,B1,159.0,,16,conf/sensys,A1,0.1201171875
17,conf/icccn,2399.0,19747.0,B1,20.0,,17,conf/chi,A1,155.0,,17,conf/usenix,A1,0.104810996564
18,conf/osdi,432.0,53601.0,A1,16.0,,18,journals/tpds,A1,154.0,,18,conf/isca,A1,0.104338275673
19,conf/imc,520.0,24389.0,A1,13.0,,19,journals/software,A1,153.0,,19,conf/infocom,A1,0.0980844015555
20,conf/sc,3087.0,61642.0,A1,13.0,,20,conf/icdcs,A1,146.0,,20,conf/isi,B1,0.0899689762151
21,conf/chi,10697.0,257222.0,A1,6.0,,21,conf/icse,A1,138.0,,21,journals/ieeesp,,0.0831509846827
22,conf/sigcomm,1439.0,282065.0,A1,,,22,conf/icpp,A2,137.0,,22,conf/uss,,0.0815494393476
23,journals/ton,2265.0,135914.0,A1,,,23,conf/ipps,A1,136.0,,23,conf/micro,A1,0.0731014904187
24,journals/ccr,980.0,62513.0,A1,,,24,journals/tse,A1,133.0,,24,conf/hpdc,A1,0.069298245614
25,journals/cacm,10519.0,922594.0,A1,,,25,conf/hotnets,B3,123.0,,25,journals/tmc,,0.0632666236281
26,journals/tc,6597.0,264854.0,A1,,,26,conf/sensys,A1,123.0,,26,conf/icdcs,A1,0.0593978844589
27,conf/mobicom,1194.0,184683.0,A1,,,27,conf/usenix,A1,122.0,,27,journals/software,A1,0.0540827147402
28,journals/cn,5168.0,163372.0,A1,,,28,conf/ccs,A1,118.0,,28,journals/internet,A1,0.0518072289157
29,journals/jsac,4841.0,428028.0,A1,,,29,journals/itpro,B2,117.0,,29,conf/ccs,A1,0.0510822510823
30,conf/conext,505.0,5892.0,B1,,,30,journals/jpdc,A2,115.0,,30,journals/tpds,A1,0.0466949666465
31,journals/tpds,3298.0,84900.0,A1,,,31,journals/ieeesp,,114.0,,31,journals/tse,A1,0.0401812688822
32,journals/software,2829.0,103570.0,A1,,,32,conf/hicss,A1,113.0,,32,conf/icpp,A2,0.0399067870667
33,conf/icdcs,2458.0,87448.0,A1,,,33,conf/globecom,A1,112.0,,33,conf/icccn,B1,0.0383493122134
34,conf/icse,5428.0,145511.0,A1,,,34,conf/sc,A1,112.0,,34,journals/tc,A1,0.037289677126
35,conf/ipps,7378.0,78830.0,A1,,,35,conf/mobisys,A1,108.0,,35,journals/jpdc,A2,0.0369062901155
36,journals/tse,3310.0,298968.0,A1,,,36,conf/icc,A2,104.0,,36,conf/sc,A1,0.0362811791383
37,conf/hotnets,194.0,1331.0,B3,,,37,conf/micro,A1,103.0,,37,journals/dss,A1,0.0343179843614
38,conf/sensys,1024.0,43459.0,A1,,,38,conf/compsac,A2,101.0,,38,journals/cn,A1,0.0338622291022
39,conf/ccs,2310.0,93433.0,A1,,,39,journals/pami,A1,100.0,,39,journals/jsac,A1,0.033051022516
40,journals/jpdc,3116.0,57395.0,A2,,,40,journals/tmc,,98.0,,40,journals/tkde,A1,0.0325008552857
41,journals/ieeesp,1371.0,20218.0,,,,41,journals/tkde,A1,95.0,,41,conf/compsac,A2,0.0318712527611
42,conf/mobisys,665.0,16129.0,A1,,,42,conf/icccn,B1,92.0,,42,conf/icse,A1,0.0254237288136
43,journals/pami,5073.0,667087.0,A1,,,43,conf/osdi,A1,91.0,,43,journals/cacm,A1,0.0246221123681
44,journals/tmc,1549.0,38787.0,,,,44,conf/sosp,A1,91.0,,44,journals/pami,A1,0.0197122018529
45,journals/tkde,2923.0,124112.0,A1,,,45,conf/isi,B1,87.0,,45,conf/ipps,A1,0.0184331797235
46,conf/sosp,514.0,137495.0,A1,,,46,journals/internet,A1,86.0,,46,conf/chi,A1,0.0144900439376
47,conf/isi,967.0,3516.0,B1,,,47,conf/uss,,80.0,,47,conf/icmcs,B3,0.0108427120505
48,journals/internet,1660.0,42904.0,A1,,,48,conf/icmcs,B3,79.0,,48,conf/hicss,A1,0.0101792631294
