Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/eswa,8936.0,109580.0,A1,89.0,,1,journals/eor,A1,1982.0,,1,journals/eor,A1,0.208346473247
2,journals/automatica,7338.0,229957.0,A1,86.0,,2,journals/cor,,713.0,,2,journals/scheduling,B1,0.197265625
3,journals/isci,7032.0,124049.0,A1,70.0,,3,journals/anor,A2,306.0,,3,journals/heuristics,A2,0.195933456562
4,journals/mansci,2100.0,125312.0,B2,62.0,,4,journals/eswa,A1,222.0,,4,journals/4or,,0.1875
5,conf/or,809.0,2232.0,B4,61.0,,5,journals/dam,A2,199.0,,5,journals/cor,,0.153862753561
6,journals/ior,1480.0,54189.0,A1,61.0,,6,journals/jors,,142.0,,6,conf/ifip8-3,,0.151020408163
7,conf/smc,9388.0,28167.0,B2,58.0,,7,conf/wsc,A1,138.0,,7,journals/transci,B2,0.148514851485
8,journals/networks,1952.0,113935.0,B1,52.0,,8,journals/orl,B1,132.0,,8,journals/anor,A2,0.129606099111
9,conf/ifip8-3,245.0,254.0,,50.0,,9,journals/candie,,131.0,,9,journals/jors,,0.122625215889
10,journals/dss,2302.0,56927.0,A1,50.0,,10,journals/ress,,125.0,,10,journals/informs,A2,0.110116383169
11,journals/fss,3354.0,58453.0,A1,45.0,,11,journals/networks,B1,125.0,,11,journals/ijitdm,,0.0946372239748
12,journals/kbs,2347.0,29383.0,,44.0,,12,journals/informs,A2,123.0,,12,journals/rairo,,0.0885780885781
13,journals/mcm,3045.0,22454.0,A2,43.0,,13,journals/jgo,A2,115.0,,13,conf/bife,,0.0829875518672
14,conf/hicss,11101.0,101629.0,A1,38.0,,14,journals/heuristics,A2,106.0,,14,journals/mmor,B2,0.0744905130007
15,conf/cec,5323.0,30161.0,B1,32.0,,15,journals/mmor,B2,106.0,,15,journals/jgo,A2,0.0733886407147
16,journals/dam,5729.0,70961.0,A2,31.0,,16,journals/transci,B2,105.0,,16,journals/ior,A1,0.0689189189189
17,journals/transci,707.0,31772.0,B2,31.0,,17,journals/dss,A1,102.0,,17,journals/orl,B1,0.0678663239075
18,journals/ol,787.0,6148.0,,22.0,,18,journals/ior,A1,102.0,,18,journals/networks,B1,0.0640368852459
19,journals/heuristics,541.0,19210.0,A2,22.0,,19,journals/scheduling,B1,101.0,,19,journals/ol,,0.0622617534943
20,conf/fuzzIEEE,4496.0,13416.0,,21.0,,20,journals/isci,A1,100.0,,20,journals/candie,,0.0585082626172
21,journals/orl,1945.0,29366.0,B1,21.0,,21,journals/mp,A1,100.0,,21,conf/rsctc,,0.051930758988
22,journals/endm,2503.0,11755.0,B3,14.0,,22,journals/amc,A2,83.0,,22,journals/ress,,0.0498802873105
23,conf/bife,482.0,188.0,,9.0,,23,conf/evoW,,82.0,,23,conf/evoW,,0.0487804878049
24,journals/rairo,429.0,1741.0,,9.0,,24,journals/tsmc,,82.0,,24,conf/or,B4,0.0482076637824
25,journals/eor,9513.0,255722.0,A1,,,25,journals/fss,A1,74.0,,25,journals/tr,A2,0.0450236966825
26,journals/cor,4634.0,111923.0,,,,26,journals/ipl,A2,68.0,,26,journals/dss,A1,0.0443092962641
27,journals/anor,2361.0,41689.0,A2,,,27,journals/4or,,66.0,,27,journals/coap,,0.0356454720617
28,journals/jors,1158.0,9380.0,,,,28,journals/automatica,A1,62.0,,28,journals/dam,A2,0.0347355559434
29,conf/wsc,8329.0,100577.0,A1,,,29,journals/ijitdm,,60.0,,29,journals/mp,A1,0.0290191526407
30,journals/candie,2239.0,25290.0,,,,30,journals/ijsysc,A2,59.0,,30,journals/eswa,A1,0.0248433303491
31,journals/ress,2506.0,38745.0,,,,31,conf/gecco,A1,58.0,,31,journals/ijis,B1,0.0237636480411
32,journals/informs,1117.0,51739.0,A2,,,32,journals/tr,A2,57.0,,32,journals/ijsysc,A2,0.0235905637745
33,journals/jgo,1567.0,23987.0,A2,,,33,conf/cec,B1,56.0,,33,journals/fss,A1,0.0220632081097
34,journals/mmor,1423.0,14871.0,B2,,,34,conf/hicss,A1,54.0,,34,journals/mansci,B2,0.0190476190476
35,journals/scheduling,512.0,9224.0,B1,,,35,conf/smc,B2,51.0,,35,conf/wsc,A1,0.0165686156802
36,journals/mp,3446.0,193076.0,A1,,,36,journals/ol,,49.0,,36,journals/kbs,,0.016190881977
37,journals/amc,13172.0,93243.0,A2,,,37,conf/fuzzIEEE,,47.0,,37,journals/endm,B3,0.0159808230124
38,conf/evoW,1681.0,12085.0,,,,38,journals/asc,A2,42.0,,38,conf/ieaaie,,0.0150699677072
39,journals/tsmc,7525.0,282768.0,,,,39,conf/ieaaie,,42.0,,39,journals/asc,A2,0.014711033275
40,journals/ipl,6951.0,107976.0,A2,,,40,journals/mansci,B2,40.0,,40,journals/isci,A1,0.014220705347
41,journals/4or,352.0,3152.0,,,,41,conf/bife,,40.0,,41,journals/mcm,A2,0.0121510673235
42,journals/ijitdm,634.0,6377.0,,,,42,journals/endm,B3,40.0,,42,journals/tsmc,,0.0108970099668
43,journals/ijsysc,2501.0,24473.0,A2,,,43,conf/or,B4,39.0,,43,conf/cec,B1,0.0105203832425
44,conf/gecco,5746.0,92697.0,A1,,,44,conf/rsctc,,39.0,,44,conf/fuzzIEEE,,0.0104537366548
45,journals/tr,1266.0,18147.0,A2,,,45,journals/kbs,,38.0,,45,conf/gecco,A1,0.0100939784198
46,journals/asc,2855.0,28538.0,A2,,,46,journals/rairo,,38.0,,46,journals/ipl,A2,0.00978276506977
47,conf/ieaaie,2787.0,12899.0,,,,47,journals/ijis,B1,37.0,,47,journals/automatica,A1,0.00844916871082
