Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,journals/tc,A1,2094.0,,1,conf/micro,A1,0.403832505323
2,journals/computer,4766.0,261329.0,,76.0,,2,conf/icpp,A2,747.0,,2,conf/hpca,A1,0.382465057179
3,conf/isca,1821.0,135083.0,A1,53.0,,3,journals/tpds,A1,711.0,,3,conf/isca,A1,0.333333333333
4,conf/globecom,14010.0,105540.0,A1,45.0,,4,conf/ipps,A1,676.0,,4,conf/arith,,0.332833583208
5,conf/icc,14807.0,125393.0,A2,44.0,,5,conf/isca,A1,607.0,,5,journals/tc,A1,0.317417007731
6,conf/hpca,787.0,26675.0,A1,42.0,,6,journals/tcad,A1,574.0,,6,conf/ftcs,,0.313521545319
7,conf/date,5135.0,52731.0,A1,41.0,,7,conf/micro,A1,569.0,,7,conf/IEEEpact,,0.295061728395
8,conf/micro,1409.0,59172.0,A1,40.0,,8,conf/itc,A1,493.0,,8,journals/et,B2,0.23646071701
9,conf/dac,6526.0,186313.0,A1,40.0,,9,conf/dac,A1,481.0,,9,conf/vts,A2,0.223889931207
10,conf/sigmetrics,1490.0,70702.0,A1,39.0,,10,conf/date,A1,470.0,,10,conf/icpp,A2,0.217593941159
11,conf/IEEEpact,810.0,14843.0,,32.0,,11,journals/jpdc,A2,462.0,,11,journals/tpds,A1,0.215585203153
12,conf/rtss,1152.0,65287.0,A1,30.0,,12,conf/infocom,A1,400.0,,12,conf/ats,,0.21525019857
13,conf/ics,1404.0,42901.0,A2,30.0,,13,conf/vlsid,A2,359.0,,13,conf/dft,B1,0.211485870556
14,conf/iccad,3313.0,104804.0,A1,29.0,,14,conf/vts,A2,358.0,,14,conf/asap,B1,0.188295165394
15,conf/aspdac,2891.0,17518.0,,28.0,,15,conf/iccd,A2,352.0,,15,conf/asplos,A1,0.184278350515
16,conf/iscas,16967.0,68042.0,A1,27.0,,16,journals/et,B2,310.0,,16,journals/micro,A1,0.183
17,conf/islped,1474.0,29414.0,A1,24.0,,17,conf/hpca,A1,301.0,,17,conf/rtss,A1,0.168402777778
18,conf/mass,1232.0,6808.0,B1,22.0,,18,journals/tvlsi,A1,286.0,,18,conf/ics,A2,0.16452991453
19,conf/icpp,3433.0,53080.0,A2,22.0,,19,conf/ats,,271.0,,19,conf/iccd,A2,0.152777777778
20,conf/iccd,2304.0,27546.0,A2,18.0,,20,conf/iccad,A1,264.0,,20,journals/jpdc,A2,0.148267008986
21,conf/vts,1599.0,18311.0,A2,18.0,,21,conf/IEEEpact,,239.0,,21,conf/vlsid,A2,0.139525845317
22,conf/vlsid,2573.0,16525.0,A2,18.0,,22,conf/dft,B1,232.0,,22,journals/ijpp,B2,0.126091173618
23,conf/icpads,2250.0,9489.0,B1,17.0,,23,conf/ics,A2,231.0,,23,journals/tcad,A1,0.121455776555
24,conf/glvlsi,1759.0,7169.0,,16.0,,24,conf/icdcs,A1,227.0,,24,conf/itc,A1,0.117157794677
25,conf/itc,4208.0,56652.0,A1,15.0,,25,conf/arith,,222.0,,25,conf/islped,A1,0.112618724559
26,conf/ats,1259.0,5361.0,,14.0,,26,conf/ftcs,,211.0,,26,conf/dsn,A1,0.099518459069
27,conf/asap,786.0,5524.0,B1,14.0,,27,journals/computer,,202.0,,27,conf/mass,B1,0.099025974026
28,conf/sc,3087.0,61642.0,A1,13.0,,28,journals/tit,A1,202.0,,28,conf/glvlsi,,0.0972143263218
29,conf/dsn,1246.0,21786.0,A1,12.0,,29,conf/rtss,A1,194.0,,29,journals/tvlsi,A1,0.095206391478
30,journals/tc,6597.0,264854.0,A1,,,30,conf/globecom,A1,190.0,,30,conf/icdcs,A1,0.0923515052889
31,journals/tpds,3298.0,84900.0,A1,,,31,journals/micro,A1,183.0,,31,conf/ipps,A1,0.0916237462727
32,conf/ipps,7378.0,78830.0,A1,,,32,conf/glvlsi,,171.0,,32,conf/date,A1,0.0915287244401
33,journals/tcad,4726.0,133432.0,A1,,,33,conf/europar,,166.0,,33,journals/tmc,,0.0813428018076
34,journals/jpdc,3116.0,57395.0,A2,,,34,conf/islped,A1,166.0,,34,conf/sigmetrics,A1,0.0812080536913
35,journals/et,1311.0,6555.0,B2,,,35,conf/asap,B1,148.0,,35,conf/iccad,A1,0.0796860851192
36,journals/tvlsi,3004.0,46874.0,A1,,,36,conf/icc,A2,147.0,,36,conf/dac,A1,0.0737051792829
37,conf/dft,1097.0,5613.0,B1,,,37,conf/asplos,A1,143.0,,37,journals/vlsisp,,0.0653347732181
38,conf/icdcs,2458.0,87448.0,A1,,,38,conf/icpads,B1,134.0,,38,conf/icpads,B1,0.0595555555556
39,conf/arith,667.0,10823.0,,,,39,conf/iscas,A1,133.0,,39,conf/infocom,A1,0.0576119832925
40,conf/ftcs,673.0,22835.0,,,,40,conf/sc,A1,133.0,,40,journals/ton,A1,0.0516556291391
41,journals/tit,13667.0,729338.0,A1,,,41,conf/aspdac,,130.0,,41,conf/europar,,0.0510141364474
42,journals/micro,1000.0,27995.0,A1,,,42,journals/ijpp,B2,130.0,,42,conf/aspdac,,0.0449671393981
43,conf/europar,3254.0,24096.0,,,,43,journals/tmc,,126.0,,43,conf/sc,A1,0.0430839002268
44,conf/asplos,776.0,64697.0,A1,,,44,conf/dsn,A1,124.0,,44,journals/computer,,0.0423835501469
45,journals/ijpp,1031.0,13382.0,B2,,,45,conf/mass,B1,122.0,,45,journals/tse,A1,0.036253776435
46,journals/tmc,1549.0,38787.0,,,,46,journals/vlsisp,,121.0,,46,journals/tit,A1,0.014780127314
47,journals/vlsisp,1852.0,17801.0,,,,47,conf/sigmetrics,A1,121.0,,47,conf/globecom,A1,0.0135617416131
48,journals/tse,3310.0,298968.0,A1,,,48,journals/tse,A1,120.0,,48,conf/icc,A2,0.0099277368812
49,journals/ieicet,16941.0,18868.0,,,,49,journals/ieicet,,117.0,,49,conf/iscas,A1,0.00783874580067
50,journals/ton,2265.0,135914.0,A1,,,50,journals/ton,A1,117.0,,50,journals/ieicet,,0.00690632194085
