Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/cvpr,A1,3458.0,,1,conf/iccv,A1,0.506303915063
2,journals/pr,6744.0,201239.0,A1,118.0,,2,journals/pami,A1,1693.0,,2,conf/cvpr,A1,0.503054989817
3,conf/icml,3294.0,290468.0,A1,69.0,,3,conf/iccv,A1,1526.0,,3,journals/ijcv,A1,0.444699140401
4,conf/nips,5684.0,404822.0,A1,66.0,,4,conf/eccv,A1,1443.0,,4,conf/eccv,A1,0.433463502553
5,conf/icra,16038.0,236265.0,A1,61.0,,5,conf/icpr,A1,1144.0,,5,journals/pami,A1,0.33372757737
6,conf/eccv,3329.0,159515.0,A1,59.0,,6,conf/icip,A1,1104.0,,6,conf/emmcvpr,,0.287356321839
7,journals/mia,1047.0,45369.0,A1,47.0,,7,journals/ijcv,A1,776.0,,7,conf/iccvw,,0.27743902439
8,conf/icassp,28525.0,238265.0,A1,47.0,,8,conf/bmvc,A2,680.0,,8,conf/bmvc,A2,0.268562401264
9,conf/ijcai,6188.0,295635.0,A1,46.0,,9,journals/pr,A1,572.0,,9,conf/fgr,,0.26581027668
10,conf/iros,13604.0,126537.0,A1,45.0,,10,conf/miccai,A1,540.0,,10,conf/wacv,B1,0.263483642794
11,journals/prl,5475.0,100320.0,A1,44.0,,11,journals/tip,A1,455.0,,11,journals/cviu,A1,0.23600844773
12,conf/bmvc,2532.0,51771.0,A2,37.0,,12,journals/cviu,A1,447.0,,12,conf/icb,,0.233711048159
13,conf/aaai,7555.0,234650.0,A1,37.0,,13,conf/nips,A1,437.0,,13,conf/accv,,0.227298050139
14,conf/icip,17283.0,156642.0,A1,35.0,,14,conf/icmcs,B3,419.0,,14,conf/3dim,B1,0.168026101142
15,conf/iccvw,328.0,5566.0,,33.0,,15,conf/mm,A1,413.0,,15,journals/tog,A1,0.12821594264
16,conf/miccai,4743.0,59627.0,A1,32.0,,16,conf/accv,,408.0,,16,journals/ivc,A1,0.127626459144
17,conf/icdar,2762.0,27617.0,A2,31.0,,17,conf/icassp,A1,389.0,,17,conf/icpr,A1,0.127507802051
18,conf/icpr,8972.0,82067.0,A1,29.0,,18,journals/ivc,A1,328.0,,18,conf/sspr,B1,0.125
19,conf/icb,706.0,5469.0,,27.0,,19,journals/prl,A1,312.0,,19,journals/cvgip,,0.113896848138
20,conf/siggraph,4741.0,307117.0,A2,26.0,,20,journals/tog,A1,304.0,,20,conf/miccai,A1,0.11385199241
21,conf/isbi,4174.0,14072.0,B1,26.0,,21,conf/wacv,B1,298.0,,21,journals/mva,B1,0.105403011515
22,conf/accv,1795.0,12712.0,,25.0,,22,conf/icra,A1,292.0,,22,conf/ismar,A2,0.102145045965
23,conf/icmcs,7286.0,55698.0,B3,23.0,,23,conf/fgr,,269.0,,23,conf/mm,A1,0.0993743984601
24,conf/wacv,1131.0,16365.0,B1,18.0,,24,conf/isbi,B1,244.0,,24,journals/mia,A1,0.0916905444126
25,conf/caip,1274.0,7211.0,B2,16.0,,25,conf/iros,A1,221.0,,25,journals/tmm,A1,0.0908554572271
26,conf/iciap,1457.0,11752.0,B1,12.0,,26,conf/icdar,A2,201.0,,26,journals/tip,A1,0.0890062597809
27,conf/pcm,1620.0,3882.0,,10.0,,27,journals/tsmc,,181.0,,27,journals/pr,A1,0.0848161328588
28,conf/mva,1722.0,6416.0,B3,9.0,,28,journals/tcsv,A1,177.0,,28,conf/dagm,,0.0772058823529
29,conf/sspr,880.0,5411.0,B1,8.0,,29,conf/dagm,,168.0,,29,conf/caip,B2,0.0769230769231
30,journals/pami,5073.0,667087.0,A1,,,30,conf/icb,,165.0,,30,conf/nips,A1,0.0768824771288
31,conf/iccv,3014.0,216626.0,A1,,,31,journals/cvgip,,159.0,,31,conf/icdar,A2,0.072773352643
32,journals/ijcv,1745.0,252396.0,A1,,,32,journals/tmm,A1,154.0,,32,conf/pcm,,0.0654320987654
33,journals/tip,5112.0,231992.0,A1,,,33,journals/cgf,A2,145.0,,33,conf/icip,A1,0.0638777989932
34,journals/cviu,1894.0,78359.0,A1,,,34,conf/aaai,A1,140.0,,34,conf/iciap,B1,0.0631434454358
35,conf/mm,4156.0,84789.0,A1,,,35,conf/icml,A1,138.0,,35,conf/mva,B3,0.0621370499419
36,journals/ivc,2570.0,70197.0,A1,,,36,journals/tmi,A1,128.0,,36,journals/tcsv,A1,0.0587064676617
37,journals/tog,2371.0,136331.0,A1,,,37,conf/siggraph,A2,125.0,,37,conf/isbi,B1,0.0584571154768
38,conf/fgr,1012.0,42786.0,,,,38,journals/mva,B1,119.0,,38,conf/icmcs,B3,0.0575075487236
39,journals/tsmc,7525.0,282768.0,,,,39,conf/sspr,B1,110.0,,39,journals/prl,A1,0.0569863013699
40,journals/tcsv,3015.0,109012.0,A1,,,40,conf/mva,B3,107.0,,40,journals/ijprai,B1,0.0532967032967
41,conf/dagm,2176.0,10564.0,,,,41,conf/pcm,,106.0,,41,journals/cgf,A2,0.0474321229964
42,journals/cvgip,1396.0,71457.0,,,,42,conf/3dim,B1,103.0,,42,conf/icml,A1,0.0418943533698
