Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,conf/icse,A1,2075.0,,1,journals/tosem,A2,0.473417721519
2,conf/se,978.0,773.0,,57.0,,2,journals/tse,A1,786.0,,2,conf/sigsoft,,0.438941076003
3,conf/models,1198.0,7856.0,,39.0,,3,conf/sigsoft,,514.0,,3,conf/icse,A1,0.382277081798
4,conf/hicss,11101.0,101629.0,A1,38.0,,4,conf/icsm,A2,417.0,,4,conf/msr,B1,0.379134860051
5,conf/oopsla,2593.0,78458.0,A1,34.0,,5,conf/kbse,B2,410.0,,5,journals/ese,A2,0.368932038835
6,conf/icst,909.0,3673.0,B2,30.0,,6,journals/software,A1,345.0,,6,conf/issta,A2,0.343705799151
7,conf/ecoop,870.0,41520.0,A1,28.0,,7,journals/jss,,326.0,,7,conf/metrics,,0.312703583062
8,conf/csee,842.0,37548.0,B5,28.0,,8,journals/sigsoft,,269.0,,8,conf/kbse,B2,0.280821917808
9,journals/scp,1654.0,55242.0,B1,26.0,,9,conf/re,A1,254.0,,9,conf/wicsa,B1,0.280464216634
10,conf/msr,393.0,3711.0,B1,25.0,,10,conf/issta,A2,243.0,,10,conf/icsm,A2,0.27183833116
11,conf/icsoc,1046.0,11321.0,A2,25.0,,11,conf/oopsla,A1,233.0,,11,conf/ispw,,0.268656716418
12,conf/esem,506.0,2337.0,A2,24.0,,12,conf/wcre,A2,202.0,,12,conf/iwpc,,0.26706231454
13,conf/metrics,307.0,6848.0,,23.0,,13,conf/compsac,A2,194.0,,13,journals/tse,A1,0.23746223565
14,conf/csmr,829.0,6841.0,,21.0,,14,journals/infsof,,191.0,,14,journals/ase,B2,0.235588972431
15,conf/compsac,3169.0,13894.0,A2,21.0,,15,journals/ese,A2,190.0,,15,conf/esem,A2,0.229249011858
16,conf/fase,512.0,8438.0,A2,20.0,,16,journals/tosem,A2,187.0,,16,conf/wcre,A2,0.22850678733
17,conf/wcre,884.0,15333.0,A2,19.0,,17,conf/dagstuhl,,183.0,,17,journals/sosym,,0.19341563786
18,conf/wicsa,517.0,5836.0,B1,18.0,,18,conf/iwpc,,180.0,,18,conf/csmr,,0.178528347407
19,conf/issre,1189.0,12276.0,A2,18.0,,19,conf/ispw,,180.0,,19,conf/fase,A2,0.177734375
20,conf/vl,1328.0,19263.0,,17.0,,20,conf/models,,175.0,,20,conf/re,A1,0.168995342648
