Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/icra,A1,6208.0,,1,conf/isrr,B4,0.587982832618
2,journals/automatica,7338.0,229957.0,A1,86.0,,2,conf/iros,A1,4189.0,,2,conf/iser,B3,0.545710267229
3,conf/nips,5684.0,404822.0,A1,66.0,,3,journals/trob,A1,913.0,,3,conf/wafr,B4,0.51012145749
4,conf/icra,16038.0,236265.0,A1,61.0,,4,journals/ijrr,A1,743.0,,4,conf/rss,A2,0.49156626506
5,conf/eccv,3329.0,159515.0,A1,59.0,,5,conf/robio,B1,538.0,,5,journals/ijrr,A1,0.438089622642
6,conf/smc,9388.0,28167.0,B2,58.0,,6,journals/ar,,510.0,,6,conf/fsr,B4,0.388888888889
7,conf/ias,468.0,1722.0,B1,49.0,,7,conf/iser,B3,388.0,,7,conf/icra,A1,0.387080683377
8,conf/ijcai,6188.0,295635.0,A1,46.0,,8,conf/humanoids,B2,324.0,,8,conf/mhs,,0.332568807339
9,conf/iros,13604.0,126537.0,A1,45.0,,9,journals/ras,A2,322.0,,9,conf/iros,A1,0.307924139959
10,conf/cdc,8622.0,25900.0,B1,43.0,,10,journals/jfr,A1,296.0,,10,journals/trob,A1,0.304536357572
11,conf/aaai,7555.0,234650.0,A1,37.0,,11,conf/haptics,B1,284.0,,11,conf/humanoids,B2,0.289803220036
12,journals/ras,2342.0,58693.0,A2,37.0,,12,journals/tsmc,,227.0,,12,journals/ram,,0.271317829457
13,conf/icip,17283.0,156642.0,A1,35.0,,13,journals/arobots,A1,227.0,,13,journals/ar,,0.264522821577
14,conf/miccai,4743.0,59627.0,A1,32.0,,14,journals/ram,,210.0,,14,journals/arobots,A1,0.259428571429
15,conf/rss,415.0,6430.0,A2,31.0,,15,conf/cdc,B1,206.0,,15,journals/jfr,A1,0.19812583668
16,conf/hri,1198.0,5977.0,A2,29.0,,16,conf/rss,A2,204.0,,16,conf/haptics,B1,0.16444701795
17,conf/icpr,8972.0,82067.0,A1,29.0,,17,journals/robotica,B2,167.0,,17,conf/ias,B1,0.143162393162
18,journals/robotica,2751.0,16910.0,B2,23.0,,18,conf/miccai,A1,162.0,,18,conf/ams,B4,0.140096618357
19,conf/humanoids,1118.0,10515.0,B2,23.0,,19,conf/ro-man,,160.0,,19,journals/ras,A2,0.137489325363
20,conf/ro-man,1306.0,3073.0,,22.0,,20,conf/case,,158.0,,20,conf/robio,B1,0.135243841126
21,conf/igarss,13453.0,19429.0,B1,20.0,,21,conf/smc,B2,158.0,,21,journals/tase,,0.133101851852
22,conf/atal,4645.0,93519.0,,20.0,,22,conf/cvpr,A1,154.0,,22,conf/ro-man,,0.122511485452
23,conf/robio,3978.0,7907.0,B1,19.0,,23,conf/mhs,,145.0,,23,conf/urai,,0.118644067797
24,conf/ams,414.0,634.0,B4,19.0,,24,conf/aaai,A1,138.0,,24,conf/case,,0.101217168482
25,conf/robocup,1175.0,16551.0,,16.0,,25,conf/isrr,B4,137.0,,25,conf/cira,B1,0.0904522613065
26,conf/case,1561.0,2464.0,,14.0,,26,journals/jirs,,134.0,,26,conf/hri,A2,0.0742904841402
27,conf/iser,711.0,17209.0,B3,13.0,,27,conf/wafr,B4,126.0,,27,journals/jirs,,0.0687532067727
28,conf/icarcv,2669.0,7622.0,B1,11.0,,28,journals/tase,,115.0,,28,conf/robocup,,0.0612765957447
29,conf/urai,590.0,85.0,,6.0,,29,conf/fsr,B4,112.0,,29,journals/robotica,B2,0.0607051981098
30,journals/trob,2998.0,227400.0,A1,,,30,journals/tbe,A1,99.0,,30,conf/miccai,A1,0.034155597723
31,journals/ijrr,1696.0,56532.0,A1,,,31,journals/automatica,A1,95.0,,31,journals/tcst,,0.0313688212928
32,journals/ar,1928.0,14683.0,,,,32,conf/hri,A2,89.0,,32,journals/tsmc,,0.0301661129568
33,journals/jfr,1494.0,31855.0,A1,,,33,conf/icpr,A1,83.0,,33,conf/icarcv,B1,0.0299737729487
34,conf/haptics,1727.0,8138.0,B1,,,34,journals/tac,A1,82.0,,34,conf/cdc,B1,0.02389236836
35,journals/tsmc,7525.0,282768.0,,,,35,conf/icarcv,B1,80.0,,35,conf/amcc,,0.0225039619651
36,journals/arobots,875.0,25934.0,A1,,,36,conf/ijcai,A1,78.0,,36,conf/cvpr,A1,0.0224032586558
37,journals/ram,774.0,13883.0,,,,37,conf/robocup,,72.0,,37,journals/tbe,A1,0.021801365338
