Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/pr,6744.0,201239.0,A1,118.0,,1,conf/icassp,A1,7362.0,,1,conf/asru,B2,0.365617433414
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,conf/interspeech,A1,3250.0,,2,journals/spm,A1,0.347648261759
3,journals/sigpro,4742.0,50775.0,A1,84.0,,3,journals/tsp,A1,2565.0,,3,journals/taslp,,0.312940304042
4,conf/nips,5684.0,404822.0,A1,66.0,,4,conf/icip,A1,1573.0,,4,conf/icassp,A1,0.258089395267
5,conf/eccv,3329.0,159515.0,A1,59.0,,5,journals/taslp,,844.0,,5,journals/tsp,A1,0.247133635225
6,conf/isit,4224.0,15815.0,B1,49.0,,6,journals/tip,A1,637.0,,6,conf/iscslp,,0.243856332703
7,conf/icassp,28525.0,238265.0,A1,47.0,,7,conf/icmcs,B3,591.0,,7,journals/csl,,0.229508196721
8,conf/globecom,14010.0,105540.0,A1,45.0,,8,journals/tit,A1,531.0,,8,journals/jstsp,A1,0.218281036835
9,conf/icc,14807.0,125393.0,A2,44.0,,9,conf/iscas,A1,460.0,,9,conf/interspeech,A1,0.183315471826
10,journals/prl,5475.0,100320.0,A1,44.0,,10,journals/pami,A1,453.0,,10,conf/eusipco,,0.182059800664
11,conf/vtc,10987.0,36827.0,A1,42.0,,11,conf/globecom,A1,426.0,,11,conf/acssc,,0.166182452063
12,conf/interspeech,17729.0,130378.0,A1,39.0,,12,journals/sigpro,A1,417.0,,12,journals/speech,A2,0.147003745318
13,conf/icip,17283.0,156642.0,A1,35.0,,13,conf/icc,A2,402.0,,13,conf/mmsp,B2,0.139224411952
14,journals/speech,2136.0,44873.0,A2,34.0,,14,conf/icpr,A1,391.0,,14,journals/spl,A1,0.129549902153
15,conf/icpr,8972.0,82067.0,A1,29.0,,15,journals/twc,A1,366.0,,15,conf/apsipa,,0.129319955407
16,conf/iscas,16967.0,68042.0,A1,27.0,,16,journals/ejasp,B1,362.0,,16,journals/tip,A1,0.124608763693
17,conf/pimrc,7388.0,26633.0,A1,27.0,,17,journals/tcom,A1,352.0,,17,conf/isspa,,0.117759693633
18,conf/acssc,1721.0,458.0,,26.0,,18,conf/cvpr,A1,349.0,,18,journals/ejasp,B1,0.113693467337
19,conf/isbi,4174.0,14072.0,B1,26.0,,19,journals/spl,A1,331.0,,19,journals/tifs,,0.104587155963
20,conf/ciss,1447.0,4377.0,,26.0,,20,journals/speech,A2,314.0,,20,journals/tmm,A1,0.104424778761
21,conf/icmcs,7286.0,55698.0,B3,23.0,,21,conf/acssc,,286.0,,21,journals/vlsisp,,0.091252699784
22,conf/asru,413.0,3120.0,B2,20.0,,22,conf/eusipco,,274.0,,22,conf/icip,A1,0.0910142915003
23,conf/mmsp,1573.0,10876.0,B2,16.0,,23,journals/pr,A1,265.0,,23,journals/pami,A1,0.0892962743938
24,conf/dcc,1925.0,27012.0,A2,15.0,,24,journals/tcsv,A1,248.0,,24,journals/sigpro,A1,0.0879375790806
25,conf/eusipco,1505.0,414.0,,9.0,,25,conf/isspa,,246.0,,25,journals/tcsv,A1,0.0822553897181
26,conf/iscslp,529.0,478.0,,6.0,,26,conf/mmsp,B2,219.0,,26,conf/icmcs,B3,0.0811144660994
27,journals/tsp,10379.0,300724.0,A1,,,27,journals/jsac,A1,212.0,,27,conf/ciss,,0.0780926053905
28,journals/taslp,2697.0,65460.0,,,,28,conf/isit,B1,207.0,,28,journals/twc,A1,0.0638966480447
29,journals/tip,5112.0,231992.0,A1,,,29,journals/ieicet,,206.0,,29,conf/dcc,A2,0.0566233766234
30,journals/tit,13667.0,729338.0,A1,,,30,journals/tmm,A1,177.0,,30,journals/cviu,A1,0.0564941921859
31,journals/pami,5073.0,667087.0,A1,,,31,journals/spm,A1,170.0,,31,conf/cvpr,A1,0.0507710212395
32,journals/twc,5728.0,84604.0,A1,,,32,journals/vlsisp,,169.0,,32,conf/isit,B1,0.0490056818182
33,journals/ejasp,3184.0,29072.0,B1,,,33,conf/wcnc,A2,164.0,,33,journals/tcom,A1,0.0442266616409
34,journals/tcom,7959.0,236070.0,A1,,,34,journals/prl,A1,161.0,,34,journals/jsac,A1,0.0437926048337
35,journals/spl,2555.0,14486.0,A1,,,35,journals/jstsp,A1,160.0,,35,conf/icpr,A1,0.0435800267499
36,journals/tcsv,3015.0,109012.0,A1,,,36,conf/nips,A1,158.0,,36,conf/iccv,A1,0.0431320504313
37,conf/isspa,2089.0,5615.0,,,,37,journals/csl,,154.0,,37,journals/pr,A1,0.0392941874259
38,journals/jsac,4841.0,428028.0,A1,,,38,conf/asru,B2,151.0,,38,journals/tit,A1,0.0388527109095
39,journals/ieicet,16941.0,18868.0,,,,39,conf/iccv,A1,130.0,,39,conf/eccv,A1,0.0327425653349
40,journals/tmm,1695.0,38203.0,A1,,,40,conf/iscslp,,129.0,,40,conf/globecom,A1,0.0304068522484
41,journals/spm,489.0,1198.0,A1,,,41,conf/isbi,B1,124.0,,41,conf/isbi,B1,0.0297077144226
42,journals/vlsisp,1852.0,17801.0,,,,42,conf/apsipa,,116.0,,42,journals/prl,A1,0.0294063926941
43,conf/wcnc,7468.0,54198.0,A2,,,43,conf/pimrc,A1,116.0,,43,journals/tnn,,0.0292443064182
44,journals/jstsp,733.0,6282.0,A1,,,44,journals/tifs,,114.0,,44,conf/nips,A1,0.0277973258269
45,journals/csl,671.0,19176.0,,,,45,conf/vtc,A1,114.0,,45,conf/icc,A2,0.027149321267
46,conf/iccv,3014.0,216626.0,A1,,,46,conf/ciss,,113.0,,46,conf/iscas,A1,0.0271114516414
47,conf/apsipa,897.0,130.0,,,,47,journals/tnn,,113.0,,47,conf/wcnc,A2,0.0219603642207
48,journals/tifs,1090.0,12027.0,,,,48,conf/eccv,A1,109.0,,48,conf/pimrc,A1,0.0157011369789
49,journals/tnn,3864.0,312231.0,,,,49,conf/dcc,A2,109.0,,49,journals/ieicet,,0.0121598488873
50,journals/cviu,1894.0,78359.0,A1,,,50,journals/cviu,A1,107.0,,50,conf/vtc,A1,0.0103758987895
