Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/cm,1467.0,7672.0,A1,86.0,,1,conf/vtc,A1,3690.0,,1,conf/vtc,A1,0.335851460817
2,journals/sigpro,4742.0,50775.0,A1,84.0,,2,conf/icc,A2,1797.0,,2,journals/wcl,,0.227272727273
3,conf/infocom,6943.0,350398.0,A1,76.0,,3,conf/globecom,A1,1699.0,,3,conf/iccoms,,0.221276595745
4,journals/comsur,583.0,19860.0,A1,61.0,,4,conf/pimrc,A1,1519.0,,4,conf/crowncom,,0.214953271028
5,conf/isit,4224.0,15815.0,B1,49.0,,5,conf/wcnc,A2,1238.0,,5,conf/pimrc,A1,0.205603681646
6,conf/icassp,28525.0,238265.0,A1,47.0,,6,journals/twc,A1,1056.0,,6,conf/iswcs,,0.189898989899
7,conf/globecom,14010.0,105540.0,A1,45.0,,7,journals/tcom,A1,905.0,,7,conf/ew,,0.188118811881
8,conf/icc,14807.0,125393.0,A2,44.0,,8,journals/tvt,,891.0,,8,journals/twc,A1,0.184357541899
9,journals/comcom,4829.0,48151.0,A2,42.0,,9,journals/icl,A1,719.0,,9,journals/tvt,,0.183446571958
10,conf/vtc,10987.0,36827.0,A1,42.0,,10,journals/ieicet,,718.0,,10,conf/wpmc,,0.180035650624
11,conf/iscas,16967.0,68042.0,A1,27.0,,11,journals/wpc,,363.0,,11,conf/wcnc,A2,0.165773968934
12,conf/pimrc,7388.0,26633.0,A1,27.0,,12,journals/jsac,A1,340.0,,12,conf/wcsp,,0.146
13,conf/acssc,1721.0,458.0,,26.0,,13,conf/icassp,A1,295.0,,13,journals/wc,,0.132911392405
14,journals/winet,1535.0,43453.0,A1,25.0,,14,journals/ejwcn,B1,269.0,,14,journals/icl,A1,0.129971077368
15,journals/wicomm,1434.0,8282.0,B1,25.0,,15,journals/tsp,A1,247.0,,15,conf/icc,A2,0.121361518201
16,journals/iet-com,2119.0,3949.0,,25.0,,16,journals/iet-com,,234.0,,16,conf/globecom,A1,0.121270521056
17,conf/aina,4240.0,20763.0,A2,25.0,,17,conf/iswcs,,188.0,,17,journals/wicomm,B1,0.119246861925
18,journals/wpc,4130.0,29248.0,,24.0,,18,journals/wicomm,B1,171.0,,18,journals/ejwcn,B1,0.119131975199
19,conf/icccn,2399.0,19747.0,B1,20.0,,19,journals/cm,A1,170.0,,19,journals/cm,A1,0.11588275392
20,conf/iwcmc,2021.0,3875.0,B1,19.0,,20,journals/wc,,168.0,,20,journals/tcom,A1,0.11370775223
21,conf/ew,404.0,524.0,,18.0,,21,conf/iwcmc,B1,166.0,,21,journals/iet-com,,0.110429447853
22,conf/wcsp,1000.0,202.0,,16.0,,22,journals/tit,A1,164.0,,22,journals/network,A1,0.0880829015544
